Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Revision Date,Revision Reason,Comment,Project ID,Area of Change,Timeframe of Investment,(Legacy) Total Cost,(Legacy) Planned Completion Date,Updated Date,Updated Time,Baseline ID
"010-000000116","651","010","Department of the Interior","BLM - Incident Qualifications and Certification System (IQCS)","09/12/2012","Correction","Updates to metrics during BY14 Official Submission.","","Metrics","1998-2020","","","09/12/2012","14:33:53","9221"
"010-000000156","652","010","Department of the Interior","BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning)","08/14/2009","Internal - Other","DOI IRB approved rebaseline to update the total cost of ownership.","","","","25.793","2018-09-30","08/25/2009","11:42:33","91"
"010-000000156","652","010","Department of the Interior","BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning)","02/23/2012","Correction","Per new OMB guidance released last year, the operational data in performance table C.1 is updated to reflect two metrics which measure the effectiveness and three metrics which measure the investment against its defined process standards or technical service level agreements.","","Metrics","2003-2020","","","02/24/2012","21:45:51","7495"
"010-000000156","652","010","Department of the Interior","BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning)","02/23/2012","Correction","Per new OMB guidance released last year, the operational data in performance table C.1 is updated to reflect two metrics which measure the effectiveness and three metrics which measure the investment against its defined process standards or technical service level agreements.","","Metrics","2003-2020","","","03/01/2012","11:03:42","7711"
"010-000000156","652","010","Department of the Interior","BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning)","03/19/2012","Rebaseline - other","Performance measures for BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning) and BLM - Incident Qualifications and Certification System (IQCS) were inadvertently reversed. This change reverts the performance measures.","","Metrics","2003-2020","","","03/27/2012","10:26:22","7769"
"010-000000156","652","010","Department of the Interior","BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning)","03/19/2012","Rebaseline - other","Performance measures for BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning) and BLM - Incident Qualifications and Certification System (IQCS) were inadvertently reversed. This change reverts the performance measures.","","Metrics","2003-2020","","","03/27/2012","13:25:56","7775"
"010-000000156","652","010","Department of the Interior","BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning)","03/19/2012","Rebaseline - other","Performance measures for BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning) and BLM - Incident Qualifications and Certification System (IQCS) were inadvertently reversed. This change reverts the performance measures.","1157","Projects","2003-2020","","","08/14/2012","14:34:45","8945"
"010-000000156","652","010","Department of the Interior","BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning)","09/12/2012","Correction","Updates to metrics during BY14 Official Submission.","1157","Projects, Metrics","2003-2020","","","09/12/2012","14:33:45","9219"
"010-000000156","652","010","Department of the Interior","BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning)","10/29/2012","Correction","To maintain data quality, the end date for Project, ePlanning Phase 2.0.3  is being updated to 9/30/2011.","1157","Projects","2003-2020","","","10/29/2012","11:33:49","10971"
"010-000000158","653","010","Department of the Interior","BLM - Legacy Rehost (LR2000)","02/23/2012","Correction","Per new OMB guidance released last year, the operational data in performance table C.1 is updated to reflect two metrics which measure the effectiveness and three metrics which measure the investment against its defined process standards or technical service level agreements.","","Metrics","1998-2020","","","02/24/2012","21:45:55","7496"
"010-000000158","653","010","Department of the Interior","BLM - Legacy Rehost (LR2000)","09/12/2012","Correction","Updates to metrics during BY14 Official Submission.","","Metrics","1998-2020","","","09/12/2012","15:07:50","9267"
"010-000000295","655","010","Department of the Interior","BOR1-PABS (Program and Budget System)","01/06/2011","Rebaseline - other","Ensure consistence of information between cost and schedule milestones table and summary of funding table to meet OMB IT Dashboard requirements.","","","","18.719242","2014-09-30","02/07/2011","13:58:36","2741"
"010-000000295","655","010","Department of the Interior","BOR1-PABS (Program and Budget System)","09/12/2012","Correction","Updates to metrics during BY14 Official Submission.","","Metrics","2003-2014","","","09/12/2012","14:38:07","9231"
"010-000000299","656","010","Department of the Interior","BOR1-RMSS (Reclamation Mission Support Services)","05/01/2012","Correction","Overall lifecyle cost reduction of $224,945,000Approved Baseline 2005 - 2019 = $645,878,000Proposed Baseline 2005 - 2019 = $420,933,000Delta = $224,945,000 (reductions occurred over 9 years, 2011-2019)$200,221,000 of these RMSS Part 1 costs were realigned to Part 2 infrastructure line items. The costs are more appropriately categorized as infrastructure that supports the mission rather than solely mission-related expenses. The remaining difference can be accounted for as a previous over-estimation of COLA increases. The proposed baseline includes more conservative COLA increases in light of limited federal pay raises in the past few years.","1161","Projects, Activities","2003-2021","","","05/24/2012","15:55:48","8241"
"010-000000299","656","010","Department of the Interior","BOR1-RMSS (Reclamation Mission Support Services)","05/01/2012","Correction","Overall lifecyle cost reduction of $224,945,000Approved Baseline 2005 - 2019 = $645,878,000Proposed Baseline 2005 - 2019 = $420,933,000Delta = $224,945,000 (reductions occurred over 9 years, 2011-2019)$200,221,000 of these RMSS Part 1 costs were realigned to Part 2 infrastructure line items. The costs are more appropriately categorized as infrastructure that supports the mission rather than solely mission-related expenses. The remaining difference can be accounted for as a previous over-estimation of COLA increases. The proposed baseline includes more conservative COLA increases in light of limited federal pay raises in the past few years.","1161","Projects","2003-2021","","","05/24/2012","16:08:46","8243"
"010-000000299","656","010","Department of the Interior","BOR1-RMSS (Reclamation Mission Support Services)","05/01/2012","Correction","Overall lifecyle cost reduction of $224,945,000Approved Baseline 2005 - 2019 &#61; $645,878,000Proposed Baseline 2005 - 2019 &#61; $420,933,000Delta &#61; $224,945,000 (reductions occurred over 9 years, 2011-2019)$200,221,000 of these RMSS Part 1 costs were realigned to Part 2 infrastructure line items. The costs are more appropriately categorized as infrastructure that supports the mission rather than solely mission-related expenses. The remaining difference can be accounted for as a previous over-estimation of COLA increases. The proposed baseline includes more conservative COLA increases in light of limited federal pay raises in the past few years.","1161","Projects, Metrics","2003-2021","","","09/13/2012","08:03:51","9559"
"010-000000299","656","010","Department of the Interior","BOR1-RMSS (Reclamation Mission Support Services)","10/10/2012","Correction","This baseline change is in response to the OMB TechStat on RMSS, 6/29/12, and the Post-TechStat Corrective Actions memo on 8/3/12. In that memo Reclamation was tasked with the following: developing a project plan and roadmap for RMSS by 8/23/12; having a draft Exhibit 300 of RMSS by 9/6/12; and finalizing the Exhibit 300 and 53 information for RMSS by 10/10/12. This baseline change will align the roadmap/project plan information to the Exhibit 300 project activities table in time for the 10/10/12 due date for the final x300 and x53. Please note, total lifecycle costs have been reduced slightly due to better estimation of cost of living adjustments for labor costs. These numbers are reflective of the adjusted figures (after BY13 passback) that accounted for FTE cost of living adjustments instead of applying a flat budget across fiscal years. ","6029,6031,6033,6035,6037,1161","Projects, Activities","2003-2021","","","10/29/2012","11:33:50","10973"
"010-000000987","657","010","Department of the Interior","USGS - HAZ - Advanced National Seismic System (ANSS)","09/08/2010","Rebaseline - other","Delete Line #1 of the Performance Baseline table; Description Original ANSS Baseline was double counting total lifecycle cost.","","","","369.716408","2018-09-30","11/10/2010","17:12:46","2301"
"010-000000987","657","010","Department of the Interior","USGS - HAZ - Advanced National Seismic System (ANSS)","09/12/2012","Correction","Updates to metrics during BY14 Official Submission.","","Metrics","2000-2018","","","09/13/2012","09:22:05","9595"
"010-000000987","657","010","Department of the Interior","USGS - HAZ - Advanced National Seismic System (ANSS)","07/08/2013","Correction","Set Milestones and Project to Sync to update ITDashboard.","1181","Projects, Activities","2000-2018","","","07/08/2013","10:58:54","13882"
"010-000000987","657","010","Department of the Interior","USGS - HAZ - Advanced National Seismic System (ANSS)","07/08/2013","Correction","Align milestone with Project to update the ITDashboard.","1180","Projects, Activities","2000-2018","","","07/08/2013","11:25:16","13883"
"010-000001000","658","010","Department of the Interior","USGS - AEI - Enterprise Web (EWEB)","09/12/2012","Correction","Updates to metrics during BY14 Official Submission.","","Metrics","2002-2018","","","09/13/2012","08:04:57","9567"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","08/14/2009","Internal - Inaccurate Baseline","","","","","142.8833","2019-09-30","08/14/2009","09:43:02","106"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","08/14/2009","Internal - Inaccurate Baseline","","","","","179.5355","2019-09-30","08/14/2009","10:02:57","107"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","04/23/2010","Internal - Other","Data Clean Up/ Corrections.  Submitted Baseline Change Request to ITIM","","","","240.707312","2020-09-30","04/30/2010","18:41:39","627"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","02/22/2011","Rebaseline - other","Data Clean Up/ Corrections.  Submitted Baseline Change Request to ITIM","","","","367.851955","2020-09-30","02/24/2011","17:24:04","3297"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","04/29/2011","Correction","Removing old milestones from Cost and Schedule Table","","","","89.542341","2020-09-30","04/29/2011","15:12:30","4027"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","09/23/2011","Rebaseline - other","Error in submission; had to make project date changes for accuracy purposes.","1311","Projects, Activities","2011-2020","","","10/31/2011","15:45:57","7019"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","02/27/2012","Rebaseline - change in funding strategy","Changes made due to a reduction in HUD s IT budget. HUD has restructured its projects accordingly, and the resulting changes require a rebaseline.","1311","Projects, Activities","2011-2020","","","02/28/2012","10:37:42","7562"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","02/27/2012","Rebaseline - change in funding strategy","Changes made due to a reduction in HUD s IT budget. HUD has restructured its projects accordingly, and the resulting changes require a rebaseline.","1311","Projects, Activities","2011-2020","","","02/29/2012","10:28:51","7637"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","02/27/2012","Rebaseline - change in funding strategy","Changes made due to a reduction in HUD s IT budget. HUD has restructured its projects accordingly, and the resulting changes require a rebaseline.","","","2011-2020","","","02/29/2012","16:06:56","7697"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","09/14/2012","Rebaseline - current baseline is no longer useful as a management tool","This investment required a baseline change due to changes in the internal reporting requirements at HUD. In an effort to improve visibility, HUD has changed its Ex. 300B   Table B.1 reporting level from the major initiative level down to the project level. This change will increase the level of detail that is provided on the Federal IT Dashboard, as well as help comply with OMB s 6-month project interval requirement. These changes require a baseline change on the dashboard.The performance metrics for this investment have been redefined for CY13 to more adequately reflect the goals of this investment. These changes require a baseline change on the IT Dashboard.","5015,1311","Projects, Activities, Metrics","2011-2020","","","09/14/2012","11:48:29","10049"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","10/03/2012","Rebaseline - other reason consistent with agency policy and M-10-27","This investment required a baseline change due to changes in the internal reporting requirements at HUD. In an effort to improve visibility, HUD has changed its Ex. 300B Table B.1 reporting level from the major initiative level down to the project level. This change will increase the level of detail that is provided on the Federal IT Dashboard, as well as help comply with OMB s 6-month project interval requirement. These changes require a baseline change on the dashboard. The performance metrics for this investment have been redefined for CY13 to more adequately reflect the goals of this investment. These changes require a baseline change on the IT Dashboard.","5015","Projects, Activities","2011-2020","","","10/03/2012","09:54:42","10879"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","04/29/2013","Rebaseline - other reason consistent with agency policy and M-10-27","The HIFMIP Project is no longer an active project. It has been replace by the New Core Project. This action is being performed to remove the HIFMIP project from the Federal IT Dashboard.","5015,1311","Projects, Activities","2011-2020","","","04/29/2013","14:21:22","13165"
"025-000004370","665","025","Department of Housing and Urban Development","Core Financial Services","06/03/2013","Replan - adding or modifying detail within the overall cost and schedule goals","The New Core Project schedule was notionally identified prior to establishing the Scope of  work to be performed during the Discovery Phase of the Project.HUD and the Dept. of Treasury, Bureau of Public Debt determined that a Pilotprogram would not be conducted during the Discovery Phase and should be eliminatedfrom the schedule.   ","5015","Projects, Activities","2011-2020","","","06/03/2013","16:34:30","13735"
"010-000001049","666","010","Department of the Interior","USGS - WAT - National Water Information System (NWIS)","02/10/2012","Rebaseline - other","Correction to performance metric. Incorrect target metric for PY (2011).Project activities reported in 6 month increments have been added. ","2922","Projects, Activities, Metrics","1995-2020","","","02/24/2012","10:30:48","7437"
"010-000001049","666","010","Department of the Interior","USGS - WAT - National Water Information System (NWIS)","02/10/2012","Rebaseline - other","Correction to performance metric. Incorrect target metric for PY (2011).Project activities reported in 6 month increments have been added. ","1184","Projects, Activities","1995-2020","","","02/24/2012","10:44:47","7439"
"010-000001049","666","010","Department of the Interior","USGS - WAT - National Water Information System (NWIS)","09/11/2012","Correction","Project activities reported in 6 month increments have been added.Remove 2 Performance Metrics that are no longer relevant. Update 2 metrics to be annual reporting metrics associated with Agency PRM code.","","","1995-2020","","","09/13/2012","08:49:26","9579"
"010-000001049","666","010","Department of the Interior","USGS - WAT - National Water Information System (NWIS)","09/11/2012","Correction","Project activities reported in 6 month increments have been added.Remove 2 Performance Metrics that are no longer relevant. Update 2 metrics to be annual reporting metrics associated with Agency PRM code.","2922","Projects, Activities, Metrics","1995-2020","","","09/13/2012","08:49:30","9581"
"010-000001050","667","010","Department of the Interior","USGS - CSS - TNM Reengineering Project","04/27/2012","Rebaseline - other","Updated the project lifecycle start and end date to reflect current year. Added 6 month milestones, better description of activities and projects, and projected costs. Added in projected information to milestones synchronized to the Dashboard. Adjusted project costs to report in thousands.","3107,3109,1185,1186","Projects, Activities","2001-2019","","","04/27/2012","14:18:47","8067"
"010-000001050","667","010","Department of the Interior","USGS - CSS - TNM Reengineering Project","04/27/2012","Rebaseline - other","Updated the project lifecycle start and end date to reflect current year. Added 6 month milestones, better description of activities and projects, and projected costs. Added in projected information to milestones synchronized to the Dashboard. Adjusted project costs to report in thousands.","1185,1186","Projects, Activities","2001-2019","","","04/27/2012","17:33:52","8089"
"010-000001050","667","010","Department of the Interior","USGS - CSS - TNM Reengineering Project","09/11/2012","Correction","Adding new milestones, projects, and performance metrics for BY14 submission.More detail on planned work for FY13 and FY14.  All cost remain the same.","1185,1186,3107","Projects, Activities, Metrics","2001-2022","","","09/13/2012","08:49:17","9577"
"010-000001050","667","010","Department of the Interior","USGS - CSS - TNM Reengineering Project","06/13/2013","Correction - Metrics Only","Metrics interval correction.","","Metrics","2001-2022","","","06/26/2013","12:17:01","13788"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","09/17/2010","Rebaseline - adding new iteration","Updated business case to reflect FHA Transformation.","","","","166.357282","2013-02-05","09/17/2010","13:10:49","1456"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","10/29/2010","Rebaseline - other","Updated investment to define the transformation initiative milestones.","","","","282.795905","2015-09-30","10/29/2010","16:51:29","2228"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","02/25/2011","Rebaseline - other","","","","","282.795905","2015-09-30","02/25/2011","16:43:07","3449"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","02/25/2011","Correction","","","","","281.503118","2015-09-30","02/25/2011","17:20:33","3465"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","05/19/2011","Rebaseline - other","Remove 18 Month Deliverables","","","","32.367711","2011-10-19","05/20/2011","10:59:25","6037"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","07/29/2011","Rebaseline - other","Required to validate for submission","","","","64.735422","2011-10-19","07/29/2011","16:42:00","6753"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","02/27/2012","Rebaseline - change in funding strategy","Changes made due to a reduction in HUD s IT budget. HUD has restructured its projects accordingly, and the resulting changes require a rebaseline.","1117","Projects, Activities, Metrics","2010-2018","","","02/28/2012","17:12:52","7613"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","02/27/2012","Rebaseline - change in funding strategy","Changes made due to a reduction in HUD s IT budget. HUD has restructured its projects accordingly, and the resulting changes require a rebaseline.","2950","Projects, Activities","2010-2018","","","02/29/2012","11:35:41","7652"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","09/14/2012","Rebaseline - current baseline is no longer useful as a management tool","This investment required a baseline change due to changes in the internal reporting requirements at HUD. In an effort to improve visibility, HUD has changed its Ex. 300B   Table B.1 reporting level from the major initiative level down to the project level. This change will increase the level of detail that is provided on the Federal IT Dashboard, as well as help comply with OMB s 6-month project interval requirement. These changes require a baseline change on the dashboard.The performance metrics for this investment have been redefined for CY13 to more adequately reflect the goals of this investment. These changes require a baseline change on the IT Dashboard.","2950,1117","Projects, Activities, Metrics","2010-2018","","","09/14/2012","11:49:19","10057"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","09/14/2012","Rebaseline - current baseline is no longer useful as a management tool","This investment required a baseline change due to changes in the internal reporting requirements at HUD. In an effort to improve visibility, HUD has changed its Ex. 300B   Table B.1 reporting level from the major initiative level down to the project level. This change will increase the level of detail that is provided on the Federal IT Dashboard, as well as help comply with OMB s 6-month project interval requirement. These changes require a baseline change on the dashboard.The performance metrics for this investment have been redefined for CY13 to more adequately reflect the goals of this investment. These changes require a baseline change on the IT Dashboard.","1117","Projects, Activities, Metrics","2010-2018","","","09/14/2012","13:54:01","10183"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","09/14/2012","Rebaseline - current baseline is no longer useful as a management tool","This investment required a baseline change due to changes in the internal reporting requirements at HUD. In an effort to improve visibility, HUD has changed its Ex. 300B   Table B.1 reporting level from the major initiative level down to the project level. This change will increase the level of detail that is provided on the Federal IT Dashboard, as well as help comply with OMB s 6-month project interval requirement. These changes require a baseline change on the dashboard.The performance metrics for this investment have been redefined for CY13 to more adequately reflect the goals of this investment. These changes require a baseline change on the IT Dashboard.","1117","Projects, Activities","2010-2018","","","09/14/2012","14:09:17","10193"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","09/14/2012","Rebaseline - current baseline is no longer useful as a management tool","This investment required a baseline change due to changes in the internal reporting requirements at HUD. In an effort to improve visibility, HUD has changed its Ex. 300B   Table B.1 reporting level from the major initiative level down to the project level. This change will increase the level of detail that is provided on the Federal IT Dashboard, as well as help comply with OMB s 6-month project interval requirement. These changes require a baseline change on the dashboard.The performance metrics for this investment have been redefined for CY13 to more adequately reflect the goals of this investment. These changes require a baseline change on the IT Dashboard.","2950,1117","Projects, Activities","2010-2018","","","10/03/2012","13:36:35","10899"
"025-000004570","669","025","Department of Housing and Urban Development","Mortgage Insurance","03/29/2013","Replan - adding or modifying detail within the overall cost and schedule goals","Overall, adding, modifying and deleting project activities based on reduced FY2013 funding.  Several planned start dates have been changed to align with actual task order or contract award dates that were modified to accurately reflect procurement timelines.More specifically, Counterparty Management project activities are being realigned and expanded to support potential decommissioning of legacy systems.Deployment of Federal Financial Services Platform (FFSP) - Infrastructure GEN2 activities have been deleted as these functions will be transferred to HUD OCIO as part of the existing HITS infrastructure contract.An additional project activity has been added for the Physical Inspections Alignment initiative while consolidating phases of the original alignment project.Activities for the Healthcare project have been consolidated with the MFH Automated Underwriting System due to similar project requirements.  Later phases of this effort will encompass configuration activities which can be leveraged by multiple program areas.Changes to existing project activities cost, schedule and scope are minimal.  Overall, the reduced funding amount in FY2013 will significantly extend the program completion date thus limiting FHA's ability to leverage the initial investment made to obtain a modern technology platform to support migration of legacy systems and applications.","2950,1117","Projects, Activities","2010-2018","","","03/29/2013","15:36:02","12923"
"010-000000308","670","010","Department of the Interior","DOI - Consolidated Financial Statement (CFS) System","08/19/2010","Internal - Other","Typo correction.","","","","11.942608","2013-12-31","08/24/2010","20:04:24","904"
"010-000000308","670","010","Department of the Interior","DOI - Consolidated Financial Statement (CFS) System","12/09/2010","Rebaseline - other","Provide more descriptive milestones","","","","12.090008","2013-12-31","02/07/2011","14:05:08","2742"
"010-000000308","670","010","Department of the Interior","DOI - Consolidated Financial Statement (CFS) System","09/12/2012","Correction - Metrics Only","Updates to metrics during BY14 Official Submission.","","Metrics","1997-2015","","","09/12/2012","15:25:49","9291"
"010-000000315","672","010","Department of the Interior","DOI - Federal Financial System (FFS)","08/14/2009","Internal - IRB Mandate","","","","","121.265","2013-09-30","08/25/2009","18:57:27","85"
"010-000000315","672","010","Department of the Interior","DOI - Federal Financial System (FFS)","08/14/2009","Internal - IRB Mandate","","","","","128.846","2014-04-30","08/25/2009","18:58:55","86"
"010-000000315","672","010","Department of the Interior","DOI - Federal Financial System (FFS)","08/14/2009","Internal - IRB Mandate","","","","","239.713","2014-04-30","08/26/2009","10:28:49","87"
"010-000000315","672","010","Department of the Interior","DOI - Federal Financial System (FFS)","05/04/2010","Internal - Other","Aligns performance information with the 3/17/10 DOI IRB approval of the FFS baseline change request.  A change in the FBMS deployment plan necessitated the need to re-baseline FFS.  FFS is being replaced by FBMS on a phased basis.","","","","355.7793","2013-04-30","05/19/2010","14:58:45","654"
"010-000000315","672","010","Department of the Interior","DOI - Federal Financial System (FFS)","09/08/2010","Rebaseline - change in funding strategy","On 8/27/2010, BIA submitted (to the DOI CIOs Portfolio Management Division) revised FFS cost data for fiscal years 2010 through 2013.  This change is necessary so that the Cost and Schedule Performance Table will be in agreement with the Summary of Funding and Summary of Spending Tables.BIA changes resulted in a $4,214,600 decrease in the FFS steady state costs for fiscal years 2010 through 2013.","","","","360.1687","2013-04-30","09/16/2010","19:24:24","1343"
"010-000000315","672","010","Department of the Interior","DOI - Federal Financial System (FFS)","09/08/2010","Rebaseline - change in funding strategy","On 8/27/2010, BIA submitted (to the DOI CIOs Portfolio Management Division) revised FFS cost data for fiscal years 2010 through 2013. This change is necessary so that the Cost and Schedule Performance Table will be in agreement with the Summary of Funding and Summary of Spending Tables. BIA changes resulted in a $4,214,600 decrease in the FFS steady state costs for fiscal years 2010 through 2013.","","","","360.1687","2013-04-30","09/16/2010","22:47:13","1351"
"010-000000315","672","010","Department of the Interior","DOI - Federal Financial System (FFS)","02/23/2011","Correction","Correction to remove duplicate milestones and performance measures from the ITDB.","","","","203.4037","2013-04-30","02/23/2011","12:52:10","3090"
"010-000000315","672","010","Department of the Interior","DOI - Federal Financial System (FFS)","09/12/2012","Correction","Updates to metrics during BY14 Official Submission.","","Metrics","1988-2014","","","09/13/2012","08:40:02","9575"
"010-000000316","673","010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","08/14/2009","Internal - IRB Mandate","","","","","1068.714","2030-09-30","08/26/2009","13:15:10","88"
"010-000000316","673","010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","08/14/2009","Internal - IRB Mandate","","","","","1170.0519","2030-09-30","08/27/2009","08:24:58","89"
"010-000000316","673","010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","04/08/2011","Rebaseline - other","Because the bureau milestones were not reflected in the Cost and Schedule Performance table, the FBMS investment always appeared to be costing less than what was planned.  For this reason, historical milestones have been added to correct the previous years spending and bring the investment in-line with actual spending which will also be accounted for going forward.","","","","1296.823248","2030-09-30","04/22/2011","11:27:46","3965"
"010-000000316","673","010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","06/30/2011","Correction","Five Milestones had description changes to be more descriptive:  21276, 21277, 21278, 21279, 21280.Eight milestones were re-aligned from Steady State to DME in order to accurately tie to the Summary of Funding:  21258, 21266, 21257, 21265, 21256, 21264, 21255, 21263Corrected actual completion dates for milestones:  21232 and 21238 to what they were prior to the last eCPIC rebaseline.  This will then reflect what is currently in the ITDB.Corrected the actual cost of milestone 21274 to what it was prior to the last eCPIC rebaseline.  This will then reflect what is currently in the ITDB.Corrected the planned costs for milestone 21239.  The original estimates for all D6 milestones were provided prior to having the fully resource loaded Integrated Master Schedule from IBM.  We are now updating these planned number based on the fully resourced IMS.  The overall D6 costs for the PMO and IBM System Integrator (milestones 006.01.01 through 006.02.08) went from $59.4 million to $53.7 million.  Currently working with the PMO and IBM to identify a better time to rebaseline for each deployment so the planned numbers can be more closely tied to the resourced IMS.","","","","1298.210248","2030-09-30","06/30/2011","11:25:59","6190"
"010-000000316","673","010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","09/12/2012","Correction","Updates to metrics during BY14 Official Submission.","1164","Projects, Activities, Metrics","2004-2030","","","09/12/2012","15:26:18","9297"
"010-000000316","673","010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","09/13/2012","Correction","Updates to metrics during BY14 Official Submission.","4813,1164","Projects, Activities, Metrics","2004-2030","","","09/14/2012","08:43:00","9941"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","09/23/2009","Internal - Contractor Performance","","","","","75.988","2018-09-30","10/15/2009","15:58:51","278"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","06/21/2010","External - Direct Mandate","","","","","83.002569","2018-09-30","06/23/2010","11:44:57","733"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","06/21/2010","External - Direct Mandate","","","","","79.660131","2018-09-30","07/29/2010","12:46:49","795"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","08/20/2010","Internal - Other","Program extension to cover FY19 and FY20.","","","","95.731064","2020-09-30","08/20/2010","11:50:40","881"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","09/23/2010","Rebaseline - other","Change submitted to meet Accelerated Deployment Schedule. The 500 user multi-bureau pilot deployment is a positive step.  In order to further accelerate deployment, a decision has been made to deploy the system to bureaus on a one to three month cadence.  This deviates from the original  big bang  development/deployment plan and moves to an incremental or phased deployment approach.  It is believed that this approach will provide greater benefit to the customers and provide a greater probability for overall project success.  Full deployment will be complete by December 2012.","","","","111.484027","2020-09-30","09/23/2010","16:43:16","1782"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","02/28/2011","Rebaseline - other","As a result of the IMARS TechStat and consistent with the improvement plan submitted to OMB, this rebaseline adjusts the milestones to reflect the agreed upon deployment scheduled.  There is no change to the present and future scope or costs.  ","","","","126.812961","2020-09-30","02/28/2011","13:59:35","3641"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","02/28/2011","Correction","As a result of the IMARS TechStat and consistent with the improvement plan submitted to OMB, this rebaseline adjusts the milestones to reflect the agreed upon deployment scheduled.  There is no change to the present and future scope or costs.  ","","","","104.455813","2020-09-30","02/28/2011","14:31:32","3654"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","03/30/2012","Correction","As per OMB policy/program revisions the DOI OCIO requested reorganization of management activities under projects and reorganization of milestones to 6 month activities.","1165,1166","Projects, Activities","2003-2020","","","03/30/2012","14:18:07","7943"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","06/04/2012","Rebaseline - other","The IMARS Program completed the Operational Readiness Phase of the Project and is in the beginning stages of Operations and Maintenance for the IT system. Hosting and associated maintenance costs have been re-evaluated for cost-saving opportunities. In addition, the program re-budgeted in order to freeze spending years FY13-FY15 per Departmental guidance.","1165,1166","Projects","2003-2020","","","06/13/2012","16:41:04","8427"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","09/12/2012","Correction","Updates to metrics during BY14 Official Submission.","1166","Projects, Activities, Metrics","2003-2020","","","09/12/2012","15:08:08","9271"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","09/13/2012","Correction","Updates to metrics during BY14 Official Submission.","1166","Projects, Activities, Metrics","2003-2020","","","09/14/2012","08:43:22","9943"
"010-000000319","674","010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","03/15/2013","Correction - Metrics Only","A performance metric target is the only thing changing.  This corrects a previous error when the metrics were entered.","","Metrics","2003-2020","","","03/15/2013","13:28:55","12397"
