Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Legislative Mandate Required,Legislative Mandate Description,Audit Finding Resolution Required,Audit Finding Resolution Description,Published Agency Strategic Performance Plan Required,Published Agency Strategic Performance Plan Description,Published Agency Strategic Performance Plan PRM Codes,Presidential Priority Required,Presidential Priority Description,Other Requirement Required,Other Requirement Description,Updated Date,Updated Time
"015-000003501","1057","015","Department of the Treasury","BPD End User Systems and Services","no","","no","","no","Dept of Treasury, The Bureau of the Fiscal Service Strategic Plan.","P44-015-108","no","","no","","09/16/2011","06:05:47"
"015-000003503","1058","015","Department of the Treasury","BPD Telecommunications Systems and Support","no","","no","","no","Dept of Treasury Strategic Plan.","P44-015-108","no","","no","","09/16/2011","06:05:50"
"015-000003502","1059","015","Department of the Treasury","BPD Mainframe and Servers Support and Services","no","","no","","no","Dept of Treasury Strategic Plan.","P44-015-108","no","","no","","09/16/2011","06:05:51"
"015-000000363","1060","015","Department of the Treasury","IT Infrastructure Mainframes and Servers Services and Support (ITI MSSS)","no","","no","","no","The Department of the Treasury's Strategic Plan for Fiscal Years 20012-2015.The Department of the Treasury's Strategic Plan for Fiscal Years 2012 - 2015 collectively represents our goals and strategies for the diverse activities that enable the Department to effectively steward the nation's finances, promote economic and job opportunities, strengthen national security and achieve organizational excellence.","P44-015-108","no","","no","","09/16/2011","06:05:54"
"015-000000362","1061","015","Department of the Treasury","IT Infrastructure End User Systems and Support (ITI EUSS)","no","","no","","no","Department of Treasury 2012 to 2015 Strategic Plan.The Department of the Treasury's Strategic Plan for Fiscal Years 2012 - 2015 collectively represents our goals and strategies for the diverse activities that enable the Department to effectively steward the nation's finances, promote economic and job opportunities, strengthen national security and achieve organizational excellence.","P44-015-108","no","","no","","09/16/2011","06:05:55"
"015-000000342","1068","015","Department of the Treasury","IT Infrastructure Telecommunications Services and Support (TSS)","no","","no","","no","","","no","","no","","06/28/2013","13:30:28"
"015-000000350","1069","015","Department of the Treasury","IRS Main Frames and Servers Services and Support (MSSS)","no","","no","","no","This investment supports Goal A.2 Operational Efficiency in the Strategic Plan published in January 2009.","P44-015-108","no","","no","","09/16/2011","10:39:58"
"015-000000349","1070","015","Department of the Treasury","IRS End User Systems and Services (EUSS)","no","","no","","no","Strategic Foundations: Invest for high performance.  OBJECTIVE 2: Build and deploy advanced information technology systems, processes, and tools to improve IRS efficiency and productivity. Every day, IRS information technology affects taxpayers and employees.","P44-015-108","no","","no","","09/16/2011","10:40:03"
"015-000000348","1071","015","Department of the Treasury","IRS Telecommunications Systems and Support (TSS)","no","","no","","no","","","no","","no","","09/16/2011","10:40:12"
"015-000000340","1073","015","Department of the Treasury","IT Infrastructure Mainframes and Servers Support Services (MSSS)","no","","no","","no","","","no","","no","","06/28/2013","13:30:27"
"015-000000341","1074","015","Department of the Treasury","IT Infrastructure End User Services and Support (EUSS)","no","","no","","no","","","no","","no","","06/28/2013","13:30:28"
"015-000014982","1077","015","Department of the Treasury","IT Infrastructure End User Systems and Support (ITI EUSS)","no","","no","","no","","P44-015-108","no","","no","President's Management Agenda, eGovernment initiative, Automate internal processes to reduce costs internally, within the federal government, by disseminating best practices across agencies.","09/16/2011","12:27:37"
"015-000014981","1078","015","Department of the Treasury","IT Infrastructure Mainframes and Servers Services and Support (ITI MSSS)","no","","no","","no","The President's Management Agenda, eGovernment initiative, Automate internal processes to reduce costs internally, within the federal government, by disseminating best practices across agencies.","P44-015-108","no","","no","","09/16/2011","12:27:38"
"015-000000335","1079","015","Department of the Treasury","Central Accounting and Reporting System","no","","no","-Eliminate all material weaknesses in the FR related to Treasury's systems, policies, and procedures used to collect and consolidate government-wide financial information by 2018. -By implementing the General Fund Entity, the Central Accounting and Reporting System Project addresses the Intra-governmental Elimination material weaknesses-By implementing WebFocus the project addresses the Financial Report compilation material weaknesses.","no","Treasury's 1st Strategic Goal is to Effectively Manage U.S. Gov't Finances which results in accurate, timely, useful, transparent and accessible financial information: By enabling agencies to classify transactions at inception, the Central Accounting and Reporting System (CARS) Project eliminates a reconciliation burden and delay resulting in more timely and accurate financial information. By producing the CS and MTS in a timelier manner, CARS supports accessible financial information. By publishing the CS in 2 weeks instead of 6, CARS supports accessible, useful, transparent and timely financial information. The Treasury Department's 4th Strategic Goal for Organizational Excellence resulting in an effective, efficient, transparent, and accountable Treasury Dept.:By eliminating manual paper based processes, redundant classification processes and reducing barriers to central accounting data, CARS promotes a more effective, efficient,transparent.","P43-015-108","no","The Federal Government currently operates using varied financial systems and accounting practices, which can lead to challenges in communication and coordination. Modernizing and standardizing these systems and practices will improve decision making about resource use and provide more value to taxpayers. Treasury is working to:* promote the use of an e-invoicing solution throughout the Federal acquisition and financial management communities;* reduce differences in financial reporting from Federal sources and promote government-wide data standards;* improve the accuracy of Federal contract payments as well as improve the processing of accounts receivable government-wide; and* provide Federal agencies with a single point of entry to check key data sources prior to making an award, eligibility or payment decision.","no","Provide timely accurate financial information that contributes to the improved quality of federal decision making. -By enabling agencies to classify transactions at inception, the Central Accounting and Reporting System Project eliminates a reconciliation burden and delay resulting in more timely and accurate financial information. -By producing the Combined Statement and MTS in a more timely manner, the Central Accounting and Reporting System Project improves the availability and timeliness of public financial information. -Eliminate all material weaknesses in the FR related to Treasury's systems, policies, and procedures used to collect and consolidate government-wide financial information by 2018. -By implementing the General Fund Entity, the Central Accounting &  Reporting System Project addresses the Intragovernmental Elimination material weaknesses -By implementing WebFocus the project addresses the Financial Report compilation material.","09/16/2011","12:27:42"
"015-000014980","1105","015","Department of the Treasury","IT Infrastructure Telecommunications (ITI TSS)","no","","no","","no","The goal of the United States Mint's network operations is to provide efficient and reliable service to all Mint facilities in order to provide critical information and to faciltate collaboration among the various entities.","P44-015-108","no","","no","","09/22/2011","13:48:20"
"015-000000395","1106","015","Department of the Treasury","FMS IT Infrastructure Mainframe and Servers Services and Support (IT MSSS)","no","","no","","no","http://www.treasury.gov/about/budget-performance/strategic-plan/documents/strategic-plan2007-2012.pdf.","P45-015-108,P44-015-108,P42-015-108,P43-015-108","no","","no","","09/22/2011","13:48:21"
"015-000000369","1127","015","Department of the Treasury","Foreign Account Tax Compliance Act (FATCA)","no","Public Law 111-147 - The Hiring Incentives to Restore Employment (HIRE) Act of 2010 requires that the IRS provide an IT solution to support this mission.  FATCA will expand coverage of International tax return filings as required by the legislation.","no","","no","FATCA supports the Treasury Strategic Plan, specifically the following goal and obejective:Strategic Goal 4: Pursue Comprehensive Tax and Fiscal Reform Objective 2: Increase voluntary tax compliance Offshore financial centers offer strict financial secrecy and low tax rates or no taxes to non-residents who maintain bank accounts, investments, and/or other financial assets or structures within their jurisdiction. They also allow for the formation of non-resident entities such as international business corporations, personal investment corporations, and foreign trusts to act as de facto holding companies to shield the beneficial ownership of those financial assets. This lack of transparency makes offshore financial centers a haven for U.S. taxpayers to divert income and shield assets. FATCA will strengthen compliance efforts in these areas. FATCA will also expand coverage of International tax return filings as required by the legislation.","P42-015-107,P40-015-107","no","","no","","06/28/2013","13:30:40"
"015-000000414","1139","015","Department of the Treasury","PPS","no","","no","","no","PPS aligns with Treasury objectives in Strategic GOAL 5 Manage the Government Finances in a Fiscally Responsible Manner including: Expand the use of electronic transactions. Treasury is replacing outdated and inefficient paper-based processes with streamlined electronic ones. PPS aligns with this strategic initiative by providing an efficient post payment processing environment, designed to meet the specific requirements of an All-Electronic Treasury.Continuously improve our operations and processes to generate efficiency savings The Department needs to achieve greater efficiencies. Treasury also will identify potential savings by consolidating information technology operations. PPS will combine functionality currently residing in seven legacy post payment systems. The consolidation of BFS post payment systems will reduce costs associated with O&M of legacy systems, eliminate redundancy of data across systems and provide one stop payment aftermath processing for agencies.","P43-015-108","no","","no","","09/11/2012","12:05:26"
"015-000000297","1161","015","Department of the Treasury","GOVerify Business Center (GVBC)","no","2010 Improper Payments Elimination and Recovery Act.","no","","no","Department of the Treasury Strategic Plan 2012-2015.","P43-015-108","no","In November of 2009, the Presidend issued Executive Order 13520 for reducing Improper Payments.In June of 2010, the President issued the memorandum where he collectively referred to five data sources as the Do Not Pay List.","no","OMB issued Memorandum M-12-11 in April of 2012 asking CFO Act agencies to submit their plans for implementing Do Not Pay within their business processes.","06/28/2013","13:30:23"
"015-000000038","1163","015","Department of the Treasury","International Treasury Services (ITS.gov)","no","","no","","no","ITS.gov is linked directly with Treasury Strategic goals:  Goal 5 - Manage the Governments Finances in a Fiscally Responsible Manner (P40015108), Objective 3:  Expand the use of electronic transactions (P42015108), Objective 3: Modernize financial systems and standardize accounting practices (P43015108), and Objective 4:  Continuously improve our operations and processes to generate effciency savings (P44015108).  ITS.gov is linked directly with FMS strategic goals: Goal 1 - Timely, accurate and efficient disbursement of federal payments, and Goal 2 - Timely, accurate and efficient collection of federal government receipts.","P44-015-108,P40-015-108,P42-015-108,P43-015-108","no","","no","","09/11/2012","19:24:59"
"015-000000037","1165","015","Department of the Treasury","Invoice Processing Platform (IPP)","no","","no","","no","IPP provides a centralized electronic invoicing and payment information portal accessible to all participants in Federal payment transactions: agencies, payment recipients, and BFS.  This supports goal 4 of the BFS Strategic Plan, which is to provide timely and accurate financial information that contributes to the improved quality of financial decision making.","P43-015-108,P42-015-108,P44-015-108","no","","no","OMB and Treasury established the Do Not Pay Program or solution (donotpay.treasury.gov), which enables agencies to access specified data sources for the purpose of reducing improper payments.  On April 12, 2012, OMB issued a Memorandum (M-12-11) directing Executive Branch agencies to develop plans for using this solution. As of July 23, 2012, Invoice Processing Platform (IPP) began utilizing the Do Not Pay continuous monitoring feature as a value-added service to assist agencies in their efforts to reduce improper payments.","09/11/2012","21:30:58"
"015-000000364","1229","015","Department of the Treasury","IT Infrastructure Telecommunications (ITT TSS)","no","","no","","no","The Department of the Treasury's Strategic Plan for Fiscal Years 2012 - 2015 collectively represents our goals and strategies for the diverse activities that enable the Department to effectively steward the nation's finances, promote economic and job opportunities, strengthen national security and achieve organizational excellence.","P44-015-108","no","","no","","09/14/2012","10:42:26"
"015-000000432","1269","015","Department of the Treasury","Order Management System II (OMS-II)","yes","The Mint's numismatic program provides high-quality versions of circulating coinage, precious metal coins, commemorative coins, and medals for sale to the public.  The United States Mint (Mint) is legislatively required to market numismatic versions of circulating coinage as well as other coins and medals &ndash; (commemorative coins, precious metal numismatic coins, etc.).","no","","yes","Strategic Goal 3:  Responsibly expand numismatic program.","P44-015-108","no","","no","","03/22/2013","12:58:55"
"015-999990064","1271","015","Department of the Treasury","Financial Management Line of Business","yes","Chief Financial Officers Act of 1990;Government Performance and Results Act of 1993;Government Management Reform Act of 1994;Federal Managers Financial Integrity Act of 1982;Federal Financial Management Improvement Act of 1996;Clinger-Cohen Act of 1996;Cash Management Improvement Act of 1990;Prompt Payment Act of 1982, amended in 1988;Debt Collection Improvement Act of 1996;Improper Payments Elimination and Recovery Act of 2010.","yes","Financial Report of the United States Governmenthttp://www.fms.treas.gov/fr/index.html.","yes","Department of the Treasury Strategic Plan 2007-2010http://www.treasury.gov/about/budget-performance/strategic-plan/Documents/strategic-plan2007-2012.pdf.","P40-015-108","no","","no","","03/22/2013","12:59:09"
"016-000002139","495","016","Social Security Administration","Citizen Access Routing Enterprise through 2020-CARE 2020","no","","yes","The audit report, The Effectiveness of the Social Security Administration's 800-Number Automation Service, conducted by SSA's Office of the Inspector General (OIG), found that SSA does not currently collect caller-level data for callers who use the automated system, making it difficult to determine the reasons for the high rate of incomplete calls in the National 800-number automated system. The report also found that the current contract for the National 800-number services does not require the contractor to supply such data. The report recommends that SSA ensure that future contracts provide the MI needed to identify these callers at no additional cost to SSA. CARE through 2020 has accounted for these MI requirements in the new contract, and specifies minimum service levels for each automated application with regards to success rates. The CARE through 2020 contractor will be held to these standards throughout the life of the contract.","yes","As stated in Strategic Goal 3 of SSA's Strategic Plan for FY2013-2016, the National 800 Number infrastructure will be replaced with an IP network, designed to carry voice and data. This platform provides SSA the ability to improve SSA's telephone services and support SSA's website visitors by supporting future initiatives such as Click-to-Talk, Screen Sharing and Instant Messaging through the CARE through 2020 investment.","","no","","yes","In Dec. 2010, OMB released an IT reform plan mandating that each agency move 3 IT projects to the Cloud.  We include Care 2020 to address this requirement in our Cloud First Plan (released December 2011).","09/16/2011","11:55:21"
"016-000002125","553","016","Social Security Administration","DDS Automation","no","","no","","yes","The efforts of the DDS Automation program allow for greater integration and improved speed of the disability claims process at all state-specific Disability Determination Offices. The DDS Automation program provides DDS offices with the technology required to process claimant information electronically and helps these offices keep pace with periodic SSA software and hardware enhancements. Ultimately these efforts help support the requirements set forth in SSA's Annual Strategic Plan, Strategic Goal 2: Improve the Speed and Quality of SSA's Disability Process; and Strategic Objectives 2.1: Fast-Track Cases that Obviously Meet SSA's Disability Standards.","P42-016-044","no","","no","","09/16/2011","16:50:54"
"016-000002015","554","016","Social Security Administration","Financial Accounting System-FACTS","no","","no","","yes","Strategic Goal 3 in the Social Security Administration's (SSA's) Strategic Plan for FY2013-2016 identifies the objective to make SSA s administrative operations even more efficient. Specifically it calls for rigorous annual security reviews of systems and programs, and adherence of data exchange activities to National Institute of Standards and Technology (NIST) requirements. The Social Security Online Accounting and Reporting System (SSOARS) supports Strategic Goal 3 by maintaining technological currency to ensure accuracy, security and efficiency. The system features up-to-date web-based technology and is incrementally improved to promote labor efficiency, data integrity, and system performance. SSOARS is reviewed annually by independent auditors to ensure that it complies with the security requirements of FISMA/NIST.","P44-016-046","no","","yes","SSOARS adheres to all of the following requirements: The Federal Financial Management Improvement Act (FFMIA) requires agencies to implement and maintain financial management systems that are in substantial compliance with OMB Circular A-127, Federal accounting standards, and the United States Government Standard General Ledger at the transaction level. OMB Circular A-123 Management Accountability and Control defines management's responsibility for internal controls and strengthens requirements for conducting management's assessment of internal control over financial reporting. OMB Circular A-127 Financial Management Systems prescribes policies and standards for agencies to follow when managing their financial management systems, and requires agencies to adopt standard business practices to use financial management shared service providers to implement and maintain their core financial system.","09/15/2011","16:35:03"
"016-000002135","556","016","Social Security Administration","Telephone Systems Replacement Project-TSRP","no","","no","","yes","TSRP supports the following strategic goals:Strategic Goal 2: Providing quality service to the public;Strategic Goal 3: Preserving the public's trust in SSA's programs, such as through the expansion telephone and data services;Strategic Goal 4: Maintaining secure and reliable information technology services.TSRP has been replacing the telephone system with a VoIP network (a single system that carries voice and data) to reduce administrative costs and support future technological enhancements.","","yes","In October 2011, SSA released its Customer Service Plan, required by Executive Order 13571, which outlines our strategy to improve service delivery. One of our objectives for enhanced services for people receiving benefits is to begin consolidating existing eServices into a portal that will simplify customer access (MySSA).","no","","01/30/2013","15:37:56"
"016-000002045","557","016","Social Security Administration","Title II","no","","no","","yes","In order to support the Agency Strategic Goal of Preserving the Public's Trust in SSA's Programs, specifically Objective 1: Increase Efforts to Accurately Pay Benefits, the Title II system requires ongoing enhancements and maintenance fixes. These legislative and technical enhancements are critical in helping to minimize improper payments and increase the overall accuracy of the payment process. As part of the ASP, the Title II team is supporting the use of and initiation of new data exchanges. This extensive computer data exchange program is in place to ensure the accuracy of benefits payments.","P41-016-046","no","","yes","Special Notices Option (SNO) As a result of The American Council of the Blind (ACB) vs. Astrue, SSA modified its claims and post entitlement processes to capture the required SNO for first class and certified mail or first class mail with a follow-up phone call to read the notice to the claimant within 5 business days in addition to Braille and Microsoft Word CD notice formats. The court's decision expands SSA's special notice policy from decisional notices only to all SSA notices or communication. In Clark v. Astrue, the Second Circuit Court of Appeals found that SSA's policy of suspending and denying benefits was improper. Therefore, the case was remanded back to the U.S. District Court, Southern District of New York for further action. On April 13 2012, this U.S. District Court issued the final Clark Court Order and the agency must now provide relief to class members. Relief will consist of reinstating benefits and payments for months specified in the order.","09/15/2011","16:38:52"
"016-000002146","586","016","Social Security Administration","Electronic Services (Online Claims)","no","","yes","Controls Over Social Security Internet Benefit Applications: A-09-11-21165   The team is responding to seven recommendations in the report in order to enhance the integrity of the iClaim application. SSA Informing Beneficiaries of New Electronic Banking Options: A-15-09-19075 The audit found that the Online Retirement Application (iClaim) did not offer the Direct Express  debit card to any individual applying for retirement benefits online. The eServices investment is working to meet this recommendation. Internet Claim Benefit Applications from Restricted Countries: A-05-10-20180 The audit focused on identifying and monitoring Internet Claim (iClaim) applications originating from restricted countries and monitoring payments to beneficiaries classified as residing in restricted countries. Resulting from the audit SSA has implemented a process that appears to be collecting sufficient information to identify iClaim applications originating overseas, including restricted countries.","yes","The Electronic Services initiative directly supports the Agency's Strategic Goal: To Provide Quality Service to the Public; to increase the use of our online services. The initiative is accomplishing this by implementing and enhancing the iClaim application, iAppeals, Retirement Estimator and the MySocialSecurity suite of applications. SSA is implementing these internet applications in order to support the nearly 80 million baby boomers that will file for retirement over the next 20 years. Ultimately, recent enhancements to online services have led to increased online filing rates.","P40-016-045","yes","In October 2011, SSA released its Customer Service Plan, required by Executive Order 13571,which outlines our strategy to improve service delivery.  One of our objectives for enhanced services for people receiving benefits is to begin consolidating existing eServices into a portal that will simplify customer access (MySSA).","yes","The E-Government Act of 2002 directs agencies to move towards using web-based applications and other information technologies to enhance the access and delivery of information and services and bring about improvements to Government operations. Title I, Section 101 specifically defines E-Government and the associated ways in which agencies can perform E-Government functions. The Electronic Services initiative focuses on improving web-based applications to support a broad customer base and increase the efficiency of Government benefit programs.","09/22/2011","16:06:50"
"016-000002250","587","016","Social Security Administration","Infrastructure - Data Center","no","","yes","Data Center supports the Federal Desktop Core Configuration Requirements (12009005) Data Center supports SSA's Data Exchange Support Current Programs (12009004) Data Center has taken key steps for managing its investments and has strengthened oversight (12008008) Data Center is enhancing its performance measures (12011024) Data Center supports the conversion of SSA's Legacy File Management System (22009020) Data Center continues to support the management of IT projects (22007035) Data Center facilitates information distribution for the Diagnosis Codes in SSA's Databases (22009061) Data Center supports SSA's approval and monitoring of software use (22010023) Data Center supports SSA's time allocation system which improves transparency and accountability (22010050) Data Center supports SSA's software modernization and continued use of COBOL (22011019).","yes","Data Center addresses the following goals:Strategic Goal 1:  Improving speed in disability cases  and assist in elimination of hearings backlogs;Strategic Goal 2: Providing quality service to the public;Strategic Goal 3: Preserving the public's trust in SSA's programs; Strategic Goal 4: Maintaining secure and reliable information technology services and increasing the physical infrastructure s efficiencies.Data Center provides this support through technology support services, technology advancements, and maintenance.","P42-016-047","no","","no","","09/16/2011","10:46:01"
"016-000002252","588","016","Social Security Administration","Infrastructure - Office Automation","no","","yes","GAO Audit: Information Technology: Agencies Need to Implement Federal Desktop Core Configuration Requirements (12009005) GAO Audit: Information Technology: SSA s Data Exchange Support Current Programs, but Better Planning Needed to Meet Future Demands (12009004) GAO Audit: Information Technology: SSA Has Taken Key Steps for Managing Its Investments, but Needs to Strengthen Oversight and Fully Define Policies (12008008) GAO Audit: Social Security Administration's Information Technology Modernization Efforts (12011024) OIG Audit: Conversion of the Social Security Administration s Legacy File Management System (22009020): Audit A-14-09-19097 OIG Audit: Social Security Administration's Management of Information Technology Projects (22007035): Audit: A-14-07-17099 OIG Audit: Accuracy of Diagnosis Codes in the Social Security Administration s Databases (22009061): Audit: A-06-09-19128 OIG Audit: The Social Security Administration's Approval and Monitoring of the Use of Software (22010023).","yes","The OA investment provides the computing resources necessary to achieve the following SSA Strategic Goals: 1) improve the speed and quality of disability case processing, 2) improve retiree and other core services, and 3)preserve the public's trust in SSA's programs. Through large site server virtualization, OA provides the ability to increase workload capacity to handle the influx of retirement and disability cases.","P41-016-045,P42-016-045,P43-016-046","no","","no","","09/15/2011","16:36:50"
"016-000002251","589","016","Social Security Administration","Infrastructure - Telecommunications","no","","yes","Telecommunications supports the Federal Desktop Core Configuration Requirements (12009005) Telecommunications supports SSA s Data Exchange Support Current Programs (12009004) Telecommunications has taken key steps for managing its investments and has strengthened oversight (12008008) Telecommunications is enhancing its performance measures (12011024) Telecommunications supports the conversion of SSA s Legacy File Management System (22009020) Telecommunications continues to support the management of IT projects (22007035) Telecommunications facilitates information distribution for the Diagnosis Codes in SSA s Databases (22009061) Telecommunications supports SSA s approval and monitoring of software use (22010023) Telecommunications supports SSA s time allocation system which improves transparency and accountability (22010050) Telecommunications supports SSA's software modernization and continued use of COBOL (22011019).","yes","The Telecommunication program addresses the following goals: Strategic Goal 1: Improving speed in disability cases and assists in the elimination of hearing backlogs; Strategic Goal 2: Providing quality service to the public; Strategic Goal 3: Preserving the public s trust in SSA s programs, such as through the expansion of video services; Strategic Goal 4: Maintaining secure and reliable information technology services. Telecommunications provides this support through the maintenance of current communications systems, and the ongoing support of improvements within data, voice, and video communications at SSA.","P42-016-044","no","","no","","09/16/2011","16:15:14"
"016-000002140","592","016","Social Security Administration","Intelligent Disability","yes","The Health Information Technology for Economic and Clinical Health (HITECH) Act mandates that designated federal agencies expand exchange of structured medical evidence. SSA is a federal partner and is complying with the national standards being developed and promulgated by the Office of the National Coordinator.","yes","1.Although the agency cannot provide composite disability claim processing statistics (because MI systems target the adjudicative level), IDIB s case management, resource coordination, information exchange, and policy application technology reduces overall disability processing time 2.DDSs can use eCAT on eligible initial and reconsideration disability cases. eCAT use required September 2012 3.HIT aims to increase the number of health partners, standardize information exchange, and apply business rules and decision support to analyze medical records over a wider range of medical information 4.SSA uses DoD/VA Virtual Lifetime Electronic Record to exchange medical info over the Nationwide Health Information Network. SSA's Electronic Records Express allows SSA to send 1 request to a DoD location for all military treatment records. DoD sends a consolidated response to SSA back with an individual's complete medical record. DoD records response time fell from 5 weeks to 2 days.","yes","Goal 1: Help to eliminate the hearings backlog and prevent its recurrence by improving workload management capabilities Goal 2: Improve the speed and quality of the disability process by fast-tracking cases that obviously meet our disability standards.","","no","","no","The COSS testified on service delivery issues, including DCPS, at a May 17, 2012, hearing before the Senate Committee on Finance. He also delivered testimony before the House Committee on Ways and Means on March 20, 2012.","09/13/2012","18:52:09"
"016-000002141","630","016","Social Security Administration","Disability Case Processing System-DCPS","no","","no","","yes","The Disability Case Processing System (DCPS) Program will fulfill SSA's Annual Strategic Plan Goal 1: Deliver Quality Disability Decisions and Services. Specifically Strategic Objectives 1.2 Improve Our Disability Policies, Procedures and Tools. DCPS is an automated system that will improve efficiency, as it unifies separate DD Component systems into one common system for the entire Nation. DCPS will support consistent case processing, improved quality, and borderless workload sharing across State and Federal disability components. DCPS will also improve productivity by streamlining interactions with medical providers, copy services, and other vendors by using industry standards for electronic medical records. DCPS will reduce the complexity of the current environment, and reduce the overall growth rate of infrastructure costs. DCPS will allow SSA to improve their disability policies, procedures, and tools.","","no","","no","","09/16/2011","17:06:10"
"016-000002026","771","016","Social Security Administration","Interactive Video Teletraining-IVT","no","","no","","yes","IVT supports SSA's Agency Strategic Plan Service Principle of recruitment and training of the best public servants. IVT also supports Strategic Goal 4 of the ASP for FY2013-FY2016, which states that SSA is committed to implementing green solutions that improve the environment and make SSA s operations more efficient to save taxpayer's dollars. IVT supports this goal by leveraging technology to deliver remote training to SSA's employees. This form of training eliminates employee and instructor travel to attend classes, which not only benefits the environment but also significantly reduces the costs to SSA and taxpayers.","","no","","no","","09/15/2011","17:08:07"
"016-000002127","773","016","Social Security Administration","Medicare Support Activities (Medicare Modernization Act)","yes","The Medicare Support Activities investments support multiple statutory requirements, including implementation of technical solutions to carry out the requirements of the Affordable Care Act (P.L. 111 148) and improvements to systems developed pursuant to the Medicare Modernization Act (P.L. 108-173) and the Medicare Improvements for Patients and Providers Act (P.L. 110-275). These support activities include, but are not limited to obtaining and using IRS data to reduce the federal subsidy for Medicare Parts B and D for high-income beneficiaries and further automating the Medicare Part D Low-Income Subsidy determination process.","yes","GAO Audit: Medicare Premiums: Schedule and Timing Issues Complicate Withholding Parts C and D Premiums from Social Security Payments (12008003) OIG Audits: The SSA Can Recover Millions in Medicare Premiums Related to the Retirement or Disability Payments Made After Death (22001040): Audit: A-08-02-12029. Streamlining the Medicare Non-Usage Project (22011079): Audit: A-08-09-19105 (Draft Report).","yes","In supporting the Strategic Goal of Preserving the Public's Trust in Our Programs, MSA works to enhance systems based on changes to legislation as required. In order to support the Agency Strategic Goal of Preserving the Public's Trust in our Programs, the Medicare system requires ongoing enhancements and maintenance fixes. These legislative and technical enhancements are critical to help minimize improper Medicare IRMAA and low income subsidy calculations and increase the overall accuracy of Medicare processing. As part of the Agency Strategic Plan, the Medicare team is supporting the use of and initiation of data exchanges. This extensive computer data exchange program is in place to ensure the accuracy of Medicare premium calculations such as low income subsidy determinations, initiating Medicare Savings Programs with the states, and the imposition of Income Related Monthly Adjustment Amounts for Medicare Parts B and D.","","no","","no","","09/15/2011","17:11:29"
"016-000002145","1054","016","Social Security Administration","Earnings Redesign","no","","no","","yes","The ER investment directly and indirectly supports several of SSA's most important Strategic Goals including Preserving the Public's Trust in SSA's Programs via maintaining accurate earnings records. In order to maintain accurate earnings records, the ER investment is redesigning key aspects of the Earnings Records Management System (ERMS). This redesign will provide greater flexibility for processing employer wage reports. It will also provide the improved timeliness required to handle the ever-growing earnings data management workload. ER is also working to eliminate paper wage reports and migrate towards a fully electronic wage reporting business process. This will require specific architectural, technical, and business process changes to ERMS. SSA will implement the ER investment using secure technical solutions that will help to minimize improper payments and prevent fraud, waste, and abuse.","P43-016-046,P40-016-046","no","","no","","09/15/2011","16:33:58"
"016-000002253","1056","016","Social Security Administration","National Support Center","yes","Although the NSC is not specifically mandated in the Recovery Act (P.L. 111-5), the law appropriates an additional $500 million to LAE for necessary expenses of the replacement of the NCC and associated costs. The law required the obligation of funds by September 30, 2010.","yes","There are several audits relevant to NSC conducted by the SSA Office of the Inspector General (OIG): - A-14-10-21095 - Congressional Response Report: The Social Security Administration's Data Center Alternatives - A-14-10-21043 - The Social Security Administration's Use of Site Selection Industry Best Practices for its New Data Center Under the American Recovery and Reinvestment Act - A-14-11-11144 - The Program of Requirements for the Social Security Administration's New Data Center.","yes","The efforts of the NSC program will ultimately provide the increased systems processing capability and capacity to allow for improved speed in disability cases (Strategic Goal 1), improvements in retiree and other core services (Strategic Goal 2), and  elimination of  hearings backlogs (Strategic Goal 3) as outlined in the SSA ASP.","","no","","yes","SSA has provided Congressional testimony on the status of the NSC.   5/9/12 - Kelly Croft, Deputy Commissioner for Systems testified on the status and transition of the NSC.   2/11/11 - Kelly Croft, Deputy Commissioner for Systems testified on the status and future plans of the NSC.   12/15/09 - Mike Gallagher, Deputy Commissioner for Budget, Finance and Management testified on the necessity and plans for the NSC.   4/28/09 - Mary Glenn-Croft, Deputy Commissioner for Budget, Finance and Management testified on the necessity for a replacement for the National Computer Center.  SSA has provided Congressional testimony to the House Ways and Means Committe on the status of the NSC.","09/14/2012","10:34:07"
"016-000002307","1231","016","Social Security Administration","SSI Modernization","no","","no","","yes","Strategic Goal #3 in SSA s Agency Strategic Plan for FY2013-2016 identifies the effort to more accurately pay benefits. Further, this is a Priority Goal for 2012-2013. SSI Modernization plans to make many changes to applications. Some of these changes include creating a browser based interface with a consistent look and feel and streamlining the SSI process by leveraging decision support functionality to improve efficiency and accuracy.  There are two performance measures in SSA s Annual Performance Plan that are directly related to SSI Modernization program: Complete the budgeted number of Supplemental Security Income non-disability redeterminations and Percent of Supplemental Security Income payments free of overpayment and underpayment.","P30-016-038","no","","no","","09/14/2012","11:43:11"
"018-000001140","802","018","Department of Education","Integrated Partner Management (IPM)","no","Not Applicable.","no","Not Applicable.","no","Not Applicable.","","no","","no","Not Applicable.","06/26/2012","18:56:55"
"018-999993200","803","018","Department of Education","Budget Formulation and Execution Line of Business (BFE)","no","Not Applicable.","no","Not Applicable.","no","Not Applicable.","P41-018-011,P41-018-012,P43-018-012,P44-018-011,P43-018-011,P42-018-011,P42-018-012,P44-018-013","no","Not Applicable.","no","Not Applicable.","06/26/2012","18:56:37"
