Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Rebaseline Date,Rebaseline Option,Comment,Project ID,Area of Change,Total Planned Cost of all Activities,Lifecycle Costs (SoF),Timeframe of Investment,(Legacy) Total Cost,(Legacy) Planned Completion Date,Updated Date,Updated Time,Baseline ID
"011-000003177","442","011","Department of Justice","FBI Terrorist Screening System (TSS)","09/16/2010","Correction","Correction to 100% Complete Milestones.","","","","","","402.398000","2016-11-30","09/16/2010","17:27:04","1330"
"011-000003177","442","011","Department of Justice","FBI Terrorist Screening System (TSS)","09/17/2010","Correction","FBI Terrorist Screening System (TSS)","","","","","","402.398000","2016-11-30","09/17/2010","11:18:58","1401"
"011-000003177","442","011","Department of Justice","FBI Terrorist Screening System (TSS)","09/17/2010","Rebaseline - other","Budget rebaseline due to updated information available and changes in requirements of A-11","","","","","","407.771000","2016-11-30","10/28/2010","14:17:52","2138"
"011-000003177","442","011","Department of Justice","FBI Terrorist Screening System (TSS)","10/28/2010","Rebaseline - other","Improve Data Quality","","","","","","407.771000","2016-11-30","10/29/2010","17:26:57","2241"
"011-000003177","442","011","Department of Justice","FBI Terrorist Screening System (TSS)","12/16/2010","Rebaseline - other","Adding milestone to track the costs of requiremnts management that was originally omitted from initial submission.  Funding was moved from canceled releases to requirments.","","","","","","411.064000","2016-11-30","12/17/2010","07:43:53","2480"
"011-000003177","442","011","Department of Justice","FBI Terrorist Screening System (TSS)","03/24/2011","Correction","For MS 12995, 12996,13008 and 12032 are being corrected for wrong Actual Start and End dates. For Ms 12023, 27689 and 13047, they are to be deleted.","","","","","","391.138000","2016-11-30","03/25/2011","08:24:33","3804"
"011-000003177","442","011","Department of Justice","FBI Terrorist Screening System (TSS)","12/14/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Adding new projec to better define sub tasks.","646,647,648","Projects, Activities, Metrics","","","2006-2018","","","12/20/2011","13:41:17","7208"
"011-000003177","442","011","Department of Justice","FBI Terrorist Screening System (TSS)","01/25/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","TSS has updated planned and projected dates to better meet current goals.","647,648,650,652,654","Projects, Activities","","","2006-2018","","","01/26/2012","10:03:34","7315"
"011-000003177","442","011","Department of Justice","FBI Terrorist Screening System (TSS)","03/15/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Milestones for EMA 2.9 (4.1 thru 4.4) were added to provide more detail to the project's scope. Milestone 6 for EMA 2.10 has updated their Planned Start (7/2/12) and Completed (12/31/12) dates to new Start (1/2/13) and Completed (4/30/13) dates.  These dates were changed due to delays of previous development and implementation phases.","648,649,651,653","Projects, Activities","","","2006-2018","","","03/23/2012","08:59:11","7759"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","06/01/2010","Internal - Other","The integration effort with Identity and Access Management/Federated Identity Management Service, and the testing time necessary for C&A testing caused the current schedule to be put into place.","","","","","","404.056000","2016-09-29","06/01/2010","14:48:17","692"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","06/15/2010","Internal - Other","Milestone ID 12693 FBI LEO TECH REFRESH 1.7-ECP has been deactivated.  The milestone was included in anticipation of having a development contract in place for this effort; however, it was determined that in-house resources will be used in the Tech Refresh effort.  We are also using an existing contract vehicle for the effort; therefore, no ECP is necessary.  A new milestone, FBI LEO TECH REFRESH 1.10 - Materials was added for the purchase of software and equipment needed in support of the Tech Refresh effort.  This change will not impact the current baseline dates of delivery.","","","","","","409.115000","2016-09-29","06/16/2010","14:41:19","721"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","09/15/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Changes are due to realignment of cloud computing within the CJIS investments.  In addition, due to the revised definitions of DME and O&M, many of the CJIS investments were realigned.","","","","","","414.920000","2016-09-29","09/16/2010","16:59:38","1321"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","09/16/2010","Correction","Correction to 100% Complete Milestones.","","","","","","401.369000","2016-09-29","09/16/2010","17:26:07","1328"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","10/28/2010","Rebaseline - other","Improving Data accuracy","","","","","","402.253000","2016-09-29","10/28/2010","14:15:14","2135"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","10/29/2010","Rebaseline - other","Improve Data Quality.","","","","","","402.253000","2016-09-29","10/29/2010","17:24:30","2238"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","01/25/2011","Correction","Updates needed to completed Milestones.","","","","","","384.389000","2016-09-29","01/25/2011","12:29:47","2644"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","02/15/2011","Rebaseline - adding new iteration","Performance Measures realigned to conform with Project Plan in new Budget Year.","","","","","","384.389000","2016-09-29","02/18/2011","14:59:57","2924"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","10/13/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","The LEO Rehost investment schedule dates changed based on a revised testing cycle from the Security Division.  The new project completion date is 01/19/2012.","2555,570","Projects, Activities","","","1995-2017","","","10/25/2011","13:32:10","6793"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","02/27/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Investment Data updated to reflect changes to operational realities.","2555","Projects, Activities, Metrics","","","1995-2017","","","02/28/2012","08:03:40","7553"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","02/27/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Investment Data updated to reflect changes to operational realities.","","","","","1995-2017","","","02/28/2012","14:08:12","7584"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","02/27/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Investment Data updated to reflect changes to operational realities.","","","","","1995-2017","","","02/28/2012","14:25:42","7585"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","02/27/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Investment Data updated to reflect changes to operational realities.","","","","","1995-2017","","","02/28/2012","14:30:50","7586"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","03/19/2012","Correction","Data quality issue to correct the structure IDs.","2555","Projects, Activities","","","1995-2017","","","03/23/2012","08:58:53","7757"
"011-000002016","435","011","Department of Justice","FBI Law Enforcement Online (LEO)","04/05/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","LEO Rehost development is complete and rehost testing is underway.  Project Schedule will be pushed back to early July 2012 to accomplish a realistic security testing schedule.","2555","Projects, Activities","","","1995-2017","","","04/25/2012","14:25:09","8031"
"011-000002502","1052","011","Department of Justice","FBI National Crime Information Center (NCIC)","10/13/2011","Correction","Updated Performance Metric OMB ID 955, Support User Transactions, and Performance Metric OMB ID 956, Number of Offline searches, with current number for PY.  Thus, changed Target CY numbers.  OMB ID 956 Reporting frequency was updated due to mistake in previous submission.","","Metrics","","","1999-2017","","","11/28/2011","09:53:49","7108"
"011-000002502","1052","011","Department of Justice","FBI National Crime Information Center (NCIC)","04/20/2012","Correction","Corrected measurement condition for OMB IDs 952 and 953 to over target vs under target.","","Metrics","","","1999-2017","","","04/25/2012","14:25:11","8033"
"011-000002502","1052","011","Department of Justice","FBI National Crime Information Center (NCIC)","07/17/2012","Correction","Corrected mistake in OMB ID 953 on Operational Data table from under target to over target.","","Metrics","","","1999-2017","","","07/20/2012","15:28:34","8707"
"011-000003373","432","011","Department of Justice","FBI Guardian (Formerly FTTS)","02/23/2010","Internal - Other","There was an administrative correction to a date in a milestone.","","","","","","73.532000","2015-12-31","02/23/2010","08:17:43","441"
"011-000003373","432","011","Department of Justice","FBI Guardian (Formerly FTTS)","05/27/2010","Internal - Other","New items, 53-55 were added to Table 11 A. 1 to accommodate BY 2016.","","","","","","78.969000","2016-12-31","06/01/2010","14:48:15","689"
"011-000003373","432","011","Department of Justice","FBI Guardian (Formerly FTTS)","09/16/2010","Correction","Correction to 100% Complete Milestones.","","","","","","80.404000","2016-12-31","09/17/2010","11:17:43","1399"
"011-000003373","432","011","Department of Justice","FBI Guardian (Formerly FTTS)","10/28/2010","Rebaseline - other","Improving Data accuracy","","","","","","81.040500","2016-12-31","10/28/2010","14:13:31","2132"
"011-000003373","432","011","Department of Justice","FBI Guardian (Formerly FTTS)","10/29/2010","Rebaseline - other","Improve Data Quality.","","","","","","81.040500","2016-12-31","10/29/2010","08:35:24","2164"
"011-000003373","432","011","Department of Justice","FBI Guardian (Formerly FTTS)","10/19/2011","Correction","Correction to remove '0' form Final Cost and End Date.","563,566,567","Projects, Activities","","","2004-2017","","","10/25/2011","13:32:05","6791"
"011-000003373","432","011","Department of Justice","FBI Guardian (Formerly FTTS)","10/19/2011","Correction","Correction to remove '0' form Final Cost and End Date.","566","Projects, Activities","","","2004-2017","","","10/27/2011","07:13:19","6831"
"011-000003373","432","011","Department of Justice","FBI Guardian (Formerly FTTS)","12/08/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","OMB ID:  931 was changed to a different metric that provides an improved measure of Processes and Activities.  Since the mission of the Guardian program is to share information and encourage widespread collaboration of all law enforcement partners, an important process is the upload of incidents from eGuardian to Guardian.  The goal is to have 75% of all eGuardian incidents uploaded to Guardian.OMB ID 932:   Performance data changed from the cumulative total of all incidents entered since 2006 to total for year's estimated performance. Baseline will be 12,000 incidents for the year with PY Target set at 100 incidents per month.  Actual performance for two pervious months was 3550 incidents.OMB ID 933:  Performance improved over October and was noted.  Target is 95% and Performance for November was 99% which met the target.OMB ID 934:  Data entry error.  Metric is noted on a quarterly basis. First performance measurement will be posted for December 2011 rather than November, 2011.","","Metrics","","","2004-2017","","","12/20/2011","13:41:15","7207"
"011-000003373","432","011","Department of Justice","FBI Guardian (Formerly FTTS)","01/23/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Please enter $190.000 for actual cost for item number OMB ID:  2462.","","Metrics","","","2004-2017","","","01/26/2012","10:03:10","7313"
"011-000003373","432","011","Department of Justice","FBI Guardian (Formerly FTTS)","03/27/2012","Correction","Milestone Number 25 (OMBID 2426) was updated to fix a typo in its Actual Cost.","567","Projects, Activities","","","2004-2017","","","03/27/2012","09:15:00","7765"
"011-000003373","432","011","Department of Justice","FBI Guardian (Formerly FTTS)","06/13/2012","Correction","Rebaseline for Item #931 on the Operational Performance Table.Changes to correct following columns:  Measurement Area:  Processes and ActivitiesFEA Performance Measurement Category Mapping:  ProductivityThese changes were to correct these areas.","","Metrics","","","2004-2017","","","06/25/2012","11:50:55","8469"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","12/22/2009","Internal - IRB Mandate","There was a $249k rescission in the budget by the FBI to pay or other priorities.","","","","","","299.484000","2015-09-30","12/22/2009","10:36:11","440"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","06/01/2010","Internal - Other","Based on previous STAO successes adding new data sets and consolidating data systems into DIVS, the Director of the FBI decided in January 2010 to use DIVS as the FBI program to aggregate all FBI data into an enterprise data storage and presentation for analysis capability.  The previous scheduled planning period was used to select 10 high priority, high use data sources and a suite of analytic capabilities for Increment 1.  Increment 1 is now underway and is scheduled to go active during the first quarter of FY 2011.  This new effort required the diversion of $6.21M in hardware and additional personnel who normally support tactical response developments to this more strategic effort.  STAO also realigned other resources from other programs to support this new effort.  Because DIVS is a level-of-effort, government-led, government-contractor team program, additional financial resources are expected to be added to DIVS to maintain the pace of future data aggregation, provide sufficient storage capability, and maintain user expected system performance.  These changes will be shown in subsequent reports.  The program office is also developing plans for future increments, future functionality, requirements and risk managment processes, future infrastructure needs, cost estimates, and future system deactivations.  These plans will provide greater clarity during FY 2011.  This DIVS scope change is one of data and data source magnitude.  The purpose of DIVS is unchanged-store FBI lawfully obtained data and present that data  to authorized users via web-based software analytic applications.  OMB personnel were briefed on these changes on May 4 and 7 with a planned follow-on review in October 2010.","","","","","","289.102800","2015-09-30","06/01/2010","14:48:14","687"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","06/15/2010","Internal - Other","$4.6M transferred in May to DIVS from National Security Branch to pay for additional hardware for system performance.  This is part of the evolving design solution to accommodate larger amounts of data as more data sets are added to the system.  This monthly assessment also shows the $5M expected from the FY 2010 Supplemental and will be used for additional Storage Area Network (SAN) hardware to accommodate larger storage needs as the project goes forward.  All funding additions reflect scope change due to Presidential Memorandum and Director's decision to aggregate and federate all FBI investigative and intelligence data in DIVS. (NOTE:  DIVS is a level of effort costed program.  Also note that original baseline only captured contractor labor costs.  Requirements changes dictated the need o reflect hardware additions as a result of the change and not normal data growth, which reflected in O&M accounting).","","","","","","291.174800","2015-09-30","06/16/2010","14:41:16","719"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","09/16/2010","Rebaseline - change in scope","Based on additive program scope following the President's January 2010 memorandum regarding the Christmas 2009 Detroit bomber, DIVS was tasked by the Director, FBI to bring together over 200 FBI data sets into a single system. On August 3rd, DOJ approved an enhancement to the DIVS budget of $16.5M and 10 government positions to handle future needs and accelerate system build-up (more data sets and functionality faster). This new baseline reflects current planning and the new proposed funding, pending OMB and Congressional approvals. The planning period to define future increments is underway. FBI executive management is reviewing FY 2011 target content for DIVS in terms of new data sets and analytic functionality releases that can be accomplished within current funding over the next 12 months. DIVS will be planned, developed, and implemented incrementally with a 6-12 month window of in scope requirements for subsequent increments. Since DIVS is an operational mission support system, actual program content and accomplishments will evolve in response to threats, resource availability, technology, and user defined requirements and priorities. Funding and schedules will be adjusted as system solution discoveries are made and executive decisions on program content and resource needs are made. DIVS is following a dynamic and evolutionary development strategy-dynamic because the emphasis is on rapid capability improvements in response to various and evolving threats to national security. The fundamental purpose and scope remains unchanged; execution details will change (funding and milestones) to meet emerging needs. FBI leadership now desires quarterly releases and progress reviews, thus milestones will be adjusted once the corresponding dates ae determined.","","","","","","540.656000","2016-09-30","09/16/2010","16:55:51","1318"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","10/25/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Internal budget reallocation to show new, short term milestone to add more data sets to DIVS during FQ 1/2011.","","","","","","548.499000","2016-09-30","10/28/2010","12:34:54","2117"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","10/28/2010","Rebaseline - other","Improving Data accuracy","","","","","","548.499000","2016-09-30","10/28/2010","13:23:17","2124"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","11/15/2010","Rebaseline - other","FY 2011 changes reflect internal adjustments to the FY 2011 Special Technologies and Applications mission budget.  Future year changes reflect an FY2012 budget decision.","","","","","","521.120000","2016-09-30","11/16/2010","09:43:54","2307"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","01/25/2011","Rebaseline - change in scope","DIVS is a rapid/Agile development project with a planned series of sprints during each quarter.  Increment 2 was replanned during the first quarter of FY 2011 and broken into three quarterly mlestones.  Each milestone will review previous quarter progress and ensure sprints during the next quarter address top priorities of remaining requirements.  There is no impact to FY 2011 planned cost, which is budget limited.  FY 2012 capability improvement projections will be adjusted to available budget.","","","","","","439.272000","2016-09-30","01/25/2011","08:57:49","2639"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","02/15/2011","Rebaseline - adding new iteration","Performance Measures realigned to conform with Project Plan in new Budget Year.","","","","","","439.272000","2016-09-30","02/15/2011","14:23:43","2800"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","02/17/2011","Rebaseline - other","Performance Measure OMB ID 3783 is removed after 2010 based on OMB recommendations to use a more appropriate measurement indicator.","","","","","","439.272000","2016-09-30","02/18/2011","08:51:34","2890"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","02/18/2011","Rebaseline - adding new iteration","Update Performance Metrics to align with Project Plan.","","","","","","439.272000","2016-09-30","02/18/2011","15:00:52","2925"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","02/23/2011","Rebaseline - other","Corrected inconsistencies in the Cost, and Schedule Performance Table to align it with the Summary of Funding Table.","","","","","","516.318000","2016-09-30","02/23/2011","13:39:42","3094"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","03/14/2011","Rebaseline - other","Broke out DME expenditures that were rolled into O&M milestones to align cost and schedule table with the Summary of Funding.  Also corrected dates that were recorded incorrectly.  No impact on the program or actual cost and schedule performance.","","","","","","553.396000","2016-09-30","03/25/2011","08:23:25","3801"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","03/14/2011","Rebaseline - other","Broke out DME expenditures that were rolled into O&M milestones to align cost and schedule table with the Summary of Funding.  Also corrected dates that were recorded incorrectly.  No impact on the program or actual cost and schedule performance.","","","","","","553.396000","2016-09-30","03/25/2011","08:30:40","3807"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","05/16/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","This is a net positive to the DIVS project and DIVS program.  The delay of another priority project funding requirement into FY 2012 enabled the acceleration of DIVS storage and processing capacity goals established for FY 2012 into the fourth quarter FY 2011 as well as redirecting unspent DIVS funds from the 2nd quarter to support an FBI initiative to consolidate data centers.  All funds are sourced from the same mssion account.","","","","","","563.154000","2016-09-30","05/24/2011","08:29:58","6058"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","10/19/2011","Correction","Correction to remove '0' form Final Cost and End Date.","559","Projects, Activities","","","","","","10/25/2011","13:32:04","6789"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","01/25/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Changed the PY Target from 3.4 to 5 for Performance Metrix 920, due to reaching previous target goal.","","Metrics","","","","","","01/26/2012","10:03:06","7312"
"011-000003372","429","011","Department of Justice","FBI Data Integration and Visualization System (DIVS)","03/08/2012","Correction","Update Activity 2.6.1 Hardware Installation to include the Project name, Activity Description and Structure ID.","560","Projects, Activities","","","","","","03/23/2012","08:58:43","7755"
"011-000003457","938","011","Department of Justice","FBI Next Generation Identification (NGI)","10/19/2011","Correction","Correction to remove '0' form Final Cost and End Date.","580","Projects, Activities","","","2008-2018","","","10/25/2011","13:32:12","6794"
"011-000003457","938","011","Department of Justice","FBI Next Generation Identification (NGI)","11/21/2011","Correction","Lower level activities have been added to Increments 3 and 4 to reflect results of reprogramming.  There has been no change to overall cost or scope of NGI.  The Full Operating Capability date remains 06/05/2014.","580","Projects, Activities","","","2008-2018","","","11/28/2011","09:53:49","7109"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","12/18/2009","Internal - Other","The NDEX program complete an internal re-planning of the program providing more detailed milestones for FY 2010.","","","","","","312.109400","2015-09-30","12/18/2009","11:07:26","446"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","02/23/2010","Internal - Other","The NDEX program costs were adjusted due an approved engineering change proposal for the program.","","","","","","312.539700","2015-09-30","02/23/2010","08:40:21","447"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","06/01/2010","Internal - Other","The documented changes are a realignment of resources as a result of modifications to the Increment 3 (Option Year 2) Milestone Payment Plan, the addition of ECP 14, FY 2009 deobligations, and modifications to FTE costs to only report IT personnel for FY 2010 and beyond.","","","","","","478.052000","2016-09-30","06/01/2010","14:48:16","691"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","09/16/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Changes are due to realignment of cloud computing within the CJIS investments. In addition, due to the revised definitions of DME and O&M, many of the CJIS investments were realigned.","","","","","","487.463000","2016-09-30","09/17/2010","09:27:09","1360"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","09/16/2010","Correction","Correction to 100% Complete Milestones.","","","","","","487.463070","2016-09-30","09/17/2010","09:34:56","1361"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","10/20/2010","Rebaseline - other","","","","","","","496.332900","2016-09-30","10/28/2010","12:44:01","2119"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","10/28/2010","Rebaseline - other","Improving Data accuracy","","","","","","496.332900","2016-09-30","10/28/2010","14:14:37","2134"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","10/28/2010","Rebaseline - other","Improve Data Quality.","","","","","","494.953070","2016-09-30","10/28/2010","14:35:45","2145"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","10/29/2010","Rebaseline - other","Improve Data Quality.","","","","","","494.953070","2016-09-30","10/29/2010","17:23:37","2237"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","12/17/2010","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Reduced planned FY 2011 O&M cost to add DME milestone N-DEx ECP 15.","","","","","","500.025070","2016-09-30","12/17/2010","09:32:33","2481"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","01/13/2011","Rebaseline - other","Rebaseline of schedule resulting in delay of Increment 3 deployment.","","","","","","500.026070","2016-09-30","01/25/2011","12:03:59","2642"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","03/16/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","There was a revision to the prime contractor's Milestone Payment Plan, impacting Option Year 2, Increment 3 only.  The plan was modified to incorporate changes to the Increment 3 Development period of performance and labor and material changes.  As a result, milestone number 84 N-DEx Increment 3 4th Material Order, was deleted and set to Omit Synchronization in the FITDB.  The amount of this milestone was $1,159,000, and while we had applied an estimated actual cost to this milestone, no payment had been expended. The associated dollars were transferred to labor for Milestone #83 N-DEx Increment 3 Submission of Iteration 2-RCR/DCR/PDR/CDR Workoff.  This milestone planned cost increased from $425,000 reported in the February FITDB to $1,491,000 in March.  The holdback does apply to the labor transfer, thereby increasing milestone number 92 N-DEx Increment 3 Final Term Option Year 2 QASP Evaluation Settlement from $667,000 reported in February to $759,000 in the March FITDB. If milestone number 84 N-DEx Increment 3 4th Material Order is omitted from the FITDB as requested, there should be no increase to the baseline of $1.1M as referenced in the e-mail below.  The total net change to the baseline is zero.","","","","","","500.115070","2016-09-30","03/25/2011","08:23:58","3802"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","10/14/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","There was a revision to the Phase 2 Enhancement project completion date and lifecycle cost in September 2011. This was a result of ongoing contract negotiations. The original date and cost information was the N-DEx Program Office best estimates and were revised based on the contract negotiations.The Operational Data metrics for the PY (FY11) was significantly lower than anticipated partially due to the way N-DEx records are now counted. The CY (FY12) target was adjusted in September 2011 to 170M, based on the PY actual of 118M (current metric in an increase of 50M).","569","Projects, Activities, Metrics","14.900000","","2003-2017","","","10/25/2011","13:32:10","6792"
"011-000003024","434","011","Department of Justice","FBI Law Enforcement National Data Exchange Program (NDEx)","04/23/2012","Correction","Per FBI ITMD (Capitol Planning Unit), the number format on the Operational Perfomance Table (OMB IDs 944 & 945) was changed to millions.","","Metrics","14.900000","","2003-2017","","","04/25/2012","14:25:09","8029"
"011-000002901","1032","011","Department of Justice","DEA Firebird","10/19/2011","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Minimal change to Investment Performance Metrics.","","Metrics","","","1994-2028","","","10/25/2011","13:32:02","6786"
"011-000002916","859","011","Department of Justice","FBI Data Centers","09/16/2010","Rebaseline - adding new iteration","This is the initial submission for this investment as a recntly reclassified Major Investment","","","","","","633.150000","2016-09-30","10/28/2010","13:22:27","2123"
"011-000002916","859","011","Department of Justice","FBI Data Centers","10/28/2010","Rebaseline - other","Improving Data accuracy","","","","","","633.150000","2016-09-30","10/28/2010","13:41:28","2126"
"011-000002916","859","011","Department of Justice","FBI Data Centers","10/28/2010","Rebaseline - other","Improving Data accuracy","","","","","","633.150000","2016-09-30","10/28/2010","14:10:09","2130"
"011-000002916","859","011","Department of Justice","FBI Data Centers","10/29/2010","Rebaseline - other","Improve Data Quality.","","","","","","633.150000","2016-09-30","10/29/2010","08:34:44","2163"
"011-000002916","859","011","Department of Justice","FBI Data Centers","11/23/2010","Rebaseline - change in funding strategy","Though Data Center funding has been reduced to meet other priorities, key modernization objectives for FY 2011 will still be achieved by reducing costs wherever possible.","","","","","","644.091000","2016-09-30","11/23/2010","07:39:01","2332"
"011-000002916","859","011","Department of Justice","FBI Data Centers","01/24/2011","Rebaseline - other","The original cost for Software maintenance was included in the Data Center operations totals.  That cost was backed out of Data center Operations and  separate milestones were created for Software maintenance.  There is no change in overall cost or scope as a result of breaking out contract maintenance - software from O&M.  Correction of a mathematical error yielded lower FY2011 O&M costs and a reduction in the total life cycle cost with no impact on scope or schedule.  ","","","","","","594.397850","2016-09-30","02/03/2011","08:37:26","2726"
"011-000002916","859","011","Department of Justice","FBI Data Centers","02/15/2011","Rebaseline - adding new iteration","Performance Measures realigned to conform with Project Plan in new Budget Year.","","","","","","594.397850","2016-09-30","02/15/2011","14:11:21","2799"
"011-000002916","859","011","Department of Justice","FBI Data Centers","10/18/2011","Correction","There was a correction of the Server Utilization metric with updated numbers.","","Metrics","","","2010-2018","","","10/25/2011","13:32:03","6788"
"011-000002916","859","011","Department of Justice","FBI Data Centers","01/23/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","Additional hardware requirements for this task were developed.  Due  to delays in the ordering process, that equipment has not yet arrived.  It is expected to arrive the week of 01/23.","557,558","Projects, Activities","","","2010-2018","","","01/26/2012","10:03:04","7311"
"011-000002916","859","011","Department of Justice","FBI Data Centers","02/22/2012","Correction","Investment Data updated to reflect changes to operational realities.","558","Projects, Activities, Metrics","","","2010-2018","","","02/22/2012","10:31:36","7379"
"011-000002916","859","011","Department of Justice","FBI Data Centers","06/14/2012","Replan - planned change with minimal change in overall scope, cost or schedule objectives","There is a minimal impact of change due to the storage issues.  With the storage in hand, we are still on pace to meet our goal of being completed with the Data Center relocation by 09/30/12.","558","Projects, Activities","","","2010-2018","","","06/25/2012","11:21:58","8467"
"012-000005013","628","012","Department of Labor","PBGC - IT Infrastructure","09/09/2010","Rebaseline - other","New 2012 plan","","","","","","404.288000","2015-02-28","09/14/2010","21:39:07","1197"
"012-000005013","628","012","Department of Labor","PBGC - IT Infrastructure","09/09/2010","Correction","Corrected Planned Percent Complete and Actual Percent Complete for several milestones. ","","","","","","364.641000","2015-02-28","11/30/2010","18:01:25","2423"
"012-000005013","628","012","Department of Labor","PBGC - IT Infrastructure","10/26/2011","Correction","To correct actual costs entries entered incrementially with submission of Ex 300B  Sept 2011 - Per OMB's direction, actual costs should only be entered upon activity completion.","542,543,544","Projects, Activities","","","2003-2017","","","10/27/2011","10:04:16","6836"
"012-000005013","628","012","Department of Labor","PBGC - IT Infrastructure","10/26/2011","Correction","To correct actual costs entries entered incrementally with submission of Ex 300B  Sept 2011 - Per OMB's direction, actual costs should only be entered upon activity completion.","","","","","2003-2017","","","10/27/2011","11:10:38","6839"
"012-000005003","627","012","Department of Labor","PBGC - Participant Services (Benefit Administration)","09/15/2010","Rebaseline - other","New 2012 plan","","","","","","224.570000","2016-09-30","09/15/2010","11:04:48","1204"
"012-000005003","627","012","Department of Labor","PBGC - Participant Services (Benefit Administration)","09/15/2010","Correction","Corrected Planned Percent Complete for several milestones.  Also corrected Actual Completion Date for one milestone.","","","","","","226.009000","2016-09-30","11/30/2010","15:27:41","2406"
