"Unique Investment Identifier","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","PIID/Ref PIID","Planned Acquisitions","Updated Date","Updated Time"
005-000000018,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","AMS-Web-Based Supply Chain Management (WBSCM)",GSQ0016AJ0002,NO,09/21/2018,17:53:31
009-000406205,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Medicare Admin Issues Tracking & Reporting of Ops (MAISTRO) (NM)",,,11/30/2018,21:10:20
009-000406206,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Enterprise Records Management (NM)",,,11/30/2018,21:10:20
009-000406207,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Knowledge Sharing & Doc Image (NM)",,,11/30/2018,21:10:20
009-000406210,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS PIV & Credential Support (NM)",,,11/30/2018,21:10:20
009-000406211,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Clarity (NM)",,,11/30/2018,21:10:20
009-000406214,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Part D Coverage Gap (NM)",,,11/30/2018,21:10:20
009-000406215,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Payment Recovery Information System (PRIS) (NM)",,,11/30/2018,21:10:21
009-000406216,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Grouper (NM)",,,11/30/2018,21:10:21
009-000406218,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS HIPAA-EDI (NM)",,,11/30/2018,21:10:21
009-000406219,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Healthcare Cost Report Information Systems (HCRIS) (NM)",,,11/30/2018,21:10:21
009-000406223,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS HCPCS Coding Reform (NM)",,,11/30/2018,21:10:21
009-000406224,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Clinical Diagnostic Lab Test (CDLT) (NM)",,,11/30/2018,21:10:21
009-000406235,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Administrative Technology Solution (CATS) (NM)",,,11/30/2018,21:10:21
009-000406236,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Assistive Technology (NM)",,,11/30/2018,21:10:21
009-000406237,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Actuary IT Support Services (NM)",,,11/30/2018,21:10:22
009-000406241,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Digital Asset Management (NM)",,,11/30/2018,21:10:22
009-000406242,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Medicaid/CHIP/BHP Website (NM)",,,11/30/2018,21:10:22
009-000406252,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Administrative Support Systems (NM)",,,11/30/2018,21:10:22
009-000406253,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS RECON (Relationships, Events & Outreach Network (NM)",,,11/30/2018,21:10:22
009-000406254,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Data Navigator (NM)",,,11/30/2018,21:10:22
009-000406255,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Performance Management System (NM)",,,11/30/2018,21:10:22
009-000406256,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Human Resources IT Support (NM)",,,11/30/2018,21:10:22
009-000406257,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Salesforce Enterprise Initiative (SEI) (NM)",,,11/30/2018,21:10:23
009-000406258,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Controlled Access Facility (NM)",,,11/30/2018,21:10:23
009-000406261,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS National Plan and Provider Enumeration System (NPPES) (NM)",,,11/30/2018,21:10:23
009-000406263,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Provider Enrollment (PECOS 2.0)",HHSM-500-2017-00055G,NO,11/30/2018,21:10:23
009-000406264,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Internet Quality Improvement and Evaluation System (iQIES)",HHSM500201500252C|HHSN316201200098W|HHSN316201200084W|HHSM-500-2016-00013B,YES,11/30/2018,21:10:23
009-000406280,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI EA, Capital Planning, IT Management & Oversight",,,11/30/2018,21:10:23
009-000406284,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Digital Signage (NM)",,,11/30/2018,21:10:23
009-000406292,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Systems & Apps Worksheet",,,11/30/2018,21:10:23
009-000406303,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NEI Research Knowledge Dissemination Support Tools",,,11/30/2018,21:10:24
009-000406309,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NIAID Laboratory Automation, Data Management, and Scientific Collaboration Infrastructure",,,11/30/2018,21:10:24
009-000406342,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","AHRQ Comprehensive Unit-Based Safety Program (CUSP) for Improving Surgical Care and Recovery",,,11/30/2018,21:10:24
009-000406458,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Comprehensive Acquisition Management (NM)",,,11/30/2018,21:10:24
009-000406908,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","HRSA - BHW CHGME Portal",,,11/30/2018,21:10:24
009-000406970,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI DCCPS Biomedical Computing Support Services",,,11/30/2018,21:10:25
009-000406972,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI DCP Biomedical Informatics Support",,,11/30/2018,21:10:25
009-000407437,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Medicare ACO Track 1+ Model (NM)",,,11/30/2018,21:10:25
009-000407467,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Cancer Research Data Commons",,,11/30/2018,21:10:25
009-000407475,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CMHS Cooperative Agreements to Benefit Homeless Individuals CABHI",,,11/30/2018,21:10:25
009-000407564,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Central Data Abstraction Tool (CDAT) Modernized (NM)",,,11/30/2018,21:10:25
009-000408244,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - OPPI Center for Behavioral Health Financing Reform and Innovation (CFRI)",,,11/30/2018,21:10:26
009-000409350,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CMHS Bringing Recovery Supports to Scale Technical Assistance Center (BRSS TACS)",,,11/30/2018,21:10:26
009-000409885,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Encounter Data System Program",HHSM500T0001|HHSM500201700111G,YES,11/30/2018,21:10:26
009-000410126,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CMHS Mental Health Block Grant Ten Percent Set Aside",,,11/30/2018,21:10:26
009-000410156,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CMHS GAINS  Center for Behavioral Health and Justice Transformation Center",,,11/30/2018,21:10:26
009-000410302,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CSAP Sober Truth on Preventing Underage Drinking Act Activities (STOP)",,,11/30/2018,21:10:26
009-000410954,"04 - Funding Transfer","01 - Not Applicable","	009","Department of Health and Human Services","E-Gov LoB Freedom of Information Act (FOIA) Portal Initiative- HHS Contribution",,,11/30/2018,21:10:26
009-000412874,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CDC NCHS Healthcare Electronic Health Record",,,11/30/2018,21:10:27
009-000415584,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CBHSQ Drug Abuse Warning Network (DAWN)",,,11/30/2018,21:10:27
009-000415586,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - OPPI Evidence Based Resource Development",,,11/30/2018,21:10:27
009-000419471,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","SAMHSA - CBHSQ Website",,,11/30/2018,21:10:27
009-000419498,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Cancer Research Data Commons Framework",,,11/30/2018,21:10:28
009-000419500,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Frederick National Labs Administrative Systems",,,11/30/2018,21:10:28
009-000419501,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Information Technology Systems",,,11/30/2018,21:10:28
009-000419502,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Sci Mission Biomedical Infrastructure",,,11/30/2018,21:10:28
009-000419504,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Sci Mission Clinical Trials Reporting",,,11/30/2018,21:10:28
009-000419505,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","NIH NCI Technology Transfer Systems",,,11/30/2018,21:10:28
009-000419507,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Identity Management (IDM)",,NO,11/30/2018,21:10:28
009-000419519,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","FDA OC Activity Management, Workflow and Automation",HHSF223201810084G|HHSF22318001,,03/08/2019,18:02:00
009-000420295,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Blue Button 2.0 (NM)",,,11/30/2018,21:10:29
009-000420316,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Consolidated Budget System (NM)",,,11/30/2018,21:10:29
009-000420349,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS GrantSolutions Integration (NM)",,,11/30/2018,21:10:29
009-000420452,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS ServiceNow (NM)",,,11/30/2018,21:10:29
009-000428405,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Beneficiary Claims Data API (BCDA) (NM)",,,03/08/2019,18:02:05
009-000429988,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS MAC Scorecard Website Party (NM)",,,03/08/2019,18:02:05
009-000429991,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Acquisition Lifecycle Modernization (CALM) (NM)",,,03/08/2019,18:02:05
009-000430211,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Data Extract System (DESY) 2.0 (NM)",,,03/08/2019,18:02:05
009-000430546,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS FAI Testing Int Appeals (NM)",,,03/08/2019,18:02:05
009-000430548,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Integrated Data (NM)",,,03/08/2019,18:02:06
009-000430550,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Encounter Data Collection (NM)",,,03/08/2019,18:02:06
009-000430646,"02 - Non-major IT","01 - Not Applicable","	009","Department of Health and Human Services","CMS Medicare Payment Systems Modernization (MPSM) (NM)",,,03/08/2019,18:02:06
009-999990020,"04 - Funding Transfer","01 - Not Applicable","	009","Department of Health and Human Services","E-Gov Gov Benefits - HHS contribution",,,11/30/2018,21:09:15
009-999990060,"04 - Funding Transfer","01 - Not Applicable","	009","Department of Health and Human Services","E-Gov E-Rulemaking - HHS Contribution",,,11/30/2018,21:09:16
009-999990160,"01 - Major IT","01 - Not Applicable","	009","Department of Health and Human Services","Grants.gov - Find and Apply",ASA-18-IAA274|HHSN316201200078W|GS35F0024R/D15PD00971|IPIAA18OS213748|HHSN316201200008W|XCT18035-001-00,YES,11/30/2018,21:09:13
009-999991100,"04 - Funding Transfer","01 - Not Applicable","	009","Department of Health and Human Services","E-gov LoB Financial Management  - HHS contribution",,,11/30/2018,21:09:17
009-999991200,"04 - Funding Transfer","01 - Not Applicable","	009","Department of Health and Human Services","E-gov LoB Human Resource Management - HHS contribution",,,11/30/2018,21:09:17
009-999993100,"04 - Funding Transfer","01 - Not Applicable","	009","Department of Health and Human Services","E-gov LoB Geospatial - HHS Contribution",,,11/30/2018,21:09:17
009-999993200,"04 - Funding Transfer","01 - Not Applicable","	009","Department of Health and Human Services","E-Gov LoB Budget Formulation and Execution - HHS Contribution",,,11/30/2018,21:09:23
009-999994100,"04 - Funding Transfer","01 - Not Applicable","	009","Department of Health and Human Services","E-Gov Disaster Assistance Improvement Plan - HHS contribution",,,11/30/2018,21:09:29
010-000000069,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BIA - National Indian Oil & Gas, Energy and Minerals System (NIOGEMS)",IND17PC00190,NO,03/05/2019,13:27:24
010-000000070,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BIA - National Irrigation Information Management System (NIIMS)",INA16PC00023|INA16PD00544,YES,09/21/2018,14:10:21
010-000000077,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BIA - Trust Asset Accounting Management System (TAAMS)",INA14PC00103,NO,09/21/2018,14:10:59
010-000000083,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BIE - Native American Student Information System (NASIS)",INA13PC00105,NO,09/21/2018,10:43:40
010-000000086,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BLM - Automated Fluid Mineral Support System (AFMSS)",INL16PD01206|INL17PD00186,YES,09/21/2018,10:44:16
010-000000094,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BLM - Collections and Billings System (CBS)",47QTCA18D0081|INL15PD01403|INL17PD00537,YES,03/05/2019,13:27:25
010-000000116,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BLM - Incident Qualifications and Certification System (IQCS)",140L3718F0094|INL15PD00565|INL16PD00516|INL17PD00798,NO,03/05/2019,13:27:25
010-000000156,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning)",INL15PD00626|INL17PX00901,YES,09/21/2018,10:45:49
010-000000158,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BLM - Legacy Rehost (LR2000)",47QTCA18D0081|INL15PD00643,YES,03/05/2019,13:27:26
010-000000226,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BSEE - Technical Information Management System (TIMS)",INE15PB00018,YES,03/05/2019,13:45:13
010-000000279,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - CARMA (Capital Asset and Resource Management Application)",IND14PD01152|INR15PD00635|INR17PD00769,NO,03/05/2019,13:45:12
010-000000287,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - CRSP ICS (Colorado River Storage Project Industrial Control Systems)",140R4018P0008,NO,09/21/2018,10:53:33
010-000000288,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - CVACS (Central Valley Automated Control System)",INR16PX00437,NO,09/21/2018,10:54:12
010-000000292,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - GCPO ICS (Grand Coulee Power Office Industrial Control Systems)",R14PG00031|R15PG00032,NO,03/05/2019,13:45:13
010-000000294,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - LCD ICS (Lower Colorado Dams Industrial Control Systems)",140R3018F0036,YES,09/21/2018,10:56:16
010-000000299,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - RSAMS (Reclamation's Services and Applications for Mission Support)",INR12PX80380|INR15PD00573|INR15PD00574|INR15PD00631|INR15PD00635|INR16PD01052|INR17PX00325,NO,03/05/2019,13:45:13
010-000000310,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Enterprise Facilities Maintenance & Management System (FMMS)",IND14PD01152,NO,09/21/2018,10:59:01
010-000000316,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Financial and Business Management System (FBMS)",140D0418F0172|IND13PD00827|IND14PD00370|IND15PD00425|IND15PD00847|IND15PD00988|IND15PD01120|IND15PD01241|IND15PD01245|IND15PD01277|IND16PD00377|IND16PD00378|IND16PD00379|IND16PX00284|IND16PX00299|IND17PB00172|IND17PD00830|IND17PD00958|IND17PD00960|IND17PD01031|IND17PD01038|IND17PD01160,NO,03/05/2019,13:45:14
010-000000319,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)",IND15PD00567|IND16PD00334|IND16PD00385,YES,03/05/2019,13:58:01
010-000000363,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Integrated Reporting of Wildland-Fire Information (IRWIN)",IND14PD00415|IND17PD01238,YES,03/05/2019,13:58:02
010-000000368,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - National Fire Plan Operations and Reporting System (NFPORS)",GS35F0306J|IND15PD01262,NO,03/05/2019,13:58:02
010-000000406,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","FWS - Environmental Conservation Online System (ECOS)",140F0918F0090|140F0918P0079,NO,03/05/2019,13:58:02
010-000000456,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","FWS - LEMIS",INF14PD01739,NO,03/05/2019,13:58:02
010-000000553,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","NPS - National Fee Collection Point of Sale (POS) System",IN0P2118C0009|INP16PD01935,YES,03/05/2019,13:58:03
010-000000578,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","NPS - PPFL - Enterprise Facility Management Software System",140P2118F0117|140P2118F0121|140P2118F0126|140P2118F0132|140P2118F0143|140P2118F0188|140P2118F0230|140P2118F0240|140P2118F0241|140P2118F0253|140P2118F0256|INP15PC00896|INP16PD01464|INP16PX01989|INP18PG00183,NO,03/05/2019,13:58:03
010-000000703,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","OST - Accounting Reconciliation Tool (ART)",IND14PA00028|IND17PC00449,NO,09/21/2018,11:13:31
010-000000710,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","ONRR - Minerals Revenue Management Support System (MRMSS)",,NO,03/05/2019,13:58:03
010-000000934,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","OST - Trust Funds Accounting System (TFAS)",140D7018C0001|140D7018C0003|IND08PC75249|IND17PA00059|IND17PC00312,NO,03/05/2019,13:58:04
010-000000987,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - HAZ - Advanced National Seismic System (ANSS)",ING0218D005|ING0218F0329|ING0218F0382|ING14PD00305|ING15PC00043|ING15PC00067|ING16PC00070|ING17PC00018|ING17PC00048|ING17PD00304,NO,03/05/2019,13:58:04
010-000001047,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",140G0118F0285|140G0118F0290|140G0118F0560|140G0118F0605|ING17PD00425|ING17PD00769,NO,03/05/2019,13:58:04
010-000001049,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - WAT - National Water Information System (NWIS)",ING16PD00397,NO,03/05/2019,13:58:05
010-000001050,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",140G0218D0001|140G0218F0093|140G0218F0115|140G0218F0120,NO,03/05/2019,13:58:04
010-000001985,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","NPS - Fee Program Point of Sale",140P2118A0018,YES,03/05/2019,13:58:03
010-000002377,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BLM - Mineral and Land Records System (MLRS)",,YES,03/05/2019,13:27:26
010-999991141,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - IBC FMLoB Shared Service Provider",140D0419D0001|140D0419D0002|140D0419D0003|140D0419D0004|140D0419D0005|140D0419D0006|IND14PD00661|IND15PD00784|IND15PD00990|IND15PD01292|IND15PD01309|IND15PX00060|IND16PD00310|IND16PD00631|IND16PD00708|IND17PD00339|IND17PX00081,NO,03/05/2019,13:45:14
010-999991241,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - IBC Shared Service Center (HRLOB)",D17PS00746|IND16PD00747|IND16PD00759|IND16PD00783|IND16PD01033|IND16PX00112|IND17PC00264|IND17PC00495,NO,03/05/2019,13:45:15
010-999993100,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Geospatial Platform and Shared Services",ING14PC00051|ING14PC00053|ING14PC00054|ING16PC00010,NO,09/21/2018,11:01:33
011-000001126,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","JMD Unified Financial Management System (UFMS)",DJJ26970005|DJJ27660001|DJJ26970001|DJJ26970002|15JPSS18FPZM00078|15JPSS18FPZM00077|DJJ26160001|DJJ26970009|DJJ26160006|DJJ26970003|15JPSS18FPZM00024|DJJ26970010|DJJ26970011|15JPSS18FPZM00118,YES,09/20/2018,15:34:46
011-000002016,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI Law Enforcement Enterprise Portal (LEEP)",DJF171200G0003217,YES,09/20/2018,16:12:15
011-000002501,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI Combined DNA Index System (CODIS)",DJFA0D005925|DJFA2D201625|DJFJFBI12283|DJF141200G0004258|DJF141299G0011880|DJF150700PR0019430|DJF151200V0010613|DJF171200D0002411|DJF171200G0003217,YES,09/20/2018,16:06:17
011-000002502,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI National Crime Information Center (NCIC)",DJFA2G1205600|DJF161200D0002219|DJF161200G0006073|DJF-17-1200-D-0000166|15F06718P0002703|15F06718P0003420,YES,09/20/2018,16:14:09
011-000002616,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI National Instant Criminal Background Check System (NICS)",DJFA2G201900|DJF131200P0000015|DJF141200G0009801|DJF141200G0009821|DJF141200G0009829|GS00Q09BGD0041,NO,09/20/2018,16:15:41
011-000002705,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","BOP SENTRY",,YES,09/20/2018,15:42:46
011-000002901,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","DEA Firebird",DJD15HQG0024|DJD11HQE0045|DJD12HQE0040|D16SI0005|DJD15HQE0294|DJD14HQE0244|DJD13HQE0184|DJD-16-HQ-E-0306|D-18-SI-0001|DJD-17-HQ-E-0284,YES,09/20/2018,15:44:20
011-000002913,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","BOP BOPNet",,YES,09/20/2018,15:59:38
011-000003024,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI National Data Exchange Program (NDEx)",DJF171200G0003217|15F06718F0006119,YES,09/20/2018,16:14:41
011-000003177,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI Terrorist Screening System (TSS)",,NO,09/20/2018,16:18:54
011-000003211,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI Sentinel",DJF151200P0009431|DJF141200P0007706|DJF151200E0001155|DJF151200G0010171|DJF151200G0010709,YES,09/20/2018,16:18:17
011-000003367,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI Uniform Crime Reporting (UCR)",GS00Q09BGD004|GS00Q09BGD004|DJF-16-1200-G-0006943|DJF-13-1200-G-0000677|DJF-16-1200-D-0002441|DJF-16-1200-P-0003983,YES,09/20/2018,16:19:34
011-000003372,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI Enterprise Data Analytics Program (EDAP)",,NO,09/20/2018,16:06:45
011-000003373,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI Guardian",DJF151200P0008720,YES,09/20/2018,16:07:24
011-000003457,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI Next Generation Identification (NGI)",DJFA2M0804111|JFB120|GS00Q09BGD0041,NO,09/20/2018,16:17:05
011-000003618,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","USMS Mission Modernization - Capture",GSQ0016AJ0077|DJM-14-A41-G-0062|DJM-16-A41-G-0028,NO,09/20/2018,15:28:28
011-000003635,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","FBI Law Enforcement Online (LEO) Services",DJF171200G0003217,YES,09/20/2018,16:12:47
011-000003647,"01 - Major IT","01 - Not Applicable","	011","Department of Justice","EOIR Courts and Appeals System (ECAS)",DJJ11-C-2160-0002|DJJ11-C-2154|DJJ-16-PSS-E-2683|DJU4600004633|GS-10F-003CA,YES,09/20/2018,17:17:15
012-000000040,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","Workforce Integrated Performance System (WIPS)",1605DC18F00244|1605DC17F00069|1605DC18F00110|1605DC18F00322,NO,11/28/2018,20:00:48
012-000000052,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","Electronic Grants Administration and Management System (EGrAMS)",1605DC18F00105|1605DC18F00217,NO,09/19/2018,13:43:58
012-000001010,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)",DOLOPS14F00032|1605DC18C0011|1605DC18P00073|1605DC17F00152|DOLJ149635538|1605DC18F00042,YES,09/19/2018,13:57:26
012-000001015,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","New Core Financial Management System (NCFMS)",DOLOPS16F00063|DOLOPS16F00019,YES,09/19/2018,14:03:20
012-000001025,"01 - Major IT","01 - Not Applicable","	012","Department of Labor",EFAST2,"DOLJ089326954|DOLOPS16A0005|DOLOPS16D0020|47QTCH18D0040  contract number",NO,01/31/2019,19:56:46
012-000001055,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","Consumer Price Index (CPI) Maintenance",DOLBLS14A0002,YES,09/19/2018,13:40:41
012-000002015,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","Integrated Federal Employees' Compensation System (iFECS)",DOLB139E34527,YES,09/19/2018,14:10:02
012-000002045,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","Foreign Labor Certification Systems (FLCS)",1605DC18F00044|1605DC18F00144|1605DC17T00072,YES,09/19/2018,13:51:02
012-000002085,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","MSHA Standardized Information System (MSIS)",1645DC19F00001|1645BC19F00007,NO,01/31/2019,19:56:48
012-000002630,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","OSHA - Information System (OIS)",DOLOPS16P00151|1605DC18P00086|1605DC17F00093|DOLOPS14F00112|1605DC17F00017|DOLOPS17F00010|1605DC18P00055|1605DC18P00058,YES,09/19/2018,14:07:39
012-000003535,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","Industrial Prices Systems (IPS)",DOLBLS14A0001,YES,09/19/2018,13:54:38
012-000003615,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","OWCP Workers' Compensation System (OWCS)",DOLB139E34527|1605DC17A0002,YES,09/19/2018,11:55:30
012-000005001,"01 - Major IT","01 - Not Applicable","	012","Department of Labor","PBGC_Financial Management.",PBGC01FA150005|PBGC01FA170002|PBGC01FA160001|16PBGC17T5009|16PBGC18F0023|16PBGC18C0012,NO,09/13/2018,12:04:00
