"Agency Code (Investment)","Agency Name (Investment)","Bureau Code (Investment)","Parent UII","Parent Investment Title","Funding Source UII","Line Item Descriptor","Budget Account Code","Budget Account Name","Agency Code (from Budget Account)","Bureau Code (from Budget Account)","Alternative Bureau Code","Total IT Spending FY2018 (PY) ($ M)","Total IT Spending FY2019 (CY) ($ M)","Total IT Spending FY2020 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","DME BY BudgetAuthority ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","O&M BY BudgetAuthority ($ M)","IT Portfolio Funding Sources ID","IT Portfolio ID","Updated Date","Updated Time"
"	010","Department of the Interior","	00",010-000000220,"DOI - E-Travel",010-000000220,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.002,0.0019,0.001989,0,0,0,0,0,0,0,0.002,0,0.0019,0,0.001989,0,0.001989,826649,606534,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000000220,"DOI - E-Travel",010-000000220,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.005999,0.005099,0.005518,0,0,0,0,0,0,0,0.005999,0,0.005099,0,0.005518,0,0.005518,826650,606534,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000000220,"DOI - E-Travel",010-000000220,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.180982,0.178282,0.179859,0,0,0,0,0,0,0,0.180982,0,0.178282,0,0.179859,0,0.179859,826651,606534,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000000220,"DOI - E-Travel",010-000000220,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.0008,0.000486,0,0,0,0,0,0,0,0,0,0.0008,0,0.000486,0,0.000486,826652,606534,2019-04-03,18:52:02
"	010","Department of the Interior","	12",010-000001050,"USGS - CSS - TNM Reengineering Project",010-000001050,"	04",010-12-0804,"Surveys, Investigations, and Research","	010","	12",,4.829,4.829,4.829,0.175,0,0.175,0,0.175,0,0.175,4.654,0,4.654,0,4.654,0,4.654,826653,606535,2019-04-03,18:52:02
"	010","Department of the Interior","	24",010-000000495,"NPS - CR State, Tribal and Local Plans and Grants System (formerly: HPS Grants Application)",010-000000495,"	04",010-24-1036,"Operation of the National Park System","	010","	24",,0.1778,0.2835,0.505,0.1593,0,0.26,0,0.4,0,0.4,0.0185,0,0.0235,0,0.105,0,0.105,826654,606536,2019-04-03,18:52:02
"	010","Department of the Interior","	04",010-000000109,"BLM - Forest Vegetation Information System (FORVIS)",010-000000109,"	04",010-04-1109,"Management of Lands and Resources","	010","	04",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826655,606537,2019-04-03,18:52:02
"	010","Department of the Interior","	04",010-000000109,"BLM - Forest Vegetation Information System (FORVIS)",010-000000109,"	04",010-04-1116,"Oregon and California Grant Lands","	010","	04",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826656,606537,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001417,"OS - Business Integration Modular Leverage Projects",010-000001417,"	04",010-95-4523,"Working Capital Fund","	010","	95",,1.614,1.614,1.614,1.614,0,1.614,0,1.614,0,1.614,0,0,0,0,0,0,0,826657,606538,2019-04-03,18:52:02
"	010","Department of the Interior","	76",010-000000074,"BIA - Self-Governance Management Database (SGDB)",010-000000074,"	04",010-76-2100,"Operation of Indian Programs","	010","	76",,0.021,0.096,0.096,0,0,0.075,0,0.075,0,0.075,0.021,0,0.021,0,0.021,0,0.021,826661,606540,2019-04-03,18:52:02
"	010","Department of the Interior","	18",010-000002379,"FWS - Online Harvest Diary Surveys",010-000002379,"	04",010-18-1611,"Resource Management","	010","	18",,0.371146,0.371146,0.371146,0,0,0,0,0,0,0,0.371146,0,0.371146,0,0.371146,0,0.371146,826662,606541,2019-04-03,18:52:02
"	010","Department of the Interior","	18",010-000000458,"FWS - National Wetlands Inventory (NWI)",010-000000458,"	04",010-18-1611,"Resource Management","	010","	18",,0.413,0.4323,0.4257,0,0,0,0,0,0,0,0.413,0,0.4323,0,0.4257,0,0.4257,826663,606542,2019-04-03,18:52:02
"	010","Department of the Interior","	90",010-000000934,"OST - Trust Funds Accounting System (TFAS)",010-000000934,"	04",010-90-0120,"Federal Trust Programs","	010","	90",,14.09447,14.09447,5,0,0,0,0,0,0,0,14.09447,0,14.09447,0,5,0,5,826683,606546,2019-04-03,18:52:02
"	010","Department of the Interior","	22",010-000002311,"BSEE - Enterprise Data Modeling/Dictionary Tool",010-000002311,"	04",010-22-1700,"Offshore Safety and Environmental Enforcement","	010","	22",,0,0,0.04523,0,0,0,0,0,0,0,0,0,0,0,0.04523,0,0.04523,826688,606548,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.006102,0,0,0,0,0,0,0,0,0,0,0,0.006102,0,0.006102,826689,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,5.4E-5,0,0,0,0,0,0,0,0,0,0,0,5.4E-5,0,5.4E-5,826690,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.007992,0,0,0,0,0,0,0,0,0,0,0,0.007992,0,0.007992,826691,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.000486,0,0,0,0,0,0,0,0,0,0,0,0.000486,0,0.000486,826692,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.004536,0,0,0,0,0,0,0,0,0,0,0,0.004536,0,0.004536,826693,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.000756,0,0,0,0,0,0,0,0,0,0,0,0.000756,0,0.000756,826694,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.00729,0,0,0,0,0,0,0,0,0,0,0,0.00729,0,0.00729,826695,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.00081,0,0,0,0,0,0,0,0,0,0,0,0.00081,0,0.00081,826696,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.016254,0,0,0,0,0,0,0,0,0,0,0,0.016254,0,0.016254,826697,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.000216,0,0,0,0,0,0,0,0,0,0,0,0.000216,0,0.000216,826698,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,5.4E-5,0,0,0,0,0,0,0,0,0,0,0,5.4E-5,0,5.4E-5,826699,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.000216,0,0,0,0,0,0,0,0,0,0,0,0.000216,0,0.000216,826700,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.00054,0,0,0,0,0,0,0,0,0,0,0,0.00054,0,0.00054,826701,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.00081,0,0,0,0,0,0,0,0,0,0,0,0.00081,0,0.00081,826702,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.000378,0,0,0,0,0,0,0,0,0,0,0,0.000378,0,0.000378,826703,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.000486,0,0,0,0,0,0,0,0,0,0,0,0.000486,0,0.000486,826704,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,5.4E-5,0,0,0,0,0,0,0,0,0,0,0,5.4E-5,0,5.4E-5,826705,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.000378,0,0,0,0,0,0,0,0,0,0,0,0.000378,0,0.000378,826706,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000002551,"DOI - Emergency Response Knowledge Management System",010-000002551,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0.006588,0,0,0,0,0,0,0,0,0,0,0,0.006588,0,0.006588,826707,606549,2019-04-03,18:52:02
"	010","Department of the Interior","	24",010-000001980,"NPS - W&I HR Benefits Calculation and Tracking Systems",010-000001980,"	04",010-24-1036,"Operation of the National Park System","	010","	24",,0.222,0.245,0.25,0,0,0,0,0,0,0,0.222,0,0.245,0,0.25,0,0.25,826712,606551,2019-04-03,18:52:02
"	010","Department of the Interior","	18",010-000000394,"FWS - Budget Allocation System (BAS)",010-000000394,"	04",010-18-1611,"Resource Management","	010","	18",,0.15,0.15,0.325,0,0,0,0,0.2,0,0.2,0.15,0,0.15,0,0.125,0,0.125,826713,606552,2019-04-03,18:52:02
"	010","Department of the Interior","	24",010-000000588,"NPS - Uniform Allowance Authorization (UAA) System",010-000000588,"	04",010-24-1036,"Operation of the National Park System","	010","	24",,0.43,0.06,0,0.37,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0,826714,606553,2019-04-03,18:52:02
"	010","Department of the Interior","	24",010-000000507,"NPS - National Geospatial Program",010-000000507,"	04",010-24-1036,"Operation of the National Park System","	010","	24",,2.051,2.25,3.1902,0.928,0,1.5,0,1.6522,0,1.6522,1.123,0,0.75,0,1.538,0,1.538,826715,606554,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826716,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.039253,0.040743,0,0,0,0,0,0,0,0,0,0.039253,0,0.040743,0,0.040743,826717,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.000354,0.000361,0,0,0,0,0,0,0,0,0,0.000354,0,0.000361,0,0.000361,826718,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.051276,0.053363,0,0,0,0,0,0,0,0,0,0.051276,0,0.053363,0,0.053363,826719,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.003183,0.003245,0,0,0,0,0,0,0,0,0,0.003183,0,0.003245,0,0.003245,826720,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.029351,0.030287,0,0,0,0,0,0,0,0,0,0.029351,0,0.030287,0,0.030287,826721,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.004951,0.005048,0,0,0,0,0,0,0,0,0,0.004951,0,0.005048,0,0.005048,826722,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826723,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826724,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.04774,0.048676,0,0,0,0,0,0,0,0,0,0.04774,0,0.048676,0,0.048676,826725,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.004951,0.005408,0,0,0,0,0,0,0,0,0,0.004951,0,0.005408,0,0.005408,826726,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.000707,0,0,0,0,0,0,0,0,0,0,0.000707,0,0,0,0,826727,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.108211,0.108529,0,0,0,0,0,0,0,0,0,0.108211,0,0.108529,0,0.108529,826728,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826729,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.001415,0.001442,0,0,0,0,0,0,0,0,0,0.001415,0,0.001442,0,0.001442,826730,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.000354,0.000361,0,0,0,0,0,0,0,0,0,0.000354,0,0.000361,0,0.000361,826731,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.001415,0.001442,0,0,0,0,0,0,0,0,0,0.001415,0,0.001442,0,0.001442,826732,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.003536,0.003606,0,0,0,0,0,0,0,0,0,0.003536,0,0.003606,0,0.003606,826733,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.005658,0.005408,0,0,0,0,0,0,0,0,0,0.005658,0,0.005408,0,0.005408,826734,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.002475,0.002524,0,0,0,0,0,0,0,0,0,0.002475,0,0.002524,0,0.002524,826735,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.003183,0.003245,0,0,0,0,0,0,0,0,0,0.003183,0,0.003245,0,0.003245,826736,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.000354,0.000361,0,0,0,0,0,0,0,0,0,0.000354,0,0.000361,0,0.000361,826737,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-86-0107,"Salaries and Expenses","	010","	86",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826738,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.324505,0.002475,0.002524,0,0,0,0,0,0,0,0.324505,0,0.002475,0,0.002524,0,0.002524,826739,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.042789,0.043988,0,0,0,0,0,0,0,0,0,0.042789,0,0.043988,0,0.043988,826740,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	86",010-000000947,"DOI - Ethics Financial Disclosure System",010-000000947,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826741,606555,2019-04-03,18:52:02
"	010","Department of the Interior","	76",010-000000012,"BIA - Electric Utility Management System (EUMS)",010-000000012,"	04",010-76-9925,"Miscellaneous Permanent Appropriations","	010","	76",,0.546193,0.099588,0.171622,0,0,0,0,0,0,0,0.546193,0,0.099588,0,0.171622,0,0.171622,826749,606557,2019-04-03,18:52:02
"	010","Department of the Interior","	24",010-000001765,"NPS - CR Archeological Site Management Information System (ASMIS)",010-000001765,"	04",010-24-1036,"Operation of the National Park System","	010","	24",,0.1325,0.18,0,0.05,0,0.1,0,0,0,0,0.0825,0,0.08,0,0,0,0,826750,606558,2019-04-03,18:52:02
"	010","Department of the Interior","	24",010-000000498,"NPS - CR National Register & Landmarks Application (formerly: CR National Register Information System)",010-000000498,"	04",010-24-1036,"Operation of the National Park System","	010","	24",,0.475,0.64,0.72,0.3,0,0.4,0,0.4,0,0.4,0.175,0,0.24,0,0.32,0,0.32,826751,606559,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.000958,0.001055,0.001773,0,0,0,0,0,0,0,0.000958,0,0.001055,0,0.001773,0,0.001773,826752,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.0004,0.0004,0,0,0,0,0,0,0,0,0,0.0004,0,0.0004,0,0.0004,826753,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.362771,0.371205,0.17406,0,0,0,0,0,0,0,0.362771,0,0.371205,0,0.17406,0,0.17406,826754,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.016471,0.035109,0.035109,0,0,0,0,0,0,0,0.016471,0,0.035109,0,0.035109,0,0.035109,826755,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.165186,0.219348,0.233813,0,0,0,0,0,0,0,0.165186,0,0.219348,0,0.233813,0,0.233813,826756,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.022,0.06858,0.06858,0,0,0,0,0,0,0,0.022,0,0.06858,0,0.06858,0,0.06858,826757,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.010055,0.01037,0.012306,0,0,0,0,0,0,0,0.010055,0,0.01037,0,0.012306,0,0.012306,826758,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.001148,0.0024,0.0024,0,0,0,0,0,0,0,0.001148,0,0.0024,0,0.0024,0,0.0024,826759,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.091451,0.09491,0.114267,0,0,0,0,0,0,0,0.091451,0,0.09491,0,0.114267,0,0.114267,826760,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.010792,0.0233,0.0233,0,0,0,0,0,0,0,0.010792,0,0.0233,0,0.0233,0,0.0233,826761,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.017556,0.018455,0.02108,0,0,0,0,0,0,0,0.017556,0,0.018455,0,0.02108,0,0.02108,826762,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.002022,0.0045,0.0045,0,0,0,0,0,0,0,0.002022,0,0.0045,0,0.0045,0,0.0045,826763,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.000879,0,0,0,0,0,0,0,0,0,0,0.000879,0,0,0,0,826764,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.211789,0.237979,0.269019,0,0,0,0,0,0,0,0.211789,0,0.237979,0,0.269019,0,0.269019,826765,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.02538,0.0543,0.0543,0,0,0,0,0,0,0,0.02538,0,0.0543,0,0.0543,0,0.0543,826766,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.021227,0.019509,0,0,0,0,0,0,0,0,0.021227,0,0.019509,0,0,0,0,826767,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826768,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.001756,0.001758,0,0,0,0,0,0,0,0,0.001756,0,0.001758,0,0,0,0,826769,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.36325,0.498455,0.599506,0,0,0,0,0,0,0,0.36325,0,0.498455,0,0.599506,0,0.599506,826770,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.121247,0.121247,0,0,0,0,0,0,0,0,0,0.121247,0,0.121247,0,0.121247,826771,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826772,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.00703,0,0,0,0,0,0,0,0,0,0,0.00703,0,0,0,0,826773,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826774,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0,0.000703,0,0,0,0,0,0,0,0,0,0,0.000703,0,0,0,0,826775,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.004469,0.004746,0.005319,0,0,0,0,0,0,0,0.004469,0,0.004746,0,0.005319,0,0.005319,826776,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.000502,0.001225,0.0012,0,0,0,0,0,0,0,0.000502,0,0.001225,0,0.0012,0,0.0012,826777,606560,2019-04-03,18:52:02
"	010","Department of the Interior","	00",010-000001217,"DOI - Talent Management Solution (TMS) - ""DOI Learn""",010-000001217,"	04",010-95-4523,"Working Capital Fund","	010","	95",,0.01596,0.016697,0,0,0,0,0,0,0,0,0.01596,0,0.016697,0,0,0,0,826778,606560,2019-04-03,18:52:02
