"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Unique Project ID","Project ID","Agency Project ID","Project Name","Objectives / Expected Outcomes","Start Date","Completion Date","Project Life Cycle Cost","SDLC Methodology","Release Every Six Mo","Release Every Six Mo Comment","Production Deployment Date","Funded by TMF or IT WCF Funding?","Commercial Solution(s) Adoption","Commercial Solution(s) Reasoning","Commercial Solution(s) Costs","Schedule Variance (in days)","Schedule Variance (%)","Schedule Color","Cost Variance ($ M)","Cost Variance (%)","Cost Color","Project Status","Updated Date","Updated Time"
010-000000987,657,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - HAZ - Advanced National Seismic System (ANSS)",ANSS-0004,1181,,"ANSS - ARRA- Development, Modernization and Expansion","Development, Modernization and Expansion (DME) activities of the Advanced National Seismic System, ARRA sensor network upgrades.",2009-04-01,2011-09-30,19.553497,,,,,,,,,0,0,Green,0,0,Green,Completed,07/08/2013,10:58:54
025-000004370,665,"01 - Major IT","01 - Not Applicable","	025","Department of Housing and Urban Development","Core Financial Services","NC Release",11431,,"Travel and Relocation","The New Core Program is a multi-phase effort to modernize HUD's core financial and key administrative systems by transitioning the system functions to a shared services environment. New Core’s first phase will migrate financial management and administrative functions to the Department of Treasury, Bureau of Fiscal Services, Administrative Resource Center's (ARC) shared services platform through multiple releases. 

Release 1 will allow HUD to migrate from the current e-Gov Travel Service 1 contract provider, FedTraveler, to the e-Gov Travel Service 2 contractor provider, Concur Government Edition, utilizing ARC for travel service administration.  This transition is required to meet Federal GSA e-Travel Service 2 requirements. Additionally, HUD will migrate to ARC's MoveLinq will allow HUD to retire contracts for HUD operated MoveLinq in late FY 2015.  This will also include migration to ARC's Oracle Federal Financials for travel and relocation accounting.",2013-08-06,2014-11-13,22.72,"1 - Waterfall",no,"The New Core Project is being broken out into smaller projects which represent three currently planned releases.",2014-11-13,,,,,0,0,Green,0,0,Green,Completed,10/17/2017,06:13:58
025-000004370,665,"01 - Major IT","01 - Not Applicable","	025","Department of Housing and Urban Development","Core Financial Services",NCRelease2,11433,,"Time and Attendance","Release 2 will allow HUD to migrate from HUD&#39;s Web Time and Attendance System to  an ARC managed, integrated time and attendance system that supports payroll processing. Implementation of ARC&#39;s WebTA will provide the framework to implement Managerial Cost Accounting, providing detailed cost information to aid daily management decisions.",2014-01-02,2015-04-03,11.211,"1 - Waterfall",no,"The New Core Project is being broken out into smaller projects which represent three currently planned releases.",2015-04-03,,,,,0,0,Green,0,0,Green,Completed,10/17/2017,06:13:58
025-000004370,665,"01 - Major IT","01 - Not Applicable","	025","Department of Housing and Urban Development","Core Financial Services",NCRelease3,11435,,"Financial Management General Ledger / Procurement","Release 3 will transfer functionality associated with budgeting, accounting, financial management, Federal reporting, and procurement to ARC managed Oracle Federal Financials system and PRISM system. This will provide HUD with an integrated core financial system intended to increase accuracy, speed, transparency, and accountability in financial management and budgeting for the agency, allow HUD to quickly accommodate legislative changes in its financial system, and make high-quality data available to support managerial decision-making to deliver HUD&#39;s mission.",2014-05-14,2015-12-10,28.139,"1 - Waterfall",no,"The New Core Project is being broken out into smaller projects which represent three currently planned releases.",2015-12-10,,,,,0,0,Green,0,0,Green,Completed,10/17/2017,06:13:58
025-000004370,665,"01 - Major IT","01 - Not Applicable","	025","Department of Housing and Urban Development","Core Financial Services",HPCS,13693,,"HUD Pay.gov Common Services (HPCS)","HUD utilized the Treasury Pay.gov service to support all financial transactions between HUD and the user community.  Treasury Pay.gov services is moving to a new security platform and will be decommissioning the legacy platform in FY16.  HUD is developing a common service to connect all systems that need to transition to the new platform which will allow for a enterprise solution to support the transactions.",2016-04-13,2021-04-12,2.622339,"2 - Iterative: Incremental, Spiral, Agile",no,"HPCS consists of 3 separate CLINs to support Design and Development, Implementation and Operations and Maintenance",2016-04-16,,,,,-465,-76.48,Red,0.274973,11.12,Yellow,In-progress,09/01/2018,00:03:29
010-000001049,666,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - WAT - National Water Information System (NWIS)",NWIS-0001,1184,,"FY11 Maintenance and Support","FY11 Maintenance, Operations and Support, including quarterly metadata updates and regular software maintenance updates and support.",2010-10-01,2011-09-30,7.83,,,,,,,,,0,0,Green,0.152605,1.95,Green,Completed,02/24/2012,10:44:47
010-000001049,666,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - WAT - National Water Information System (NWIS)",NWIS-0002,2922,,"FY12 Database Management System (DBMS) Technology Refresh, Maintenance &amp; Operations","NWIS will be performing a technology refresh of the commercial DBMS to agency enterprise solution. Software/applications will be converted and data will be migrated. The project consists of the modifications/preparations, full testing and verification, formal acceptance, Beta-site implementation and general release. The project also includes regular software maintenance updates and support.",2011-10-01,2012-09-30,7.6,,,,,,,,,0,0,Green,0.092629,1.22,Green,Completed,11/29/2012,13:06:29
010-000001049,666,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - WAT - National Water Information System (NWIS)",NWIS-0003,4823,,"FY13 Maintenance and Support","Provide FY13 tri-annual software and system maintenance updates, and technical support for data acquisition, processing, archival and distribution systems.",2012-10-01,2013-09-30,7.6,,,,,,,,,0,0,Green,0.67678,8.91,Green,Completed,11/15/2013,21:13:05
010-000001049,666,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - WAT - National Water Information System (NWIS)",NWIS-0004,4825,,"FY14 Maintenance and Support","Provide (FY14) tri-annual software and system maintenance updates, and technical support for data acquisition, processing, archival and distribution systems.",2013-10-01,2014-09-30,7.6,,,,,,,,,0,0,Green,1.013355,13.33,Yellow,Completed,11/13/2014,11:05:26
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0001,1185,,"FY 2012 O&amp;M - Web Apps, Database Administration, and Security","This includes systems maintenance for ingestion, integration, production, and distribution for national digital GIS data, and topographic maps (US Topos) in support of one of the USGS core missions to provide base map data to the Nation. The mission is consistent with the OMB Circular A-16, which requires the USGS to lead the Nation in providing a common set of base geographic data and to be the Federal agency lead for elevation, hydrography, orthoimagery, and geographic names.",2011-10-03,2012-09-28,4.654,,,,,,,,,0,0,Green,0.283162,6.08,Green,Completed,05/30/2013,11:13:00
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0002,1186,,"FY 2012 DME - Viewer, Map Services and Data Download Enhancements","The USGS provides base map data to the Nation.  Several key enhancements to National Map web based data delivery systems will be achieved in FY13 to include:  Three new cached national web base maps (Topo, Imagery and Hybrid); new releases of the The National Map viewer; and new downloadable data (ex. Contours) for use in Geographic Information Systems.",2011-10-03,2012-09-28,0.175,,,,,,,,,0,0,Green,-0.078376,-44.79,Red,Completed,05/30/2013,11:13:00
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0003,3107,,"FY 2011 O&amp;M - Web Apps, Database Administration, and Security","This includes systems maintenance for ingestion, integration, production, and distribution for national digital GIS data, and topographic maps (US Topos) in support of one of the USGS core missions to provide base map data to the Nation. The mission is consistent with the OMB Circular A-16, which requires the USGS to lead the Nation in providing a common set of base geographic data and to be the Federal agency lead for elevation, hydrography, orthoimagery, and geographic names.",2010-10-01,2011-09-30,4.654,,,,,,,,,0,0,Green,0.054,1.16,Green,Completed,09/13/2012,08:49:17
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0004,3109,,"FY 2011 DME - Viewer, Map Services and Data Download Enhancements","The USGS provides base map data to the Nation.  Several key enhancements to National Map web based data delivery systems will be achieved to include:  Implement two new releases  of the NGA Palenterra viewer; sunset  the legacy Nation Map Viewer, and National Hydrography Dataset (NHD) viewer and release planned cartographic enhancements to the web basemap.",2010-10-01,2011-09-30,0.175,,,,,,,,,0,0,Green,-0.029,-16.57,Yellow,Completed,04/27/2012,14:18:47
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0005,4819,,"FY 2013 O&amp;M - Web Apps, Database Administration, and Security","This includes systems maintenance for ingestion, integration, production, and distribution for national digital GIS data, and topographic maps (US Topos) in support of one of the USGS core missions to provide base map data to the Nation. The mission is consistent with the OMB Circular A-16, which requires the USGS to lead the Nation in providing a common set of base geographic data and to be the Federal agency lead for elevation, hydrography, orthoimagery, and geographic names.",2012-10-01,2013-09-30,4.654,,,,,,,,,0,0,Green,0.034483,0.74,Green,Completed,03/12/2014,10:49:29
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0006,4821,,"FY 2013 DME - Viewer, Map Services and Data Download Enhancements","The USGS provides base map data to the Nation. Several key enhancements to National Map web based data delivery systems will be achieved in FY13 to include: Design of new Hydrologic tiled cached base map for visualization; enabling existing products to be cloud delivery ready and exposing APIs enabling multiple paths of data discovery and use in Geographic Information Systems.",2012-10-01,2013-09-30,0.175,,,,,,,,,0,0,Green,0.036837,21.05,Yellow,Completed,03/12/2014,10:49:29
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0007,10095,,"FY2014 O&amp;M - Web Apps, Data Base Administration, and Security","This includes systems maintenance for ingestion, integration, production, and distribution for national digital GIS data, and topographic maps (US Topos) in support of one of the USGS core missions to provide base map data to the Nation. The mission is consistent with the OMB Circular A-16, which requires the USGS to lead the Nation in providing a common set of base geographic data and to be the Federal agency lead for elevation, hydrography, orthoimagery, and geographic names.",2013-10-01,2014-09-30,4.654,,,,,,,,,0,0,Green,0.587971,12.63,Yellow,Completed,11/13/2014,11:05:24
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0008,10097,,"FY2014 DME - Viewer, Map, Services, and Data Download Enhancements","The USGS provides base map data to the Nation. Several key enhancements to National Map web based data delivery systems will be achieved in FY14.",2013-10-01,2014-09-30,0.175,,,,,,,,,0,0,Green,-0.007685,-4.39,Green,Completed,11/13/2014,11:05:24
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0013,13191,,"FY2017 DME - Viewer, Map, Services, and Data Download Enhancements","The USGS provides base map data to the Nation. Several key enhancements to National Map web based data delivery systems will be achieved in FY17.",2016-10-03,2017-09-30,0.175,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-09-21,,,,,1,0.28,Green,0.027683,15.82,Yellow,Completed,12/27/2017,19:35:15
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0010,13192,,"FY2015 DME - Viewer, Map, Services, and Data Download Enhancements","The USGS provides base map data to the Nation. Several key enhancements to National Map web based data delivery systems will be achieved in FY15.",2014-10-01,2015-09-30,0.175,"2 - Iterative: Incremental, Spiral, Agile",yes,,,,,,,0,0,Green,0.033297,19.03,Yellow,Completed,09/18/2015,14:35:09
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0011,13193,,"FY2016 DME - Viewer, Map, Services, and Data Download Enhancements","The USGS provides base map data to the Nation. Several key enhancements to National Map web based data delivery systems will be achieved in FY16.",2015-10-01,2016-09-30,0.175,"2 - Iterative: Incremental, Spiral, Agile",yes,,2016-09-22,,,,,0,0,Green,-0.032108,-18.35,Yellow,Completed,04/28/2017,22:02:51
010-000001050,667,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CSS - TNM Reengineering Project",TNMP-0015,16238,,"FY2018 DME - Viewer, Map, Services, and Data Download Enhancements","The USGS provides base map data to the Nation. Several key enhancements to National Map web based data delivery systems will be achieved in FY18.",2017-10-02,2018-09-28,0.175,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-09-11,N/A,N/A,N/A,N/A,0,0,Green,0.027683,15.82,Yellow,Completed,11/29/2018,21:03:53
025-000004570,669,"01 - Major IT","01 - Not Applicable","	025","Department of Housing and Urban Development","Mortgage Insurance Risk Management","	663990",1117,,"FHA Transformation","The FHA Transformation Initiative’s goal is to leverage a modern  information technology platform to better manage and mitigate risk across all of FHA’s Insurance Programs.  Specifically, FHA Transformation will enable risk detection and fraud prevention by capturing critical data points at the front-end of the loan life cycle and leveraging the industry standard risk and fraud tools and services, rules-based technology, and transactional controls to minimize exposure to FHA’s Insurance Funds.  This will protect consumers and support the housing market by ensuring that underwriting standards are adhered to.",2010-01-12,2017-06-23,88.575125,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-06-23,,,,,-655,-28.17,Yellow,12.243449,15.81,Yellow,In-progress,09/01/2018,00:03:29
010-000000316,673,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","	607",1162,,"Deployment 6 Phase 7 -- Balance of Final Preparation Thru Go-Live","The D6 Final Preparation Thru Go-Live phase begins when the PRR Quality Gate and checklist are passed and runs until the Go-Live Quality gate and checklist are passed. PRR is anticipated on 10/14/2011 and Go-Live is anticipated on 11/7/2011.",2011-10-17,2011-11-07,2.878,,,,,,,,,-3,-14.29,Yellow,0.094289,3.28,Green,Completed,06/26/2015,13:40:13
010-000000316,673,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","	608",1163,,"Deployment 6 Phase 8 -- Go-Live Support thru ORR","The D6 Go-Live Support Thru ORR phase begins when the Go-Live Quality Gate and checklist are passed and runs until the Operational Readiness Review (ORR) Quality gate and checklist are passed. Go-Live is anticipated on 11/7/2011 and ORR is anticipated on 2/5/2012.",2011-11-08,2012-02-05,6.328,,,,,,,,,0,0,Green,0.024848,0.39,Green,Completed,06/26/2015,13:40:14
010-000000316,673,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","	700",1164,,"Deployment 7 for Bureau of Indian Affairs and National Park Service","D7 Business Blueprint activities are underway as the Deployment Baseline Review (DBR) date of 4/28/2011 was met. The Quality Gate dates for D7 are as follows: PDR is 11/18/2011, CDR is 12/21/2011, TRR-I is 5/29/2012, TRR-UA is 8/20/2012, PRR is 10/12/2012, Go Live is 11/05/2012 and ORR is 1/18/2013.",2011-04-28,2013-09-30,83,,,,,,,,,0,0,Green,1.905602,2.45,Green,Completed,09/18/2015,14:03:02
010-000000316,673,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","	800",4813,,"Deployment 8 for Bureau of Reclamation","D8 Business Blueprint activities are underway as the Deployment Baseline Review (DBR) date of 6/14/2012 was met. The Quality Gate dates for D8 are as follows: PDR is 11/16/2012, CDR is 12/19/2012, TRR-I is 5/28/2013, TRR-UA is 8/19/2013, PRR is 10/7/2013, Go Live is 11/4/2013 and ORR is 1/17/2014.",2012-05-01,2014-02-01,54.974,,,,,,,,,0,0,Green,0,0,Green,Completed,10/24/2014,14:22:01
010-000000316,673,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","	4814",11759,,"Deploy Enhancement Items","Enhancement & Optimization Release Items.",2014-02-01,2017-09-30,62.151053,"2 - Iterative: Incremental, Spiral, Agile",yes,,2016-09-16,,,,,0,0,Green,1.197505,1.93,Green,Completed,02/28/2018,11:37:19
010-000000316,673,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","	2019",16469,,"Deploy Enhancement Items 2019","Deploy Enhancement & Optimization Release Items.",2018-10-01,2019-09-30,16.28,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-12-14,N/A,N/A,N/A,N/A,0,0,Green,0,0,Green,In-progress,12/21/2018,21:09:09
010-000000316,673,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Financial and Business Management System (FBMS)","	2018",16470,,"Deploy Enhancement Items 2018","Deploy Enhancement & Optimization Release Items as prioritized by the user base.",2017-10-01,2018-09-30,16.28,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-07-20,N/A,N/A,N/A,N/A,61,16.76,Yellow,0.629634,3.87,Green,Completed,11/27/2018,15:34:50
010-000000319,674,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","	2",1165,,"Stage 3 Core Records Management System Implementation","Core implementation of IMARS to include Baseline Installation, Testing, Configuration, Evaluation, and Operational Readiness of IMARS primary Law Enforcement components.",2010-03-03,2013-03-19,2.045,,,,,,,,,0,0,Green,0.045,10.34,Yellow,Completed,07/24/2012,12:47:08
010-000000319,674,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - Incident Management, Analysis, and Reporting System (IMARS)","	3",1166,,"Stage 4 Core Records Management System Deployment","Deployment of IMARS Records Management System to DOI users.",2010-10-01,2012-12-31,1.22,,,,,,,,,0,0,Green,0.014891,7.02,Green,Completed,01/24/2014,08:29:39
010-000000368,676,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - National Fire Plan Operations and Reporting System (NFPORS)","	1",1177,,"NFPORS 3.0","NFPORS 3.0 development.  Hardware and Software is included.  Significant changes will be made to the database design and user interface. Updated software environment for technical currency (ColdFusion 9 and SQLServer 2008) bringing the system into full IT security compliance.  Servers will be built to STIG standards.",2010-10-01,2011-11-15,0.436141,,,,,,,,,-15,-8.24,Green,0.010539,12.97,Yellow,Completed,09/13/2012,08:04:45
010-000000368,676,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - National Fire Plan Operations and Reporting System (NFPORS)","	2",1178,,"NFPORS 3.1","NFPORS 3.1 development.  Changes will be made to the database design and user interface to accomodate HFPAS/PPS attribute collection.  This project is critical to the success of newly developing decision support tools that will score HFR treatment proposals.",2011-10-01,2012-11-15,0.38,,,,,,,,,0,0,Green,0.038642,10.17,Yellow,Completed,03/15/2013,09:21:27
010-000000368,676,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - National Fire Plan Operations and Reporting System (NFPORS)","	5",13173,,"NFPORS 4.1","NFPORS 4.1 development.  Begin first updates based on RBWFM.  Hardware and software changes to updated enterprise platform based on current technology and open sources/open code.",2015-10-01,2016-09-30,0.38,"2 - Iterative: Incremental, Spiral, Agile",yes,,2016-05-20,,,,,0,0,Green,0.196397,51.68,Red,Completed,11/30/2016,21:33:48
010-000000368,676,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - National Fire Plan Operations and Reporting System (NFPORS)","	6",13174,,"NFPORS 4.2","NFPORS 4.2 development.  Complete RBWFM elements and review.  Begin evaluation and scoping of updated to other modules based on requirement changes.",2016-10-01,2017-09-30,0.38,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-06-27,,,,,0,0,Green,0.302437,79.59,Red,Completed,11/30/2017,09:42:12
010-000000368,676,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - National Fire Plan Operations and Reporting System (NFPORS)","	4",13175,,"NFPORS 3.3","NFPORS 3.3 development.  Hardware and Software changes made with updated software environment for technical currency (ColdFusion 11 and SQLServer) bringing the system into full IT security compliance.  Begin RBWFM - Risk Based Wildland Fire Management review and updates.",2014-10-01,2015-09-30,0.38,"2 - Iterative: Incremental, Spiral, Agile",yes,,,,,,,0,0,Green,0.092582,24.36,Yellow,Completed,06/29/2016,18:12:23
010-000000368,676,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - National Fire Plan Operations and Reporting System (NFPORS)","	7",16167,,"NFPORS 4.3","NFPORS 4.3 development.  Begin updates to other modules (Restoration and Restoration, etc.) based on requirement changes.",2017-10-01,2018-09-30,0.38,"2 - Iterative: Incremental, Spiral, Agile",yes,,2018-09-14,N/A,N/A,N/A,N/A,0,0,Green,0.28862,75.95,Red,Completed,02/28/2019,19:10:31
010-000000368,676,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - National Fire Plan Operations and Reporting System (NFPORS)","	8",17120,,"NFPORS 4.4","NFPORS 4.4 development.  Review all modules and start NFPORS system integration with new system.",2018-10-01,2019-09-30,0.38,"2 - Iterative: Incremental, Spiral, Agile",yes,,2019-04-26,N/A,N/A,N/A,N/A,0,0,Green,0.38,100,Red,In-progress,02/28/2019,19:10:31
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D11001,985,,"Address Updates","Develop GPS collection capability and enhance software functionality; Develop functioning tracking, processing and reporting systems in support of receiving and processing government entity address lists; Develop an improved geocoding system; List addresses in at least 20,000 selected census blocks in CAUS program.",2011-11-01,2014-05-23,12.824599,"2 - Iterative: Incremental, Spiral, Agile",yes,,,,,,,1,0.11,Green,0.926177,7.92,Green,Completed,09/11/2014,09:53:25
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D11002,986,,"Feature Updates","Develop functioning management, acquisition, distribution and use systems in support of receiving and processing partner-supplied feature updates; Identify a viable change detection technique; either acquire the software for in-house use or contract for services.",2011-11-01,2013-09-30,14.534012,"2 - Iterative: Incremental, Spiral, Agile",,,,,,,,-38,-5.44,Green,-0.41551,-3.03,Green,Completed,09/11/2014,09:53:25
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D12003,4199,,"Data Quality","Assess the quality of MAF addresses and potential source data. Select areas for assessment, determine suitability for Current Surveys and other programs, and refine the address universe determination for various programs.",2012-08-01,2013-10-15,8.46883,"2 - Iterative: Incremental, Spiral, Agile",yes,,,,,,,5,1.18,Green,0.082303,0.97,Green,Completed,09/11/2014,09:53:25
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D14004,8703,,"FY14 Partner File Acquisition","GSS-I Phase 3 &amp; 4 acquisition of FY14 partner files.",2013-10-01,2014-06-03,0.699,"1 - Waterfall",yes,,,,,,,4,1.63,Green,0.201486,28.82,Yellow,Completed,09/24/2014,15:32:07
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D14005,8705,,"FY14 Feature Updates","GSS-I Phase 3 &amp; 4 feature source evaluation and updates to include the evaluation of feature sources, the use of conflation to update the MTdb, and interactive updates of TIGER.",2013-10-01,2014-08-28,6.424,"1 - Waterfall",yes,,,,,,,-64,-19.34,Yellow,-2.183603,-33.99,Red,Completed,05/29/2015,15:33:56
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D14006,8707,,"FY14 Address Updates","GSS-I Phase 3 &amp; 4 address evaluation and updates to include the evaluation of address sources, GSS MAF updates, and geocoding (including geocoding using MAF/TIGER Address Geocoding (MTAG) software).",2013-11-25,2014-08-28,7.448,"1 - Waterfall",yes,,,,,,,-5,-1.86,Green,1.658177,26.63,Yellow,Completed,02/27/2015,10:07:16
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D14007,8709,,"FY14 Data Quality","GSS-I Phase 3 &amp; 4 data quality improvements to include enhancement of the GSS Workflow Control System (GWCS) and refreshes of the Confidence Analysis and Tracking Tool with Quality Indicator update results.",2014-01-10,2014-09-24,4.146693,"1 - Waterfall",yes,,,,,,,0,0,Green,1.739043,42.71,Red,Completed,02/27/2015,10:07:16
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D15008,8711,,"FY15 Partner File Acquisition","Community TIGER Production Support.",2014-10-01,2015-09-30,0.79414,"3 - Not Primarily a Software Development Project",n/a,"This project is a staged publicaton of software primarily designed around user support and documentation (not a software development)",,,,,,-1287,-353.57,Red,0.697639,87.85,Red,In-progress,09/01/2018,00:03:29
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D15009,8713,,"FY15 Feature Updates","FY15 Conflation Reshapes.",2014-10-01,2015-09-30,6.424,"2 - Iterative: Incremental, Spiral, Agile",yes,,,,,,,-1287,-353.57,Red,0.014369,3.19,Green,In-progress,09/01/2018,00:03:29
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D15011,8717,,"FY15 Data Quality","Create robust Completeness Quality Indicator scores for use by Demographic Statistical Methods Division to identify Coverage Improvement Frame Blocks and by Geography Division for future partner file acquisition activities.",2014-10-01,2015-09-28,4.072,"2 - Iterative: Incremental, Spiral, Agile",yes,,,,,,,-1418,-608.58,Red,0.156652,79.84,Red,In-progress,09/01/2018,00:03:29
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D15012,9973,,"Geographic Support","Maintain the Census Bureaus Geographic framework for data collection, tabulation, and dissemination (MAF/TIGER addresses, features, and boundaries) annually between censuses to support ongoing programs such as the American Community Survey, other current surveys, and small areas estimates programs.",2012-10-04,2014-09-30,7.87226,"2 - Iterative: Incremental, Spiral, Agile",yes,,,,,,,-102,-100.99,Red,0.151018,14.45,Yellow,Completed,09/18/2015,16:14:40
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D14013,12463,,"FY15 Boundary and Annexation Survey Production Control System","System development for the tracking and controls of Boundary and Annexation Survey (BAS) materials, submissions, processing, digitizing, and quality control.",2014-08-18,2015-07-29,0.513763,"1 - Waterfall",yes,,,,,,,28,8.12,Green,0.227239,44.23,Red,Completed,09/18/2015,16:14:40
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D16016,13196,,"FY16 GSS-I Update to Puerto Rico","Modification to existing processes and software to accommodate Puerto Rico's unique addressing structures.",2015-08-18,2016-07-29,0.51376,"1 - Waterfall",yes,,,,,,,-9,-7.14,Green,0.078309,61.38,Red,Completed,10/31/2016,20:35:34
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D16017,13197,,"FY16 Community TIGER System Development for the CLOUD","Upgraded and more user friendly Community TIGER system.",2015-10-01,2016-09-30,0.827,"2 - Iterative: Incremental, Spiral, Agile",yes,,,,,,,-921,-252.33,Red,-0.372806,-81.61,Red,In-progress,09/01/2018,00:03:29
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D16015,13600,,"FY16 Feature Updates","FY16 Conflation.",2015-10-01,2016-09-30,1.82056,"2 - Iterative: Incremental, Spiral, Agile",yes,,,,,,,-921,-252.33,Red,-0.40492,-22.24,Yellow,In-progress,09/01/2018,00:03:29
006-000400900,678,"01 - Major IT","01 - Not Applicable","	006","Department of Commerce","Census - Geographic Support Systems (GSS)",4009D17018,14628,,"FY17 Conflation","Enhance Reshapes 5, and Streamlining Partner File Processing.",2016-10-03,2017-09-29,1.59441,"2 - Iterative: Incremental, Spiral, Agile",yes,,2017-08-21,,,,,-557,-154.29,Red,0,0,Green,In-progress,09/01/2018,00:03:29
010-999991141,685,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","DOI - IBC FMLoB Shared Service Provider","	8",13527,,"FTC CLM Implementation","Oracle's Contract Lifecycle Management (CLM) Implementation for Federal Trade Commision (FTC) acquisition requirements.",2015-10-26,2016-07-22,1.466,"3 - Not Primarily a Software Development Project",n/a,,2016-07-22,,,,,42,15.56,Yellow,0,0,Green,Completed,10/18/2016,17:39:34
