Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Unique Project ID,Project ID,Agency Project ID,Project Name,Objectives / Expected Outcomes,Start Date,Completion Date,Project Life Cycle Cost,SDLC Methodology,Other SDLC,Release Every Six Mo,Release Every Six Mo Comment,PM Experience Level,Schedule Variance (in days),Schedule Variance (%),Schedule Color,Cost Variance ($ M),Cost Variance (%),Cost Color,Project Status,Updated Date,Updated Time
"024-000004053","208","024","Department of Homeland Security","USSS - IT Infrastructure","2","148","177678","Back office Services & Support Maintenance Activities","Maintenance & Upgrades to back office systems including Web Hosting, H/W & S/W, Continuity of Operations & Disaster Recovery, Electronic Messaging, E-Mail, and Storage.","2011-07-01","2012-08-31","0.120000","7-Not Primarily a Software Development Project","","no","Project Closed.","3-FAC-P/PM(DAWIA-1)- Entry Level","0","0.00","Green","-0.436000","-363.33","Red","Completed","2014-09-10","07:23:17"
"024-000004053","208","024","Department of Homeland Security","USSS - IT Infrastructure","3","149","177680","Telecommunications Systems & Support Maintenance Activities","Maintenance & Upgrades related to Video, Voice (including Radio), and Wireless Services.","2011-07-01","2016-09-30","15.020000","7-Not Primarily a Software Development Project","","no","O&M Only.","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","-1.281000","-8.53","Green","In-progress","2015-07-31","07:26:25"
"024-000004053","208","024","Department of Homeland Security","USSS - IT Infrastructure","4","150","177681","Datacenter Migration","Data Center Migration to DHS Site FY2012.","2011-07-01","2012-09-30","18.000000","7-Not Primarily a Software Development Project","","no","Project Closed.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","9.200000","51.11","Red","Completed","2014-09-10","07:23:18"
"024-000005116","303","024","Department of Homeland Security","CBP - Land Border Integration (LBI)","2","200","172247","LBI Phase 1","Initial operating capabilities for pedestrian, outbound, and checkpoint.  This project includes the piloting of a re-engineered pedestrian process on 3 lanes at 1 pedestrian location (Paso Del Norte, TX).  In the outbound environment, Phase 1 will deploy one Tier 1 (robust, inbound-like) solution; five Tier 2 (fixed LPR+) solutions; and 36 Tier 3 (mobile capability) solutions.  Phase 1 also delivers LPR and VPC capabilities to Border Patrol checkpoints: a fixed solution at one checkpoint and tactical solutions and 14 checkpoints.  Finally, Phase 1 will deploy WHTI inbound technical solution to 10 remaining lanes at 4 locations.","2010-10-01","2012-04-30","20.893000","7-Not Primarily a Software Development Project","","no","There is no Production Release associated with this project.  This program is in O&M with changes/updates applied to support operational performance requirements.  Production software releases are not part of that effort.","1-FAC-P/PM(DAWIA-3)- Senior","-182","-149.18","Red","5.194000","24.86","Yellow","Completed","2014-09-10","07:20:07"
"024-000005116","303","024","Department of Homeland Security","CBP - Land Border Integration (LBI)","3","7681","210191","LBI Phase 1a","Expand on capabilities delivered during Phase 1 by completing various activities defined under O&M to include deployment of LED signage and re-engineered Pedestrian processing to additional locations.","2012-10-01","2013-08-09","4.862000","7-Not Primarily a Software Development Project","","no","There is no Production Release associated with this project.  This program is in O&M with changes/updates applied to support operational performance requirements.  Production software releases are not part of that effort.","1-FAC-P/PM(DAWIA-3)- Senior","2","0.64","Green","0.014000","0.29","Green","Completed","2014-09-10","07:20:07"
"024-000005116","303","024","Department of Homeland Security","CBP - Land Border Integration (LBI)","4","9679","221365","LBI Phase 1b","Expand on capabilities delivered during Phase 1 by completing various activities defined under O&M to include deployment of LED signage and hardware and software upgrades to comply with DHS EA and security requirements.","2013-10-01","2014-09-30","21.526000","7-Not Primarily a Software Development Project","","no","There is no Production Release associated with this project.  This program is in O&M with changes/updates applied to support operational performance requirements.  Production software releases are not part of that effort.","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.681000","3.81","Green","Completed","2014-09-10","07:20:08"
"024-000005116","303","024","Department of Homeland Security","CBP - Land Border Integration (LBI)","5","10825","228293","LBI Phase 1c","Expand on capabilities delivered during Phase 1 by completing various activities defined under O&M to include deployment of LED signage and hardware and software upgrades to comply with DHS EA and security requirements.","2014-06-28","2015-06-27","28.326000","7-Not Primarily a Software Development Project","","no","There is no Production Release associated with this project.  This program is in O&M with changes/updates applied to support operational performance requirements.  Production software releases are not part of that effort.","1-FAC-P/PM(DAWIA-3)- Senior","-92","-25.27","Yellow","0.022000","0.08","Green","In-progress","2015-07-31","07:26:33"
"024-000005116","303","024","Department of Homeland Security","CBP - Land Border Integration (LBI)","6","10827","231712","LBI Phase 1d","Expand on capabilities delivered during Phase 1 by completing various activities defined under O&M to include deployment of LED signage and hardware and software upgrades to comply with DHS EA and security requirements.","2015-06-28","2016-06-27","30.000000","7-Not Primarily a Software Development Project","","no","There is no Production Release associated with this project.  This program is in O&M with changes/updates applied to support operational performance requirements.  Production software releases are not part of that effort.","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","In-progress","2015-07-31","07:26:34"
"024-000005056","304","024","Department of Homeland Security","CBP - SAP","1","253","176011","SAP Budget Solution Upgrade","Update SAP solutions for Activity-based Cost Accounting (SAP PCM) and Budget Formulation (SAP PBF).","2011-01-03","2012-06-01","13.379000","1-Waterfall","","","","7-No certification, but with 4 or more years PM experience (within the last five years)","23","4.47","Green","0.000000","0.00","Green","Completed","2014-10-27","15:36:18"
"024-000005056","304","024","Department of Homeland Security","CBP - SAP","2","254","176012","SAP Support Patches","Application of patches to the SAP landscape (operating system, database, and applications).","2011-11-07","2012-03-12","1.350000","1-Waterfall","","","","7-No certification, but with 4 or more years PM experience (within the last five years)","-5","-3.97","Green","0.000000","0.00","Green","Completed","2014-10-27","15:36:18"
"024-000005056","304","024","Department of Homeland Security","CBP - SAP","3","3437","188437","SAP Budget Solutions Upgrade","Enhancements to Budget Execution and Reporting.","2012-06-02","2012-09-30","3.869000","1-Waterfall","","","","7-No certification, but with 4 or more years PM experience (within the last five years)","2","1.67","Green","0.046000","1.74","Green","Completed","2014-10-27","15:36:18"
"024-000005056","304","024","Department of Homeland Security","CBP - SAP","4","3439","188438","SAP Support Patches FY13","Application of patches to the SAP landscape (operating system, database, and applications).","2012-11-05","2013-03-24","1.000000","1-Waterfall","","","","7-No certification, but with 4 or more years PM experience (within the last five years)","-5","-3.60","Green","-0.009000","-0.90","Green","Completed","2014-10-27","15:36:18"
"024-000005056","304","024","Department of Homeland Security","CBP - SAP","5","3441","188439","SAP Support Patches FY14","Application of patches to the SAP landscape (operating system, database, and applications).","2013-11-04","2014-07-31","1.000000","1-Waterfall","","","","7-No certification, but with 4 or more years PM experience (within the last five years)","-1","-0.37","Green","0.008000","0.80","Green","Completed","2014-10-27","15:36:19"
"024-000005056","304","024","Department of Homeland Security","CBP - SAP","6","7757","211537","SAP Support Patches FY15","Application of patches to the SAP landscape (operating system, database, and applications).","2014-11-03","2015-04-30","1.250000","1-Waterfall","","yes","","7-No certification, but with 4 or more years PM experience (within the last five years)","-20","-11.24","Yellow","0.568000","45.44","Red","Completed","2015-06-20","18:27:28"
"024-000005056","304","024","Department of Homeland Security","CBP - SAP","7","10829","229778","SAP Support Patches FY16","Application of patches to the SAP landscape (operating system, database, and applications).","2015-11-02","2016-04-29","1.250000","1-Waterfall","","yes","","7-No certification, but with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","In-progress","2014-10-27","15:36:19"
"024-000005064","307","024","Department of Homeland Security","CBP - Tactical Communications (TACCOM) Modernization","3","188","172268","Houlton","This project is to upgrade and increase the Land Mobile Radio (LMR) system exponentially in support of the CBP agents and officers in the Houlton sector.  The project will bring the system into compliance with the NTIA Project 25(P25) narrow band standard. In addition, this will make the system Advanced Encryption Standard (AES) encryption capable, providing officers and agents with improved coverage, encryption and reliability.","2008-10-01","2014-09-30","65.648000","7-Not Primarily a Software Development Project","","n/a","TACCOM does not develop software; however, a Waterfall approach is incorporated with this projects' management. Production releases are not applicable to this project.","4-Other certification with 4 or more years PM experience (within the last five years)","-813","-93.77","Red","-4.127000","-6.79","Green","Completed","2015-02-27","16:05:25"
"024-000005064","307","024","Department of Homeland Security","CBP - Tactical Communications (TACCOM) Modernization","1","189","172267","El Paso","This project is to upgrade and increase the Land Mobile Radio (LMR) system exponentially in support of the CBP agents and officers El Paso Focus Area.   This project will provide enhancements and improved operational capabilities to LMR systems for CBP personnel, OBP, OFO, and OAM in the ELP Focus Area. The Modernized P25 LMR system will provide improved communications to include compliance with the NTIA narrowband mandate, promoting interoperability with the use of standards, provide secure, advanced encryption communications, OTAR, and increased capacity .","2010-06-10","2013-08-02","66.752000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-237","-26.07","Yellow","3.496000","5.24","Green","Completed","2015-03-31","15:24:23"
"024-000005064","307","024","Department of Homeland Security","CBP - Tactical Communications (TACCOM) Modernization","2","190","172271","Rio Grande Valley","The Rio Grande Valley (RGV) Texas Project is a Project 25 (P25) land mobile radio (LMR) tactical communications modernization system, sponsored by the Tactical Communications.","2010-11-04","2013-06-28","33.853000","","","","","4-Other certification with 4 or more years PM experience (within the last five years)","-209","-32.91","Red","3.344000","9.88","Green","Completed","2015-03-31","15:24:24"
"024-000005064","307","024","Department of Homeland Security","CBP - Tactical Communications (TACCOM) Modernization","4","191","172269","Digital in Place","Digital In Place is a capstone project with the goal of replacing remaining legacy analog equipment not covered in the three Houlton, El Paso, and Rio Grande Valley sectors with P25 compliant equipment. The project will bring the remaining sectors into compliance with the NTIA Project 25(P25) narrow band standard. In addition, this will make the system Advanced Encryption Standard (AES)capable, providing officers and agents with improved encryption and reliability. While the three focus areas upgrade and improve coverage, the Cap-Stone DIP project will bring the remaining infrastructure to a common baseline at a cost less than the three focus areas combined.","2011-09-30","2017-03-27","68.469000","7-Not Primarily a Software Development Project","","n/a","TACCOM does not develop software; however, an Agile approach is incorporated with this projects' management. Production releases are not applicable to this project.","1-FAC-P/PM(DAWIA-3)- Senior","-87","-4.54","Green","7.068000","12.33","Yellow","In-progress","2015-08-27","10:19:12"
"024-000005064","307","024","Department of Homeland Security","CBP - Tactical Communications (TACCOM) Modernization","5","10831","227276","TACCOM System Maintenance Project FY13","In support of Land Mobile Radio (LMR) site region activities throughout the continental United States, this project provides sites' preventive maintenance services, and decommissioning for select LMR sites.","2013-09-27","2014-09-26","2.433000","7-Not Primarily a Software Development Project","","n/a","This is a maintenance project.","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","0.000000","0.00","Green","Completed","2014-10-31","14:32:01"
"024-000005064","307","024","Department of Homeland Security","CBP - Tactical Communications (TACCOM) Modernization","6","10833","227275","TACCOM System Maintenance Project FY14","In support of Land Mobile Radio (LMR) site region activities throughout the continental United States, this project provides sites' preventive maintenance services, and decommissioning for select LMR sites.","2014-09-27","2015-09-26","4.425000","7-Not Primarily a Software Development Project","","n/a","This is a maintenance project.","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","0.000000","0.00","Green","In-progress","2014-10-31","14:32:01"
"024-000005064","307","024","Department of Homeland Security","CBP - Tactical Communications (TACCOM) Modernization","7","10835","227274","TACCOM System Maintenance Project FY15","In support of Land Mobile Radio (LMR) site region activities throughout the continental United States, this project provides sites' preventive maintenance services, and decommissioning for select LMR sites.","2015-09-27","2016-09-26","2.955000","7-Not Primarily a Software Development Project","","n/a","This is a maintenance project.","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","0.000000","0.00","Green","In-progress","2014-09-10","09:32:38"
"024-000005358","308","024","Department of Homeland Security","ICE - TECS Modernization","7001","43","175988","Release 1 - Core Case Management Release 1.0","Release 1 will develop and deploy the foundation of the Core Case Management functionality and infrastructure. It will allow special agents to begin conducting basic case management functions such as initiating cases, entering and querying Subject Records, and conducting Reports of Investigation (ROI). The ICE TECS Modernization system will synchronize data with the legacy TECS mainframe for Release 1 functionality, which will continue to serve as the System of Record.","2012-09-01","2013-03-31","3.145000","","","","","3-FAC-P/PM(DAWIA-1)- Entry Level","12","5.69","Green","0.000000","0.00","Green","Completed","2014-09-11","12:30:27"
"024-000005358","308","024","Department of Homeland Security","ICE - TECS Modernization","7005","7853","214207","Program Control","Misson Support and monitoring/oversight of the development of the TECS Modernization program.","2013-08-01","2013-12-15","3.734000","6-Other"," Activities associated with governance.","","","3-FAC-P/PM(DAWIA-1)- Entry Level","0","0.00","Green","0.000000","0.00","Green","Completed","2014-10-28","08:04:24"
"024-000005358","308","024","Department of Homeland Security","ICE - TECS Modernization","7009","11071","226775","TECS Modernization Initial Operating Capability (IOC)","The Initial Operating Capability will allow ICE HSI agents to use the modernized TECS system for developing and documenting criminal investigations.  It will provide Case Management, Subject Management, and Search functionality.  It will also allow ICE to become legacy TECS mainframe independent.","2014-01-01","2015-09-30","12.536000","3-Iterative (Prototyping/Incremental)","","no","The Initial Operating Capability is planned for September 30, 2015.","3-FAC-P/PM(DAWIA-1)- Entry Level","-138","-21.66","Yellow","0.001000","0.01","Green","In-progress","2015-08-26","07:07:37"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","2","2","172538","Windows 7","The Windows 7 Operational Test and Evaluation (OTE) will test Windows 7/Office 2010, the latest operating system (OS) and office suite in the Microsoft series, and replace the existing Microsoft Windows XP and legacy operating systems, which are near the end of their life cycle. The purpose of this project is to Engineer, Test, and Deploy a standard CBP image, based on the Windows 7 operating system. In addition, bring CBP in compliance with Office of Management and Budget (OMB) implementation of the United States Government Configuration Baseline (USGCB), as outlined in OMB mandates M07-11 and M08-22 regarding standard security configurations.","2009-01-01","2013-07-01","10.000000","7-Not Primarily a Software Development Project","","yes","","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","4.306000","62.68","Red","Completed","2014-09-09","14:22:55"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","10","4157","187785","DC2 Collective","Stand up DC2 Collective.","2012-03-30","2013-06-30","9.421000","7-Not Primarily a Software Development Project","","yes","","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","4.082000","43.33","Red","Completed","2014-09-09","14:22:55"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","30","4159","197014","Cloud Design","Work on Cloud Design.","2012-07-01","2015-03-31","16.020000","4-Agile","","yes","","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","0.718000","4.48","Green","Completed","2015-04-30","14:31:53"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","40","10815","227698","System Security","Desktop Patch and Release Management.","2014-04-01","2016-09-30","4.100000","7-Not Primarily a Software Development Project","","yes","","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","0.096000","2.37","Green","In-progress","2015-04-30","14:31:54"
"024-000005052","312","024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance","1","44","173064","Passenger Iteration","Passenger maintenance releases, these include updates to user defined rules for faster implementation of targeting requirements.","2012-07-01","2013-09-30","67.060000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","Completed","2014-09-09","14:21:30"
"024-000005052","312","024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance","4","47","173191"," Cargo Iteration","Cargo maintenance releases, these include updates to outbound cargo hotlists, support of ACAS for workflow process refinement and rule updates as operationally required.","2012-09-01","2013-09-30","40.236000","4-Agile","","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2014-09-09","14:21:30"
"024-000005052","312","024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance","7","3429","196682","Passenger Iteration","Passenger maintenance releases, these include updates to user defined rules for faster implementation of targeting requirements.","2013-10-01","2014-09-30","60.502000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","Completed","2014-10-27","15:35:33"
"024-000005052","312","024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance","8","3431","196681"," Cargo Iteration","Cargo maintenance releases, these include updates to outbound cargo hotlists, support of ACAS for workflow process refinement and rule updates as operationally required.","2013-10-01","2014-09-30","42.921000","4-Agile","","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2014-10-27","15:35:33"
"024-000005052","312","024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance","9","3433","196706","Passenger Iteration","Passenger maintenance releases.","2011-07-24","2012-07-28","15.788000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","Completed","2014-09-09","14:21:30"
"024-000005052","312","024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance","10","3435","196707"," Cargo Iteration","Cargo maintenance releases.","2011-08-14","2012-06-23","17.760000","4-Agile","","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2014-09-09","14:21:30"
"024-000005052","312","024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance","11","7843","208882","Passenger Iteration","Passenger maintenance releases, these include updates to user defined rules for faster implementation of targeting requirements.","2014-10-01","2015-09-30","62.163000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","In-progress","2015-08-27","10:19:33"
"024-000005052","312","024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance","12","7845","208883"," Cargo Iteration","Cargo maintenance releases, these include updates to outbound cargo hotlists, support of ACAS for workflow process refinement and rule updates as operationally required.","2014-10-01","2015-09-30","44.099000","4-Agile","","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","In-progress","2015-08-27","10:19:33"
"024-000005052","312","024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance","13","10811","226937","Passenger Iteration","Passenger maintenance releases, these include updates to user defined rules for faster implementation of targeting requirements.","2015-10-01","2016-09-30","63.703000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","In-progress","2014-09-09","14:21:29"
"024-000005052","312","024","Department of Homeland Security","CBP - Automated Targeting System (ATS) Maintenance","14","10813","226936"," Cargo Iteration","Cargo maintenance releases, these include updates to outbound cargo hotlists, support of cargo workflow process refinement and rule updates as operationally required.","2015-10-01","2016-09-30","42.468000","4-Agile","","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","In-progress","2014-09-09","14:21:30"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","1","344","171125","M1 - e-Manifest Rail and Sea","DME - M1 will improve cargo security, expedite cargo processing and trade facilitation, provide faster and easier access to data, improve communications, and offer greater flexibility and time savings.","2005-07-21","2012-03-08","172.564000","1-Waterfall","","no","Closed Project.","4-Other certification with 4 or more years PM experience (within the last five years)","-97","-19.76","Yellow","0.110000","1.08","Green","Completed","2014-09-09","14:21:05"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","2","345","171131","Cargo Control and Release Planning/ADE 2a/2b Approval Phase","Planning - Define Cargo Control and Release requirements and documentation in order to receive ADE-2a/2b authority to begin development (ADE-2a/2b expected 3Q FY12).","2010-09-10","2013-06-30","3.000000","3-Iterative (Prototyping/Incremental)","","no","Closed Project.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2014-11-21","08:07:03"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","4","346","176999","Task Order PROD","Maintenance - TO PROD provides maintenance for the ACE production application and IT services for CSPO application development projects (M1).","2011-05-06","2012-04-29","22.848000","1-Waterfall","","no","Closed Project.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","2.008000","8.79","Green","Completed","2014-09-09","14:21:05"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","5","347","177000","Task Order ECOM","Maintenance - Provide the support needed to meet ACE Cargo Program release milestones while achieving expected availability, quality, security, reliability, maintainability, interoperability, flexibility, and extensibility across all areas of ACE. Achieve availability and performance levels for the production and support environments so as not to impact the ACE schedule or end users.","2011-05-01","2012-10-31","41.715000","1-Waterfall","","no","Closed Project.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","3.529000","8.46","Green","Completed","2014-09-09","14:21:05"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","6","348","177753","ACE Infrastructure Support","All of the ACE Infrastructure Support that is handled by EDME. These include Bill of Materials, HW/SW Maintenance, and Disaster Recovery.","2011-10-01","2012-09-30","60.470000","5-Mixed","","no","Closed Project.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","21.476000","35.77","Red","Completed","2014-09-09","14:21:05"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","7","6125","202760","Task Order PROD Extension","Maintenance - TO PROD provides maintenance for the ACE production application and IT services for CSPO application development projects (M1).","2012-04-30","2012-10-29","12.341000","1-Waterfall","","no","Closed Project.","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.862000","6.98","Green","Completed","2014-09-09","14:21:06"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","8","6187","203868","ITDS Commissioner Priorities","Seeks to automate all information exchange between Trade, CBP and over 50 PGAs during the cargo importation, review and release process.  ITDS includes the Document Image System, PGA Interoperability Framework, and Support for the Standardized PGA Message Set.","2011-09-29","2013-09-30","4.608000","4-Agile","","yes","","4-Other certification with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.003000","0.15","Green","Completed","2014-09-09","14:21:06"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","9","7825","213634","Deployment A","Deployment A was an enhancement to current Cargo Release/Simplified Entry, Entry Summary, and Partner Government Agency (PGA) integration.","2013-02-12","2013-10-05","9.934000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","4.327000","43.56","Red","Completed","2014-09-09","14:21:06"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","10","7827","213633","Deployment B","Deployment B was an enhancement to current Cargo Release/Simplified Entry, Entry Summary Validation (ESV), and PGA integration.","2013-08-07","2014-01-04","8.003000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","4.093000","51.14","Red","Completed","2014-09-09","14:21:06"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","11","7829","213631","Deployment C","During this project capabilities will be created for Cargo Release/SE, Entry Summary,  Exports, Manifest, and technical platform. Cargo Release/SE will provide the single window for the international trade community with a more automated and modern process that streamlines data requirements, removes paper, and provides for expedited decisions by Federal agencies for imports. Entry Summary processing development focuses on critical system edits or checks that validate the accuracy of the data being submitted to CBP.  PGA Integration continues to build capabilities that allow previously unavailable data to be provided by ACE to PGAs for safety targeting on imports, increasing all agencies' ability to segment risk and focus on those shipments with security, health and safety, and admissibility concerns. Automated Export System re-engineering effort will incorporate current export processing features in ACE and create a single automated export processing platform for export manifest commodity, and export control and licensing transactions. Manifests will modernize Air and Manifest processing. The ability to integrate Air Manifest with SE and  Cargo Release to correlate manifest bills of lading with entries. The ability to integrate the ATS for screening and targeting Air In-Bond functionality. Truck, Sea, and Rail manifests have already been modernized.","2013-11-06","2014-04-05","10.116000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","4.701000","46.47","Red","Completed","2014-09-09","14:21:06"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","12","7831","213635","Deployment D","The capabilities that will be created during this project are Cargo Release/SE, Entry Summary, Manifest, Exports, Accounts Management, PGA Integration, and Document Image System (DIS). Cargo Release/SE will provide the single window for the international trade community with a more automated and modern process that streamlines data requirements, removes paper, and provides for expedited decisions by Federal agencies for imports. Entry Summary processing development focuses on critical system edits or checks that validate the accuracy of the data being submitted to CBP.  Manifests will modernize Air and Manifest processing. The ability to integrate Air Manifest with Simplified Entry (SE) and  Cargo Release/Simplified Entry to correlate manifest bills of lading with entries. The ability to integrate the ATS for screening and targeting Air In-Bond functionality. Automated Export System re-engineering effort will incorporate current export processing features in ACE and create a single automated export processing platform for export manifest commodity, and export control and licensing transactions. PGA Integration continues to build capabilities that allow previously unavailable data to be provided by ACE to PGAs for safety targeting on imports, increasing all agencies' ability to segment risk and focus on those shipments with security, health and safety, and admissibility concerns.   Additional capabilities will be added to DIS. DIS gives the government the ability to request scanned images (or image files) from the Trade.","2014-02-05","2015-01-03","30.732000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","-1.603000","-5.22","Green","Completed","2015-01-29","08:29:53"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","13","7833","213636","Deployment E","ACE Currently supports the processing of rail, sea, and truck electronic manifests.  Electronic manifests allow the government to more quickly determine if incoming cargo poses a risk or can proceed into the country. CBP will expand ACE to include air electronic manifests in 2015. This release also support the Mandatory use of ACE for all electronic cargo release and related entry summary filings. PGA integration for CPSC, FWS, TSA,FDA, APHIS, and FAS are scheduled for this release.","2014-11-05","2015-07-04","20.616000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","-10.505000","-50.96","Red","Completed","2015-07-30","07:04:29"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","14","7835","213627","Deployment F","ACE is working closely with PGAs to implement Single Window, which is part of the International Trade Data System initiative.  Key Single Window capabilities will be deployed with this release (including ATF, IRS, BLS). Additional features include In-Bond processing and post release enhancements.","2015-05-06","2016-01-02","21.008000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","-10.437000","-49.68","Red","In-progress","2015-08-31","15:21:47"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","15","7837","213629","Deployment G","Mandatory use of ACE for all remaining portions of the CBP Cargo process is October 2016. This final planned release will include remaining PGA integration and additional system validations.","2015-11-04","2016-07-02","10.504000","4-Agile","","yes","","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","-0.300000","-2.86","Green","In-progress","2014-11-21","08:07:03"
"024-000005053","314","024","Department of Homeland Security","CBP - Automated Commercial Environment (ACE)","16","10809","231490","ACE Sustainment","This Project includes the following O&M activites for the ACE Program: Hardware Maintenance, Infrastructure Support, Software Maintanence, and Code Refactoring and Maintanence.","2016-07-03","2016-09-30","25.550000","4-Agile","","no","This is a sustainment project that will begin when ACE reaches FOC.","1-FAC-P/PM(DAWIA-3)- Senior","0","0.00","Green","0.000000","0.00","Green","In-progress","2014-12-19","07:56:54"
"024-000005137","315","024","Department of Homeland Security","CBP - Analytical Framework for Intelligence","100","3","175755","Data Collection, Integration, and Management","Provide HSPD12 compliant solution, support ICE DPICS2 and AIDW retirement, system improvement for big data analysis.","2009-10-01","2016-09-30","129.984000","4-Agile","","yes","","2-FAC-P/PM(DAWIA-2)- Mid-Level","0","0.00","Green","0.000000","0.00","Green","In-progress","2015-03-26","15:38:55"
"024-000005137","315","024","Department of Homeland Security","CBP - Analytical Framework for Intelligence","200","4","176150","HSDN","Build out of HSDN rooms for all CBP at Field Offices, Sectors, and Air Marine Locations.","2009-10-01","2014-06-30","5.090000","","","","","7-No certification, but with 4 or more years PM experience (within the last five years)","0","0.00","Green","0.000000","0.00","Green","Completed","2015-03-26","15:38:55"
