Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Contract ID,Agency Contract ID,Contract Status,Contracting Agency ID,Contract Number (PIID),IDV PIID,IDV Agency ID,Match found in USAspending,Vendor Name (USAspending),Solicitation ID (USAspending),Action Obligation Amount (In $ million) (USAspending),Type of Contract (USAspending),Performance Based Contract (USAspending),Contract Start Date (USAspending),Contract End Date (USAspending),Contract Compete (USAspending),Contract Description (USAspending),Base Contract ID (USAspending),Identifying Agency ID (USAspending),Transaction Number (USAspending),Timestamp (Contract),Timestamp (Base Contract)
"024-000006117","197","024","Department of Homeland Security","USCG - Interagency Operations Centers (IOC)","19864","179083","Awarded","7008","HSCG2310FT00002","GS35F0288M","4730","Yes","ADVANCED TECHNOLOGY INSTITUTE","","2.153329","Time and Materials","","06/08/2010","02/24/2012","Y","2110230T00002:  WK DEV (14FEB2010-13FEB2011)","42851","7008","0","2012-03-26 10:59:35","2012-03-26 10:59:35"
"024-000006117","197","024","Department of Homeland Security","USCG - Interagency Operations Centers (IOC)","19865","179084","Awarded","7008","HSCG4411JP00003","HSCG4410DPCZ101","7008","Yes","TRUESTONE, LLC","","0.562838","Firm Fixed Price","","08/02/2011","08/12/2012","Y","2111441P00003 IOC WATCHKEEPER SUPPORT SERVICES (ADS DEVELOPER) PER ATTACHED SOW.","40202","7008","0","2012-02-24 06:45:01","2012-02-24 06:45:01"
"024-000006117","197","024","Department of Homeland Security","USCG - Interagency Operations Centers (IOC)","19866","179085","Awarded","7008","HSCG4411JT00005","HSCG4410DPCZ100","7008","Yes","TRUESTONE, LLC","","0.463221","Firm Fixed Price","","03/01/2011","02/29/2012","Y","System Administrators (3) for IOC WatchKeeper","40203","7008","0","2012-02-24 06:45:01","2012-02-24 06:45:01"
"024-000006005","195","024","Department of Homeland Security","USCG - Nationwide Automatic Identification System (NAIS)","24625","183746","Awarded","7008","HSCG2312FADA015","HSCG2307AADA019","7008","Yes","BOOZ ALLEN HAMILTON INC","","0.347107","Time and Materials","","05/02/2012","02/01/2013","U","NAIS-CONTRACTOR PROJECT COORDINATION, SYSTEM ENGINEERING, TECHNICAL SUPPORT, CONFIGURATION MANAGEMENT AND INTEGRATED LOGISTICS.","45195","7008","","2012-06-29 10:12:50","2012-06-29 10:12:50"
"024-000006005","195","024","Department of Homeland Security","USCG - Nationwide Automatic Identification System (NAIS)","24627","183745","Awarded","7008","HSCG2311FADP008","HSCG2307AADA019","7008","Yes","BOOZ ALLEN HAMILTON INC","","0.110454","Time and Materials","","09/13/2011","10/31/2011","U","TO INITIATE A NEW BPA CALL FOR POP FROM 9 MARCH 2011 THROUGH 31 OCTOBER 2011 ON BPA CONTRACT NUMBER :HSCG23-07-A-ADA0191 FTE PROJECT MANAGER SUPPORT AT NAIS PRO.","46813","7008","","2012-08-21 07:12:14","2012-08-21 07:12:14"
"024-000006005","195","024","Department of Homeland Security","USCG - Nationwide Automatic Identification System (NAIS)","24629","183744","Awarded","7008","HSCG2312JADA014","HSCG2311DADB023","7008","Yes","SAM, INC.","","0.063916","Firm Fixed Price","","04/10/2012","10/10/2012","U",">NEW TASK ORDER UNDER CURRENT  IDIQ CONTRACT: HSCG23-10-D-ADW020 TO PROVIDE PROJECT, FINANCIAL, AND ADMINISTRATIVE  SUPPORT FOR NAIS.>CIP#: FR778>FIRM, FIXED PRICE CONTRACT>TREASURY SYMBOL: 7012/160613>SOW DOES NOT INCLUDE IT SERVICES.  CONTRACTOR WILL PROVIDE ALL NECESSARY LABOR, EQUIPMENT, AND MATERIALS TO PROVIDE CONTRACTOR SUPPORT IN ACCORDANCE WITH THE ATTACHED SOW.>PERIOD OF PERFORMANCE: SIX MONTHS FROM TIME OF AWARD>COST ESTIMATE: $63,916.12>CERTIFIED COTR: CDR JADON KLOPSON,>CG9332 PROGRAM MANAGER: CAPT JERALD WOLOSZYNSKI, 202-475-3160 BUSINESS>FINANCIAL MANAGER: LCDR KATHRYN CLEVENGER-HERTY, 202-475-3162BY ACCEPTING THIS PR OR FTA, THE RECEIVING ORGANIZATION AND THE CONTRACTING OFFICER CERTIFY COMPLIANCE WITH THE PROVISIONS OF THE COAST GUARD AUTHORIZATION ACT OF 2010 (PUBLIC LAW 111-281).","45199","7008","","2012-06-29 10:12:50","2012-06-29 10:12:50"
"024-000006005","195","024","Department of Homeland Security","USCG - Nationwide Automatic Identification System (NAIS)","25255","190189","Awarded","7008","HSCG2309CADP001","HSCG2307AADA019","7008","Yes","NORTHROP GRUMMAN SPACE & MISSION SYSTEMS CORP.","HSCG23-08-R-ADA011","14.997250","Combination (two or more)","","06/15/2012","12/28/2016","U","PURCHASE OF 3 PAR-T SOFTWARE","46487","7008","","2012-08-02 09:25:01","2012-08-02 09:25:01"
"024-000006077","202","024","Department of Homeland Security","USCG - CG Business Intelligence (CGBI)","19867","147092","Awarded","7008","HSCGG305FTWV436","GS09F0047Z","4730","Yes","QSS GROUP INCORPORATED","","6.359159","Cost Plus Award Fee","","04/21/2011","11/30/2010","U","CONTRACTOR SHALL PROVIDE SYSTEMS ENGINEERING AND TECHNICAL SERVICES IN ACCORDANCE WITH THE SETS II PERFORMANCE WORK STATEMENT AND OTHER TERMS AND CONDITIONS OF THIS FIRM-FIXED PRICE AND COST-PLUS AWARD FEE TASK ORDER.","45423","7008","","2012-07-24 07:11:43","2012-07-24 07:11:43"
"024-000006077","202","024","Department of Homeland Security","USCG - CG Business Intelligence (CGBI)","19868","168941","Awarded","7008","HSCGG310JPWV229","HSCGG310DPWV500","7008","Yes","DIGITAL MANAGEMENT, INC.","","27.511203","Cost Plus Fixed Fee","","07/13/2012","12/31/2012","U","APLES IDIQ TASK ORDER.","45425","7008","","2012-07-24 07:11:43","2012-07-24 07:11:43"
"024-000006077","202","024","Department of Homeland Security","USCG - CG Business Intelligence (CGBI)","19869","168942","Awarded","7008","HSCGG311JPWV041","HSCGG311DPWV888","7008","Yes","ACE INFO SOLUTIONS, INC.","","26.100491","Cost Plus Fixed Fee","","07/01/2012","12/31/2012","U","CTS TASK ORDER","45427","7008","","2012-07-24 07:11:43","2012-07-24 07:11:43"
"024-000006079","193","024","Department of Homeland Security","USCG - Rescue 21","22248","147283","Awarded","7008","Production contract","DTCG2302DNDRS02","6950","No","","","","","","","","","","","","","2011-09-23 10:13:40",""
"024-000006079","193","024","Department of Homeland Security","USCG - Rescue 21","22249","147284","Awarded","7008","HSCG2312FANS0337","HSCG2306AAND004","7008","No","","","2.927117","","","","02/28/2012","","","","","","2012-07-30 08:03:41",""
"024-000006079","193","024","Department of Homeland Security","USCG - Rescue 21","22250","147279","Awarded","7008","DTCG2303AANB011","GS10F0105K","4730","Yes","URS GROUP, INC","","","Firm Fixed Price","","11/01/2002","01/01/1970","U","RESCUE 21 ENVIRONMENTAL SUPPORT","45941","7008","","2012-07-30 08:03:41","2012-07-30 08:03:41"
"024-000006079","193","024","Department of Homeland Security","USCG - Rescue 21","22251","147277","Awarded","7008","Tower Leases (ACI)","","","No","","","","","","","","","","","","","2011-09-23 10:13:40",""
"024-000006079","193","024","Department of Homeland Security","USCG - Rescue 21","22252","147280","Awarded","7008","System Support & Maintenance","","","No","","","","","","","","","","","","","2012-07-30 08:03:41",""
"024-000006079","193","024","Department of Homeland Security","USCG - Rescue 21","22253","147282","Awarded","7008","Tower Leases (OE)","","","No","","","","","","","","","","","","","2011-09-23 10:13:40",""
"024-000006079","193","024","Department of Homeland Security","USCG - Rescue 21","22254","147288","Awarded","7008","Circuits, Networks & Spectrum","","","No","","","","","","","","","","","","","2011-09-23 10:13:40",""
"024-000006079","193","024","Department of Homeland Security","USCG - Rescue 21","24015","183288","Awarded","7008","HSCG2312FANS037","HSCG2306AAND004","7008","Yes","BOOZ ALLEN HAMILTON INCORPORATED (3626)","","2.145090","Time and Materials","","03/30/2012","02/28/2013","U","RESCUE 21 PROJECT SUPPORT SERVICES","45943","7008","","2012-07-30 08:03:41","2012-07-30 08:03:41"
"024-000006111","198","024","Department of Homeland Security","USCG - Vessel Logistics System (VLS)","22156","147982","Awarded","7008","HSCGG310DPWV500","","","Yes","DIGITAL MANAGEMENT, INC.","HSCGG3-10-R-PWV500","","Cost Plus Fixed Fee","","04/30/2010","","Y","APLES IDIQ AWARD.","37122","7008","","2011-09-20 15:59:52","2011-09-20 15:59:52"
"024-000006111","198","024","Department of Homeland Security","USCG - Vessel Logistics System (VLS)","22157","157952","Awarded","7008","HSCGG311DPWV888","","","Yes","ACE INFO SOLUTIONS, INC.","","","Cost Plus Fixed Fee","","10/01/2010","","Y","CORE TECHNOLOGY SERVICES (CTS).","37123","7008","","2011-09-20 15:59:52","2011-09-20 15:59:52"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","22315","168943","Awarded","7003","HSSCCG11J00307","HSHQDC06D00021","7001","Yes","COMPUTER SCIENCES CORPORATION (3126)","","19.241828","Cost Plus Incentive","","04/26/2012","09/28/2014","U","VERIFICATION INFORMATION SYSTEM (O&M SERVICES)","45569","7003","","2012-07-25 10:57:03","2012-07-25 10:57:03"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","22316","180694","Awarded","7003","HSSCCG11J00326","HSHQDC06D00021","7001","Yes","COMPUTER SCIENCES CORPORATION (3126)","","6.337043","Time and Materials","","07/22/2012","06/27/2013","U","VIS MIGRATION SUPPORT SERVICES (EFO)","46913","7003","","2012-08-23 07:14:04","2012-08-23 07:14:04"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","23103","181476","Awarded","7003","HSSCCG12J00045","HSHQDC06D00021","7001","Yes","COMPUTER SCIENCES CORPORATION (3126)","HSSCCG-12-R-00003","1.826791","Firm Fixed Price","","10/31/2011","07/30/2012","Y","VIS MERIDEN SUPPORT - 9 MO TASK ORDER TO CSC FOR MERIDEN SUPPORT UNDER EXCEPTION TO FAIR OPPORTUNITY IAW FAR 16.505","42214","7003","0","2012-02-29 12:01:09","2012-02-29 12:01:09"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","23257","181840","Awarded","7003","HSSCCG11F00493","GS-35F-0170K","4730","Yes","EXECUTIVE INFORMATION SYSTEMS,","HSSCCG-11-Q-00545","5.995880","Firm Fixed Price","","07/18/2012","09/30/2012","U","SAS FRAUD FRAMEWORK FOR GOVERNMENT SOFTWARE OR EQUAL","45565","7003","","2012-07-25 10:57:02","2012-07-25 10:57:02"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","23633","181839","Awarded","7003","HSSCCG11J00337","HSBP1009D02335","7014","Yes","MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION","HSSCCG-11-R-00033","11.199190","Firm Fixed Price","","08/09/2012","09/27/2014","U","CUSTOMIZATION OF CRM","46911","7003","","2012-08-23 07:14:04","2012-08-23 07:14:04"
"024-000003030","321","024","Department of Homeland Security","USCIS - Integrated Document Production (IDP)","22041","148416","Awarded","7003","HSSCCG10J00083","HSHQDC06D00024","7001","Yes","GENERAL DYNAMICS ONE SOURCE LIMITED LIABILITY COMPANY","HSSCCG-10-R-00012","12.498380","Firm Fixed Price","","06/26/2012","07/05/2013","U","CARD PRODUCTION","45429","7003","","2012-07-24 07:11:47","2012-07-24 07:11:47"
"024-000003030","321","024","Department of Homeland Security","USCIS - Integrated Document Production (IDP)","22042","148412","Awarded","7003","HSSCCG07D00003","HSSCCG07D00003","7003","Yes","ANTEON CORPORATION (4322)","","","Firm Fixed Price","","08/24/2011","01/01/1970","U","OPTION YEAR 3","45431","7003","","2012-07-24 07:11:47","2012-07-24 07:11:47"
"024-000003030","321","024","Department of Homeland Security","USCIS - Integrated Document Production (IDP)","22043","148418","Awarded","7003","HSSCCG09D00004","HSSCCG09D00004","7003","Yes","GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.","HSSCCG-08-R-00008","","Firm Fixed Price","","04/10/2012","01/01/1970","U","EXERCISE OPTION - CLIN 0011 ","45433","7003","","2012-07-24 07:11:47","2012-07-24 07:11:47"
"024-000003030","321","024","Department of Homeland Security","USCIS - Integrated Document Production (IDP)","22044","148417","Awarded","7003","HSSCCG08D00004","HSSCCG08D00004","7003","Yes","GENERAL DYNAMICS INFORMATION TECHNOLOGY INCORPORATED","HSSCCG-07-R-00008","","Firm Fixed Price","","03/13/2012","01/01/1970","U","CHANGE PAYMENT INFORMATION","45435","7003","","2012-07-24 07:11:47","2012-07-24 07:11:47"
"024-000003030","321","024","Department of Homeland Security","USCIS - Integrated Document Production (IDP)","22045","148411","Awarded","7003","Manifest Agreement (21073)","","","No","","","","","","","","","","","","","2012-07-24 07:11:47",""
"024-000003040","326","024","Department of Homeland Security","USCIS - Customer Service Web Portal","23258","181907","Awarded","7003","HSSCCG-11-J-00163","No","7003","No","","","","","","","","","","","","","2011-12-30 14:14:03",""
"024-000003040","326","024","Department of Homeland Security","USCIS - Customer Service Web Portal","24845","192216","Awarded","7003","HSHQDC-07-A-00014","No","7003","Yes","AKAMAI TECHNOLOGIES INC","","","Firm Fixed Price","","12/20/2010","01/01/1970","U","DISTRIBUTING COMPUTING SERVICES","45571","7001","","2012-07-25 10:57:04","2012-07-25 10:57:04"
"024-000003040","326","024","Department of Homeland Security","USCIS - Customer Service Web Portal","24847","192217","Awarded","7003","HSSCCG-11-F-00459","No","7003","Yes","CARAHSOFT TECHNOLOGY CORPORATION","","0.071400","Firm Fixed Price","","09/01/2011","08/31/2012","U","ALFRESCO INTRANET","45573","7003","","2012-07-25 10:57:04","2012-07-25 10:57:04"
"024-000003036","324","024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","22182","160342","Awarded","7003","HSSCCG11J00163","HSHQDC06D00021","7003","No","","","","","","","","","","","","","2011-09-21 12:52:43",""
"024-000003015","319","024","Department of Homeland Security","USCIS - Transformation","22320","149755","Awarded","7003","HSSCCG09C00011","N/A","0000","Yes","BATTLE RESOURCE MANAGEMENT, INC","HSSCCG-09-R-00006","3.596822","Time and Materials","","06/25/2012","01/01/1970","U","ENTERPRISE SERVICES GOVERNANCE","45931","7003","","2012-07-27 17:26:21","2012-07-27 17:26:21"
"024-000003015","319","024","Department of Homeland Security","USCIS - Transformation","22321","149750","Awarded","7001","HSHQDC09J00001","HSHQDC06D00019","7001","Yes","INTERNATIONAL BUSINESS MACHINES CORPORATION","","57.168263","Cost Plus Award Fee","","03/02/2012","03/31/2014","U","THIS TASK ORDER ESTABLISHES THE UNITED STATES CITIZENSHIP AND IMMIGRATION SERVICES (USCIS) TRANSFORMATION PROGRAM SOLUTIONS ARCHITECT(SA).","46879","7001","","2012-08-22 07:14:22","2012-08-22 07:14:22"
"024-000003015","319","024","Department of Homeland Security","USCIS - Transformation","22322","169962","Awarded","7001","HSHQDC10F00153","GS10F8901H","4730","Yes","NETSTAR-1 GOVERNMENT CONSULTING, INC.","","19.719477","Firm Fixed Price","","09/27/2010","09/26/2012","Y","PROGRAM MANAGEMENT SUPPORT","43229","7001","0","2012-03-28 08:07:33","2012-03-28 08:07:33"
"024-000003015","319","024","Department of Homeland Security","USCIS - Transformation","22323","170051","Awarded","7003","HSSCCG10J00329","HSHQDC06D00026","7001","Yes","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","HSSCCG-10-R-00010","113.051608","Labor Hours","","06/13/2012","10/31/2014","U","SECURE ENTERPRISE TECHNOLOGY INFRASTRUCTURE (SETI)","46881","7003","","2012-08-22 07:14:22","2012-08-22 07:14:22"
"024-000003015","319","024","Department of Homeland Security","USCIS - Transformation","22324","170054","Awarded","7003","HSSCCG10J00208","HSHQDC07D00026","7001","Yes","M A FEDERAL INCORPORATED (2233)","HSSCCG10R00020","25.300041","Firm Fixed Price","","07/23/2010","12/30/2012","Y","HW and SW for the transformation program office for two DHS data centers, DC-1 (Data Center 1) and DC2 (Data Center 2).","43233","7003","0","2012-03-28 08:07:33","2012-03-28 08:07:33"
"024-000003015","319","024","Department of Homeland Security","USCIS - Transformation","24527","183391","Awarded","7001","HSSCCG12J00059","HSHQDC06D00025","7001","Yes","NTT DATA FEDERAL SERVICES, INC","HSSCCG-12-R-00007","18.209473","Time and Materials","","08/21/2012","04/26/2015","U","SYSTEM ASSURANCE TECHNICAL SERVICES (SATS) FC#3 COMPETITION.  UNRESTRICTED BIG AND SMALL","46883","7003","","2012-08-22 07:14:22","2012-08-22 07:14:22"
"024-000003038","320","024","Department of Homeland Security","USCIS - Naturalization - CLAIMS 4","24609","150057","Awarded","7003","HSSCCG11J00163","HSHQDC06D00021","7003","No","","","","","","","","","","","","","2012-06-28 07:17:35",""
"024-000004010","209","024","Department of Homeland Security","USSS - Enterprise Financial Management System (TOPS)","23305","150310","Awarded","7009","HSSS0112F0040","","","No","","","","","","","","","","","","","2012-06-26 07:16:26",""
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18451","157279","Awarded","7014","HSBP1010J00085","HSHQDC05D00002","7001","Yes","GE CONSUMER FINANCE BUISNESS CREDIT SERVICES","","0.005337","Firm Fixed Price","","06/01/2010","05/31/2015","Y","Copier Lease","42424","7014","0","2012-03-01 16:31:47","2012-03-01 16:31:47"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18452","166797","Awarded","7014","HSBP1011F00057","GS35F0823M","4730","Yes","COMPUTER ASSOCIATES INTERNATIO","","32.156986","Firm Fixed Price","","12/31/2010","09/29/2016","Y","CA Software Maintenance","42425","7014","0","2012-03-01 16:31:47","2012-03-01 16:31:47"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18454","166793","Awarded","7014","HSBP1011F00083","GS35F0468J","4730","Yes","LEVI RAY&SHOUP INC","","0.078901","Firm Fixed Price","","04/01/2011","03/31/2014","Y","software maintenance renewal with Levi, Ray&Shoup, with base year and 2 one-year option years","42427","7014","0","2011-09-14 07:13:47","2012-03-01 16:31:47"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18459","166932","Awarded","7014","HSBP1007F16147","GS10F0169K","4730","Yes","ICI, LLC","","16.747215","Firm Fixed Price","","07/01/2007","03/31/2012","Y","Facilities Services","42432","7014","0","2012-03-01 16:31:47","2012-03-01 16:31:47"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18462","177324","Awarded","7014","HSBP1011J00329","TC2001025","7014","Yes","INTERNATIONAL BUSINESS MACHINE","","42.990801","Cost Plus Fixed Fee","","04/29/2011","04/30/2012","Y","MODERNIZATION TASK ORDER ECOM","42435","7014","0","2012-03-01 16:31:47","2012-03-01 16:31:47"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18463","177319","Awarded","7014","HSBP1007F16147","GS10F0169K","4730","Yes","ICI, LLC","","16.747215","Firm Fixed Price","","07/01/2007","03/31/2012","Y","Facilities Services","42436","7014","0","2012-03-01 16:31:47","2012-03-01 16:31:47"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18464","177312","Awarded","7014","HSBP1011J00261","HSHQDC07D00028","7001","Yes","NCS TECHNOLOGIES INCORPORATED","","0.129608","Firm Fixed Price","","04/01/2011","03/31/2012","Y","FDR Software Maintenance for the period 4/1/11 through 3/31/12.","42437","7014","0","2012-03-01 16:31:47","2012-03-01 16:31:47"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18473","177305","Awarded","7014","HSBP1011F00177","GS35F0654R","4730","Yes","WILLIAM DATA SYSTEMS LIMITED LIABILITY COMPANY","","0.037132","Firm Fixed Price","","04/01/2011","03/31/2014","Y","Software maintenance","42446","7014","0","2012-03-01 16:31:47","2012-03-01 16:31:47"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18478","177316","Awarded","7014","HSBP1011J00025","HSHQDC07D00022","7001","Yes","WILDFLOWER INTERNATIONAL LIMITED","","0.025610","Firm Fixed Price","","10/01/2010","09/30/2013","Y","AppDetective Software license maintenance.","42451","7014","0","2012-03-01 16:31:48","2012-03-01 16:31:48"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18479","177315","Awarded","7014","HSBP1011J00112","HSHQDC07D00020","7001","Yes","ALL POINTS LOGISTICS INCORPORATED","","0.077642","Firm Fixed Price","","12/28/2010","12/27/2011","Y","RENEWAL OF SOFTWARE SUPPORT/MAINTENANCE","42452","7014","0","2012-03-01 16:31:48","2012-03-01 16:31:48"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18484","177320","Awarded","7014","HSBP1007F14663","HSHQDC06D00026","7001","Yes","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","","10.640905","Time and Materials","","12/26/2006","02/28/2012","Y","Data Recovery & Replication support Services under DHS-wide EAGLE","42455","7014","0","2012-03-01 16:31:48","2012-03-01 16:31:48"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18501","177349","Awarded","7014","HSBP1011J00182","HSBP1009D02335","7014","Yes","MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION","","0.968000","Firm Fixed Price","","02/02/2011","02/02/2012","N","Microsoft Consulting Services","42467","7014","0","2011-09-14 07:13:47","2012-03-01 16:31:48"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18502","177360","Awarded","7014","HSBP1009J26296","HSBP1007D01587","7014","Yes","PRIMESCAPE SOLUTIONS INCORPORATED","","26.743457","Labor Hours","","05/28/2009","02/28/2012","Y","Contract Support Services","42468","7014","0","2012-03-01 16:31:48","2012-03-01 16:31:48"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18515","177372","Awarded","7014","HSBP1011F00061","GS35F0196M","4730","Yes","SOFTCHOICE CORPORATION","","0.438570","Firm Fixed Price","","12/30/2010","12/31/2013","Y","NOVELL MANAGED OBJECTS SOFTWARE AND MAINENANCE FOR CALENDER YEAR 2011, WITH 2 1-YEAR OPTION PERIODS.","42474","7014","0","2012-03-01 16:31:48","2012-03-01 16:31:48"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18516","177361","Awarded","7014","HSBP1011F00159","GS35F5337H","4730","Yes","COMPUWARE CORPORATION","","0.385676","Firm Fixed Price","","03/31/2011","03/31/2014","Y","Proprietary software license and maintenance renewals.","42475","7014","0","2012-03-01 16:31:48","2012-03-01 16:31:48"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","18518","177366","Awarded","7014","HSBP1011J00272","HSHQDC07D00021","7001","Yes","COMPUTER WORLD SERVICES CORPORATION","","0.310148","Firm Fixed Price","","04/30/2011","04/29/2014","Y","Anual Maintenance of Trend Micro ScanMail","42476","7014","0","2012-03-01 16:31:48","2012-03-01 16:31:48"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24851","187810","Awarded","7014","HSBP1012F00095","GS25F0062L","4730","Yes","XEROX CORPORATION","0020066091","0.000890","Firm Fixed Price","","03/30/2012","09/30/2012","U","XEROX COPIER MAINTENANCE.","45699","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24853","187809","Awarded","7014","HSBP1010J00845","HSHQDC07D00026","7001","Yes","M A FEDERAL INCORPORATED (2233)","","1.738668","Firm Fixed Price","","02/09/2012","10/31/2012","U","SOFTWARE LICENSE RENEWALS.","45701","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24855","187808","Awarded","7014","HSBP1011C00040","","","Yes","DATAWIZ CORPORATION","","1.902936","Time and Materials","","03/02/2012","12/30/2012","U","DATA CENTER RELOCATION SERVICES","45703","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24857","187812","Awarded","7014","HSBP1011F00061","GS35F0196M","4730","Yes","SOFTCHOICE CORPORATION","","0.438570","Firm Fixed Price","","01/31/2012","12/31/2012","U","MANAGED OBJECTS SOFTWARE MAINTENANCE.  THIS ACTION PROVIDES REMAINING FUNDING FOR OPTION PERIOD 1.","45705","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24859","187813","Awarded","7014","HSBP1010C00072","","","Yes","RESURGENS RISK MANAGEMENT, INC.","HSBP1010Q0079","0.495603","Firm Fixed Price","","06/01/2012","05/22/2013","U","OTHER FUNCTIONS","45707","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24861","187820","Awarded","7014","HSBP1009F25053","GS35F5891H","4730","Yes","SAP PUBLIC SERVICES, INC","","5.823180","Firm Fixed Price","","12/30/2011","09/30/2012","U","SAP SUPPORT AND MAINTENANCE: FUNDING FOR THE PERIOD JANUARY THROUGH MARCH 2011.","45709","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24863","187816","Awarded","7014","HSBP1012J00112","HSHQDC07D00029","7001","Yes","FCN, INC.","","0.479392","Firm Fixed Price","","01/18/2012","01/17/2013","U","DAMS HP BTO SUPPORT MAINTENANCE","45711","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24865","187811","Awarded","7014","HSBP1012F00087","GS35F4880H","4730","Yes","VIATECH SYSTEMS, INCORPORATED","","5.623845","Time and Materials","","07/13/2012","09/15/2012","U","CLOSELY ASSOCIATED - INFORMATION TECHNOLOGY TRAINING AND SUPPORT SERVICES","45713","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24867","187818","Awarded","7014","HSBP1012J00320","HSHQDC07D00024","7001","Yes","GOVERNMENT ACQUISITIONS INCORPORATED","","0.083345","Firm Fixed Price","","04/05/2012","03/31/2013","U","OTHER FUNCTIONS - ORACLE SOLARIS PREMIER SOFTWARE MAINTENANCE RENEWAL","45715","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24869","187821","Awarded","7014","HSBP1009J26296","HSBP1007D01587","7014","Yes","PRIMESCAPE SOLUTIONS INCORPORATED","","16.501844","Labor Hours","","02/28/2012","07/15/2012","U","PRIMESCAPE, INCREASE INCREMENTAL FUNDING ON OPTION YEAR 2","45717","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24871","187932","Awarded","7014","HSBP1011J00888","HSHQDC10A00102","7001","Yes","MYTHICS, INC","","10.995769","Time and Materials","","05/14/2012","07/04/2012","U","EXERCISE OPTION 1 UNDER UTOPIA SUPPORT PLAN CONTRACT FOR OIT OFFICE","45719","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24873","187931","Awarded","7014","HSBP1012J00333","HSHQDC07D00028","7001","Yes","NCS TECHNOLOGIES INCORPORATED","","0.144024","Firm Fixed Price","","04/12/2012","05/12/2012","U","IT INFRASTRUCTURE EQUIPMENT","45721","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
"024-000005188","311","024","Department of Homeland Security","CBP - Infrastructure","24875","187937","Awarded","7014","HSBP1010J00845","HSHQDC07D00026","7001","Yes","M A FEDERAL INCORPORATED (2233)","","1.738668","Firm Fixed Price","","02/09/2012","10/31/2012","U","SOFTWARE LICENSE RENEWALS.","45723","7014","","2012-07-27 07:37:16","2012-07-27 07:37:16"
