Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,FEA Performance Measurement Category Mapping,Baseline,Target for PY,Actual for PY,Target for CY,Measurement Condition,Reporting Frequency,Most Recent Actual Results,Actuals have Met/Not Met Target,Comment,Updated Date,Updated Time
"024-000003127","323","024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","404","178460","Video Services Support (Section #8 of the ITOM PWS)","Setup, Scheduling, and Availability of Video Svcs","215-Technology - Reliability and Availability","94.000000","94.000000","99.000000","94.000000","Under target","Monthly","99.000000","Not Met","For every 1% below the Acceptable Quality Level (AQL) the contractor will earn one negative point.  One negative point will be equivalent to a .25% reduction in the invoice amount for a particular CLIN item.","08/22/2012","07:14:24"
"024-000003127","323","024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","405","178456","Master Delivery Order - Site Shipment and Service Requests (SSSR)","Delivery within 20 days of receipt of SSSR.","203-Process and Activities - Cycle Time and Timeliness","0.000000","100.000000","700.000000","100.000000","Under target","Monthly","100.000000","Met","Contractor performance is documented in monthly status report per the contract.","08/22/2012","07:14:24"
"024-000003127","323","024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","406","178458","IV&V Technical Service (TS) Performance","Grades received for IV&V Techical Service (G,Y,R)","212-Technology - Quality Assurance","85.000000","95.000000","93.000000","95.000000","Under target","Monthly","94.000000","Met","No disincentives on contract; however, contractor relies heavily on sponsor feedback and recommendations on other potential contracts.","08/22/2012","07:14:24"
"024-000003127","323","024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","407","178457","Secure Enterprise Technology Infrastructure (SETI) - Inventory and Accountability","Create property record for all new assets.","103-Mission and Business Results - Management of Government Resources","95.000000","95.000000","94.000000","95.000000","Under target","Semi-Annual","94.000000","Met","For every 1% below 95% the contractor may be subject to a .25% reduction in the invoice amount for the CLIN.","08/22/2012","07:14:24"
"024-000003127","323","024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","408","178461","Operational Services and Enterprise Server Administration","Respond to Service requests within 1hr of receipt.","113-Customer Results - Timeliness and Responsiveness","95.000000","95.000000","95.000000","95.000000","Under target","Monthly","96.000000","Not Met","For every 1% below 95% the contractor will earn one negative point.","08/22/2012","07:14:24"
"024-000003127","323","024","Department of Homeland Security","USCIS - Infrastructure (End User Support)","409","178459","Voice Communications","Respond to Service requests within 1hr of receipt.","113-Customer Results - Timeliness and Responsiveness","95.000000","95.000000","95.000000","95.000000","Under target","Monthly","99.000000","Not Met","For every 1% below 95% the contractor will earn one negative point.","08/22/2012","07:14:24"
"024-000003036","324","024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","708","171201","Percent of outstanding change requests completed","Percent","216-Technology - Effectiveness","20.000000","20.000000","50.000000","30.000000","Over target","Semi-Annual","50.000000","Met","SCRs were reviewed for several sub-systems and updated per business team guidelines; these sub-systems are within goals set","08/24/2012","08:57:05"
"024-000003036","324","024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","709","171197","Percent of new policies and regulations changes implemented by policy date to assure system can assist with increasing quality and tracking of decisions","Percent","101-Mission and Business Results - Services for Citizens","99.000000","99.000000","90.000000","99.000000","Over target","Semi-Annual","93.000000","Not Met","For FY12 through March, most time sensitive requests have been reached; we are within goal for this FY.","08/24/2012","08:57:05"
"024-000003036","324","024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","710","171196","Percent of CLAIMS 3 service desk tickets closed within 72 hours","Percent","111-Customer Results - Customer Benefit","95.000000","95.000000","75.000000","95.000000","Over target","Monthly","93.000000","Not Met","Completion of SD tickets remained steady. Will continue to monitor for improvement monthly (July)","08/24/2012","08:57:05"
"024-000003036","324","024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","711","171198","Percent of Ad-Hoc customer requests completed by requester's completion date","Percent","111-Customer Results - Customer Benefit","95.000000","95.000000","99.000000","95.000000","Over target","Monthly","99.000000","Met","Remained consistent for July 2012","08/24/2012","08:57:05"
"024-000003036","324","024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","712","171202","Percent of office realignments/requests from bussiness customers/field offices completed timely","Percent","111-Customer Results - Customer Benefit","98.000000","98.000000","100.000000","98.000000","Over target","Semi-Annual","95.000000","Not Met","Completed most requests timely; working with business team on schedule to assure that all can be met for FY12 goal","08/24/2012","08:57:05"
"024-000003036","324","024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","713","171204","Percent of Security POAMs corrected by date as detailed in the project plan","Percent","205-Process and Activities - Security and Privacy","95.000000","95.000000","100.000000","95.000000","Over target","Monthly","100.000000","Met","Completed all POAMs for July 2012","08/24/2012","08:57:05"
"024-000003036","324","024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","714","171195","Percent of time CLAIMS 3 available to users during office hours","Percent","215-Technology - Reliability and Availability","98.000000","98.000000","98.500000","98.000000","Over target","Monthly","99.000000","Met","Remained consistent; within target for July 2012","08/24/2012","08:57:05"
"024-000003036","324","024","Department of Homeland Security","USCIS - Immigration - CLAIMS 3.0","715","179279","Pecent of immigration benefit requests completed within average processing time guidelines","Percent","113-Customer Results - Timeliness and Responsiveness","80.000000","80.000000","85.000000","85.000000","Over target","Quarterly","85.000000","Met","Forms are within processing time goals.","08/24/2012","08:57:05"
"024-000003040","326","024","Department of Homeland Security","USCIS - Customer Service Web Portal","1143","171186","Increase the number of FOIA Web Status Check Uses","Number","202-Process and Activities - Productivity","200000.000000","200000.000000","211383.000000","240000.000000","Over target","Monthly","23731.000000","Not Met","Transactions made in July 2012. On target for meeting goal.","08/23/2012","07:14:05"
"024-000003040","326","024","Department of Homeland Security","USCIS - Customer Service Web Portal","1144","171182","Sustain the current number of visits per month","Number","202-Process and Activities - Productivity","6000000.000000","6000000.000000","5958390.000000","6000000.000000","Under target","Monthly","9978616.000000","Not Met","Visits for July 2012.","08/23/2012","07:14:05"
"024-000003040","326","024","Department of Homeland Security","USCIS - Customer Service Web Portal","1145","171183","Grow the number of content subscribers","Number","115-Customer Results - Service Accessibility","250000.000000","250000.000000","289697.000000","300000.000000","Over target","Monthly","334609.000000","Met","Number of subscribers as of July 2012","08/23/2012","07:14:05"
"024-000003040","326","024","Department of Homeland Security","USCIS - Customer Service Web Portal","1146","171184","Sustain the ACSI Score","Score","101-Mission and Business Results - Services for Citizens","80.000000","80.000000","80.000000","80.000000","Over target","Monthly","83.000000","Met","Score for July 2012","08/23/2012","07:14:05"
"024-000003040","326","024","Department of Homeland Security","USCIS - Customer Service Web Portal","1147","171185","Increase the number of links shared per month through Social Media technology tools","Number","216-Technology - Effectiveness","1500.000000","1500.000000","1500.000000","1750.000000","Over target","Monthly","1247.000000","Not Met","Need to refocus ways to better utilize social media capabilities.","08/23/2012","07:14:05"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","2465","170315","Percent of SAVE automated additional verification requests responded to within 3 Federal government workdays of receipt.","Percent","114-Customer Results - Service Quality","99.000000","99.000000","99.000000","99.000000","Over target","Quarterly","100.000000","Met","","08/23/2012","07:14:04"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","2469","170311","Percentage of USCIS record checks completed within 24 hours/1 business day for E-Verify queries requiring additonal information verification","Percent","102-Mission and Business Results - Support Delivery of Services","99.000000","99.000000","99.200000","99.000000","Over target","Quarterly","100.000000","Met","","08/23/2012","07:14:04"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","4493","183169","Time to restore severity 1 (critical) problems","Percent","215-Technology - Reliability and Availability","90.000000","0.000000","0.000000","90.000000","Under target","Monthly","100.000000","Not Met","SLA deactivated due to migration to DC-1,","08/23/2012","07:14:04"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","4494","183170","Time to restore Severity 2 (moderate) problems","Percent","215-Technology - Reliability and Availability","90.000000","0.000000","0.000000","90.000000","Over target","Monthly","100.000000","Met","SLA deactivated due to migration to DC-1,","08/23/2012","07:14:04"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","4495","181906","VIS System's high-availability applications shall be shall be 100% available to the Production environment during normal business hours, less negotiated maintenance windows","Percent","211-Technology - Technology Costs","100.000000","0.000000","100.000000","100.000000","Over target","Monthly","100.000000","Met","","08/23/2012","07:14:04"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","4496","181905","Respond to 98% of Tier 3 calls within 15 minutes of notification during normal business hours","Percent","113-Customer Results - Timeliness and Responsiveness","100.000000","0.000000","100.000000","100.000000","Over target","Monthly","100.000000","Met","","08/23/2012","07:14:04"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","4497","182829","Performance to schedule and budge for system enhancement projects/Within 7 days of negotiated schedule","Days","203-Process and Activities - Cycle Time and Timeliness","7.000000","0.000000","7.000000","7.000000","Over target","Monthly","7.000000","Met","","08/23/2012","07:14:04"
"024-000003029","327","024","Department of Homeland Security","USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)","4498","183171","24 x 7 Availability less maint window of 18:00 - 24:00 on Sundays","Percent","215-Technology - Reliability and Availability","99.900000","0.000000","0.000000","99.900000","Over target","Monthly","100.000000","Met","SLA deactivated due to migration to DC-1,","08/23/2012","07:14:04"
"024-000005119","389","024","Department of Homeland Security","CBP - Non-Intrusive Inspection (NII) Systems Program","561","170516","Increase number of large-scale NII systems operational in the field (subject to funding availability)","Number","112-Customer Results - Service Coverage","275.000000","301.000000","299.000000","319.000000","Over target","Semi-Annual","301.000000","Not Met","As of 3/31/12 for FY2012","04/24/2012","07:09:44"
"024-000005119","389","024","Department of Homeland Security","CBP - Non-Intrusive Inspection (NII) Systems Program","562","170513","Maintain  overall inspection rate of 20% for land, sea, and rail as cargo volume increases","Percent","101-Mission and Business Results - Services for Citizens","20.000000","20.000000","23.900000","20.000000","Over target","Semi-Annual","23.900000","Met","Most Recent Actual Results are as of 9/30/11 for FY11.","04/24/2012","07:09:44"
"024-000005119","389","024","Department of Homeland Security","CBP - Non-Intrusive Inspection (NII) Systems Program","563","170514","Maintain percentage  of targeted containers, cargo, and international mail inspected","Percent","101-Mission and Business Results - Services for Citizens","100.000000","100.000000","100.000000","100.000000","Over target","Semi-Annual","100.000000","Met","Most Recent Actual Results are as of 9/30/11 for FY11.","04/24/2012","07:09:44"
"024-000005119","389","024","Department of Homeland Security","CBP - Non-Intrusive Inspection (NII) Systems Program","564","170517","Meet prior year's number of contraband seizures due to NII examinations (monthly report will show cumulative progress toward the year's goal)","Number","202-Process and Activities - Productivity","1457.000000","1457.000000","1385.000000","1457.000000","Over target","Monthly","1385.000000","Not Met","Most Recent Actual Results are as of 9/30/11 for FY11.","04/24/2012","07:09:44"
"024-000005119","389","024","Department of Homeland Security","CBP - Non-Intrusive Inspection (NII) Systems Program","565","170515","Meet average percentage of NII imaging equipment operational availability","Percent","215-Technology - Reliability and Availability","95.000000","95.000000","","95.000000","Over target","Semi-Annual","95.000000","Met","Most Recent Actual Results are as of 9/30/10 for FY10.  Still compiling FY11 results. This was an annual PM until recent FY 13 E-300 change.","04/24/2012","07:09:44"
"024-000005119","389","024","Department of Homeland Security","CBP - Non-Intrusive Inspection (NII) Systems Program","566","172639","Meet average percentage of large-scale NII imaging equipment operational availability, for those systems past their expected life that are operational in the field","Percent","215-Technology - Reliability and Availability","95.000000","95.000000","","95.000000","Over target","Semi-Annual","","","N/A, new measure, do not have results.","04/24/2012","07:09:44"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","634","171213","Logistics streamlined","Percent","103-Mission and Business Results - Management of Government Resources","85.000000","90.000000","88.000000","90.000000","Over target","Monthly","88.000000","Not Met","> target is better","08/23/2012","07:14:15"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","635","171212","Systems accessible by OCONUS users","Percent","115-Customer Results - Service Accessibility","85.000000","90.000000","85.000000","90.000000","Over target","Monthly","89.000000","Not Met","> target is better","08/23/2012","07:14:15"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","636","171210","Project Management Tools in place","Percent","202-Process and Activities - Productivity","90.000000","100.000000","90.000000","100.000000","Over target","Monthly","92.000000","Not Met","> target is better","08/23/2012","07:14:15"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","637","171209","System Availability Targets Met","Percent","215-Technology - Reliability and Availability","85.000000","90.000000","85.000000","85.000000","Over target","Monthly","86.000000","Met","> target is better","08/23/2012","07:14:15"
"024-000003129","419","024","Department of Homeland Security","USCIS - Infrastructure (Enterprise)","638","171211","Maintain costs within 10% of preceding FY levels","Dollar","211-Technology - Technology Costs","34.500000","35.000000","36.000000","37.367000","Under target","Monthly","24.685000","Met","at or just below target better","08/23/2012","07:14:15"
"024-999992100","420","024","Department of Homeland Security","NPPD - Information Systems Security Line of Business (LoB)","393","171562","% of scorecard agencies utilizing an ISSLOB C&A  SSC","Percent","103-Mission and Business Results - Management of Government Resources","20.000000","20.000000","10.100000","25.000000","Over target","Quarterly","33.000000","Met","PMO is revising SSC metrics in FY11, and will begin collecting in Q4FY11","07/24/2012","07:11:47"
"024-999992100","420","024","Department of Homeland Security","NPPD - Information Systems Security Line of Business (LoB)","394","171561","% of scorecard agencies using Security Awareness training solutions as provided by ISSLOB SSCs","Percent","103-Mission and Business Results - Management of Government Resources","85.000000","85.000000","","90.000000","Over target","Quarterly","16.000000","Not Met","PMO is revising SSC metrics in FY11, and will begin collecting in Q4FY11","07/24/2012","07:11:47"
"024-999992100","420","024","Department of Homeland Security","NPPD - Information Systems Security Line of Business (LoB)","395","171566","% of users indicating positive satisfaction with ISSLOB Security Awareness (Tier I) SSCs","Percent","114-Customer Results - Service Quality","80.000000","85.000000","","90.000000","Over target","Quarterly","100.000000","Met","This number is reflective of the agencies who responded to our survey currently","07/24/2012","07:11:47"
"024-999992100","420","024","Department of Homeland Security","NPPD - Information Systems Security Line of Business (LoB)","396","171564","% of users indicating positive satisfaction with ISSLOB C&A SSCs","Percent","114-Customer Results - Service Quality","80.000000","85.000000","","90.000000","Over target","Quarterly","100.000000","Met","This number is reflective of the agencies who responded to our survey currently","07/24/2012","07:11:47"
"024-999992100","420","024","Department of Homeland Security","NPPD - Information Systems Security Line of Business (LoB)","397","171563","Cost Avoidance acheived utilizing ISSLOB SAIR BPAs","Dollar","211-Technology - Technology Costs","7000000.000000","10000000.000000","78000000.000000","15000000.000000","Over target","Monthly","14781048.990000","Not Met","The PMO collects monthly metrics on BPA purchases and cost avoidance from product resellers. Cost Avoidance is measured as compared to pricing listed on GSA Schedule 70.","07/24/2012","07:11:47"
"024-999992100","420","024","Department of Homeland Security","NPPD - Information Systems Security Line of Business (LoB)","398","171565","Cost Avoidance acheived utilizng ISSLOB RMF BPAs","Dollar","211-Technology - Technology Costs","7000000.000000","0.000000","0.000000","7000000.000000","Over target","Monthly","0.000000","Not Met","A purchase has been made on the RMF BPA - GSA is calculating Cost Avoidance","07/24/2012","07:11:47"
"024-999992100","420","024","Department of Homeland Security","NPPD - Information Systems Security Line of Business (LoB)","399","180875","Cost Avoidance","Percent","213-Technology - Efficiency","7000000.000000","0.000000","0.000000","7000000.000000","Over target","Quarterly","180.000000","Not Met","PMO's current Cost Avoidance is determiend as amn annual cumulative number","07/24/2012","07:11:47"
"024-000005670","834","024","Department of Homeland Security","TSA - Air Cargo Security","125","170300","Decrease the median time (in calendar days) to process a shipper appeal in KSMS - from the time when a user submits an appeal to the time when the appeal result is returned to the user.","Days","113-Customer Results - Timeliness and Responsiveness","30.000000","14.000000","14.000000","7.000000","Under target","Quarterly","17.000000","Not Met","Q3 Actuals","08/22/2012","07:14:35"
"024-000005670","834","024","Department of Homeland Security","TSA - Air Cargo Security","126","170301","Maintain the median time (in calendar days) to process a Security Threat Assessment in IACMS.  - from the time when a user submits an STA to the time when the STA result is returned to the user.","Days","203-Process and Activities - Cycle Time and Timeliness","4.000000","4.000000","4.000000","4.000000","Under target","Quarterly","11.000000","Not Met","Q2 Actuals","08/22/2012","07:14:35"
"024-000005670","834","024","Department of Homeland Security","TSA - Air Cargo Security","127","176295","Decrease the median time (in seconds) to adjudicate a shipper through Single Shipper in KSMS - from the time when a user submits a shipper record to the time when the system displays the shipper record status to the user.","Seconds","113-Customer Results - Timeliness and Responsiveness","5.000000","5.000000","4.000000","4.000000","Under target","Monthly","4.000000","Met","Currently meeting target for the month of July.","08/22/2012","07:14:35"
"024-000005670","834","024","Department of Homeland Security","TSA - Air Cargo Security","128","176293","Maintain operational availability percentage (excluding maintenance windows) of KSMS per KSMS FRD.","Percent","215-Technology - Reliability and Availability","95.000000","95.000000","95.000000","95.000000","Over target","Monthly","100.000000","Met","Currently meeting target for the month of July.","08/22/2012","07:14:35"
"024-000005670","834","024","Department of Homeland Security","TSA - Air Cargo Security","129","176294","Maintain operational availability percentage (excluding maintenance windows) of IACMS per IACMS FRD.","Percent","215-Technology - Reliability and Availability","95.000000","95.000000","95.000000","95.000000","Over target","Monthly","100.000000","Met","Currently meeting target for the month of July.","08/22/2012","07:14:35"
"024-000005670","834","024","Department of Homeland Security","TSA - Air Cargo Security","130","176296","Maintain operational availability percentage (excluding maintenance windows) of FAS per FAS FRD.","Percent","215-Technology - Reliability and Availability","95.000000","95.000000","95.000000","95.000000","Over target","Monthly","100.000000","Met","Currently meeting target for the month of July.","08/22/2012","07:14:35"
"024-000005395","836","024","Department of Homeland Security","ICE - Criminal Alien Identification Initiatives (CAII)","106","178698","Decrease the number of LESC (ACRIMe Stabilization) trouble tickets submitted by system users","Number","216-Technology - Effectiveness","332.000000","250.000000","209.000000","200.000000","Under target","Monthly","167.000000","Met","Cumulative metric that increase each month","08/19/2012","13:06:05"
"024-000005395","836","024","Department of Homeland Security","ICE - Criminal Alien Identification Initiatives (CAII)","107","175624","Number of charged or convicted aliens identified through integrated records check","Number","101-Mission and Business Results - Services for Citizens","95000.000000","100000.000000","100000.000000","100000.000000","Over target","Monthly","86120.000000","Not Met","Cumulative metric that increase each month","08/19/2012","13:06:05"
"024-000005395","836","024","Department of Homeland Security","ICE - Criminal Alien Identification Initiatives (CAII)","108","175622","Immigration Alien Query (IAQ) processing capacity of the Law Enforcement Support Center (LESC); as additional capabilities are introduced and automated efficiencies realized, the IAQ processing capacity of the LESC will increase.","Number","216-Technology - Effectiveness","807106.000000","1060000.000000","1133130.000000","1100000.000000","Over target","Semi-Annual","602131.000000","Not Met","","08/19/2012","13:06:05"
"024-000005395","836","024","Department of Homeland Security","ICE - Criminal Alien Identification Initiatives (CAII)","109","178697","Total Alien Criminal Response Information Management (ACRIMe) system availability (takes into account both scheduled and unscheduled downtime)","Percentage","215-Technology - Reliability and Availability","99.450000","99.450000","99.570000","99.450000","Over target","Monthly","99.520000","Met","","08/19/2012","13:06:05"
"024-000005395","836","024","Department of Homeland Security","ICE - Criminal Alien Identification Initiatives (CAII)","110","175625","Decrease the time it takes to process and respond to IAQs, Brady requests and other IAQ style requests; measured in minutes","Other","113-Customer Results - Timeliness and Responsiveness","12.000000","10.000000","10.330000","10.000000","Under target","Quarterly","11.000000","Not Met","As of Feb, 2012, faster processing functionality is still being repaired. New functionality to release by September will decrease processing time.","08/19/2012","13:06:05"
"024-000005395","836","024","Department of Homeland Security","ICE - Criminal Alien Identification Initiatives (CAII)","111","178699","Reduce the number of systems that users must be logged into and searched during the course of processing IAQ and other requests","Number","213-Technology - Efficiency","20.000000","15.000000","15.000000","11.000000","Under target","Monthly","15.000000","Not Met","As of May 2012, new functionality to decrease number of systems that users must be logged into has not been deployed.","08/19/2012","13:06:05"
"024-000005395","836","024","Department of Homeland Security","ICE - Criminal Alien Identification Initiatives (CAII)","112","178696","Increase the number of ICE personnel who work external to the LESC who can use CAII functionality to gather investigative information. This metric is indicative of the enterprise nature of the CAII systems; providing functionality not based on location, but by authorization and authentication. This is a new metric for 2012 that will be measureable as new functionality is released.","Number","112-Customer Results - Service Coverage","0.000000","0.000000","0.000000","100.000000","Over target","Semi-Annual","0.000000","Not Met","This is a new metric for 2012 that will be measureable as new functionality is released.","08/19/2012","13:06:05"
"024-000005395","836","024","Department of Homeland Security","ICE - Criminal Alien Identification Initiatives (CAII)","113","178824","Decrease the time it takes to validate, clear and update National Crime Information Center (NCIC) warrants; measured in minutes","Other","203-Process and Activities - Cycle Time and Timeliness","0.000000","0.000000","0.000000","4.500000","Under target","Quarterly","5.000000","Not Met","This is a new metric for 2012 that will be measureable as new functionality is released. Changes in project prioritization will push deployment of new functionality to 2013.","08/19/2012","13:06:05"
"024-000009502","855","024","Department of Homeland Security","NPPD - Critical Infrastructure Technology and Architecture (CITA)","292","172052","User Req's: % of IP Application Sponsor's approved functional IT requirements met thru CITA tech. svcs.  Expressed as %:  amount of approved & implemented functional IT requirements submitted by IP App. Sponsors, divided by total amount of approved functional IT requirements.","Percent","216-Technology - Effectiveness","95.000000","0.000000","0.000000","95.000000","Over target","Semi-Annual","96.000000","Met","Reporting frequency should be semi-annual to align with goal to improve functionality every 6 months.  This is a new metric therefore actuals have not been collected for PY.","06/29/2012","06:55:41"
"024-000009502","855","024","Department of Homeland Security","NPPD - Critical Infrastructure Technology and Architecture (CITA)","293","172054","Availability: % of hours the production (O&M) systems are available per month, with the exception of planned downtime.  Expressed as %:  amount of hours per month the production system is operationally available for use, not including any planned downtime for maintenance, divided by total amount of hours in a month.","Percent","215-Technology - Reliability and Availability","98.000000","98.000000","98.500000","99.000000","Over target","Monthly","100.000000","Met","Production  systems located at DHS approved data centers have their reliability maintained by the data center in alignment with the service level agreement (SLA).  The SLA is maintained by the DHS CIO.","06/29/2012","06:55:41"
"024-000009502","855","024","Department of Homeland Security","NPPD - Critical Infrastructure Technology and Architecture (CITA)","294","172055","Information Security: % of IP systems in compliance with DHS information security standards for acquiring and maintaining an Authority to Operate (ATO).  Expressed as %:  amount of systems within the appropriate thresholds for compliance with FISMA Security Authorization (formerly Certification and Accreditation) documentation requirements, divided by total amount of systems that should meet those thresholds.","Percent","103-Mission and Business Results - Management of Government Resources","95.000000","0.000000","0.000000","95.000000","Over target","Monthly","95.000000","Met","The goal of this measure is to show increased information system security over time.  This is a new metric therefore actuals have not been collected for PY.","06/29/2012","06:55:41"
"024-000009502","855","024","Department of Homeland Security","NPPD - Critical Infrastructure Technology and Architecture (CITA)","295","172056","Interoperability: % of IP systems in compliance with application sponsor interoperability requirements within agreed upon and designated timeframes.  Expressed as %: amount of systems that are working towards interoperability and are on time, divided by the total number of systems that are working towards interoperability.","Percent","213-Technology - Efficiency","90.000000","0.000000","0.000000","91.000000","Over target","Quarterly","95.000000","Met","The goal of this metric is to ensure we are being efficient in meeting our stakeholders interoperability needs.  Additionally it should measure our ability to ensure timeliness and responsiveness to our stakeholder's needs.  This is a new metric therefore actuals have not been collected for PY.","06/29/2012","06:55:41"
"024-000009502","855","024","Department of Homeland Security","NPPD - Critical Infrastructure Technology and Architecture (CITA)","296","172053","Customer Results:  % of Tier 1 helpdesk tickets per month that are closed within 8 business hours.  Expressed as %:  amount of Tier 1 helpdesk tickets per month that are closed within 8 business hours, divided by total amount of Tier 1 helpdesk tickets per month.","Percent","113-Customer Results - Timeliness and Responsiveness","93.000000","0.000000","0.000000","93.000000","Over target","Monthly","96.000000","Met","The goal of this measurement is to show fast response times to stakeholder needs.  This is a new metric therefore actuals have not been collected for PY.","06/29/2012","06:55:41"
"024-000009502","855","024","Department of Homeland Security","NPPD - Critical Infrastructure Technology and Architecture (CITA)","297","177556","Integration:  % of existing IP applications which have been integrated into the IP Gateway.  Expressed as %:  Total number of applications integrated into the IP Gateway, divided by the total number of non-regulatory IP applications.","Percent","214-Technology - Information and Data","80.000000","0.000000","0.000000","83.000000","Over target","Semi-Annual","91.000000","Met","The goal of this metric is to show the consolidation of IP's IT applications over time.  This is a new metric for FY12 therefore actuals have not been collected for PY.","06/29/2012","06:55:41"
"024-000005362","932","024","Department of Homeland Security","ICE - Intelligence Fusion Systems (IFS)","567","171100","Maintain uptime availability (excluding scheduled outages) for IFS","Percent","215-Technology - Reliability and Availability","95.000000","98.000000","95.000000","98.000000","Over target","Monthly","90.000000","Not Met","updated 8/17","08/22/2012","07:14:33"
"024-000005362","932","024","Department of Homeland Security","ICE - Intelligence Fusion Systems (IFS)","568","171098","Increase number of Agents/Specialists using IFS and who have access to search and retrieval capabilities.","Number","101-Mission and Business Results - Services for Citizens","9500.000000","10000.000000","11026.000000","12000.000000","Over target","Quarterly","10400.000000","Not Met","updated","08/22/2012","07:14:33"
"024-000005362","932","024","Department of Homeland Security","ICE - Intelligence Fusion Systems (IFS)","569","171102","Maintain percent of helpdesk calls resolved in 15 minutes","Percent","202-Process and Activities - Productivity","90.000000","90.000000","90.000000","90.000000","Over target","Monthly","95.000000","Met","updated 8/17","08/22/2012","07:14:33"
"024-000005362","932","024","Department of Homeland Security","ICE - Intelligence Fusion Systems (IFS)","570","171101","Increase # of training classes offered","Number","111-Customer Results - Customer Benefit","8.000000","15.000000","19.000000","18.000000","Over target","Quarterly","7.000000","Not Met","updated results","08/22/2012","07:14:33"
"024-000005362","932","024","Department of Homeland Security","ICE - Intelligence Fusion Systems (IFS)","571","171099","Maintain percentage of average customers who rate satisfaction of training course as strongly agree","Percent","111-Customer Results - Customer Benefit","90.000000","90.000000","90.000000","90.000000","Over target","Monthly","95.000000","Met","updated 8/17","08/22/2012","07:14:33"
"024-000005362","932","024","Department of Homeland Security","ICE - Intelligence Fusion Systems (IFS)","572","180163","Increase system alignment to the ICE OCIO TRM","Percent","213-Technology - Efficiency","10.000000","15.000000","15.000000","20.000000","Over target","Quarterly","15.000000","Not Met","Plan to Sunset system within the next 9 months","08/22/2012","07:14:33"
"024-000005072","1104","024","Department of Homeland Security","CBP - TECS Modernization","545","170572","increase in the number of Person Subject records that include (or link to) a photo to enable a CBP inspector to verify an identity against a photo","Number","101-Mission and Business Results - Services for Citizens","0.000000","0.000000","0.000000","120000.000000","Over target","Monthly","0.000000","Not Met","Functionality will not be operational until 4th Qtr, FY 2012 at which point actuals will begin to be collected.  Monthly increase will be 12,000 to 18,000 per month. Not yet measureable as of July 2012","08/22/2012","07:14:32"
"024-000005072","1104","024","Department of Homeland Security","CBP - TECS Modernization","546","170578"," % of secondary Inspection referrals recorded in the Single Encounter Database","Percent","114-Customer Results - Service Quality","0.000000","0.000000","0.000000","40.000000","Over target","Monthly","0.000000","Not Met","The ability to record secondary referrals in the secondary encounter data base will not be operational until completion of  FY 2012 at which point actuals will be collected. 40% of air transactions of secondary inspection referrals will be recorded in single encounter database.  Not yet measureable.As of July 2012","08/22/2012","07:14:32"
"024-000005072","1104","024","Department of Homeland Security","CBP - TECS Modernization","547","170574","Percent of time that system capabilities are available.","Percent","215-Technology - Reliability and Availability","99.700000","99.700000","99.700000","99.700000","Over target","Monthly","99.700000","Met","Unchanged through July 2012. Only Track 1 (Air and Sea) of one project of Secondary Inspection (approximately 9% of the program) is operationally measurable now. This metric is a TECS Mod Key Performance Parameter that will be fully measurable after capability delivery from all five projects in FY15 and implementation of the dual data center is fully incorporated.","08/22/2012","07:14:32"
