"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Target 2015","Agency Baseline Capability","Target 2016","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Status","Latest Actual Result Met/Not Met (derived)","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
015-000000045,538,"	015","Department of the Treasury","Modernized e-File (MeF)",23039,"	200159","Percent of individual tax returns processed electronically.",percentage,"2 - Strategic and Business Results",75,0,80,"Over target",Quarterly,"1130 - Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code",169549,"	209029",87.74,,Met,"Actual result as of 06/30/2016",2016-06-30,n,2016-08-26,19:19:11
015-000000045,538,"	015","Department of the Treasury","Modernized e-File (MeF)",23041,"	200165","Total quarterly cost savings derived from electronically filed tax returns. Savings achieved is based on an average of $10M target savings per quarter. This a periodic metric.","Millions of Dollars. ($M)","2 - Strategic and Business Results",0,0,0,"Over target",Quarterly,"1130 - Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code",169550,"	209028",0.154167,,Met,"This is a seasonal metric with seasonal targets and actual results. For the quarter ending 06/30/16, the seasonal target is $12M and the actual result was $15.7M.",2016-06-30,n,2016-08-26,19:19:11
015-000000021,546,"	015","Department of the Treasury","Service Center Recognition/Image Processing System (SCRIPS)",819,"	86","The percentage of time the SCRIPS system is  available per month for processing (system up-time).",percentage,"3 - Financial Performance",99,0,99,"Over target",Monthly,"1130 - Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code",171940,"	209318",100,,Met,"No system down-time during July, 2016.",2016-07-31,n,2016-08-26,19:19:14
015-000000021,546,"	015","Department of the Treasury","Service Center Recognition/Image Processing System (SCRIPS)",820,"	87","Average number of tax return-related documents processed per hour (for all sites).  This is a seasonal metric.",numeric,"1 - Customer Satisfaction (Results)",0,0,0,"Over target",Quarterly,"1130 - Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code",110395,"	203598",317.28,,"Not Met","July-September Documents Processed Per Hour Metric,  Green target for this quarterly-and-seasonal metric is 375, yellow is 325.  Austin and Kansas City had above normal fallout of scanned Forms, with Austin processing 25% of Forms manually, and Kansas City processing 19% manually, 20% more than the same period in 2013 and 25% more than in 2012.  The slower docs per hour is also due, in part, to Wage and Investment (W&I) staffing.",2014-09-30,y,2016-08-26,19:19:14
015-000000021,546,"	015","Department of the Treasury","Service Center Recognition/Image Processing System (SCRIPS)",822,"	89","Percent of tax return image print requests fulfilled within 2 days.",percent,"1 - Customer Satisfaction (Results)",100,0,100,"Over target",Monthly,"1130 - Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code",171941,"	209319",100,,Met,"All print requests for July 2016 were processed within two days.",2016-07-31,n,2016-08-26,19:19:14
015-000000021,546,"	015","Department of the Treasury","Service Center Recognition/Image Processing System (SCRIPS)",4747,"	5854","Number of High Priority (P1) trouble tickets not  closed within 4 hours.",numeric,"2 - Strategic and Business Results",0,0,0,"Under target",Monthly,"1130 - Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code",171944,"	209322",0,,Met,"No P1 outages during July 2016",2016-07-31,n,2016-08-26,19:19:14
015-000000021,546,"	015","Department of the Treasury","Service Center Recognition/Image Processing System (SCRIPS)",4749,"	5837","Maintain a character recognition error rate on scanned forms of no more than 4% per month.",percent,"2 - Strategic and Business Results",4,0,4,"Under target",Monthly,"1130 - Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code",171942,"	209320",2.52,,Met,"Results based on pages scanned and characters read.",2016-07-31,n,2016-08-26,19:19:14
015-000000021,546,"	015","Department of the Treasury","Service Center Recognition/Image Processing System (SCRIPS)",4751,"	5853","Number of Moderate Priority (P2) trouble tickets not closed within 24 hours.",numeric,"2 - Strategic and Business Results",1,0,1,"Under target",Monthly,"1130 - Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code",171943,"	209321",0,,Met,"No P1 or P2 outages in July 2016.",2016-07-31,n,2016-08-26,19:19:14
015-000000021,546,"	015","Department of the Treasury","Service Center Recognition/Image Processing System (SCRIPS)",23003,"	200156","Average number of tax return-related documents processed per hour (for all sites). This is a seasonal metric.",numeric,"2 - Strategic and Business Results",0,0,0,"Over target",Quarterly,"1130 - Pursue tax reform, implement the Patient Protection and Affordable Care Act and Foreign Account Tax Compliance Act, and improve the execution of the tax code",169530,"	209046",-0.05176,,"Not Met","April - June 2016 quarterly date base on  27,148,710 pages processed.",2016-06-30,n,2016-08-26,19:19:14
016-000002125,553,"	016","Social Security Administration","DDS Automation",1400,,"Complete the budgeted number of initial disability claims","Number of  Claims","2 - Strategic and Business Results",2847000,,2773000,"Over target",Annual,"1045 - Improve the Quality, Consistency, and Timeliness of Our Disability Decisions",159693,,2759000,,"Not Met","Not Met",2015-09-30,n,2016-08-24,15:27:19
016-000002125,553,"	016","Social Security Administration","DDS Automation",1401,,"Expedite cases for the most severely disabled individuals by achieving the target percentage of initial disability cases identified as Quick Disability Determinations (QDD) or Compassionate Allowances (CAL)",Percent,"1 - Customer Satisfaction (Results)",6.5,,6.5,"Over target",Annual,"1045 - Improve the Quality, Consistency, and Timeliness of Our Disability Decisions",159694,,6.93,,Met,Met,2015-09-30,n,2016-08-24,15:27:19
016-000002125,553,"	016","Social Security Administration","DDS Automation",1402,,"System Availability (obtained from current service level agreement)",Percent,"2 - Strategic and Business Results",99.5,,99.5,"Over target",Monthly,"1037 - Maintain System Performance and the Continuity of IT Services",171339,,99.9792,,Met,,2016-07-29,n,2016-08-24,15:27:19
016-000002125,553,"	016","Social Security Administration","DDS Automation",1403,,"Response Time (obtained from current service level agreement)",Seconds,"2 - Strategic and Business Results",11.9,,11.9,"Under target",Semi-Annual,"1037 - Maintain System Performance and the Continuity of IT Services",168154,,3.61,,Met,Met,2016-03-28,n,2016-08-24,15:27:19
016-000002125,553,"	016","Social Security Administration","DDS Automation",5629,,"Average processing time for initial disability claims",Days,"1 - Customer Satisfaction (Results)",107,,107,"Under target",Annual,"1046 - Maximize Efficiencies Throughout the Disability Program",159692,,114,,"Not Met","Not Met",2015-09-30,n,2016-08-24,15:27:19
016-000002125,553,"	016","Social Security Administration","DDS Automation",20853,,"Actual IT overall costs do not exceed the planned IT overall investment costs by more than 10%",Percent,"3 - Financial Performance",10,,10,"Under target",Annual,"1046 - Maximize Efficiencies Throughout the Disability Program",151664,,1.48,,Met,Met,2015-09-30,n,2016-08-24,15:27:19
016-000002015,554,"	016","Social Security Administration","Financial Accounting System-FACTS",1405,,"Number of hours which the system was actually available divided by the total number of hours which the system should be available.",Percent,"2 - Strategic and Business Results",98,,98,"Over target",Monthly,"1037 - Maintain System Performance and the Continuity of IT Services",171249,,100,,Met,"Updated with July 2016 data",2016-08-01,n,2016-08-22,11:35:54
016-000002015,554,"	016","Social Security Administration","Financial Accounting System-FACTS",1406,,"Receive an unqualified audit opinion on SSA's financial statements","Auditor Opinion","2 - Strategic and Business Results",1,,1,"Over target",Annual,"1050 - Protect the Public's Data and Provide Secure Online Services",153773,,1,,Met,"Updated with  FY 2015 data",2015-10-01,n,2016-08-22,11:35:54
016-000002015,554,"	016","Social Security Administration","Financial Accounting System-FACTS",1407,,"Number of high risk system security incidents and vulnerabilities successfully resolved divided by the total number of high risk system security incidents and vulnerabilities reported",Percent,"2 - Strategic and Business Results",100,,100,"Over target",Semi-Annual,"1050 - Protect the Public's Data and Provide Secure Online Services",162880,,100,,Met,"Updated with data from October 2015 through March 2016",2016-04-07,n,2016-08-22,11:35:54
016-000002015,554,"	016","Social Security Administration","Financial Accounting System-FACTS",1408,,"Number of approved requests for system access completed within a 36-business hour period divided by the total number of system access requests received",Percent,"1 - Customer Satisfaction (Results)",100,,100,"Over target",Semi-Annual,"1037 - Maintain System Performance and the Continuity of IT Services",162881,,100,,Met,"Updated with data from October 2015 - March 2016",2016-04-01,n,2016-08-22,11:35:54
016-000002015,554,"	016","Social Security Administration","Financial Accounting System-FACTS",20725,,"Maintenance and Support Costs actuals do not exceed the planned budget by more than 10 percent",Percent,"3 - Financial Performance",10,,10,"Under target",Annual,"1037 - Maintain System Performance and the Continuity of IT Services",153774,,10,,Met,"Updated with data for FY 2015.",2015-10-01,n,2016-08-22,11:35:54
016-000002045,557,"	016","Social Security Administration","Title II",1504,,"Reliability and availability: percent that critical systems are available",Percent,"2 - Strategic and Business Results",99,,99,"Over target",Monthly,"1037 - Maintain System Performance and the Continuity of IT Services",171248,,99.9799,,Met,,2016-07-29,n,2016-08-22,11:25:24
016-000002045,557,"	016","Social Security Administration","Title II",1507,,"Availability of Online Applications",Percent,"2 - Strategic and Business Results",99,,99,"Over target",Monthly,"1037 - Maintain System Performance and the Continuity of IT Services",171247,,99.9898,,Met,,2016-07-29,n,2016-08-22,11:25:24
016-000002045,557,"	016","Social Security Administration","Title II",5665,,"Complete the budgeted number of retirement, survivors, and Medicare claims","Number of Claims","1 - Customer Satisfaction (Results)",5311000,,5434000,"Over target",Annual,"1057 - Enhance the Customer Experience by Completing Customers' Business at the First Point of Contact",159726,,5327221,,"Not Met","Results extracted from SSA Annual Performance Plan. Performance results ""met"". ",2015-12-31,n,2016-08-22,11:25:24
016-000002045,557,"	016","Social Security Administration","Title II",10081,,"Improve access to our services by increasing the number of citizens who complete their business with us online",Percentage,"2 - Strategic and Business Results",10,,10,"Over target",Annual,"1053 - Develop and Increase the Use of Self-Service Options",159725,,23,,Met,"Results extracted from SSA Annual Performance Plan",2015-12-31,n,2016-08-22,11:25:24
016-000002045,557,"	016","Social Security Administration","Title II",10083,,"Maintain the low percentage of improper payments made under the Old-Age, Survivors, and Disability Insurance (OASDI) program",Percentage,"1 - Customer Satisfaction (Results)",0.4,,0.4,"Under target",Annual,"1051 - Increase Payment Accuracy",,,,,,,,n,2016-08-22,11:25:24
016-000002045,557,"	016","Social Security Administration","Title II",20831,,"Maintenance cost avoidance due to of the retirement of Title II APM application (FALCON).",Dollars,"3 - Financial Performance",70137,,70137,"Over target",Annual,"1038 - Enhance and Execute Plans to Modernize Our System",154752,,70137,,Met,"0.5 wy maint savings",2015-11-20,n,2016-08-22,11:25:24
019-000000122,559,"	019","Department of Energy","CF Corporate Business Systems",2408,,"Percent of customers of the individual iManage operational services (STARS, STRIPES, CHRIS,IDW/iPortal, iBudget) that are satisfied. A survey is done yearly of the iManage stakeholder community and the percent of users that are satisfied with the individual iManage service is determined. The average of all service percentages is used for this metric.","% of customers satisfied by program","1 - Customer Satisfaction (Results)",,,,"Over target",Semi-Annual,,57009,,55,,"Not Met","The FY 2013 is being prepared.     The FY 2012 results of the annual survey fall within the acceptable margin of error for the annual survey.",2013-05-13,y,2016-08-17,18:44:14
019-000000122,559,"	019","Department of Energy","CF Corporate Business Systems",2412,,"Percent of data within iManage in error as reported by IDW/iPortal.","% of data in error","1 - Customer Satisfaction (Results)",,,,"Under target",Semi-Annual,,57011,,2,,Met,"As of May, on target.",2013-05-13,y,2016-08-17,18:44:14
019-000000122,559,"	019","Department of Energy","CF Corporate Business Systems",7917,,"Percent of customers that are satisfied with iManage help desk support. A survey is distributed to each iManage help desk customer.","% of customers satisfied by iManage help desk","1 - Customer Satisfaction (Results)",,,,"Over target",Monthly,,99995,,95,Met,Met,"As of June, on target.",2014-07-15,y,2016-08-17,18:44:14
019-000000122,559,"	019","Department of Energy","CF Corporate Business Systems",20699,,"Average number of days for STARS to process month end processing.","Month-end closing by 3rd work day","1 - Customer Satisfaction (Results)",3,3,3,"Under target",Monthly,,171079,,3,,Met,"As of August, on target.",2016-08-16,n,2016-08-17,18:44:14
019-000000122,559,"	019","Department of Energy","CF Corporate Business Systems",20701,,"Corporate Business Systems (CBS) receives an Unqualified Audit Opinion. Yearly the independent auditor issues an opinion as to the effectiveness of the STARS reports and data handling process. An Unqualified Opinion means the data and reports meet audit standards. A 100 means CBS earned an unqualified opinion, whereas a 0 means there are issues.","Receipt of Unqualified Audit Opinion","2 - Strategic and Business Results",100,100,100,"Over target",Annual,"5362 - Effectively Manage Projects, Financial Assistance Agreements, Contracts, and Contractor Performance",111355,,100,,Met,"On November 16, 2015 the Department received its 9th consecutive Clean Opinion - Audit Report OAI-FS-16-01.  ",2015-11-16,n,2016-08-17,18:44:14
019-000000122,559,"	019","Department of Energy","CF Corporate Business Systems",20703,,"Percent of invoices paid by STARS on time. Percent of contract invoices that are paid within the non-penalty time period as a percentage of invoices received.","% of invoices paid on time","1 - Customer Satisfaction (Results)",98,,98,"Over target",Monthly,,171077,,98,,Met,"As of August, on target.",2016-08-16,n,2016-08-17,18:44:14
019-000000122,559,"	019","Department of Energy","CF Corporate Business Systems",20705,,"Percent of Corporate Business Systems (CBS) operational services (STARS, STRIPES, CHRIS, IDW/iPortal, iBudget) that successfully deliver uptime of at least 95% scheduled.","% of available uptime","1 - Customer Satisfaction (Results)",95,,95,"Over target",Monthly,,171076,,95,,Met,"As of August, on target.",2016-08-16,n,2016-08-17,18:44:14
019-000000122,559,"	019","Department of Energy","CF Corporate Business Systems",20707,,"The success of the financial management systems internal controls function provides OCFO with additional reasonable assurance that an assurance memorandum without material non-conformance issues can be issued.  A 100 means it was issued without material non-conformance issues; a 0 means issued with material issues.","Statement of assurance memo w/no material issues","2 - Strategic and Business Results",100,100,100,"Over target",Annual,"5362 - Effectively Manage Projects, Financial Assistance Agreements, Contracts, and Contractor Performance",102887,,100,,Met,"Successfully issued 2015 statement of assurance memo with no material non-conformance issues.",2015-08-11,n,2016-08-17,18:44:14
019-000000122,559,"	019","Department of Energy","CF Corporate Business Systems",20709,,"Average cost associated with handling Tier 1 help desk incidents. This quarterly calculation is as follows: Total number of tier 1 help desk tickets divided by the average cost rate.","Average cost per incident, in dollars","3 - Financial Performance",88,84,88,"Under target",Quarterly,,171078,,74.5,,Met,"As of Q3, on target.",2016-08-09,n,2016-08-17,18:44:14
019-000000122,559,"	019","Department of Energy","CF Corporate Business Systems",23508,,"Successfully conduct the Monthly Project/Program Review with Executive leadership, in which program status, risks, and issues are thoroughly reviewed and action items developed. A 100 means it was conducted; a 0 means it was not conducted.","MMR was successfully conducted","2 - Strategic and Business Results",100,,100,"Over target",Monthly,,171080,,100,,Met,"August 2016 MMR was held",2016-08-09,n,2016-08-17,18:44:14
019-000000208,564,"	019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System IPABS",2424,,"Percentage (%) of all EM HQ budget formulation-related data that will be collected through IPABS-IS.",percentage,"2 - Strategic and Business Results",99,,99,"Over target",Monthly,"5362 - Effectively Manage Projects, Financial Assistance Agreements, Contracts, and Contractor Performance",171047,,99,,Met,,2016-07-31,n,2016-08-17,18:05:12
019-000000208,564,"	019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System IPABS",2426,,"Produce the Annual EM Congressional Budget by January of each FY.",percentage,"1 - Customer Satisfaction (Results)",100,,100,"Under target",Annual,,159272,,100,,Met,,2016-01-31,n,2016-08-17,18:05:12
019-000000208,564,"	019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System IPABS",2427,,"IPABS-IS will be the sole source for all decisional data from the Field related to budget and performance (100%). We are working toward this goal by gradually curtailing other data sources and including them in the IPABS-IS.",percentage,"2 - Strategic and Business Results",99,,99,"Over target",Monthly,"5362 - Effectively Manage Projects, Financial Assistance Agreements, Contracts, and Contractor Performance",171048,,99,,Met,,2016-07-31,n,2016-08-17,18:05:12
019-000000208,564,"	019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System IPABS",2428,,"Provide life-cycle cost data to the IG Auditors by July 15th of every year, in order to support timely, efficient data submission for the DOE-EM Environmental Liability Estimate.",percentage,"2 - Strategic and Business Results",100,,100,"Under target",Annual,"5362 - Effectively Manage Projects, Financial Assistance Agreements, Contracts, and Contractor Performance",171045,,100,,Met,,2016-07-31,n,2016-08-17,18:05:12
019-000000208,564,"	019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System IPABS",2429,,"Ensure IPABS-IS customer needs are met through rapid response to help desk calls",percentage,"1 - Customer Satisfaction (Results)",99,,99,"Over target",Monthly,,171049,,99,,Met,,2016-07-31,n,2016-08-17,18:05:12
019-000000208,564,"	019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System IPABS",2430,,"Percentage (%) of system uptime",percentage,"1 - Customer Satisfaction (Results)",99,,99,"Over target",Monthly,,171050,,99,,Met,,2016-07-31,n,2016-08-17,18:05:12
019-000000208,564,"	019","Department of Energy","EM HQ Integrated Planning, Accountability, and Budgeting System IPABS",2431,,"Cost per customer request remains within a consistent range.","Cost Consistency","3 - Financial Performance",60,,60,"Over target",Monthly,"5362 - Effectively Manage Projects, Financial Assistance Agreements, Contracts, and Contractor Performance",171046,,60,,Met,,2016-07-31,n,2016-08-17,18:05:12
019-000000577,573,"	019","Department of Energy","NNSA Enterprise Secure Network (ESN)",20143,,"Achieve high levels of customer support by responding to 97% of all customer issues within 24 hours","Customer Support","1 - Customer Satisfaction (Results)",0.97,,0.97,"Over target",Monthly,"5262 - Strengthen Key Science, Technology, and Engineering Capabilities and Modernize the National Security Infrastructure",171071,,0.996,,Met,Monthly,2016-07-31,n,2016-08-17,18:24:20
019-000000577,573,"	019","Department of Energy","NNSA Enterprise Secure Network (ESN)",20145,,"Achieve Service Levels and Recovery Levels by mitigating service interruptions /denials of service. Target baseline is 99.6% availability","Availability of service","2 - Strategic and Business Results",0.99,,0.97,"Over target",Monthly,"5262 - Strengthen Key Science, Technology, and Engineering Capabilities and Modernize the National Security Infrastructure",,,,,,,,n,2016-08-17,18:24:20
019-000000577,573,"	019","Department of Energy","NNSA Enterprise Secure Network (ESN)",20147,,"Number of Enterprise Users out of a community of 5,000 potential enterprise users of identity services. Expected expansion of enterprise users due to addition of new application integration and inter-agency gateway","Percentage of potential users able to access Ident","1 - Customer Satisfaction (Results)",0.9,,0.9,"Over target",Quarterly,"3901 - Maintain and modernize the U.S. nuclear weapons stockpile and dismantle excess nuclear weapons to meet the national security requirements, as assigned by the President, through the Nuclear Posture Review.",111435,,1,,Met,,2014-09-30,y,2016-08-17,18:24:20
019-000000577,573,"	019","Department of Energy","NNSA Enterprise Secure Network (ESN)",20149,,"Cost per user account. Intention is to drive user account costs down by the addition of enterprise users through small site hubs and enterprise gateways.","Decrease in user account cost","3 - Financial Performance",0.1,,0,"Under target",Monthly,,111441,,0.05,,Met,,2014-09-30,y,2016-08-17,18:24:20
019-000000577,573,"	019","Department of Energy","NNSA Enterprise Secure Network (ESN)",20151,,"Percentage of NNSA sites receiving services vs. total requests for service","Percentage of sites having access to classified se","2 - Strategic and Business Results",0.97,,0.97,"Over target",Quarterly,"5262 - Strengthen Key Science, Technology, and Engineering Capabilities and Modernize the National Security Infrastructure",168813,,1,,Met,Quarterly,2016-06-30,n,2016-08-17,18:24:20
019-000000577,573,"	019","Department of Energy","NNSA Enterprise Secure Network (ESN)",20153,,"Percentage of NNSA programs benefiting as a direct result of this program","(NNSA Weapons Activities) Directed Stockpile Work","2 - Strategic and Business Results",0.97,,0.97,"Over target",Quarterly,"5262 - Strengthen Key Science, Technology, and Engineering Capabilities and Modernize the National Security Infrastructure",168812,,1,,Met,Quarterly,2016-06-30,n,2016-08-17,18:24:20
019-000000577,573,"	019","Department of Energy","NNSA Enterprise Secure Network (ESN)",20155,,"Percent variance of overall project as compared to Baseline funding","Baseline budget is 100% utilized","3 - Financial Performance",0.97,,0.97,"Over target",Annual,"5262 - Strengthen Key Science, Technology, and Engineering Capabilities and Modernize the National Security Infrastructure",151714,,1,,Met,Annually,2015-09-30,n,2016-08-17,18:24:20
019-000000577,573,"	019","Department of Energy","NNSA Enterprise Secure Network (ESN)",22275,,"Achieve Service Levels and Recovery Levels by mitigating service interruptions /denials of service. Target baseline is 99% availability","Availability of service","1 - Customer Satisfaction (Results)",0.99,,99,"Over target",Quarterly,"3901 - Maintain and modernize the U.S. nuclear weapons stockpile and dismantle excess nuclear weapons to meet the national security requirements, as assigned by the President, through the Nuclear Posture Review.",111433,,0.996,,Met,,2014-09-30,y,2016-08-17,18:24:20
019-000000577,573,"	019","Department of Energy","NNSA Enterprise Secure Network (ESN)",22277,,"Percentage of participating Nuclear Weapons Complex sites having access to enterprise services","Percentage of users having access to Inter-Agency","1 - Customer Satisfaction (Results)",1,,1,"Over target",Quarterly,"3901 - Maintain and modernize the U.S. nuclear weapons stockpile and dismantle excess nuclear weapons to meet the national security requirements, as assigned by the President, through the Nuclear Posture Review.",111437,,1,,Met,,2014-09-30,y,2016-08-17,18:24:20
019-000000577,573,"	019","Department of Energy","NNSA Enterprise Secure Network (ESN)",22279,,"ESN infrastructure supports ASC DOE conversion by providing Fine Grained NTK services to the NSE","Percentage of sites governed by FG NTK","2 - Strategic and Business Results",1,,0,"Over target",Quarterly,"3901 - Maintain and modernize the U.S. nuclear weapons stockpile and dismantle excess nuclear weapons to meet the national security requirements, as assigned by the President, through the Nuclear Posture Review.",111439,,1,,Met,,2014-09-30,y,2016-08-17,18:24:20
019-000000971,579,"	019","Department of Energy","EM RL - BMS Site Wide Business Management System",20841,,"Successfully provide BMS application support. Survey is distributed to key end users.","Percantage of positive responses","1 - Customer Satisfaction (Results)",95,,95,"Over target",Annual,"5342 - Continue Cleanup of Radioactive and Chemical Waste",151687,,100,,Met,"Target met. ",2015-09-30,n,2016-08-17,18:10:42
019-000000971,579,"	019","Department of Energy","EM RL - BMS Site Wide Business Management System",20843,,"Key Application Availability.","Application availability to the user. (Percent)","2 - Strategic and Business Results",99.9,,99.9,"Over target",Monthly,"5342 - Continue Cleanup of Radioactive and Chemical Waste",171055,,100,,Met,"Target met. All BMS Systems have been 100% available to the users.",2016-07-31,n,2016-08-17,18:10:42
019-000000971,579,"	019","Department of Energy","EM RL - BMS Site Wide Business Management System",20845,,"BMS System Processing Validation. Will remove for FY2017","Number of errors or invalid processing","2 - Strategic and Business Results",2,,2,"Under target",Monthly,"5342 - Continue Cleanup of Radioactive and Chemical Waste",171056,,0,,Met,"Target met. No batch errors.",2016-07-31,n,2016-08-17,18:10:42
019-000000971,579,"	019","Department of Energy","EM RL - BMS Site Wide Business Management System",20847,,"Identify and propose 5 process improvements per year","Number of process improvements","3 - Financial Performance",5,,5,"Over target",Annual,"5342 - Continue Cleanup of Radioactive and Chemical Waste",151685,,7,,Met,"Target met. Cumulative for FY 2015.  ",2015-09-30,n,2016-08-17,18:10:42
019-000000971,579,"	019","Department of Energy","EM RL - BMS Site Wide Business Management System",20849,,"Mitigate 99% of Audit Findings on BMS","Percentage of mitigated findings to all findings","2 - Strategic and Business Results",99,,99,"Over target",Monthly,"5342 - Continue Cleanup of Radioactive and Chemical Waste",171054,,100,,Met,"Target met. To date there have been 0 audit findings for BMS. 2",2016-07-31,n,2016-08-17,18:10:42
019-000000971,579,"	019","Department of Energy","EM RL - BMS Site Wide Business Management System",20851,,"Retain Vendor Support for all COTS applications","COTS applications with vendor support (percent)","3 - Financial Performance",99,,99,"Over target",Annual,"5342 - Continue Cleanup of Radioactive and Chemical Waste",151690,,100,,Met,"Target met. To date all COTS BMS applications have vendor support.",2015-09-30,n,2016-08-17,18:10:42
019-000000976,580,"	019","Department of Energy","EM RL - Records Management",21017,,"Number of Electronic Records in electronic records' storage systems vs. Number of Records retired in physical format",Percent/Ratio,"2 - Strategic and Business Results",37,,47,"Over target",Monthly,,171068,,48.3,,Met,"Target met. The target for 2016 is cumulative for entire year. We will continue to measure.",2016-07-31,n,2016-08-17,18:15:42
019-000000976,580,"	019","Department of Energy","EM RL - Records Management",21019,,"Number of records retired in paper and electronic format, in order to demonstrate increased capture of records from the field as we progress with the cleanup of the Hanford site.","Cubic Feet","2 - Strategic and Business Results",7000,,9500,"Over target",Annual,"5342 - Continue Cleanup of Radioactive and Chemical Waste",151694,,11334,,Met,"Target met. The target for 2015 is cumulative for entire year. ",2015-09-30,n,2016-08-17,18:15:42
019-000000976,580,"	019","Department of Energy","EM RL - Records Management",21021,,"Complete a survey that will evaluate the ability to retrieve needed record  information by employees at the Hanford site. We will use this to baseline the customer satisfaction rate to retrieve record information.",Percent,"1 - Customer Satisfaction (Results)",85,,85,"Over target",Annual,,106919,,86,,Met,,2015-07-31,y,2016-08-17,18:15:42
019-000000976,580,"	019","Department of Energy","EM RL - Records Management",21023,,"Number of assessments performed by DOE RL to measure the overall health of the Records Management Program at Hanford.",Number/Each,"3 - Financial Performance",3,,3,"Over target",Annual,,151691,,3,,Met,"Target met. The target for 2015 is cumulative for entire year. ",2015-09-30,n,2016-08-17,18:15:42
019-000000976,580,"	019","Department of Energy","EM RL - Records Management",21025,,"Number of paper records records permanently withdrawn from inactive records storage.","Cubic feet","2 - Strategic and Business Results",200,,200,"Over target",Annual,,151692,,403,,Met,"Actual results will be reported on 9/30/2015.",2015-09-30,n,2016-08-17,18:15:42
019-000000976,580,"	019","Department of Energy","EM RL - Records Management",21027,,"Electronic archive databases up and running",Percent,"1 - Customer Satisfaction (Results)",95,,95,"Over target",Monthly,,171069,,100,,Met," Actual results for July 2016. ",2016-07-31,n,2016-08-17,18:15:42
019-000001122,583,"	019","Department of Energy","EM SR Contractor Business Financial and Administrative Systems (CBFAS)",21467,,"This survey measures application owner(s) satisfaction with the  IT organization for services that provide operation, maintenance and system administration for every active IT application recorded in the Configuration Management Information System (CMIS).  Quarterly, the survey is sent electronically to application owner organizations (Design Authorities) and the results are tallied and posted.",percentage,"1 - Customer Satisfaction (Results)",95,,95,"Over target",Quarterly,"5362 - Effectively Manage Projects, Financial Assistance Agreements, Contracts, and Contractor Performance",159557,,95.5,,"Not Met","Survey for second quarter FY2016 went out to customers on 4/1/16.  The data reported represents these results.",2016-04-30,n,2016-08-17,17:59:12
019-000001122,583,"	019","Department of Energy","EM SR Contractor Business Financial and Administrative Systems (CBFAS)",21469,,"This metric tracks completed change requests using the PTR system as a measure of system productivity.  All Business related IT systems managed under IT's Business Applications Group, are using the PTR system for change control tracking. This includes all HR, Finance, Project Controls, and Supply Chain legacy and Notes applications in addition to PS FSCM. This metric is a measure of productivity.",number,"2 - Strategic and Business Results",5,,40,"Over target",Monthly,"5362 - Effectively Manage Projects, Financial Assistance Agreements, Contracts, and Contractor Performance",171042,,38,,"Not Met"," 38 requests closed as of 7/2016 for FIN, SCM, and HR.    Actuals available on a monthly basis.  This productivity metric is lower due to a freeze in adding new system functionality and reallocation of resources since the software is undergoing a technical upgrade to the next vendor supported version (version 9.2). This impact is expected to continue through the production go-live date of June, 2017 for this upgrade.",2016-07-31,n,2016-08-17,17:59:12
019-000001122,583,"	019","Department of Energy","EM SR Contractor Business Financial and Administrative Systems (CBFAS)",21471,,"Security Posture.  Apply security patches to all applicable environments.  Measure number of security patches applied.",number,"2 - Strategic and Business Results",1,,1,"Over target",Quarterly,,141819,,1,,Met,"Last patch applied on 5/30/2015.  Next Oracle Quarterly Security Patch is scheduled in August, 2015.",2015-05-30,y,2016-08-17,17:59:12
