"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Legislative Mandate Required","Legislative Mandate Description","Audit Finding Resolution Required","Audit Finding Resolution Description","Published Agency Strategic Performance Plan Required","Published Agency Strategic Performance Plan Description","Presidential Priority Required","Presidential Priority Description","Other Requirement Required","Other Requirement Description","Updated Date","Updated Time"
010-000000288,784,"	010","Department of the Interior","BOR - CVACS (Central Valley Automated Control System)",yes,"Authorization for operating the CVP as an integrated system has been supported by language in all of the following: The Reclamation Act of 1902; Emergency Relief Appropriation Act of 1935; Public Law 392, Rivers and Harbors Act of 1937; Public Law868, River and Harbors Act of 1940; Public Law 356, American River Division Authorization Act of 1949; Public Law 84-386, Trinity River Act1955; Public Law 87-874, Rivers and Harbors Act of 1962 (Flood Control Act); Fish and Wildlife Coordination Act of 1958; State Water1955; Public Law 87-874, Rivers and Harbors Act of 1962 (Flood Control Act); Fish and Wildlife Coordination Act of 1958; State Water Resources Control Board Decision 1379, 1971; Endangered Species Act of 1973; State Water Resources Control Board Decision 1485, 1978; Coordinated Operating Agreement (COA) of 1986; Water Rights Order 90-5, 1990; Water Rights Order 91-1, 1991; Public Law 102-575.",no,,yes,"CVACS supports the DOI Strategic Plan, Mission Area 2: Sustainably Manage Energy, Water and Natural Resources. Within this area CVACS supports Goal #1 (Secure America's Energy Resources) Strategy #2, Develop renewable energy potential. It also supports Goal #2 (Manage Water for the 21st Century) Strategy #1, Conserve Water and Stategy #2, Improve reliability of water delivery.",no,,yes,"Additional legislative mandates include:Central Valley Project Improvement Act (CVPIA) of 1992; Clinger-Cohen Act of 1996; Presidential Decision Directive 63, Critical Infrastructure Protection, May 1998; Public Law 107-347, Title III, Federal Information Security Management Act of 2002; Presidential Directive/HSPD-7, Critical Infrastructure Identification, Prioritization and Protection, December 2003; Energy Policy Act of 2005, Title XII, Electricity; OMB Circular A-130.In addition CVACS is subject to NERC reliablity standards and regulations.  CVACS is the computerized control system used to meet the CVP s integrated operation requirement, in a cost efficent manner.",2013-09-11,14:43:10
010-000000292,785,"	010","Department of the Interior","BOR - GCPO SCADA (Grand Coulee Power Office Supervisory Control and Data Acquisition System)",yes,"Establishment of the Grand Coulee dam was based on Congressional legislation, dating back to the mid-1940s. Various legislation regarding dam operations, archaeology, and wildlife have been enacted since this date. Other OMB Circular A-123 &amp; A-130, Federal Information Security Management Act (FISMA), NIST Special Publications in the 800 series (I.E.) SP 800-82, Guide to Industrial Control Systems (ICS) Security, NERC-CIP-01-09, and other FERC requirements.",yes,"While this investment does not specifically address a GAO or OIG audit finding/recommendation, it addresses requirements and report recommendations issued by the North American Electric Reliability Corporation and Western Energy Coordination Council which regulate and audit power facilities.",yes,"GCPO SCADA supports the DOI Strategic Plan, Mission Area 2: Sustainably Manage Energy, Water and Natural Resources. Within this area GCPO SCADA supports Goal #1 (Secure America's Energy Resources) Strategy #2, Develop renewable energy potential. It also supports Goal #2 (Manage Water for the 21st Century) Strategy #1, Conserve Water and Stategy #2, Improve reliability of water delivery.",no,,yes,"The GCPO SCADA Replacement Project adheres to legislation and other mandates by ensuring its internal management practices conform to requirements. Financial and management control requirements are ensured via compliance with DOI and USBR policies. In addition, an Integrated Baseline Review was passed in the spring of 2010 which independently verified the project s preparedness to execute the project as required by OMB and DOI.  Security and technical controls are reviewed via FISMA and C&amp;A assessments and by WECC.The GCPO SCADA Replacement Project has doucumented security requirments. These include the NIST SP 800-53 Security Requirements as well as NERC/CIP Security Standards CIP-002-1 through CIP-009-1.",2014-09-10,13:24:17
010-000000294,786,"	010","Department of the Interior","BOR - LCDCSS (Lower Colorado Dams Control Systems and Services)",yes,"Original legislation authorizing Hoover Dam construction was the 1928 Boulder Canyon Project Act it was signed into law by the 31st US President, Hoover, in 1929.  Critical Infrastructure Protection (CIP) standards were created by the North American Electric Reliability Corporation s (NERC) with compliance monitored by Western Electricity Coordinating Council (WECC). Compliance with NERC/CIP standards is mandated by Federal Energy Regulatory Commission (FERC). CIP standards apply to the Hoover SCADA system. CIP standards require significantly more manpower intensive procedures for user account management, configuration and change management, access control, physical security and other IT Security measures than previous security and systems protection requirements. CIP standard Version (5) was introduced in FY15 and will be required early in FY16.  Manpower and support resources to meet version 5 are in the funding profile and additional equipment funding has been reprioritized in FY15.",no,,yes,"The data collection, data processing, report generation, and data retention technical features of the SCADA system are a tool that support the DOI Strategic Plan for Fiscal Years 2011-2016 in mission areas 2 and 4.  In mission area 2 (Sustainably Manage Energy, Water and Natural Resources) it supports goals 1 and 2 - Secure America's Energy Resources and Manage Water for the 21st Century. The SCADA may also be used for Mission Area 4 (Provide a Scientific Foundation for Decision Making) supporting goals 2 and 3 - Providing Science for Sustainable Resource Use, Protection, and Adaptive Management Strategy as well as Provide Scientific Data to Protect and Inform Communities.",no,,yes,"Due to the Information Technology assets, the use of the system is subject to the following legislative mandates or Presidential Directives: Clinger-Cohen Act of 1996;Presidential Decision Directive 63, Critical Infrastructure Protection, May 1998; Public Law 107-347, Title III, Federal Information Security Management Act of 2002; Presidential Directive/HSPD-7, Critical Infrastructure Identification, Prioritization and Protection, December 2003; Energy Policy Act of 2005, Title XII, Electricity; OMB Circular A-130.",2015-09-16,12:17:47
010-000000363,787,"	010","Department of the Interior","DOI - Integrated Reporting of Wildland-Fire Information (iRWIn)",no,,no,,no,,no,,yes,"Management reviews have identified the need for an integrated capability to produce and disseminate fire information, including: National Wildland Fire Enterprise Architecture (NWFEA) Blueprint Goals/Recommendations (2008); eGov Disaster Management Report (2006); and, the Management Efficiency Assessment of the Interagency Wildland Fire Dispatch and Related Services Report (2008).",2012-09-12,14:53:01
018-000001140,802,"	018","Department of Education","Integrated Partner Management (IPM)",no,,no,,yes,"IPM is a strategic effort that will, through process reengineering and process automation, provide an integrated solution for improved Eligibility, Enrollment, Financial Statements and Compliance Audits, and Oversight processes used to manage partner entities as they administer Title IV Financial Aid for students.  IPM will modernize and integrate partner management operations and significantly improve partner interactions and support.",no,,no,,2015-09-18,18:58:48
018-999993200,803,"	018","Department of Education","Budget Formulation and Execution Line of Business (BFE)",no,"Not applicable.",no,"Not applicable.",no,"Not applicable.",no,"Not applicable.",no,"Not applicable.",2013-09-11,15:10:33
018-000001040,804,"	018","Department of Education","Integrated Support Service (ISS)",no,"Not Applicable.",no,"Not Applicable.",no,"Not Applicable.",no,"Not applicable.",no,"Not Applicable.",2012-09-12,10:53:37
018-000001060,810,"	018","Department of Education","Federal Student Aid Financial Management System (FSA FMS)",no,,no,,yes,"FSA strategic plan lays out an ambitious long-term strategy for FSA to deliver on its mission of helping Americans to pay for higher education. Our plan is composed of five strategic goals. We will (A) provide superior service and information to students and borrowers, (B) work to ensure that all participants in the system of postsecondary education funding serve the interests of students, from policy to delivery, (C) develop efficient processes and effective capabilities that are among the best in the public and private sectors, (D) ensure program integrity and safeguard taxpayers interests, and (E) strengthen FSA s performance culture and become one of the best places to work in the federal government. A link to the plan can be found below.",no,,yes,"Federal Financial Management Improvement Act (FFMIA) - The FFMIA of 1996 requires Federal agencies to implement &amp; maintain financial management systems that comply substantially with Federal financial management systems requirements, applicable Federal accounting standards, and the USSGL at the transaction level. Under law, agency heads are required to assess &amp; report on whether these systems comply with FFMIA on an annual basis. OMB Circular No. A-127 &quot;Financial Management Systems,&quot; dated 7/23/93, prescribes policies &amp; standards for executive departments and agencies to follow in developing, operating, evaluating, and reporting on financial management systems.",2014-09-11,11:25:47
018-999991341,811,"	018","Department of Education","Grants Management System (G5)",yes,"Federal Financial Assistance Management Improvement Act of 1999.",no,"Not Applicable.",no,"Not Applicable.",no,"Not Applicable.",yes,"Treasury - BETC, HSPD-12.",2013-09-11,15:12:00
018-000001020,812,"	018","Department of Education","Education Department Utility for Communications, Applications and Technical Environment (EDUCATE)",yes,"EDUCATE investment IT implementation supports and contractually requires compliance with the following: - Trusted Internet Connection (TIC) - Internet Protocol Version 6 (IPv6) - Federal Data Center Consolidation Initiative (FDCCI) - US Government Computer Baseline (USGCB) - Federal Information Security Management Act (FISMA).",no,"Not applicable.",no,"Not applicable.",yes,"Homeland Security Presidential Directive 12 (HSPD-12 - PIV Requirements); Executive Order 13423 (Strengthening Federal Environmental, Energy and Transportation Management); Executive Order 13514 (Federal Leadership in Environmental, Energy and Economic Performance).",no,"Not Applicable.",2013-09-12,12:04:15
018-000001000,813,"	018","Department of Education","Migrant Student Information Exchange (MSIX)",yes,"This investment is required by NCLB Section 1308(b).",no,"Not Applicable.",no,"Not Applicable.",no,"Not applicable.",no,"Not Applicable.",2013-09-11,12:02:55
018-000001024,817,"	018","Department of Education","Financial Management Support System (FMSS)",no,"CFO Act of 1990; Federal Financial Management Improvement Act (FFMIA) of 1996; Federal Managers Financial Intgrity Act (FMFIA) of 1982.",no,"Not Applicable.",yes,"Department of Education's Strategic Plan for Fiscal Years 2014-18; Goal 6 US Department of Education Capacity; Strategic Objective 6.4: Productivity and Performance Management.",no,"Not applicable.",no,"Not Applicable.",2015-09-17,14:50:10
018-000001031,818,"	018","Department of Education","IES Knowledge Utilization (IESK)",yes,"The Education Sciences Reform Act of 2002 authorizes the programs in the Knowledge Utilization investment. The What Works Clearinghouse serves as a vehicle &quot;to encourage the use of scientifically valid education research and evaluation throughout the United States&quot;, while the requirements of the Regional Educational Laboratories and ERIC are directly mandated in the legislation.",no,"Not Applicable.",yes,"The number of peer reviewed, full text articles indexed in ERIC and the number of reviewed studies in the What Works Clearinghouse database are captured on IES' strategic plan.",yes,"ERIC serves as the main repository for scientific research funded by the US Department of Education, as required by the White House Memo &quot;Increasing Access to the Results of Federally Funded Scientific Research&quot;.",no,"Not Applicable.",2014-09-18,14:50:11
018-000001010,819,"	018","Department of Education",EDFacts,no,"Not applicable.",no,"Not applicable.",yes,"Goal 5: Continuous Improvement of the U.S. Education System.",yes,HSPD-12.,yes,"Consolidation of disparate education collections was required by OMB in 2002. Cloud is required by OMB.",2015-09-17,14:44:16
018-000001018,820,"	018","Department of Education","ED Web",no,"Not Applicable.",no,"Not Applicable.",no,"Not Applicable.",no,"Not Applicable.",no,"Not Applicable.",2012-09-12,10:52:34
018-000001070,821,"	018","Department of Education","Contracts and Purchasing Support System (CPSS)",yes,"Not Applicable.",no,"Not Applicable.",yes,"Not Applicable.",no,"Not Applicable.",no,"Not Applicable.",2012-09-11,12:50:43
018-000001090,822,"	018","Department of Education","Virtual Data Center (VDC)",no,,no,,yes,"The Office of Federal Student Aid administers the systems and products related to providing tens of billions of dollars annually in federal financial aid to millions of students pursuing postsecondary education and training opportunities. The office provides the information and forms needed to apply for loans, grants and work-study funds, as well as information for students, parents, financial aid administrators, lending institutions, auditors and others in the field. It also leads the U.S. government-wide initiative to deliver Web-based services from government agencies and organizations to postsecondary students (see http://students.gov).",no,,no,,2012-10-30,12:41:49
202-000001012,823,"	202","U.S. Army Corps of Engineers","Facilities and Equipment Maintenance (FEM) System",no,,no,,yes,"CG  Action  2d1:  Implement the USACE Infrastructure strategy.",no,,yes,"The U.S. Army Corps of Engineers Asset Management Plan identifies FEM as the eventual source for the Annual Operating Cost (AOC) of real property assets, reported annually to OMB (required by E.O.13327). FEM automates the requirements for a Maintenance Control System as identified in E.R. 1130-2-500 5-2.f and automates periodic maintenance management as required by E.R. 750-1-1. The use of FEM to manage and track maintenance on all US ACE-owned and maintained, or applicable leased and maintained, real and personal property is mandatory for all Civil Works operating projects and all facilities managed by ULA.",2013-09-12,14:42:32
015-000000057,827,"	015","Department of the Treasury","Over the Counter Channel Application (OTCnet)",no,N/A.,no,N/A.,yes,"Aligns with the U.S. Department of the Treasury Strategic Plan for Fiscal Years 2014 - 2017 and the Bureau of the Fiscal Service Strategic Plan for Fiscal Years 2014-2017.",no,N/A.,no,N/A.,2014-09-10,14:13:17
015-000000061,830,"	015","Department of the Treasury","Wholesale Securities Services (WSS)",yes,"The Chief Financial Officer's Act of 1990 (Public Law 101-576) mandates that agency CFOs are to develop and maintain agency financial management systems that comply with applicable accounting principles, standards, and requirements; internal control standards; and requirements of OMB, the Department of the Treasury, and others.  Agency financial management systems are to provide complete, reliable, consistent, and timely information. Financial data are to be prepared on a uniform basis and be responsive to the financial information needs of agency management.",no,,yes,"Aligns with the Treasury and Fiscal Service Strategic Plans for Fiscal Years 2014-2017.  Specifically, WSS aligns to Treasury Strategic Goal #3, “Fairly and effectively reform and modernize federal financial management, accounting, and tax systems.”   WSS continually performs reviews and enhancements of TAAPS to modernize the system, and improve customer interaction during auctions.  WSS recently participated in an in-depth review of TAAPS and its performance. The results of the Treasury review are being utilized to develop, plan, build, and implement stabilization and modernization efforts for the system during FY 2016. Perpetual improvement by WSS to TAAPS enables Treasury to meet this goal.",no,"(31 U.S.C. Subtitle III, Subchapters I & II) authorizes the Treasury to borrow money through the sale of Treasury securities.",no,,2016-07-19,13:29:47
015-999990063,831,"	015","Department of the Treasury","Agency Accounting Services (AAS)",yes,"OMB M-13-08.",no,NA.,yes,"The investment implements and promotes the shared-service model for financial management across government.  This supports Treasury's Strategic Objective 3.1, ""Improve the efficiency and transparency of federal financial management and government-wide accounting and Treasury's Strategic Objective 5.3, ""Promote efficient use of resources through shared services, strategic sourcing, streamlined business processes, and accountability"".",no,,no,,2016-02-02,19:14:07
005-000002317,832,"	005","Department of Agriculture","RD-Comprehensive Loan Program",yes,"ImproperPaymentsInformation Actof 2002.",yes,"Financial Statement Audit - 1) Accelerate the conversion of RUS Legacy into CLSS.",yes,"The CLP investment is listed as a management initiative within the RD IT Strategic Plan.",no,None.,no,None.,2014-09-10,08:01:01
024-000005670,834,"	024","Department of Homeland Security","TSA - Air Cargo Security",yes,"The Aviation Transportation Security Act (ATSA) mandated that a system be in operation to screen, inspect, and ensure the security of all cargo that is to be transported in all-cargo aircraft as soon as practicable.  Additionally, the 9/11 Act mandated that TSA establish a system to screen 100% of cargo transported on passenger aircraft by August 2010. The Air Cargo Security investment consists of three systems that enable TSA to meet these statutory requirements.",yes,"In the GAO-03-344 report, the GAO recommended that TSA develop a comprehensive plan for air cargo security that includes priority actions identified on the basis of risk, costs of these actions, deadlines for completing those actions, and performance targets.  As a result, the Air Cargo IT investments directly support the strategic plan and enable TSA to carry out the priority actions. In the GAO-06-76 report, the GAO found that the Known Shipper database's effectiveness was limited and this limits TSA's ability to identify shippers who may pose a security threat.  The report also recommended that the data used in the Freight Assessment System to identify elevated risk cargo are complete, accurate, and current. In the OIG-09-35 report, the OIG recommended to resolve all remaining KSMS technical problems in order to achieve a specific date for mandating regulated entities compliance with the new method.  As a result, TSA invested in KSMS and FAS to address these issues.",yes,"The investment support the DHS FY14-18 Strategic Plan Mission 1: Prevent Terrorism and Enhance Security, and the Quadrennial Homeland Security Review (QHSR) Mission 1: Prevent Terrorist Attacks and 2: Secure and Manage Our Borders.",no,,yes,"The Standard Security Programs (SSPs) require the use of the Air Cargo IT systems.  For example, the Indirect Air Carrier Standard Security Program (IACSSP) mandates that cargo transported to an aircraft must originate from a Known shipper, and that the process for making a shipper known is by submitting the shipper record in the Known Shipper Management System (KSMS).  Similarly, the applicable SSP states that indirect air carriers (IACs), air carriers, and agents must submit their STAs through the Indirect Air Carrier Management System (IACMS) and IACs must complete certification applications and renewal requests through this system.",2015-09-15,11:15:00
010-000001047,835,"	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",yes,"15 USC 5652 (b) The Secretary of the Interior, in consultation with the Landsat Program Management, shall provide for long-term storage, maintenance, and upgrading of a basic, global, land remote sensing data set (hereinafter referred to as the basic data set ) and shall follow reasonable archival practices to assure proper storage and preservation of the basic data set and timely access for parties requesting data.",no,"There are no audit findings.",yes,"This investment delivers the satellite data providing the backbone for scientific studies needed by decision makers.  These data are used to detect, analyze, and monitor changes on the land, study the connections between people and the land, and provide society with relevant science information to inform public decisions.",yes,"2010 National Space Policy assigns the Secretary of the Interior responsibility for determining Federal-agency requirements for operational collection, processing, archiving, and distribution of land surface data.",yes,"&quot;The ground resolution of the Landsat satellites is ideal for studying a wide range of surface phenomena. In addition, a variety of natural and human land-use changes (e.g., wildfires, deforestation, agricultural activity, glacier expansion/contraction, and urbanization) represent alterations that occur at spatial scales of tens of meters. Therefore, Landsat data are invaluable for studying the land surface and how it affects and is affected by climate. Landsat data from 1972 to 2003 have provided the global coverage required to study land-use and land-cover change&quot;. USGCRP, Our Changing Planet, 2007.",2014-09-11,17:38:09
024-000005395,836,"	024","Department of Homeland Security","ICE - Criminal Alien Identification Initiatives (CAII)",no,"CAII was established specifically to support ICE's Secure Communities plan to identify and remove criminal aliens, and is funded by Secure Communities. The Consolidated Appropriations Act of 2008 (Pub. L. No 110-161, 121 Stat. 2050-2051) provided ICE funding to ""improve and modernize efforts to identify aliens convicted of a crime, sentenced to imprisonment, and who may be deportable, and remove them from the United States, once they are judged deportable."" The Consolidated Security, Disaster Assistance and Continuing Appropriations Act of 2009 (Pub. L. No. 110-329, 122 Stat. 3659) directed DHS to ""prioritize the identification and removal of aliens convicted of a crime by the severity of that crime."" FY10 through FY12 appropriations acts (Pub. L. No. 111-83, 123 Stat. 2149; Pub. L. No. 112-10, 125 Stat. 140-41; Pub. L. No. 112-74, 125 Stat. 949) directed that funds be provided to ICE for criminal alien enforcement; ICE allocated these funds to Secure Communities.",no,,yes,"The CAII investment provides information technology tools that facilitate the identification of criminal aliens (DHS 3.2.1), and the prioritization of enforcement actions (DHS 3.2.2).",no,,no,,2015-09-15,11:15:02
024-000004054,837,"	024","Department of Homeland Security","USSS - Information Integration and Technology Transformation (IITT)",no,,yes,"2008 Audit - See Agency for more information; DHS OIG Audit Report March 2011.",yes,"DHS IT Strategic Plan FY2015-2018: Goal 2: Innovative Technology. Transform the DHS workplace by enabling end user capabilities through access to data & services anywhere, anytime. Goal 4: Empower DHS & its partners to operate secure IT systems & networks, keeping ahead of evolving cyber threats.",yes,"Federal Data Center Consolidation Initiative (FDCCI), Strengthening IT Foundations - Implementation Plan to Reform IT, Strengthening IT Foundations - The Common Approach to Enterprise Architecture.",no,,2015-09-15,11:15:02
018-000003133,845,"	018","Department of Education","National Student Loan Database System (NSLDS)",yes,"The authority under which the system (NSLDS) is maintained includes sections 101, 102, 485, and 485B of the HEA (20 U.S.C. 10001, 1002, 1092, and 1092B). The collection of SSNs of borrowers who are covered by this system is authorized by 31 U.S.C. 7701 and Executive Order 9397 (November 22, 1943), as amended by Executive Order 13478 (November 18, 2008).",no,"Not Applicable.",no,"Not Applicable.",no,"Not Applicable.",no,"Not Applicable.",2013-09-11,09:47:32
015-000000062,846,"	015","Department of the Treasury","Retail Securities Services (RSS)",yes,"- Borrowing Authority for Bonds; Title 31, United States Code (USC), Subtitle III, Chapter 31, Subchapter I, Section 3102.
- Borrowing Authority for Notes; Title 31, USC, Subtitle III, Chapter 31, Subchapter I, Section 3103.
- Borrowing Authority for Certificates of Indebtedness and Bills; Title 31, USC, Subtitle III, Chapter 31, Subchapter I, Section 3104.
- Borrowing Authority for U.S. Savings Bonds and Savings Certificates; Title 31, USC, Subtitle III, Chapter 31, Subchapter I, Section 3105.
- Borrowing Authority for Retirement and Savings Bonds; Title 31, USC, Subtitle III, Chapter 31, Subchapter I, Section 3106.",no,N/A.,yes,"Aligns with the Treasury and Fiscal Service Strategic Plans for Fiscal Years 2014-2017.  Specifically, RSS aligns to Treasury Strategic Goal #3, ""Fairly and effectively reform and modernize federal financial management, accounting, and tax systems.   RSS continually performs reviews and enhancements of its systems to modernize operations, increase efficiency, and improve the overall customer experience.  RSS continues to work to modernize TRES and is currently in the process of defining a new securities offering system and decommissioning legacy systems to focus on enhancements that will ensure we are meeting Treasury's goal.",no,,no,,2016-02-02,16:56:31
018-000003116,849,"	018","Department of Education","Application and Eligibility Determination System (AEDS)",yes,"Higher Education Act (HEA) of 1965, as amended, Part F, Need Analysis.  Specifies the formula to be used to calculate need for the Title IV programs.HEA, Part G, Section 483, Forms and RegulationsHEA, Part G, Section 487, Program Participation Agreement HEA, Part G, Section 484, Student EligibilityHEA, Part G, Section 484B, Institutional RefundsHEA, Part G, Section 487, Program Participation AgreementsCode of Federal Regulations (CFR), Subpart B, 668.22, Treatment of Title IV Funds when a student withdrawsCFR, Subpart C, 668.323   668.40, Student EligibilityCFR, Subpart E, 668.51-.61, Verification of Student Aid Application Information.",yes,"Disaster Recovery plan, CR 1006 addresses these findings.",yes,"Strategic Goals A through E, FY 2011-2015.",no,,no,,2013-09-11,09:29:31
010-000000279,850,"	010","Department of the Interior","BOR - CARMA (Capital Asset and Resource Management Application)",yes,"Executive Order (EO) 12893 (January 26, 1994) Principles for Federal Infrastructure Investment EO 13327 (February 4, 2004) Federal Real Property Asset Management Office of Management and Budget, Federal Real Property Guidance Office of Management and Budget, Achieving Green in Real Property Asset Management (February 2006).",no,"There are currently no audit findings or legal issues, however, CARMA will provide the basis for NERC/WECC Compliance.",yes,"1. Mission Area 2, Sustainably Manage Energy, Water, and Natural Resources; Goal #1, Secure America's Energy Resources; Strategy #2 Develop renewable energy potential. The supporting performance goal is, &quot;Percent of hydropower facilities in good condition as measured by the Facility Reliability Rating.&quot;&quot; 2. Mission Area 2, Sustainably Manage Energy, Water, and Natural Resources; Goal #2, Manage Water for the 21st Century; Strategy #2: Improve reliablilty of water delievery. The supporting performance measure is &quot;&quot;Percent of water infrastructure in good condition as measured by the Facility Reliability Rating.",no,,no,,2014-09-10,09:40:33
010-000000578,851,"	010","Department of the Interior","NPS - PPFL - Enterprise Facility Management Software System",yes,"Section 4(a) of PL 98-540 (16 USC 1a-8(a)) directs the NPS to implement a Maintenance Management System to support the maintenance and operations programs of the National Park System. Additionally, this system is necessary to enable NPS to comply with congressional directives, executive orders, and Directors orders. Section 111(a) of PL 109-58 requires the Secretary of the Interior to incorporate energy efficient technologies in public and administrative buildings associated with management of the National Park System. The EFMSS supports this requirement by assisting NPS with the facility management process, directing funding towards critical assets and providing for maintenance that both improves efficiency and extends the assets lifecycle.",yes,"Federal real property was identified as a high risk area by GAO. Additionally AOC audits have been conducted underscoring the value and need for an industry standard product such as Maximo (a core component of NPS's EFMSS) to ensure NPS is using industry best practices to manage, maintain, and determine future requirements for its complex asset inventory.",yes,"The EFMSS supports the following NPS mission and strategic goals: (1) GOAL: Financial Sustainability (2) GOAL: Process and Business Practices (3) GOAL: Program Development and Delivery (4) GOAL: Environmental Stewardship (5) GOAL: Safety Integrate safety into all facility management practices. The EFMSS supports the following DOI strategic goals (SG) and objectives (OBJ): (1) SG: Provide Natural and Cultural Resource Protection and Experiences (2) OBJ: Protect America's Cultural and Heritage Resources (3) OBJ: Provide Recreation and Visitor Experience (4) SG: Building a 21st Century Department of the Interior.",yes,"Executive Order (EO) 13327, Federal Real Property Asset Management, directs DOI to implement an agency asset management process to promote the efficient and economical use of Federal real property resources, including the development or upgrade of Federal real property information systems.EO 13514, Federal Leadership in Environmental, Energy, and Economic Performance, directs agencies to implement high performance sustainable Federal buildings operation and management, maintenance, and deconstruction.EO 13423, Strengthening Federal Environmental, Energy, and Transportation Management, instructs agencies to conduct activities in an economically sound and efficient manner, including by implementing sustainable practices for high performance construction, operation, and maintenance of buildings.",no,"The Guiding Principles for High Performance and Sustainable Building outline the Federal government's strategy to become a leader in the design, construction and operation of High Performance Sustainable Buildings. This includes establishing and following guiding principles that will assist in reducing the total ownership cost of facilities, improving energy efficiency, providing safe, healthy, and productive built environments, and promoting sustainable environmental stewardship.Directors Order (DO) 80, Real Property Asset Management, establishes the NPS policies, requirements, and standards for implementing section four of PL 98-540, and sets forth the following requirements of an asset management strategy, all of which are met by the EFMSS: asset inventory and assessment (API ratings), asset valuation (CRV), Real property asset management planning processes (AMPs), and implementation and execution of AMPs using life cycle principles.",2013-09-11,17:32:18
422-000001328,852,"	422","National Science Foundation","Legacy Mission Applications",yes,"To fulfill an America COMPETES Act (ACA) requirement, ACA Mentoring Plan Enhancements were made to FastLane, eJacket and Grants.gov to enforce submission by PIs and SPOs and aid Program Office Staff in review. A new ACA Project Outcomes Report, available for the general public, also supports the ACA requirement to make outcomes of NSF-funded research publicly available. The Proposal & Awards Policies & Procedures Guide (PAPPG) was also updated to include a Data Management Plan and to eliminate voluntary committed Cost Sharing in proposals per ACA requirements, as well as to require the Primary Place of Performance be stated to meet the Federal Funding Accountability & Transparency Act (FFATA) requirements.",no,,yes,"Supports agency strategic goal to excel as a science agency by helping NSF to improve the way that it carries out its mission.",no,,yes,"Office of Science and Technology Policy's Feb. 22, 2013, memorandum, ""Increasing Access to the Results of Federally Funded Research"".",2015-09-15,16:38:51
024-000009540,853,"	024","Department of Homeland Security","NPPD - Next Generation Networks Priority Services (NGN-PS)",yes,"Title XVIII.",no,,yes,"DHS Strategic Plan (FY 2014-2018)- Goal 5.3 (Ensure Effective Emergency Response) / 5.4 (Rapid Recovery from a Catastrophic Event).",yes,"1) Executive Order (EO) 13618, Assignment of National Security and Emergency Preparedness Communications Functions, directs the Secretary of DHS to ""oversee the development, testing, implementation, and sustainment of NS/EP communications, including: communications that support Continuity of Government; Federal, State, local, territorial, and tribal emergency preparedness and response communications; non-military executive branch communications systems; critical.",yes,"1) NSPD51/HSPD-20 Subject: National Continuity Policy dated 9 May 2007 establishes a comprehensive national policy for continuity of Federal Government structures & operations & a single National Continuity Coordinator responsible for coordinating development & implementation of Federal continuity policies. 2) National Security Council (NSC) Memo dated 9 October 2001 tasks the National Communications System (NCS) [NCS responsibilities now with DHS/Office of Emergency Communications (OEC)]  to provide a nationwide WPS.",2015-09-15,11:14:11
010-000000226,854,"	010","Department of the Interior","BSEE - Technical Information Management System (TIMS)",yes,"TIMS contributes to meeting Congressional and OMB mandates, such as the OCS Lands Acts, the Federal Information Security Management Act (FISMA), and the Clinger-Cohen Act.In conformance with A-11, TIMS submits monthly earned value reports and the annual Exhibit 300.TIMS ensures equity in access to online services by complying with Section 508.  Disabled employees and members of the public will have access to information that is comparable to the access available to others.TIMS will adapt existing architectural work to align with the Federal Segment Architecture Methodology (FSAM), which is a step by step process for developing and using a Segment Architecture.  FSAM guidance supports all three segment types of the Office of Management and Budget (OMB) Federal Enterprise Architecture (FEA) Practice Guidance:  core mission area, business service, and enterprise service segments.",yes,"The ePermits project addresses a number of concerns raised in the Government Accountability Office (GAO) Report 12-423, regarding the limitations of the legacy Technical Information Management System (TIMS) IT system, specifically, the lack of edit checks and means fortracking permit amendments, changes, and resubmissions.OMB GAO CR-EV-MMS-0015-2010 Recommendation 3 -- BSEE used TIMS to support the closure of this finding by:o Implemented eInspections, providing ruggedized laptops for inspectors that allow for standard capture of inspection data into TIMS; providing    more data control than paper checklists;o update potential incidents of  non-compliance made available through laptops; ando implementation of Incident of Non-Compliance, part of eInspections overall project.",yes,"TIMS supports DOI's strategic goals related to Resource Use and Serving Communities. TIMS will help BOEM and BSEE manage and execute individual lease sales, which affects various entities including states, environmental groups, and the oil and gas industry. TIMS will improve data quality and document management practices to support better decisions. The eInspections pilot improves public safety and security and protect public resources from damage by improving the inspections process.",no,,no,,2016-03-31,13:49:13
