Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Legislative Mandate Required,Legislative Mandate Description,Audit Finding Resolution Required,Audit Finding Resolution Description,Published Agency Strategic Performance Plan Required,Published Agency Strategic Performance Plan Description,Published Agency Strategic Performance Plan PRM Codes,Presidential Priority Required,Presidential Priority Description,Other Requirement Required,Other Requirement Description,Updated Date,Updated Time
"012-000000026","1335","012","Department of Labor","Digital Government Integrated Platform (DGIP)","no","","no","","no","","","yes","The President's Open Government Management Agenda requires all Federal agencies to change how they execute IT investments. The three principles of transparency, participation, and collaboration form the cornerstone of an open government. Transparency promotes accountability by providing the public with information about what the Government is doing. Participation allows members of the public to contribute ideas and expertise so that their government can make policies with the benefit of information that is widely dispersed in society. Collaboration improves the effectiveness of Government by encouraging partnerships and cooperation within the Federal Government, across levels of government, and between the Government and private institutions.","no","","09/12/2013","17:07:41"
"014-000000012","718","014","Department of State","A-LM - Integrated Logistics Management System (ILMS)","no","GSA federal mandate FMR B-15 that all agencies implement a standard Fleet Management Information System to improve management, oversight and reporting of federal fleets.","yes","Asset Management module addresses a material weakness identified by the OIG in the area of property management. ILMS grants administration functionality addresses a 2009 internal control deficiency. Conversion of Diplomatic Security (DS) security equipment ensures DS asset records are accounted for in ILMS, fully FFMIA compliant, and DS inventory is reconciled and reported in ILMS on an annual basis.","yes","ILMS is listed as a key annual performance indicator in the A Bureau Strategic Plan and the Department's strategic plan in support of the Department's Strategic Goal area #7, Use technology to provide effective and efficient management processes for the Department.","P40-014-024,P40-014-024","yes","GSA federal mandate FMR B-15 that all agencies implement a standard Fleet Management Information System to improve management, oversight and reporting of federal fleets. Also, OMB Memo M-13-02 mandates that agencies pursue cost savings, particularly for fleet and commodities, by centralizing the agency's contracting decisions or by using government-wide strategic sourcing vehicles, in order to lower prices and reduce duplication and administrative costs. This includes producing spend analyses and estimates of cost savings.","yes","Department of State cable mandating the use of ILMS overseas in 2007.","09/14/2012","11:25:43"
"014-000000014","730","014","Department of State","Travel Manager Program","yes","This investment is required by law as codified in the Federal Travel Regulation FTR 301-50.3.","no","","yes","Strategic Goal #7 (Strengthening Consular and Management Capabilities) of the FY 2007-2012 Department of State and USAID Strategic Plan calls for implementing a common interface with the Department's OMB approved e-Travel provider.","P40-014-024","no","","no","","09/16/2011","12:25:23"
"014-000000018","734","014","Department of State","Joint Financial Management System (JFMS)","yes","The solution must be able to meet mandates such as the Federal Financial Management Improvement Act (FFMIA), which  requires that agency financial management systems provide reliable financial data that complies with Federal system requirements, Federal accounting standards, and the US Government Standard General Ledger (SGL); the Prompt Payment Act, which requires that interest penalties be paid if payment is not made by the required due date; the Improper Payment Elimination and Recovery Act (IPERA), which requires agencies to reduce and recover improper payments; and the Federal Information Security Management Act of 2002 (FISMA), which defines a framework for managing information security to which all information systems used or operated by a U.S. federal government agency must conform.","yes","The financial statements of the U.S. Department of State (Department) are subject to an annual audit each fiscal year. The auditor is required to provide a report on internal control over financial reporting and compliance with laws and regulations, to report on whether the Department's financial management systems substantially complied with the requirements of the Federal Financial Management Improvement Act of 1996 (FFMIA), and to report any reportable noncompliance with laws and regulations it tested.  The annual audit must be performed in accordance with U.S. generally accepted government auditing standards; Office of Management and Budget audit guidance; and the Financial Audit Manual, issued by the Government Accountability Office and the President's Council on Integrity and Efficiency.","yes","State / USAID Strategic Plan - Strengthening Consular and Management Capabilities. Single sign on capabilities must be implemented. The GFMS and RFMS COTS updates will provide the capability to meet that requirement.","P40-014-024","no","","yes","Treasury's Government-wide Accounting and Modernization Project (GWA) addresses central accounting and reporting functions (budget execution, accountability, cash and other asset management). Updates to the JFMS COTS product will help address a number of requirements. GFMS and RFMS software and configuration updates will be required and source systems will be required to send files daily vs monthly to CAFE. State's ITCCB standards will dictate upgrades to Oracle and other third party products.","09/23/2011","14:41:06"
"014-000000024","736","014","Department of State","Integrated Personnel Management System (IPMS)","yes","5 U.S. Code - Personnel Management and  22 U.S. Code Foreign Service Act of 1980 (as amended): Appointments - impacts GEMS, Post Personnel, FSBID, REETA; Compensation Plans - impacts GEMS, Post Personnel;  Classification of Positions and Assignments - impacts GEMS, Post Personnel, ACRS, FSBID; Promotion and Retention - impacts GEMS, Post Personnel, BMA, TIC/TIS, SLRP; Career Development, Training and Orientation - impacts GEMS, Employee Profile; Travel, Leave and Other Benefits - impacts GEMS, PCS Travel, Post Personnel (TM 5 and 8, DS-1552/1707), Travel Claims System.   Federal Travel regulations: affects domestic Permanent Change of Station - PCS Travel and Travel Claims System.","yes","Independent Auditor's Report on the U.S. Department of State 2012 and 2011 Financial Statements (AUD-FM-13-08):  Scope related to segregation of duties.","yes","The Joint Strategic Plan's Goal 7:  Strengthening Consular and Management Capabilities highlights a number of workforce planning objectives including:  ensure a high quality workforce, including locally employed staff; coordinate strategies to improve the skill base, diversity, and performance of our workforce; attract a diverse, multi-skilled workforce for the 21st century a workforce that gives the Department and USAID the flexibility to respond quickly to constantly evolving needs and challenges around the world; and, to facilitate the Secretary's Global Diplomatic Repositioning initiative that will increase our presence in critical parts of the world. IPMS supports stated goals in the Secretary's Quadrennial Diplomacy and Development Review (QDDR), specifically the high priority performance goal of HR Management of Building Civilian Capacity.","P40-014-024,P40-014-024","no","","yes","HR Bureau Strategic Goals include: Service: HR will deliver efficient, consistent, and courteous service to all employees, so that they are able to meet effectively our foreign policy priorities and needs of the Service. Leadership: HR will lead with integrity, fairness, and transparency. We will hold supervisors throughout the Department of State to the highest standards of leadership and accountability for managing and developing our most important resource-our people. Diversity: HR will recruit, train and retain a diverse, skilled, and innovative workforce, and provide a flexible work environment in which all employees can contribute their best.","09/10/2013","14:07:42"
"014-000000029","742","014","Department of State","Global Foreign Affairs Compensation System (GFACS)","yes","The Fair Labor Standards Act (FLSA) and the Foreign Service Act of 1980, as amended drive many of the requirements that must be met for American staff and Foreign Service Annuitants paid through GFACS.  In addition, most states and foreign countries have their own legislation that speaks to compensation and employee fringe benefit requirements that must be administered through GFACS.  With respect to the latter, the Department's Office of Overseas Employment incorporates country-specific requirements into Local Compensation Plan documents which provide much of the basis for configuring the GFACS system.","no","","no","","","no","","yes","Section 4 FAM 500 of the  Foreign Affairs Manual spells out Department's Payroll, Time and Attendance, and Leave Accounting requirements that go beyond what is mandated by the laws and regulations promulgated in the countries in which the Department of State operates and employs staff.","09/16/2011","12:16:10"
"014-000000329","743","014","Department of State","Foreign Assistance Coordination and Tracking System (FACTS)","yes","It is an requirement for each agency have a system that support the budget formulation process (including development of the CBJ, etc) and performance reporting processes (including responding to GPRA, etc). FACTS Info is a major IT investment (e300) for DoS and through an OMB TechStat, was directed to include the PEPFAR business functionality within the system. The reauthorization of PEPFAR (Public Law 108-25 the United States Leadership Against HIV/AIDS, Tuberculosis, and Malaria Act of 2003) included several budgetary and reporting requirements that require S/GAC to collect PEPFAR Country Operational Plans with a great level of budgetary and programmatic detail.  The collection of this data is also necessary to provide the level of detail Congress has asked for in Congressional Notifications.","no","","yes","The State/USAID Streamlining Project recommends FACTS Info to be made the primary system for Foreign Assistance planning and reporting activities and to strengthen IT systems to assist operating units with budget execution and project management. This includes: Expanding the scope of processes and indicators supported by FACTS Info and enhancing its data collection and reporting functionality; Meeting key mission management needs through Washington-supported IT systems. Moreover, FACTS Info currently collects the information for the State/USAID Annual Performance Report/Annual Performance Plan (APP/APR) that is part of the Congressional Budget Justification and allows State/USAID to meet their GPRA requirements.","P40-014-024,P40-014-023","no","","no","The creation of the FACTS Program resulted from shared policy direction from the newly created Director of Foreign Assistance, under Secretary Rice.  While the DFA position required Congressional approval, the FACTS Program itself was not legislated.","09/10/2013","14:46:11"
"014-000000019","744","014","Department of State","Electronic Medical Record (EMR)","no","","no","","no","","","yes","Executive Order 13410 - Ensure interoperable EHR System. Promote quality and efficient health care in federal government administered or sponsored health care programs.","yes","HIPAA of 1996 - Protects the privacy of PII and security of electronic protected health information. ARRA 2009 (HITECH Act) - Medicare and Medicaid incentive payments for meaningful use and certified EHR.","09/23/2011","12:53:42"
"014-000000042","1129","014","Department of State","Messaging Services, Email and Remote Connectivity","yes"," Privacy, and Security Acts.","no","OMB s detailed review and approval of the IBR and Acquisition Plan (segmented per OMB direction), v. 2.8, October 31, 2006.","yes","Goal 1.2 Creation and management of knowledge in support of diplomacy Greater utilization of existing data stores in support of diplomatic initiatives Next generation messaging and information exchange Steady adoption of innovations in information analysis, pattern analysis, speech and language processing, etc. Increased IT resources for diplomatic initiatives TS messaging fully fielded, legacy systems terminated Goal 1.3 Integration of management systems Standard process and technology for interfacing management systems Improve quality and utility.","P40-014-017,P40-014-021,P40-014-020,P40-014-022,P40-014-018,P40-014-024","no","","yes","Review of Need to know guidelines (as implemented by TAGS). Action Memorandum S/ES Integrated Messaging System: Defining Conditions of Access. Approved by the Secretary. Make classified and unclassified information broadly available to security cleared foreign affairs professionals. M-05-23 MEMORANDUM FOR CHIEF INFORMATION OFFICERS Office of E-Government and Information Technology - Improving Information Technology (IT) Project Planning and Execution. Memorandum Report: The Foreign Affairs Systems Integration Project Needs Redirection, IT-A-03-02.","09/11/2013","11:26:36"
"014-000000039","1130","014","Department of State","Application Services","yes","Data Management - Clinger-Cohen Act Public Law 104-106, Section 5125 (40 U.S.C. 11315) - Management of Federal Information Resources (OMB Circular A-130) - Data Quality OMB (Public Law 106-554, Section 515) - E-Government Act of 2002, Title II, Section 207 (44 U.S.C. 3501 note) - Government Paperwork Elimination Act (GPEA), Public Law, 105-277, Title XVII (44 U.S.C. 3504 note) - Government Performance and Results Act (GPRA), Public Law, 103-62.","no","","yes","The Data Management (DM) Program supports Strategic Goal 7 in the QDDR, facilitating operational and consular efficiency through enhanced collaboration and data sharing.  This is facilitated by enabling access to reliable sources of standardized reference data through the maintenance and enhancement of the MRD application, reusable data elements and structures through the development and enhancement of the EMR, and data subject matter experts that build out and maintain the Taxonomy.  The end result will be improved executive decision-making through improved data services.","P40-014-024,P40-014-024","yes","Open Data Memo-- http://www.whitehouse.gov/sites/default/files/omb/memoranda/2013/m-13-13.pdf.","no","","09/10/2013","14:25:43"
"014-000000026","1131","014","Department of State","Data Center Services and Hosting","no","","no","","yes","The ESOCs support IRM Goal 2.1 Cloud-based application and processing environment is established. IRM Strategic plan: http://irm.m.state.sbu/_layouts/OSSSearchResults.aspxk=irm%20strategic%20plan&cs=This%20Site&u=http%3A%2F%2Firm.m.state.sbu .State Department Strategic plan - http://www.state.gov/documents/organization/147678.pdf.","P40-014-024","no","","no","","02/29/2012","12:03:30"
"014-000000032","1132","014","Department of State","Consular Systems Modernization","yes","USA PATRIOT Act (P.L. 107-56) the Enhanced Border Security and Visa Entry Reform Act of 2002 (P.L. 107- 173) the Homeland Security Act of 2002 (P.L. 107-296) legislation implementing the 9/11 Commission recommendations (S. 2845, H.R. 10, S. 2774/H.R. 5040 and H.R. 5024) Intelligence Reform and Terrorism Prevention Act of 2004 Western Hemisphere Travel Initiative. The Federal Information Security Management Act of 2002 (FISMA) Government Paperwork Elimination Act (GPEA), Public Law 105-277 (codified at 44 U.S.C. 3504 / see also 5 FAM 141) The Privacy Act of 1974, Public Law No. 93-579, 88 Stat. 1897 (Dec. 31, 1974), codified in part at 5 U.S.C. 552a.","yes","  OIG Reports: Nonimmigrant Visa Adjudication: Standards for Refusing Applicants, Nonimmigrant Visa Adjudication: the Visa Referral Process, and Review of Nonimmigrant Visa Issuance Policy and Procedures. ISP-I-09-34; issued July 2009 - Recommendation 51: The Bureau of Consular Affairs should enable consular sections to transmit and the Special Issuance Agency to receive passport application data electronically. the OIG has been informed that this will be part of Consular One.","no","CSM will line up to DoS Strategic Goal 7: Strengthening Consular and Management Capabilities. CSM systems will provide direct mission support to passport, visa and overseas citizen services, providing Consular workers worldwide with a streamlined set of tools to more efficiently and effectively do their jobs.","P40-014-024","no","","no","","02/29/2012","14:08:08"
"014-000000044","1133","014","Department of State","Deployment, Maintenance, and Refresh Services","yes","OMB Circular A-130, Appendix III, &quot;Security of Federal Automated Information Resources&quot;; Federal Emergency Management Agency (FEMA) Federal Preparedness Circular 65 (FPC 65); Federal Executive Branch Continuity of Opeartions (COOP); Clinger-Cohen Act; Government Paper Elimination Act (GPEA); Committee on National Security Systems (CNSS) mandates; Diplomatic Security and Anti-terrorism Act of 1986.","no","OIG produced a report titled: Audit of Replacement of Aging Desktop Workstations at the Department of State With Funds Provided by the American Recovery and Reinvestment Act (AU/CG-11-31), dated August 2011.","yes","DoS Strategic Plan IT Strategic Plans and Goals: Strategic Goal 2.2 - Redesigned and consolidated network, Goal 2.5 - State Computing is Green, Goal 3.2 - Performance Manage is used rigorously, and the Department s Strategic Goal 7 - Strengthening Consular and Management Capabilities following government initiatives and plans. Quaddrenial Diplomacy and Development Review (Specifically Goal 2 (2.4)).","P40-014-024,P40-014-024","yes","Presidential Decision Directive (PDD) 67; Executive Order 12656 [Section 202]; Executive Order 13514; Executive Order 13423; E.O. 13589 - Promote Efficient Spending (Nov 2011) OMB M-11-35 Eliminating Excess Conference Spending and Promoting Efficiency in Government.","yes","FAM and FAH references for each initiative Public Law 99-399 National Security Decision Directive-38.","09/17/2012","14:34:56"
"014-000000034","1134","014","Department of State","Legacy Consular Systems","yes","LCS systems are constantly maintained and enhanced to accommodate legislative changes, such as the USA PATRIOT Act (P.L. 107-56), which was a broad anti-terrorism measure that included several important changes to immigration law, including specific visa policy matters; the Enhanced Border Security and Visa Entry Reform Act of 2002 (P.L. 107- 173), which expressly targeted the improvement of visa issuance procedures. Also, the Homeland Security Act of 2002 (P.L. 107-296) and legislation implementing the 9/11 Commission recommendations (S. 2845, H.R. 10, S. 2774/H.R. 5040 and H.R. 5024) has various provisions that would affect visa issuances. Among the other provisions in the 9/11 Commission implementation bills are: acquire and deploy technologies (e.g., biometrics) to detect potential terrorist indicators on travel documents; establish an Office of Visa and Passport Security; and train consular officers in the detection of terrorist travel patterns.","yes","There are various requirements/mandated changes for LCS systems that can be found in the following OIG Reports: Nonimmigrant Visa Adjudication: Standards for Refusing Applicants, Nonimmigrant Visa Adjudication: the Visa Referral Process, and Review of Nonimmigrant Visa Issuance Policy and Procedures. We continuously maintain and enhance our visa support systems and remain up-to-date with all these Audit Findings changes.","no","LCS lines up to DoS Strategic Goal 7: Strengthening Consular and Management Capabilities. LCS systems provide direct mission support for passport, visa and overseas citizen services and provide enhanced management insight into Consular resources worldwide.","P40-014-024","no","","no","","02/29/2012","14:45:25"
"014-000000048","1136","014","Department of State","Security/Cyber Security Services","yes","Information Technology Management Reform Act of 1996; Clinger-Cohen Act, 1996; HSPD-12; Federal Information Security Management Act of 2002; E-Government Act of 2002; Privacy Act of 1974; Omnibus Diplomatic Security and Antiterrorism Act of 1986; Federal Manager's Financial Integrity Act of 1982 (FMFIA); Computer Fraud and Abuse Act of 1986; Inman Report 1985; CNSS Policy No. 300 Revised April 2004 - National Policy on Control of Compromising Emanations; Public Law 99-399; Computer Security Act of 1987; Public Law 100-235; Federal Acquisition Streamlining Act of 1994 (FASA); Public Law 103-355; FAR 48 CFR Chapter 1 - Federal Acquisition Regulations System, Subpart 39.2 Electronic & Info Tech; National Security Decision Directive 145 National Policy on Telecomm & Automated Info Systems Security; Comprehensive National Cybersecurity Initiative (CNCI); Cybersecurity Act of 2010; CNSSI - 4005 Safeguarding COMSEC Facilities and Materials CNSS Policy #19 - N.","yes","Office of Audits - Evaluation of Department of State Information Security Program Report Number AUD/IT-12-14, November 2011.","yes","DoS IT Strategic Plan FY 2011-2013 Joint USAID/DOS Strategic Plan goal 7: Strengthening Consular and Management Capabilities.","P40-014-024,P40-014-024","yes","E.O. 13010 - Critical Infrastructure Protection; E.O. 13011 - Federal Information Technology; PDD 62 - Protection Against Unconventional Threats; PDD 63 - Critical Infrastructure; E.O. 13587 - Structural Reforms to Improve the Security of Classified Networks and the Responsible Sharing and Safeguarding of Classified Information; E.O. 13526 - Classified National Security Information; E.O. 10421; OMB M-11-11: requirements for authentication using PIV credentials E.O. 12472; National Security Presidential Directive 54/Homeland Security Presidential Directive 23 (NSPD-54/ HSPD-23).","yes","National Institute of Standards &amp; Technology guides and FIPS; OMB Circulars A-123, A-127, A-130; Homeland Security Presidential Directives HSPD No. 7, HSPD 23; National Security Presidential Directive No. 54; FAM and FAH Guidance; 40 USC 11331 - Responsibilities for Federal information systems standards Federal Information Processing Standard Publication 201 (FIPS 201): Personal Identity Verification (PIV) of Federal Employees and Contractors; CJCSI 6215.01B and DODD 8100-3.","09/11/2013","11:24:27"
"014-000000043","1137","014","Department of State","Enterprise Network and Bandwidth Services","no","","no","","yes","Quadrennial Diplomacy and Development Review (QDDR), SG 7: 21st century workforce, operational efficiency at HQ and post.U.S. Department of State & U.S. Agency for International Development Strategic Plan (FY2007 - FY2012), Goal 7.DoS IT Strategic Plan (FY2011   FY2013), Goal 2: Cloud; Goal 3: State's IT Leadership.","P40-014-024","yes","The ENBS support of IPV6 is required by a Presidential Directive.","no","NexGen is an IRM priority supported by the ENBS investment.  NexGen provides a platform for the Foreign Affairs Network (FAN).","03/02/2012","15:54:52"
"014-000000396","1255","014","Department of State","Foreign Affairs Network","no","","no","","yes"," Goal 1 Digital Diplomacy: Launching a single SBU IT platform in 250+ posts enables collaboration among DoS's stakeholders and provides a consolidated network platform to U.S. agencies overseas as described in the Quadrennial Diplomacy and Development Review.Goal 2 Cloud Computing: The FAN will establish an IT environment that promotes information sharing while providing a single SBU infrastructure. This collaboration eliminates the need for each agency to deploy its own network.Goal 3 State's IT Leadership: The FAN will ensure IT resource governance by standardizing services, and improving information sharing, and security. Technical support operations will be centralized and IT staff will be able to deliver exceptional customer service to end-users.DoS Goal 7 - Strengthening Consular and Management Capabilities: Through this strategic goal,  cloud computing and the FAN improve efficiency of service delivery and contributes to reducing environmental footprint.","P40-014-024","yes","Federal CIO; September 28, 2010: Transition public facing servers and services from IPv4 to operationally native IPv6 by FY 2012; Transition internal client applications that communicate with public Internet servers from IPv4 to operationally native IPv6 by FY2014.","yes","The Department has been designated as a Trusted Internet Connection Access Provider (TICAP) by OMB for all foreign affairs agencies. The Department is ready to expand their capacity as a TICAP for any department or agency that wishes to take advantage of the State Department compliant Internet infrastructure.","09/14/2012","19:15:56"
"015-000000046","498","015","Department of the Treasury","Account Management Services (AMS)","yes","Patient Protection and Affordable Care Act, Public Law 111-148 (124 Stat. 119 (2010)),AMS will provide inventories for the Affordable Care Act (ACA) for Branded Prescription Drugs and Insurance Provider Fees.  AMS will provide support for ACA Account Management Customer Service for individual mandates.","no","","yes","AMS supports the Department of Treasury Strategic Goal 4 (P40015107) to Pursue Comprehensive Tax and Fiscal Reform, Objective 2,(P42015107) to Increase voluntary tax compliance by providing IRS employees the ability to access and update taxpayer accounts on demand, providing data presentation services to display and validate changes/updates for taxpayer accounts, and making case information readily available for decision making and reporting.  AMS provides the front-end applications for adjustments, penalties, interest, abatements, credit and debit transfers, name and address changes, bankruptcies, installments agreements, changes to the automated treatment streams and many other taxpayer account-related functions required for customer service and compliance and provides the functionality to monitor taxpayer accounts for follow-up activity or deferred actions.","P42-015-107","no","","yes","Goal 1 in the IRS Strategic Plan 2009-2013 is to Improve service to make voluntary compliance easier.  Objective 2 states that the IRS will expedite and improve issue resolution across all interactions with taxpayers, making it easier to navigate the IRS.  Account Management Services (AMS) delivers improved customer support by providing IRS employees with tools to access information quickly and accurately in response to taxpayer inquiries.  AMS provides front-end applications for taxpayer service and compliance. In Strategic Foundations: Invest for High Performance, Objective 2 is build and deploy advanced information technology systems, processes, and tools to help improve IRS efficiency and productivity.  AMS provides employees immediate access to integrated account data enabling real-time transaction processing and daily account settlement resulting in improved efficiency and productivity.  AMS also facilitates management actions that improve efficiency and productivity.","09/11/2013","17:12:00"
"015-000000034","500","015","Department of the Treasury","Automated Standard Application for Payments (ASAP)","no","","no","","yes","The ASAP investment is recognized as being a contributor to the Fiscal Service's Strategic Goals #1 & 5: Achieve timely, accurate, and efficient disbursement of Federal payments and Achieve timely and accurate financial information that contributes to the improved quality of financial decision making.","P30-015-030,P42-015-108,P44-015-108,P40-015-108,P43-015-108","no","","yes","The CFO Council, in conjunction with the Office of Management and Budget, selected ASAP as one of two approved grant payment systems for civilian grants.  See OMB Circular A-110, Grants and Agreements with Institutions of Higher Education, Hospitals and Other Non-Profit Organizations.","09/16/2011","06:48:27"
"015-000000040","501","015","Department of the Treasury","BSA IT Modernization","no","","no","","no","","","no","","no","","09/16/2011","06:48:35"
"015-000000066","503","015","Department of the Treasury","Treasury Enterprise Identity, Credential and Access Management (TEICAM)","no","","no","","no","Department of the Treasury Strategic Plan 2007-2010http://www.treasury.gov/about/budget-performance/strategic-plan/Documents/strategic-plan2007-2012.pdf.","P40-015-106","no","Presidential Directive (HSPD-12), FICAM Roadmap & Guidance, OMB Memorandum M11-11.","no","http://www.idmanagement.gov/documents/PIV_IO_NonFed_Issuers_May2009.pdf.http://www.whitehouse.gov/assets/documents/Cyberspace_Policy_Review_final.pdf.http://www.gao.gov/new.items/d09701t.pdf.http://www.gao.gov/new.items/d0549.pdf.http://www.gao.gov/new.items/d06612.pdf.http://www.cio.gov/fpkia/.","09/16/2011","06:48:38"
"015-000000051","506","015","Department of the Treasury","Customer Account Data Engine 2 (CADE 2)","no","IRS Restructuring and Reform Act in July 1998 - sweeping legislation where Contress and the American public gave new instructions to the IRS to serve the American taxpayers who are paying the tax as well as we do in collecting the tax.","yes","TIGTA Audit (201010022) to address an unpaid assessments material weakness.  The solution is Transition State 2 when completed.","yes","Treasury Strategic Goal 4: Pursue Comprehensive Tax and Fiscal Reform; Objective 3: Promote policies to ensure a sound fiscal footing over the medium term.","P40-015-107","no","","no","","09/11/2012","12:04:51"
"015-000000050","508","015","Department of the Treasury","Debit Gateway","no","N/A.","no","None.","no","None.","P41-015-108,P42-015-108,P43-015-108,P40-015-108,P45-015-108,P44-015-108","yes","The Debit Gateway is a designated Treasury critical infrastructure and key resource (CI/KR) and is subject to Homeland Security Presidential Directive (HSPD)-7, which superseded by PDD-63.  A Critical Infrastructure Dependency and Interdependency Analysis for Debit Gateway (required every three years) was completed in March 2012. Based on this analysis, the Debit Gateway was found to have zero single points of failure. The CI/KR's and assets directly in contact with the Debit Gateway application have sufficient, redundant or alternate means to ensure the continued functionality of Debit Gateway in the event of failures of any of the components that are documented and tested annually, or, as warranted by major system changes.","yes","Fiscal Service Strategic Plan -- Goal 3: Deliver exceptional programs and services.","03/18/2014","16:49:39"
"015-000000036","509","015","Department of the Treasury","Deposit and Data Management (DDM)","no"," Not applicable.","no"," Not applicable.","no"," Not applicable.","","no"," Not applicable.","no","Not applicable.","03/18/2014","16:53:19"
"015-000000012","512","015","Department of the Treasury","e-Services (e-SVS))","yes","The Restructuring and Reform Act of 1998 stated that the Internal Revenue Service (IRS) should set goals to have a minimum of eighty percent of all Federal tax and information returns filed electronically by calendar year (CY) 2007.","no","","yes","Strategic Goal 4: Pursue Comprehensive Tax and Fiscal Reform and Objective 2: Increase voluntary tax compliance.eServices will support the IRS Strategic Goal of pursuing comprehensive tax and fiscal reform along with increasing voluntary tax compliance by offering electronic services in a web-based environment conducting most of the Internal Revenue Service's transactions with authorized individuals electronically.","P40-015-107,P42-015-107","no","","no","","09/11/2013","17:13:54"
"015-000000026","514","015","Department of the Treasury","FedDebt","yes","Debt Collection Improvement Act of 1996.","no","","yes","Goal 1: Promote domestic economic growth and stability while continuing reforms of the financial system.","P42-015-108","no","Debt Collection Improvement Act of 1996.","yes","The FedDebt investment is mission-critical to the Fiscal Service in carrying out its responsibilities under DCIA and in bringing in over $5 billion annually in collections.","09/11/2013","17:12:50"
"015-000000039","519","015","Department of the Treasury","EFTPS (Electronic Federal Tax Payment System)","no","Congressional mandate (26 U.S.C 6302(h)) to establish an electronic mechanism for the collection of Federal tax dollars.","no","","yes","Increase Electronic Transactions with the Public to Improve Service, Prevent Fraud, and Reduce Costs.","P30-015-030","no","","yes","All Electronic Treasury Treasury Directive 9507 Regulation 153340-09.","06/28/2013","13:30:09"
"015-000000001","523","015","Department of the Treasury","HR LoB - HR Connect","no","N/A.","no","N/A.","no","","","yes","2004 President's Management Agenda.","yes","HR Connect is one of five HR Lines of Business designated by the Office of Personnel Management. All federal agencies are required to migrate to one of these systems.","09/11/2013","17:12:43"
"015-000000014","524","015","Department of the Treasury","Individual Master File (IMF)","no","","no","","yes","IMF supports the Treasury Strategic Plan, specifically the following goal:Strategic Goal 4: Pursue Comprehensive Tax and Fiscal Reform.","P40-015-107","no","","no","","06/28/2013","13:29:58"
"015-000000017","526","015","Department of the Treasury","Integrated Customer Communication Environment (ICCE)","no","","no","","yes","ICCE directly supports the Treasury  Strategic Goal to PursueComprehensive Tax and Fiscal Reform  by improving service to increase voluntary compliance.","P40-015-107,P42-015-107","no","","no","","06/28/2013","13:29:59"
"015-000000027","527","015","Department of the Treasury","Integrated Financial System/CORE Financial System (IFS)","no","","no","","yes","IFS supports Treasury's Strategic Goal to Manage the Government's Finances in a Fiscally Responsible Manner by modernizing the IRS' core financial system and standardizing our accounting practices while continuously improving our operations and processes to generate efficiency savings.","P40-015-108","no","","no","","06/28/2013","13:30:04"
"015-000000019","528","015","Department of the Treasury","Integrated Submission and Remittance Processing System (ISRP)","no","","no","","yes","ISRP supports the Treasury's Strategic Goal #5, Manage the Government's Finances in a Fiscally Responsible Manner by collecting tax revenue due to the federal government from processing tax returns and remittances.","P40-015-108","no","","no","","06/28/2013","13:30:01"
"015-000000056","533","015","Department of the Treasury","IRS.GOV - Portal Environment","yes","- Annual Filing Season Tax Law Changes.","no","","yes","IRS Strategic Plan (FY2009-2013)Strategic Foundations: Invest for high performance (Page 28)OBJECTIVE 2: Build and deploy advanced information technology systems, processes, and tools to improve IRS efficiency and productivity Every day, IRS information technology affects taxpayers and employees. IT facilitates the processing of 250 million tax returns each year. It allows IRS service representatives to give taxpayers quick answers to their questions and enables swift detection of potential violations. To ensure that we are equipped to meet the challenges of tax administration in the future, we must continue our commitment to implementing advanced technological systems, processes and tools.","P42-015-108,P42-015-107","no","","yes","FAR- Subpart 6.2;Full and Open Competition After Exclusion of Sources 6.200  Scope of subpartThis subpart prescribes policy and procedures for providing for full and open competition after excluding one or more sources. 6.201  Policy- Acquisitions made under this subpart require use of the competitive procedures prescribed in 6.102.","09/11/2013","17:15:05"
"015-000014836","537","015","Department of the Treasury","Mint Retail Sales System (RSS)","no","The Mint's mission is to manufacture and distribute circulating coins, precious metals, collectible coins, and national medals to meet the needs of the United states. RSS is a necessary vehicle for processing transactions from the public and precious metal vendors to get such products in thwe hands of the public.","no","","no","-RSS was originally an eGovernment initiative under the President's Management Agenda, Goal 4,Expanded Electronic Government.-Treasury IT Goal (FY 2002)Simplify and Unify IT efforts to optimize services.","P44-015-108","no","","no","","09/11/2012","12:06:36"
"015-000000045","538","015","Department of the Treasury","Modernized e-File (MeF)","yes","1. Title II, Section 2001 of the Internal Revenue Service Restructuring and Reform Act of 1998 (RRA98) - includes a provision setting a goal of an 80 percent e-file rate for all federal tax and information returns.2. Worker, Homeownership, and Business Assistance Act of 2009 (H.R. 3548) Section 17 - Requires tax return preparers who expect to file more than 10 tax returns to file such returns electronically.","no","","yes","MeF supports the Treasury Strategic Goal of Managing the Government's Finances in a Fiscally Responsible Manner, Objective #2, Expand the use of electronic transactions by providing a secure, web platform for electronically filing tax and information returns by registered Electronic Return Originators (ERO).","P40-015-108","no","","no","","09/11/2013","17:12:07"
