Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Performance Metric ID,Agency Performance Metric ID,Metric Description,Unit of Measure,FEA Performance Measurement Category Mapping,Target 2012,Target 2013,Measurement Condition,Reporting Frequency,PRM Code,Latest Performance Metric Actual Id,Latest Agency Performance Metric Actual Id,Latest Actual Result,Latest Actual Result Met/Not Met,Latest Actual Result Comment,Latest Actual Result Date,Metric Updated Date,Metric Updated Time
"012-000002495","114","012","Department of Labor","DOL eGrants","202","","E-Grants system Report capabilities. Number of management reports produced.","Number of Management reports","112-Customer Results - Service Coverage","24.000000","34.000000","Over target","Quarterly","","57613","","26.000000","Not Met","","2013-06-07","07/15/2013","09:33:22"
"012-000002495","114","012","Department of Labor","DOL eGrants","203","","eGrants system Grants Processes Time. Reduce the number of days required to grant award in the  Pre-Award  and  Award  phases of the process.","Number of days","101-Mission and Business Results - Services for Citizens","84.000000","75.000000","Over target","Quarterly","","57619","","75.000000","Met","","2013-06-07","07/15/2013","09:33:22"
"012-000002495","114","012","Department of Labor","DOL eGrants","204","","eGrants system Number of Grants transferred to Grants.Gov. % Of discretionary grant competitions transferred to Grants.Gov.","Percent of Grants","206-Process and Activities - Management and Innovation","100.000000","100.000000","Over target","Quarterly","","57611","","100.000000","Met","","2013-06-07","07/15/2013","09:33:22"
"012-000002495","114","012","Department of Labor","DOL eGrants","205","","eGrants system Submission time to Grants.Gov. Number of days between submissions of Grants applications from eGrants to HSS grants.gov for initiation.","Number of days","202-Process and Activities - Productivity","1.000000","1.000000","Over target","Quarterly","","57615","","1.000000","Met","","2013-06-07","07/15/2013","09:33:22"
"012-000002495","114","012","Department of Labor","DOL eGrants","206","","Number of delayed weaknesses Secure Data confidentiality and integrity (POA&amp;Ms security)","Percent of decrease","205-Process and Activities - Security and Privacy","15.000000","10.000000","Under target","Quarterly","","57621","","10.000000","Met","","2013-06-07","07/15/2013","09:33:22"
"012-000002495","114","012","Department of Labor","DOL eGrants","207","","eGrants System availability. The % of system uptime.","Percent of System Uptime","215-Technology - Reliability and Availability","93.000000","97.000000","Over target","Monthly","","59267","","95.000000","Not Met","","2013-07-09","07/15/2013","09:33:22"
"012-000002495","114","012","Department of Labor","DOL eGrants","208","","E-Grants system Timeliness of Help Desk calls/ issues resolved. A responsive help desk will help improve the quality and value of services and information.","Percent of Helpdesk Resolution","112-Customer Results - Service Coverage","80.000000","80.000000","Over target","Quarterly","","57617","","80.000000","Met","","2013-06-07","07/15/2013","09:33:22"
"012-000002495","114","012","Department of Labor","DOL eGrants","209","","Customer satisfaction. Percentage of rating to the annually eGrants services survey filled out by the internal eGrants users. The survey scale of 1 to 5, 5 &#61; excellent, 1 &#61; failure.","Percent of user rating.","111-Customer Results - Customer Benefit","4.000000","5.000000","Over target","Quarterly","","57625","","4.000000","Not Met","","2013-06-07","07/15/2013","09:33:22"
"012-000002495","114","012","Department of Labor","DOL eGrants","5869","","Enhanced system monitoring and robustness.  Measures a reduction in the number of helpdesk calls.","Reduction of Helpdesk Call (Decreasing)","203-Process and Activities - Cycle Time and Timeliness","","550.000000","Over target","Quarterly","","42749","","650.000000","Met","","2013-01-10","07/15/2013","09:33:22"
"012-000002495","114","012","Department of Labor","DOL eGrants","5871","","Electronic submission of Pre-Award grant artifacts--Paperless. Measure increasing % of paperless submissions within the Pre-Award process.","Percentage complete","202-Process and Activities - Productivity","","60.000000","Over target","Quarterly","","57627","","70.000000","Met","","2013-06-07","07/15/2013","09:33:22"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","144","","Agency Budget Professionals Job Satisfaction.","%","111-Customer Results - Customer Benefit","82.000000","82.000000","Over target","Semi-Annual","","54365","","73.000000","Not Met","Based on National Office Survey Results for DBC","2013-03-31","07/15/2013","09:25:20"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","145","","Stakeholder Satisfaction.","%","114-Customer Results - Service Quality","90.000000","90.000000","Over target","Semi-Annual","","54361","","90.000000","Met","Based on Senior Manager/Executive Stakeholder input","2013-03-31","07/15/2013","09:25:20"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","146","","Percentage of Agency Budget Offices Using DEBS.","%","102-Mission and Business Results - Support Delivery of Services","100.000000","100.000000","Over target","Semi-Annual","","54371","","100.000000","Met","All agencies are using DEBS","2013-03-31","07/15/2013","09:25:20"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","147","","Number of agencies Integrating Budget Formulation &amp; Exhibit 300 Submissions.","#","102-Mission and Business Results - Support Delivery of Services","12.000000","12.000000","Over target","Semi-Annual","","54363","","16.000000","Met","There are 16 agencies, but there are 31 appropriations. Based on actual data.","2013-03-31","07/15/2013","09:25:20"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","148","","Number of Budgets Requiring Re-Work.","#","203-Process and Activities - Cycle Time and Timeliness","0.000000","0.000000","Over target","Semi-Annual","","54369","","0.000000","Met","No budgets required rework due to DEBS.","2013-03-31","07/15/2013","09:25:20"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","149","","Cost Benefits Associated with Integrated Budget Environment.","%","201-Process and Activities - Financial","50.000000","130.000000","Over target","Semi-Annual","","54367","","125.000000","Not Met","Based on revised CBA that includes revised funding for CY13 and revised benefits.","2013-03-31","07/15/2013","09:25:20"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","150","","Percentage of Collaborative Budget Formulation Experiences.","%","213-Technology - Efficiency","80.000000","80.000000","Over target","Semi-Annual","","54359","","83.300000","Met","Based on latest experience in production of BIB, APR, and budgets.","2013-03-31","07/15/2013","09:25:20"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","151","","Accurate and Timely Budget &amp; Performance Data.","%","212-Technology - Quality Assurance","92.000000","92.000000","Over target","Semi-Annual","","54373","","99.000000","Met","Based on latest submission","2013-03-31","07/15/2013","09:25:20"
"012-000002575","115","012","Department of Labor","Departmental E-Business Suite (DEBS)","152","","Timely Deployment of Patches and/or Security Fixes.","%","215-Technology - Reliability and Availability","80.000000","80.000000","Over target","Monthly","","59260","","0.000000","Not Met","Pending complete report of outstanding patches due for production release.","2013-06-30","07/15/2013","09:25:20"
"012-000003225","116","012","Department of Labor","HSPD-12","157","","Increase the number of help-desk tickets resolved on a monthly basis - A faster resolution of incidents to improve customer service.","#","203-Process and Activities - Cycle Time and Timeliness","7.000000","10.000000","Over target","Monthly","","59273","","10.000000","Met","","2013-06-28","07/15/2013","09:42:14"
"012-000003225","116","012","Department of Labor","HSPD-12","5887","","Percentage of help-desk tickets resolved in less than 4 days (duration) (PIV)","%","203-Process and Activities - Cycle Time and Timeliness","48.000000","50.000000","Over target","Semi-Annual","","49837","","50.000000","Met","","2013-03-29","07/15/2013","09:42:14"
"012-000003225","116","012","Department of Labor","HSPD-12","7281","","Increase the number of standard reports produced accurately and on time by internal stakeholders","#","214-Technology - Information and Data","13.000000","15.000000","Over target","Semi-Annual","","49841","","15.000000","Met","","2013-03-29","07/15/2013","09:42:14"
"012-000003225","116","012","Department of Labor","HSPD-12","7283","","Increase the percentage of Contractors that have been issued PIV cards","%","112-Customer Results - Service Coverage","80.000000","85.000000","Over target","Semi-Annual","","49843","","85.000000","Met","","2013-03-29","07/15/2013","09:42:14"
"012-000003225","116","012","Department of Labor","HSPD-12","7285","","Increase the percentage of employees that have been issued PIV cards","%","112-Customer Results - Service Coverage","85.000000","90.000000","Over target","Semi-Annual","","49845","","90.000000","Met","","2013-03-29","07/15/2013","09:42:14"
"012-000003585","117","012","Department of Labor","SOL IT Modernization","5923","","Percentage of time that the Evidence Management System is available calculated by comparing hours of &quot;uptime&quot; as a % of total work hours. This does not include scheduled system downtime.","Percent of time the system is available","215-Technology - Reliability and Availability","","90.000000","Over target","Quarterly","","59310","","100.000000","Met","","2013-07-10","07/15/2013","12:05:15"
"012-000003585","117","012","Department of Labor","SOL IT Modernization","5925","","Number of user-generated management reports using system reporting tool, derived by querying system audit logs. Only senior management staff (approximately 40 users) have access to these reports.","Number of reports generated","115-Customer Results - Service Accessibility","","25.000000","Over target","Quarterly","","59311","","41.000000","Met","","2013-07-10","07/15/2013","12:05:15"
"012-000003585","117","012","Department of Labor","SOL IT Modernization","5927","","Percentage of Litigation Support Service Requests that met expectations of the customer. Calculated based on number of survey responses of 4 or 5 (on a scale of 1 (well below expectations)-5 (well above expectations)). Survey delivered immediately following a completed litigation support request; responses are voluntary.","percent of responses with a score of 4 or 5.","111-Customer Results - Customer Benefit","85.000000","90.000000","Over target","Quarterly","","49813","","90.900000","Met","10/11 positive resoponses = .909 = 90.9%","2013-04-01","07/15/2013","12:05:15"
"012-000003585","117","012","Department of Labor","SOL IT Modernization","5929","","Number of MMS-related customer support problem tickets received, based on the ticket creation date.","Number of problem tickets received","204-Process and Activities - Quality","190.000000","170.000000","Under target","Quarterly","","59313","","148.000000","Met","","2013-07-10","07/15/2013","12:05:15"
"012-000003585","117","012","Department of Labor","SOL IT Modernization","5931","","Number of person hours required to compile data and generate standard management reports calculated based on the hours needed to create and distribute the reports.","Hours required to create monthly management report","103-Mission and Business Results - Management of Government Resources","100.000000","1.000000","Under target","Monthly","","48417","","11.000000","Not Met","Most reports have been automated, but as reports are changed this number may go up or down slightly.  ","2013-12-05","07/15/2013","12:05:15"
"012-000003585","117","012","Department of Labor","SOL IT Modernization","6885","","Number of Major Litigation cases utilizing EMS for evidence management/support during the year. This is a running total, measured monthly.","Number of Cases","214-Technology - Information and Data","0.000000","8.000000","Over target","Monthly","","59312","","5.000000","Not Met","","2013-07-10","07/15/2013","12:05:15"
"012-000002045","121","012","Department of Labor","Foreign Labor Certification Systems (FLCS)","210","","Percent of applications that are filed electronically.","Percent of applications","115-Customer Results - Service Accessibility","85.000000","95.000000","Over target","Quarterly","","54391","","98.000000","Met","","2013-05-10","07/15/2013","09:40:01"
"012-000002045","121","012","Department of Labor","Foreign Labor Certification Systems (FLCS)","211","","Percent of H-1B applications processed within seven days of the filing date.","Percent of applications","113-Customer Results - Timeliness and Responsiveness","100.000000","100.000000","Over target","Quarterly","","59270","","23.100000","Not Met","","2013-07-09","07/15/2013","09:40:01"
"012-000002045","121","012","Department of Labor","Foreign Labor Certification Systems (FLCS)","212","","Percent of H-2B applications resolved within 60 calendar days of the filing date.","Percent of applications","113-Customer Results - Timeliness and Responsiveness","0.000000","","Over target","Quarterly","","18643","","100.000000","Met","The target for the CY is TBD.  OFLC was asked to not provide quarterly targets for FY12:Q3 and Q4 due to the possible implementation of the new H-2B Comprehensive Final Rule, which will significantly alter the current case processing model.","","07/15/2013","09:40:01"
"012-000002045","121","012","Department of Labor","Foreign Labor Certification Systems (FLCS)","213","","Percent of employer requests for H-1B and PERM Prevailing Wage Determinations resolved within 60 calendar days of the filing date.","Percent of applications","113-Customer Results - Timeliness and Responsiveness","80.000000","100.000000","Over target","Quarterly","","59271","","100.000000","Met","","2013-07-09","07/15/2013","09:40:01"
"012-000002045","121","012","Department of Labor","Foreign Labor Certification Systems (FLCS)","214","","Number of critical security findings.","Number","205-Process and Activities - Security and Privacy","0.000000","0.000000","Under target","Quarterly","","54393","","0.000000","Met","","2013-05-10","07/15/2013","09:40:01"
"012-000002045","121","012","Department of Labor","Foreign Labor Certification Systems (FLCS)","215","","Percent reduction in annual maintenance cost","Percent of cost","211-Technology - Technology Costs","2.000000","2.000000","Over target","Quarterly","","54387","","0.000000","Not Met","","2013-05-10","07/15/2013","09:40:01"
"012-000002045","121","012","Department of Labor","Foreign Labor Certification Systems (FLCS)","216","","Percent of employer applications for permanent labor certification resolved within six months of the filing date.","Percent of applications","113-Customer Results - Timeliness and Responsiveness","68.000000","68.000000","Over target","Quarterly","","59269","","71.600000","Met","","2013-07-09","07/15/2013","09:40:01"
"012-000002045","121","012","Department of Labor","Foreign Labor Certification Systems (FLCS)","217","","Percent of H-2A applications resolved by the determination due date.","Percent of applications","113-Customer Results - Timeliness and Responsiveness","57.000000","","Over target","Quarterly","","18647","","80.000000","Met","OFLC processed 80% of H-2A applications in accordance with new 2010 Final Rule regulatory requirements; exceeding the established GPRA target of 57% for the second quarter.","","07/15/2013","09:40:01"
"012-000002045","121","012","Department of Labor","Foreign Labor Certification Systems (FLCS)","218","","Percent of the time that the system is available to users during normal business hours.","Percent of time available","215-Technology - Reliability and Availability","98.000000","98.000000","Over target","Monthly","","59272","","95.000000","Not Met","","2013-07-09","07/15/2013","09:40:01"
"012-000002045","121","012","Department of Labor","Foreign Labor Certification Systems (FLCS)","5885","","Percent of H-2A applications with no deficiencies resolved within 30 days before the date of need.","Percent of applications","113-Customer Results - Timeliness and Responsiveness","","80.000000","Over target","Quarterly","","59268","","79.200000","Not Met","","2013-07-09","07/15/2013","09:40:01"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","38","","Maintain on a semi-annual basis, a 90% or greater user satisfaction based on the results of the online Help Desk surveys that are submitted by the user community.","Percentage","111-Customer Results - Customer Benefit","90.000000","90.000000","Over target","Semi-Annual","","49753","","97.900000","Met","","2013-03-31","08/15/2013","12:08:21"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","39","","Maintain on a semi-annual basis, 100% accuracy and timeliness in reporting and submissions.","Percentage","113-Customer Results - Timeliness and Responsiveness","100.000000","100.000000","Over target","Semi-Annual","","49757","","100.000000","Met","","2013-03-31","08/15/2013","12:08:21"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","40","","Maintain on a semi-annual basis, secure data, confidentiality and integrity in accordance with Federal guidelines, closing 100% of all OIG findings for SPAMIS within the specified time frame.","Percentage","205-Process and Activities - Security and Privacy","100.000000","100.000000","Over target","Semi-Annual","","49755","","100.000000","Met","","2013-03-31","08/15/2013","12:08:21"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","41","","Maintain on a semi-annual basis, a minimum of 99.79% database server availability.","Percentage","215-Technology - Reliability and Availability","100.000000","99.790000","Over target","Semi-Annual","","49751","","99.950000","Met","","2013-03-31","08/15/2013","12:08:21"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","42","","Maintain on a semi-annual basis, a minimum of 99.82% Citrix server availability.","Percentage","215-Technology - Reliability and Availability","100.000000","99.820000","Over target","Semi-Annual","","49761","","99.960000","Met","","2013-03-31","08/15/2013","12:08:21"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","43","","Maintain on a semi-annual basis, less than 2% total annual IT cost per user increase.","Percentage","211-Technology - Technology Costs","2.000000","2.000000","Under target","Semi-Annual","","49759","","2.000000","Met","","2013-03-31","08/15/2013","12:08:21"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","44","","Maintain on a semi-annual basis, 100% compliance with the Workforce Investment Act (WIA) reporting requirements for academic achievement and job placement per Policy Requirements Handbook (PRH) guidelines and published schedules.","Percentage","103-Mission and Business Results - Management of Government Resources","100.000000","100.000000","Over target","Semi-Annual","","49763","","100.000000","Met","","2013-03-31","08/15/2013","12:08:21"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","45","","Maintain on a semi-annual basis, 100% accuracy in student payroll according to established Job Corps Policy Requirements Handbook (PRH) guidelines and published schedules.","Percentage","114-Customer Results - Service Quality","100.000000","100.000000","Over target","Semi-Annual","","49765","","100.000000","Met","","2013-03-31","08/15/2013","12:08:21"
"012-000001010","122","012","Department of Labor","Job Corps Student Pay Allotment Management Information System (SPAMIS)","46","","Maintain on a monthly basis, 100% of all system users are in compliance with Job Corps' requirement to complete Information System Security Awareness Training no less than annually.","Percentage","205-Process and Activities - Security and Privacy","100.000000","100.000000","Over target","Monthly","","59307","","100.000000","Met","","2013-06-30","08/15/2013","12:08:21"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","131","","Increase the overall annual MSIS Customer Satisfaction Survey average by 5% over 2011 levels to 3.7 based on the Likert scale from the entire MSIS user base. The Likert scale questions ranging in value from 1-5 are tallied to produce an overall survey average. The survey targets performance assessments impacting user interface, data collection, application performance, system performance, and overall software quality.","Number","111-Customer Results - Customer Benefit","3.910000","3.700000","Over target","Semi-Annual","","27445","","3.410000","Not Met","Satisfaction level for 2012 was significantly lower than expected and did not meet minimum target levels. These results were primarily due to system performance problems and slow response to requests for improvements.  ","2012-09-28","07/15/2013","09:56:38"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","132","","Increase the semi-annual TSSI Customer Satisfaction Survey average to 3.45 based on the Likert scale with at least 20% response rate from the entire Technical Support user base. The Likert scale questions ranging in value from 1-5 are tallied to produce an overall survey average. The survey targets an initial assessment of legacy client satisfaction and compares these results to a survey conducted after the migration/integration of legacy functionality into MSIS.","Number","111-Customer Results - Customer Benefit","3.450000","","Over target","Semi-Annual","","3385","","3.040000","Not Met","Follow up survey will be conduced in August 2011.","","07/15/2013","09:56:38"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","133","","Increase the semi-annual Health Samples Customer Satisfaction Survey by 15% above baseline levels using the likert scale.  The Likert scale questions ranging in value from 1-5 are tallied to produce an overall survey average. The survey targets an initial assessment of legacy client satisfaction as baseline and compares these results to a survey conducted after the migration/integration of legacy functionality into MSIS","Number","111-Customer Results - Customer Benefit","3.000000","3.450000","Over target","Semi-Annual","","38399","","2.860000","Not Met","Initial survey was conducted in Feb 2012. The follow-up post-deployment survey was conducted in Dec 2012. Analysis determined that additional user training is required. The response level was low due to the timing of the survey over the holidays. Some key people were not included in requirements gathering. The complex nature of the business rules makes it difficult to identify issues ahead of time.  It is anticipated that satisfaction levels will rise due to surge efforts for improvements.","2012-12-31","07/15/2013","09:56:38"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","134","","Improve MSIS system availability by converting the COBOL samples system to a new architecture to reduce system outages by 20% over 2012 levels.","Number","211-Technology - Technology Costs","5014.000000","5730.000000","Under target","Monthly","","59285","","1090.000000","Met","Actual results show the average cost per month for the fiscal year for labor costs of samples system uplanned outages. The result is within target","2013-06-30","07/15/2013","09:56:38"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","135","","Improve the quality of MSIS major system releases and thereby reduce the number of unplanned application patch releases by 20%. Patch releases associated with hardware or software upgrades are not included in this calculation.","Number","212-Technology - Quality Assurance","11.000000","","Under target","Quarterly","","18655","","11.000000","Met","Most recent actual results shows the number of unplanned patch releases to date for the fiscal year.  Improvement target is intended to be 3 less unplanned patch releases per year.","","07/15/2013","09:56:38"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","136","","Reduce the number of business application interfaces that a business user must interface with to complete their business task in MSIS from 3 to 2 by centralizing enterprise data and integrating legacy systems.","Number","213-Technology - Efficiency","2.000000","","Over target","Semi-Annual","","22511","","3.000000","Met","Most recent actual results shows the number of systems users must interface with.   Improvement target is intended to be reducing the systems by 1 by integrating the samples system.","","07/15/2013","09:56:38"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","5891","","Improve percentage of tickets repaired within the 2-week requirement specificed in the Service Level Agreement by 2% over 2012 baseline levels for 2013","Percentage","203-Process and Activities - Cycle Time and Timeliness","","90.000000","Over target","Monthly","","59283","","94.000000","Met","2013 Target for % of tickets repaired with in the 2 week requirement specified in the Service Level Agreement is 90% This months results exceeded target. ","2013-06-30","07/15/2013","09:56:38"
"012-000002085","123","012","Department of Labor","MSHA Standardized Information System (MSIS)","5893","","Increase the number of data sets deployed to data.gov by 2 over baseline levels for 2013.","Number","214-Technology - Information and Data","","11.000000","Over target","Quarterly","","59284","","13.000000","Met","Most recent actual results show the total number of data sets deployed to data.gov for the period of the year.  Baseline data represents the total number of data sets deployed prior to 2013","2013-06-30","07/15/2013","09:56:38"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","420","","Maintain a clean audit opinion demonstrating zero material weakness for NCFMS","Number","103-Mission and Business Results - Management of Government Resources","1.000000","0.000000","Under target","Semi-Annual","","3725","","3.000000","Not Met","New measure for FY12 - subsequently baseline and PY are null (0) values.","","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","421","","Percentage of invoices paid on time according to Prompt Payment Act","Percentage","216-Technology - Effectiveness","0.980000","0.990000","Over target","Monthly","","57685","","0.999000","Met","","2013-05-31","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","422","","Customer Satisfaction Survey - measure customer satisfaction in regards to system response time inquiries.","Percentage","111-Customer Results - Customer Benefit","0.500000","","Over target","Quarterly","","3729","","","","New measure for FY12 - subsequently baseline and PY are null (0) values.","","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","424","","Percentage of SLA s that meet their performance baseline","Percentage","212-Technology - Quality Assurance","0.750000","","Over target","Quarterly","","3731","","","","New measure for FY12 - subsequently baseline and PY are null (0) values.","","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","425","","Customer Satisfaction Survey - measure customer satisfaction in regards to communication efforts.","Percentage","111-Customer Results - Customer Benefit","0.500000","","Over target","Quarterly","","3733","","","","New measure for FY12 - subsequently baseline and PY are null (0) values.","","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","426","","Customer Satisfaction Survey - measure customer satisfaction in regards to training efforts.","Percentage","111-Customer Results - Customer Benefit","0.500000","","Over target","Quarterly","","3735","","","","New measure for FY12 - subsequently baseline and PY are null (0) values.","","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","427","","Customer Satisfaction Survey - measure customer satisfaction in regards to system modifications.","Percentage","215-Technology - Reliability and Availability","0.500000","","Over target","Quarterly","","3737","","","","New measure for FY12 - subsequently baseline and PY are null (0) values.","","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","428","","Customer Satisfaction Survey - measure customer satisfaction in regards to system bug fixes.","Percentage","103-Mission and Business Results - Management of Government Resources","0.500000","","Over target","Quarterly","","22517","","","","New measure for FY12 - subsequently baseline and PY are null (0) values.","","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","5895","","Quantity of tickets open at the end of each day","Number","111-Customer Results - Customer Benefit","0.000000","55.000000","Under target","Monthly","","59286","","49.000000","Met","","2013-05-31","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","5897","","Average length of time it takes for a helpdesk phone call to be answered","Seconds","113-Customer Results - Timeliness and Responsiveness","0.000000","45.000000","Under target","Monthly","","59287","","21.000000","Met","","2013-05-31","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","5899","","Quantity of calls abandoned","Percent","111-Customer Results - Customer Benefit","0.000000","0.110000","Under target","Monthly","","59288","","2.000000","Not Met","","2013-05-31","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","5901","","Quantity of open tickets not in development or IPT over 7 days","Number","213-Technology - Efficiency","0.000000","50.000000","Under target","Monthly","","38533","","49.000000","Met","","2012-10-31","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","5903","","Percent of time the NCFMS system is available","Percent","215-Technology - Reliability and Availability","0.000000","0.996000","Over target","Monthly","","49789","","100.000000","Met","","2013-03-29","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","5905","","Measures the percent of customer ratings as satisfactory or higher in regardings to their help desk experience","Percent","114-Customer Results - Service Quality","0.000000","0.750000","Over target","Monthly","","49793","","96.000000","Met","","2013-03-29","07/15/2013","10:06:48"
"012-000001015","125","012","Department of Labor","New Core Financial Management System(NCFMS)","5907","","Measures the percent of customer s ratings as  satisfactory   or higher in regardings to  the level of satisfaction with NCFMS deliverables","Percent","111-Customer Results - Customer Benefit","0.000000","0.750000","Over target","Monthly","","","","","","","","07/15/2013","10:06:48"
"012-000000001","126","012","Department of Labor","Disability.gov","169","","Increase the visibility of government programs by increasing the total annual visitors to the web site (as measured by the total number of visitors during the semi-annual reporting period).","number of visitors","102-Mission and Business Results - Support Delivery of Services","2550000.000000","1338750.000000","Over target","Semi-Annual","","57631","","1076083.000000","Not Met","","2013-03-31","07/15/2013","09:27:48"
"012-000000001","126","012","Department of Labor","Disability.gov","170","","Maintain the availability of Disability.gov system to 99% of total available uptime (as a percentage of total time during semi-annual reporting period).","percent of uptime","215-Technology - Reliability and Availability","99.000000","99.000000","Over target","Semi-Annual","","57633","","99.900000","Met","","2013-03-31","07/15/2013","09:27:48"
"012-000000001","126","012","Department of Labor","Disability.gov","171","","Increase the average number of visitors to the web site per month (as calculated from total monthly visitors during semi-annual reporting period).","number of visitors","112-Customer Results - Service Coverage","239750.000000","223125.000000","Over target","Semi-Annual","","57637","","179347.000000","Not Met","","2013-03-31","07/15/2013","09:27:48"
"012-000000001","126","012","Department of Labor","Disability.gov","172","","Increase the number of referrals to partner web sites (as total referrals during semi-annual reporting period).","number of referrals","112-Customer Results - Service Coverage","1927500.000000","300000.000000","Over target","Semi-Annual","","57635","","176200.000000","Not Met","","2013-03-31","07/15/2013","09:27:48"
"012-000000001","126","012","Department of Labor","Disability.gov","173","","Increase the customer satisfaction score as determined by the University of Michigan's American Customer Satisfaction Index (ACSI) methodology.","number score out of 100","111-Customer Results - Customer Benefit","68.000000","68.000000","Under target","Semi-Annual","","57639","","61.000000","Met","","2013-03-31","07/15/2013","09:27:48"
"012-000000001","126","012","Department of Labor","Disability.gov","174","","Decrease the number of 404 &quot;File Not Found&quot; Errors (calculated as total number of errors per month).","number of errors","204-Process and Activities - Quality","200.000000","200.000000","Under target","Monthly","","59261","","188.000000","Met","","2013-06-30","07/15/2013","09:27:48"
"012-000000001","126","012","Department of Labor","Disability.gov","175","","Decrease the total operations and maintenance costs per user (Semi-annual O&amp;M Costs/Total of semi-annual visitors).","number of dollars","211-Technology - Technology Costs","0.000000","0.710000","Under target","Semi-Annual","","57641","","0.086000","Met","","2013-03-31","07/15/2013","09:27:48"
"012-000000001","126","012","Department of Labor","Disability.gov","176","","Increase the visibility of government programs by increasing the total web site page views (as calculated during semi-annual reporting period).","number of pages","102-Mission and Business Results - Support Delivery of Services","28100000.000000","8750000.000000","Over target","Semi-Annual","","57643","","7309276.000000","Not Met","","2013-03-31","07/15/2013","09:27:48"
"012-999990020","130","012","Department of Labor","Benefits.gov","137","","Maintain the &quot;Benefits.gov Customer Satisfaction Index Number&quot; at 65 or higher. The CSI is a metric measured and calculated by ForeSee Results through an online survey of Benefits.gov site visitors. The CSI metric along with the discrete survey results allows the investment to ensure users are finding the assistance that they need.","#","111-Customer Results - Customer Benefit","68.000000","68.000000","Over target","Semi-Annual","","49709","","65.000000","Not Met","Actual listed is most up to date number. Not final.","2013-03-29","07/15/2013","16:01:40"
"012-999990020","130","012","Department of Labor","Benefits.gov","138","","Increase and/or maintain the &quot;Monthly Average Number of Benefits.gov site Visits&quot; by 25% or higher over baseline. Benefits.gov provides citizens a service by maintaining benefits program information from 17 federal partners along with state and local benefits program information on a single site and utilizes functionality to match citizens to potential programs. The investment leverages marketing and outreach tools and mechanisms to connect citizens with the site.","#","102-Mission and Business Results - Support Delivery of Services","403827.000000","403827.000000","Over target","Semi-Annual","","49705","","399051.000000","Not Met","","2013-03-29","07/15/2013","16:01:40"
