Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
009-000004354,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000004356,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.1
009-000004357,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.12
009-000004358,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.1
009-000004359,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,408,0.1
009-000004361,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000004362,Non Major,255-Employee Performance Management,403-Human Resource Management,4-Management of Government Resources,647-Workforce Acquisition / Optimization,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.15
009-000004365,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.12
009-000004366,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000004369,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,408,0.13
009-000004370,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.4
009-000004371,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,618-Education / Training,752-Human Resources,7-Service Types and Components,408,0.0
009-000004373,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.55
009-000004374,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,1.57
009-000004375,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.3
009-000004376,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,1.4
009-000004377,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.05
009-000004394,Non Major,105-Budget Execution,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,0,0.0
009-000004414,Major,247-Health Care Administration,110-Health,1-Services for Citizens,664-Query,763-Search,7-Service Types and Components,404,0.0
009-000004415,Major,247-Health Care Administration,110-Health,1-Services for Citizens,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,404,0.0
009-000004416,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,170,0.0
009-000004417,Major,247-Health Care Administration,110-Health,1-Services for Citizens,535-Change Management,721-Management of Process,7-Service Types and Components,404,31.973
009-000004611,Major,247-Health Care Administration,110-Health,1-Services for Citizens,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,404,11.369
009-000004620,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,641-Software Development,755-Development and Integration,7-Service Types and Components,410,0.615
009-000004622,Non Major,122-Travel,401-Administrative Management,4-Management of Government Resources,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,0,4.5
009-000004636,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,653-Intrusion Detection,761-Security Management,7-Service Types and Components,0,0.125
009-000004657,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000004658,Major,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,548-Procurement,724-Supply Chain Management,7-Service Types and Components,0,0.0
009-000004660,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,641-Software Development,755-Development and Integration,7-Service Types and Components,408,0.0
009-999993200,Funding Contribution,101-Budget Formulation,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000004664,Non Major,252-Organization and Position Management,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,0,1.863
009-000004666,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000004669,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.375
009-000004670,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000004671,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.25
009-000004672,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.3
009-000004673,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.1
009-000004674,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,0,0.2
009-000004704,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,1.85
009-000004707,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.094
009-000004708,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,0,0.149
009-000004710,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,620-Travel Management,752-Human Resources,7-Service Types and Components,0,0.037
009-000004711,Non Major,122-Travel,401-Administrative Management,4-Management of Government Resources,620-Travel Management,752-Human Resources,7-Service Types and Components,0,0.005
009-000004764,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,572-Information Mapping / Taxonomy,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000004804,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000004805,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,170,0.0
009-000004806,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
009-000004807,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000004808,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000004824,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,628-Internal Controls,753-Financial Management,7-Service Types and Components,600,0.0
009-000004827,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,0.0
009-000004884,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,528-Assistance Request,703-Customer Initiated Assistance,7-Service Types and Components,0,0.25
009-000004987,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000005065,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,517-Partner Relationship Management,701-Customer Relationship Management,7-Service Types and Components,408,0.25
009-000005220,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,547-Performance Management,723-Investment Management,7-Service Types and Components,0,0.587
009-000005221,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,618-Education / Training,752-Human Resources,7-Service Types and Components,0,0.0
009-000005234,Major,247-Health Care Administration,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,2.377
009-000005236,Non Major,217-Access to Care,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,0.0
009-000005237,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,548-Procurement,724-Supply Chain Management,7-Service Types and Components,404,0.0
009-000005238,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,170,0.0
009-000005247,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.494
009-000005248,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,408,0.131
009-000005249,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.155
009-000005251,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000005252,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,644-Workforce Directory / Locator,756-Human Capital / Workforce Management,7-Service Types and Components,408,0.0
009-000005253,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,561-Content Publishing and Delivery,731-Content Management,7-Service Types and Components,408,0.062
009-000005254,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.0
009-000005255,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.085
009-000005256,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.05
009-000005257,Non Major,252-Organization and Position Management,403-Human Resource Management,4-Management of Government Resources,644-Workforce Directory / Locator,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.0
009-000005258,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,673-Community Management,764-Communication,7-Service Types and Components,408,0.0
009-000005259,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,564-Document Referencing,732-Document Management,7-Service Types and Components,410,0.505
009-000005260,Non Major,256-Employee Relations,403-Human Resource Management,4-Management of Government Resources,532-Conflict Resolution,711-Tracking and Workflow,7-Service Types and Components,550,0.0
009-000005261,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,408,0.1
009-000005262,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,600,0.0
009-000005263,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,518-Customer Feedback,701-Customer Relationship Management,7-Service Types and Components,0,0.0
009-000005264,Non Major,141-Record Retention,404-Information and Technology Management,4-Management of Government Resources,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
009-000005265,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,410,0.272
009-000005266,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,664-Query,763-Search,7-Service Types and Components,410,0.375
009-000005267,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,599-Standardized / Canned,745-Reporting,7-Service Types and Components,410,0.0
009-000005276,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,410,0.0
009-000005277,Non Major,108-Customer Services,305-Public Affairs,3-Support Delivery of Services to Citizens,604-Meta Data Management,751-Data Management,7-Service Types and Components,0,0.0
009-000005295,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,408,1.271
009-000005314,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,526-Reservations / Registration,703-Customer Initiated Assistance,7-Service Types and Components,410,2.175
009-000005315,Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,410,2.961
009-000005316,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,600-OLAP,745-Reporting,7-Service Types and Components,220,6.211
009-000005317,Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,410,20.181
009-000005318,Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,410,12.555
009-000005319,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.495
009-000005320,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,649-Access Control,761-Security Management,7-Service Types and Components,0,0.0
009-000005321,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,657-FISMA Management and Reporting,761-Security Management,7-Service Types and Components,170,0.0
009-000005322,Non Major,104-Strategic Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000005323,Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,2.296
009-000005324,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.16
009-000005325,Non Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.446
009-000005326,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000005328,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,601-Data Exchange,751-Data Management,7-Service Types and Components,0,0.0
009-000005329,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,550,0.0
009-000005330,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.27
009-000005331,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,0.148
009-000005332,Non Major,136-System Development,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.404
009-000005334,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,410,0.286
009-000005335,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,100,0.19
009-000005336,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,410,1.268
009-000005337,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.219
009-000005338,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,600-OLAP,745-Reporting,7-Service Types and Components,0,0.205
009-000005339,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,592-Data Mining,743-Knowledge Discovery,7-Service Types and Components,410,0.892
009-000005340,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,0,0.427
009-000005343,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,619-Health and Safety,752-Human Resources,7-Service Types and Components,410,0.27
009-000005344,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,567-Document Review and Approval,732-Document Management,7-Service Types and Components,0,0.3
009-000005345,Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,10.206
009-000005354,Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,410,9.668
009-000005414,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,566-Library / Storage,732-Document Management,7-Service Types and Components,0,0.0
009-000005415,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.5
009-000005474,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,6.015
009-000005535,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,0,0.0
009-000005554,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.4
009-000005555,Non Major,010-Emergency Response,104-Disaster Management,1-Services for Citizens,646-Contingent Workforce Management,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.8
009-000005618,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000005737,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,220,0.615
009-000005769,Non Major,217-Access to Care,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,404,0.0
009-000005797,Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,1.077
009-000005841,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,580-Document Classification,734-Records Management,7-Service Types and Components,0,0.0
009-000005848,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000005939,Non Major,253-Compensation Management,403-Human Resource Management,4-Management of Government Resources,624-Payroll,753-Financial Management,7-Service Types and Components,550,0.0
009-999994300,Funding Contribution,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,0,0.0
009-000006001,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.0
009-999994100,Funding Contribution,009-Disaster Repair and Restore,104-Disaster Management,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
009-000006100,Non Major,248-Health Care Delivery Services,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,404,0.0
009-000006101,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,604-Meta Data Management,751-Data Management,7-Service Types and Components,404,0.0
009-000006123,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,404,0.0
009-000006144,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000006173,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,644-Workforce Directory / Locator,756-Human Capital / Workforce Management,7-Service Types and Components,0,0.4
009-000006174,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,200,0.228
009-000006176,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,547-Performance Management,723-Investment Management,7-Service Types and Components,0,0.35
009-000006181,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.397
009-000006182,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.217
009-000006184,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,408,1.9
009-000006186,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,604-Meta Data Management,751-Data Management,7-Service Types and Components,404,0.0
009-000006195,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000006201,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,0,0.97
009-000006203,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,618-Education / Training,752-Human Resources,7-Service Types and Components,0,0.0
009-000006216,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,550-Inventory Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
009-000006223,Non Major,145-Logistics Management,405-Supply Chain Management,4-Management of Government Resources,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,0,0.0
009-000006227,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,404,0.0
009-000006229,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,641-Software Development,755-Development and Integration,7-Service Types and Components,404,0.432
009-000006230,Non Major,261-Cost Accounting / Performance Measurement,402-Financial Management,4-Management of Government Resources,547-Performance Management,723-Investment Management,7-Service Types and Components,0,0.0
009-000006240,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,639-Data Integration,755-Development and Integration,7-Service Types and Components,0,2.2
009-000006242,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,599-Standardized / Canned,745-Reporting,7-Service Types and Components,220,0.0
009-000006260,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,100,0.0
009-000006261,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,100,0.0
009-000006263,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,100,0.0
009-000006265,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,680-Issue Tracking,765-Systems Management,7-Service Types and Components,100,0.0
009-000006266,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.0
009-000006267,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,510-Call Center Management,701-Customer Relationship Management,7-Service Types and Components,100,0.0
009-000006268,Non Major,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,641-Software Development,755-Development and Integration,7-Service Types and Components,0,0.0
009-000006269,Non Major,108-Customer Services,305-Public Affairs,3-Support Delivery of Services to Citizens,671-Video Conferencing,764-Communication,7-Service Types and Components,200,0.0
009-000006270,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,542-Risk Management,721-Management of Process,7-Service Types and Components,170,0.0
009-000006271,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,561-Content Publishing and Delivery,731-Content Management,7-Service Types and Components,0,0.0
009-000006272,Non Major,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,548-Procurement,724-Supply Chain Management,7-Service Types and Components,0,0.0
009-000006273,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,657-FISMA Management and Reporting,761-Security Management,7-Service Types and Components,170,0.0
009-000006274,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
009-000006275,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,100,0.0
009-000006276,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,676-License Management,765-Systems Management,7-Service Types and Components,100,0.0
009-000006277,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,659-Email,762-Collaboration,7-Service Types and Components,100,0.0
009-000006338,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,100,8.799
009-000006343,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.11
009-000006400,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000006420,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000006443,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,406,0.0
009-000006450,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,618-Education / Training,752-Human Resources,7-Service Types and Components,408,0.0
009-000006451,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,410,0.0
009-000006460,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,675-Voice Communications,764-Communication,7-Service Types and Components,0,0.0
009-000006464,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,220,0.0
009-000006467,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.25
009-000006477,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,410,0.094
009-000006495,Non Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,1.46
009-000006515,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,571-Information Retrieval,733-Knowledge Management,7-Service Types and Components,408,0.0
