Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
009-000267063,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,410,1.25
009-000267280,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,2.0
009-000267283,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,648-Identification and Authentication,761-Security Management,7-Service Types and Components,0,0.954
009-000267284,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,410,0.816
009-000267385,Major,247-Health Care Administration,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,410,0.0
009-000267386,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,657-FISMA Management and Reporting,761-Security Management,7-Service Types and Components,170,6.355
009-000267387,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,595-Demand Forecasting / Mgmt,744-Business Intelligence,7-Service Types and Components,410,24.74
009-000267388,Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,6.143
009-000267389,Major,217-Access to Care,110-Health,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,0,56.897
009-000267390,Major,247-Health Care Administration,110-Health,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,404,0.0
009-000267910,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,5.547
009-000267912,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,15.718
009-000267913,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,0,19.364
009-000267914,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,26.248
009-000273679,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,565-Document Revisions,732-Document Management,7-Service Types and Components,0,0.533
009-000274913,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000274914,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,406,0.0
009-000274915,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,406,0.3
009-000275896,Non Major,258-Human Resources Development,403-Human Resource Management,4-Management of Government Resources,618-Education / Training,752-Human Resources,7-Service Types and Components,550,0.057
009-000275897,Non Major,110-Product Outreach,305-Public Affairs,3-Support Delivery of Services to Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,410,0.5
009-000276102,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,603-Data Warehouse,751-Data Management,7-Service Types and Components,410,0.11
009-000276109,Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,220,12.966
009-000276115,Non Major,137-Lifecycle/Change Management,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000276116,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.5
009-000276359,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,5.334
009-000276691,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,663-Task Management,762-Collaboration,7-Service Types and Components,408,0.127
009-000276785,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,410,2.127
009-000276788,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,0,0.05
009-000277719,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.089
009-000277843,Non Major,106-Workforce Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,663-Task Management,762-Collaboration,7-Service Types and Components,550,0.078
009-000277861,Non Major,066-Worker Safety,119-Workforce Management,1-Services for Citizens,547-Performance Management,723-Investment Management,7-Service Types and Components,404,0.0
009-000277862,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
009-000279921,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280141,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280142,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280163,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,410,0.5
009-000280182,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280185,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280186,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,408,0.0
009-000280187,Non Major,249-Health Care Research and Practitioner Education,110-Health,1-Services for Citizens,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,408,0.0
009-000281318,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,639-Data Integration,755-Development and Integration,7-Service Types and Components,200,0.0
009-000281323,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,4.256
009-000281361,Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,18.218
009-000281532,Major,247-Health Care Administration,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,81.298
009-000281561,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,641-Software Development,755-Development and Integration,7-Service Types and Components,0,0.334
009-000281564,Non Major,246-Population Health Management and Consumer Safety,110-Health,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,410,0.87
009-000281566,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,404,0.0
009-000281595,Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000281603,Major,247-Health Care Administration,110-Health,1-Services for Citizens,640-Instrumentation and Testing,755-Development and Integration,7-Service Types and Components,404,0.0
009-000281608,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000281642,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.87
009-000281644,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,410,0.0
009-000281647,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,533-Inbound Correspondence Management,712-Routing and Scheduling,7-Service Types and Components,0,0.027
009-000281656,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,200,0.03
009-000281658,Non Major,108-Customer Services,305-Public Affairs,3-Support Delivery of Services to Citizens,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,0,0.0
009-000281769,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000281783,Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,25.236
009-000281787,Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000281788,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,404,0.0
009-000282056,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,0,0.0
009-000282058,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,592-Data Mining,743-Knowledge Discovery,7-Service Types and Components,220,0.0
009-000282062,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,592-Data Mining,743-Knowledge Discovery,7-Service Types and Components,220,0.0
009-000282065,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,639-Data Integration,755-Development and Integration,7-Service Types and Components,500,0.0
009-000282081,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,0,0.0
009-000282141,Non Major,092-Program Evaluation,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000282161,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,664-Query,763-Search,7-Service Types and Components,404,0.0
009-000282181,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000282201,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000282241,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,500,0.21
009-000282281,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,2.8
009-000282283,Non Major,247-Health Care Administration,110-Health,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,404,0.0
009-000282284,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
009-000282322,Major,247-Health Care Administration,110-Health,1-Services for Citizens,540-Quality Management,721-Management of Process,7-Service Types and Components,0,16.557
009-000282329,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,661-Document Library,762-Collaboration,7-Service Types and Components,410,0.2
009-000282437,Non Major,095-Continuity of Operations,302-Internal Risk Management and Mitigation,3-Support Delivery of Services to Citizens,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.0
009-000282452,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,500,1.7
009-000282573,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,664-Query,763-Search,7-Service Types and Components,0,0.0
009-000282577,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,583-Mathematical,741-Analysis and Statistics,7-Service Types and Components,0,0.0
009-000282596,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,200,0.187
009-000283632,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,100,0.0
010-000000076,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,598-Ad Hoc,745-Reporting,7-Service Types and Components,0,0.0
010-000000161,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,0,0.0
010-000000581,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,623-Expense Management,753-Financial Management,7-Service Types and Components,0,0.032
010-000000276,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
010-000000112,Non Major,021-Energy Resource Management,107-Energy,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.0
010-000000159,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,606-Extraction and Transformation,751-Data Management,7-Service Types and Components,0,0.0
010-000000562,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,310,0.04
010-999990390,Funding Contribution,146-Services Acquisition,405-Supply Chain Management,4-Management of Government Resources,548-Procurement,724-Supply Chain Management,7-Service Types and Components,600,0.0
010-000000368,Major,024-Environmental Remediation,108-Environmental Management,1-Services for Citizens,600-OLAP,745-Reporting,7-Service Types and Components,0,0.4188
010-000000569,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.108
010-000000568,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,599-Standardized / Canned,745-Reporting,7-Service Types and Components,0,0.01
010-999990384,Funding Contribution,039-Food and Nutrition Assistance,112-Income Security,1-Services for Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
010-000000564,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,574-Categorization,733-Knowledge Management,7-Service Types and Components,510,0.0
010-000000467,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.04333
010-000000563,Non Major,262-Information Sharing,404-Information and Technology Management,4-Management of Government Resources,544-Network Management,722-Organizational Management,7-Service Types and Components,0,0.0
010-000000307,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,0.0
010-999990570,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.396
010-000001233,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,545-Strategic Planning and Management,723-Investment Management,7-Service Types and Components,0,7.992
010-000000298,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,576-Knowledge Capture,733-Knowledge Management,7-Service Types and Components,220,2.021
010-000000294,Major,022-Energy Production,107-Energy,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
010-000000589,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,566-Library / Storage,732-Document Management,7-Service Types and Components,220,0.03
010-000000456,Non Major,045-Criminal Investigation and Surveillance,115-Law Enforcement,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.225
010-000000100,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,681-Forms Creation,766-Forms Management,7-Service Types and Components,0,0.0
010-000000588,Non Major,124-Accounting,402-Financial Management,4-Management of Government Resources,539-Governance / Policy Management,721-Management of Process,7-Service Types and Components,0,0.0
010-000000656,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,220,0.0
010-000000095,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,561-Content Publishing and Delivery,731-Content Management,7-Service Types and Components,220,0.0
010-000000083,Major,"015-Elementary, Secondary, and Vocational Education",106-Education,1-Services for Citizens,599-Standardized / Canned,745-Reporting,7-Service Types and Components,0,0.0
010-000000116,Major,255-Employee Performance Management,403-Human Resource Management,4-Management of Government Resources,619-Health and Safety,752-Human Resources,7-Service Types and Components,0,0.0
010-000000275,Non Major,056-Water Resource Management,117-Natural Resources,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
010-000000021,Non Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,626-Debt Collection,753-Financial Management,7-Service Types and Components,0,0.0
010-000000710,Major,021-Energy Resource Management,107-Energy,1-Services for Citizens,530-Process Tracking,711-Tracking and Workflow,7-Service Types and Components,200,0.0
010-000000646,Non Major,256-Employee Relations,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,0,0.0
010-000000412,Non Major,125-Funds Control,402-Financial Management,4-Management of Government Resources,602-Data Mart,751-Data Management,7-Service Types and Components,500,0.0
010-000000302,Non Major,056-Water Resource Management,117-Natural Resources,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
010-000000012,Non Major,021-Energy Resource Management,107-Energy,1-Services for Citizens,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,500,0.26721999999999996
010-000000988,Non Major,101-Budget Formulation,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,510,0.0
010-000000280,Non Major,056-Water Resource Management,117-Natural Resources,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
010-000000363,Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,0,3.0
010-000000465,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,0,0.0581
010-000001048,Major,023-Environmental Monitoring and Forecasting,108-Environmental Management,1-Services for Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,0,0.0
010-999990381,Funding Contribution,124-Accounting,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,500,0.0
010-000000372,Non Major,008-Disaster Preparedness and Planning,104-Disaster Management,1-Services for Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
010-000000075,Non Major,003-Social Services,101-Community and Social Services,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
010-000000313,Non Major,025-Pollution Prevention and Control,108-Environmental Management,1-Services for Citizens,629-Auditing,753-Financial Management,7-Service Types and Components,0,0.331
010-000000771,Non Major,024-Environmental Remediation,108-Environmental Management,1-Services for Citizens,589-Multimedia,742-Visualization,7-Service Types and Components,0,0.0
010-000000578,Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,0.737
010-000000086,Major,021-Energy Resource Management,107-Energy,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,0,0.0
010-000000944,Non Major,123-Workplace Policy Development and Management,401-Administrative Management,4-Management of Government Resources,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,220,0.0552
010-000000370,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.0
010-000000165,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,0,0.0
010-999990388,Funding Contribution,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,624-Payroll,753-Financial Management,7-Service Types and Components,550,0.0
010-000000699,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
010-000000105,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.0
010-000000085,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,601-Data Exchange,751-Data Management,7-Service Types and Components,0,0.0
010-000000066,Major,011-Business and Industry Development,105-Economic Development,1-Services for Citizens,626-Debt Collection,753-Financial Management,7-Service Types and Components,0,0.0
010-000000560,Non Major,025-Pollution Prevention and Control,108-Environmental Management,1-Services for Citizens,550-Inventory Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
010-000000072,Non Major,051-Judicial Hearings,116-Litigation and Judicial Activities,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
010-000000493,Non Major,017-Cultural and Historic Preservation,106-Education,1-Services for Citizens,618-Education / Training,752-Human Resources,7-Service Types and Components,0,0.0
010-000000565,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.04
010-000000001,Non Major,105-Budget Execution,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,599-Standardized / Canned,745-Reporting,7-Service Types and Components,510,0.3
010-000000498,Non Major,023-Environmental Monitoring and Forecasting,108-Environmental Management,1-Services for Citizens,550-Inventory Management,724-Supply Chain Management,7-Service Types and Components,0,0.0
010-000000314,Non Major,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,643-Skills Management,756-Human Capital / Workforce Management,7-Service Types and Components,550,0.0
010-000000507,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.296
010-000000071,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,632-Property / Asset Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
010-000000318,Non Major,108-Customer Services,305-Public Affairs,3-Support Delivery of Services to Citizens,533-Inbound Correspondence Management,712-Routing and Scheduling,7-Service Types and Components,220,0.0
010-000000172,Non Major,094-Contingency Planning,302-Internal Risk Management and Mitigation,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
010-999991159,Funding Contribution,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,610-Recruiting,752-Human Resources,7-Service Types and Components,550,0.0
010-000000224,Major,021-Energy Resource Management,107-Energy,1-Services for Citizens,638-Enterprise Application Integration,755-Development and Integration,7-Service Types and Components,0,0.0
010-999990061,Funding Contribution,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,517-Partner Relationship Management,701-Customer Relationship Management,7-Service Types and Components,220,0.0
010-000000489,Non Major,017-Cultural and Historic Preservation,106-Education,1-Services for Citizens,598-Ad Hoc,745-Reporting,7-Service Types and Components,0,0.0
010-000000497,Non Major,023-Environmental Monitoring and Forecasting,108-Environmental Management,1-Services for Citizens,598-Ad Hoc,745-Reporting,7-Service Types and Components,0,0.0
010-000000310,Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,635-Facilities Management,754-Asset / Materials Management,7-Service Types and Components,0,2.2289
010-000000278,Non Major,056-Water Resource Management,117-Natural Resources,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.34125
010-000000582,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.0
010-000000373,Non Major,140-Information Security,404-Information and Technology Management,4-Management of Government Resources,609-Data Classification,751-Data Management,7-Service Types and Components,0,0.0
010-000000708,Non Major,254-Benefits Management,403-Human Resource Management,4-Management of Government Resources,615-Benefit Management,752-Human Resources,7-Service Types and Components,550,0.108
010-000000171,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,577-Knowledge Distribution and Delivery,733-Knowledge Management,7-Service Types and Components,0,0.0
010-000000074,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,625-Payment / Settlement,753-Financial Management,7-Service Types and Components,500,0.0
010-000000099,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,639-Data Integration,755-Development and Integration,7-Service Types and Components,0,0.0
010-000000661,Non Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.094
010-000000463,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,310,0.0
010-000000657,Non Major,142-Information Management,404-Information and Technology Management,4-Management of Government Resources,567-Document Review and Approval,732-Document Management,7-Service Types and Components,220,0.0
010-000000277,Non Major,056-Water Resource Management,117-Natural Resources,1-Services for Citizens,538-Program / Project Management,721-Management of Process,7-Service Types and Components,0,0.247
010-000000279,Major,"119-Facilities, Fleet and Equipment Management",401-Administrative Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,0,0.0
010-000000468,Non Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,2.272
010-000000169,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,630-Activity-Based Management,753-Financial Management,7-Service Types and Components,0,0.0
010-000000167,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,583-Mathematical,741-Analysis and Statistics,7-Service Types and Components,0,0.0
010-999990393,Major,253-Compensation Management,403-Human Resource Management,4-Management of Government Resources,624-Payroll,753-Financial Management,7-Service Types and Components,550,0.0
010-000000097,Non Major,"057-Conservation, Marine and Land Management",117-Natural Resources,1-Services for Citizens,534-Outbound Correspondence Management,712-Routing and Scheduling,7-Service Types and Components,0,0.0
010-000000023,Non Major,261-Cost Accounting / Performance Measurement,402-Financial Management,4-Management of Government Resources,602-Data Mart,751-Data Management,7-Service Types and Components,0,0.018
010-000000371,Non Major,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,610-Recruiting,752-Human Resources,7-Service Types and Components,550,0.0
010-000000703,Major,093-Program Monitoring,301-Controls and Oversight,3-Support Delivery of Services to Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
010-000000491,Non Major,127-Collections and Receivables,402-Financial Management,4-Management of Government Resources,517-Partner Relationship Management,701-Customer Relationship Management,7-Service Types and Components,0,0.0
010-000000702,Non Major,051-Judicial Hearings,116-Litigation and Judicial Activities,1-Services for Citizens,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
010-999990380,Non Major,122-Travel,401-Administrative Management,4-Management of Government Resources,620-Travel Management,752-Human Resources,7-Service Types and Components,500,0.0
010-000000647,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,531-Case Management,711-Tracking and Workflow,7-Service Types and Components,0,0.0
010-000000767,Non Major,251-Staff Acquisition,403-Human Resource Management,4-Management of Government Resources,610-Recruiting,752-Human Resources,7-Service Types and Components,550,0.0
