"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Agency Baseline Capability","Target 2018 PY","Target 2019 CY","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
005-000002317,832,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","RD-Comprehensive Loan Program",20517,"	17","Broadened Customer Outreach by providing end users the ability to electronically input and submit origination data for RD loan and grant programs.","Number of programs added","2 - Strategic and Business Results",3.000000,3.000000,3.000000,"Over target",Annual,"005SO18288 - Expand rural business opportunity and rural quality of life with access to capital; improvd infrastructure, broadband access, and connectivity; and support for workforce availability.",173784,"	97935",0.000000,"Not achieved due to year long contract delay.  Partially pushed to 2017 with change in priority to SFH.",2016-09-22,n,2018-09-21,15:02:01
005-000002317,832,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","RD-Comprehensive Loan Program",20519,"	19","Increased user productivity by providing the ability to perform off-site processes using mobile applications on mobile devices that integrate with servicing applications.","Number of mobile applications added","2 - Strategic and Business Results",3.000000,1.000000,0.000000,"Over target",Annual,"005SO18288 - Expand rural business opportunity and rural quality of life with access to capital; improvd infrastructure, broadband access, and connectivity; and support for workforce availability.",216126,"	128991",0.000000,"Did not add any mobile applications in 2017 due to other customer priorities",2017-12-27,n,2018-09-21,15:02:01
005-000002317,832,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","RD-Comprehensive Loan Program",20521,"	21","Reduced system complexity and duplication by utilizing shared services for common processes across all loan origination and servicing platforms.","Number of shared services added","2 - Strategic and Business Results",3.000000,2.000000,2.000000,"Over target",Annual,"005SO18288 - Expand rural business opportunity and rural quality of life with access to capital; improvd infrastructure, broadband access, and connectivity; and support for workforce availability.",216127,"	128993",1.000000,"Added ePer to RD Apply to auto upload enginering report",2017-12-27,n,2018-09-21,15:02:01
005-000002317,832,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","RD-Comprehensive Loan Program",24487,"	74113","Transform financial systems to integrate with FMMI for more transparent financial reporting","Number of Financial systems integrated","3 - Financial Performance",6.000000,2.000000,2.000000,"Under target",Annual,"005SO18288 - Expand rural business opportunity and rural quality of life with access to capital; improvd infrastructure, broadband access, and connectivity; and support for workforce availability.",173787,"	97937",0.000000,"Not achieved due to year long contract delay.  Pushed to 2017.",2016-09-22,n,2018-09-21,15:02:01
005-000002317,832,"01 - Major IT","01 - Not Applicable","	005","Department of Agriculture","RD-Comprehensive Loan Program",24488,"	74132","System availability to end-users",Percentage,"2 - Strategic and Business Results",98.000000,99.000000,99.000000,"Over target",Monthly,"005SO18288 - Expand rural business opportunity and rural quality of life with access to capital; improvd infrastructure, broadband access, and connectivity; and support for workforce availability.",234337,"	151404",99.000000,"99 Percent Customer Satisfaction Level",2018-10-03,n,2018-09-21,15:02:01
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",1995,,"Progress towards achieving operational readiness in 2012 as measured by the percent of the Search &amp; Order development lifecycle milestones accomplished","% Complete","1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,43643,,100.000000,"Metric completed - ready for launch 2-11-13",2012-12-31,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",1996,,"% of satellite data sent to customers based on customer priority specification","% Complete","1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,,,,,,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",1997,,"Progress towards achieving operational readiness in 2012 as measured by the percent of the LSDS lifecycle milestones accomplished","% Complete","1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,,,,,,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",1998,,"% of satellite data available from archive within 24 hours of capture","% Complete","1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,,,,,,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",1999,,"Progress toward achieving operational readiness in 2012 as measured by the percent of the Image Processing development lifecycle milestones accomplished","% Complete","1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,,,,,,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",2000,,"% of nation coverage to meet land use planning and monitoring","% Complete","1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,,,,,,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",2001,,"Progress towards achieving operational readiness in 2012 as measured by the percent of the Storage and Archive development lifecycle milestones accomplished","% Complete","1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,,,,,,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",2002,,"Unit costs of managed services",Dollars,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,,,,,,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",2003,,"% Success Rate - Satellite data capture","% Complete","1 - Customer Satisfaction (Process Results)",,,,"Over target",Monthly,,,,,,,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",8209,,"Landsat data added to the Archive",number,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,103685,,615993.000000,,2014-06-30,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",8211,,"Landsat Ground System Capture Success Rate of at least 95%","% complete","1 - Customer Satisfaction (Process Results)",,,,"Over target",Monthly,,103687,,99.780000,,2014-06-30,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",8213,,"Customer requested data is available within 24 hours of request",Percent,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,103689,,73.000000,,2014-06-30,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",8215,,"Landsat data is downlinked and made available within 24 hours of acquisition",Percent,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,103691,,99.960000,,2014-06-30,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",8217,,"Deliver Landsat data based on trended customer demand",Number,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Quarterly,,103693,,4430112.000000,,2014-06-30,y,2017-11-07,15:50:51
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",21211,,"Landsat scenes added to the archive",Number,"2 - Strategic and Business Results",0.000000,219000.000000,219000.000000,"Over target",Semi-Annual,"010SO18229 - Utilize science in land, water, species and habitat management supporting decisions and activities",233085,,394309.000000,,2018-09-30,n,2018-09-18,16:50:19
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",21213,,"Landsat Ground System Capture Success Rate",Percent,"2 - Strategic and Business Results",0.000000,95.000000,95.000000,"Over target",Monthly,"010SO18229 - Utilize science in land, water, species and habitat management supporting decisions and activities",240169,,99.950000,,2019-02-28,n,2018-09-18,16:50:19
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",21215,,"Landsat scenes processed",number,"2 - Strategic and Business Results",0.000000,100000.000000,100000.000000,"Over target",Quarterly,"010SO18229 - Utilize science in land, water, species and habitat management supporting decisions and activities",238038,,222801.000000,,2018-12-31,n,2018-09-18,16:50:19
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",21217,,"Landsat data is downlinked and made available within 24 hours of acquisition",Percent,"2 - Strategic and Business Results",0.000000,95.000000,95.000000,"Over target",Quarterly,"010SO18229 - Utilize science in land, water, species and habitat management supporting decisions and activities",238039,,96.860000,,2018-12-31,n,2018-09-18,16:50:19
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",21219,,"Landsat scenes delivered to customer",number,"1 - Customer Satisfaction (Process Results)",0.000000,3875000.000000,3875000.000000,"Over target",Quarterly,"010SO18229 - Utilize science in land, water, species and habitat management supporting decisions and activities",238040,,3757693.000000,,2018-12-31,n,2018-09-18,16:50:19
010-000001047,835,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","USGS - CLU - Land Satellites Data System (LSDS)",21221,,"LSDS Cost Performance Index",number,"3 - Financial Performance",0.000000,,,"Over target",Quarterly,,192826,,1.016000,,2017-06-30,y,2017-09-14,16:49:55
018-000003133,845,"01 - Major IT","01 - Not Applicable","	018","Department of Education","National Student Loan Database System (NSLDS)",26465,,"Monitor the average monthly utilization of direct access storage device (DASD) pool for sufficient mainframe data storage, with target set at under 95% capacity usage.",Percentage,"2 - Strategic and Business Results",0.000000,95.000000,95.000000,"Under target",Monthly,"018SO18053 - Improve the engagement and preparation of the Department's workforce using professional development and accountability measures.",237636,,82.000000,,2019-02-15,n,2018-09-20,19:14:31
018-000003133,845,"01 - Major IT","01 - Not Applicable","	018","Department of Education","National Student Loan Database System (NSLDS)",26466,,"Percentage of emails answered in 24 hours of receipt",Percentage,"1 - Customer Satisfaction (Process Results)",0.000000,95.000000,95.000000,"Over target",Monthly,"018SO18053 - Improve the engagement and preparation of the Department's workforce using professional development and accountability measures.",237637,,100.000000,,2019-02-15,n,2018-09-20,19:14:31
018-000003133,845,"01 - Major IT","01 - Not Applicable","	018","Department of Education","National Student Loan Database System (NSLDS)",26467,,"Accuracy of responses provided on monitored calls received at the Call Center",Percentage,"1 - Customer Satisfaction (Process Results)",0.000000,95.000000,95.000000,"Over target",Monthly,"018SO18053 - Improve the engagement and preparation of the Department's workforce using professional development and accountability measures.",237638,,98.000000,,2019-02-15,n,2018-09-20,19:14:31
018-000003133,845,"01 - Major IT","01 - Not Applicable","	018","Department of Education","National Student Loan Database System (NSLDS)",26468,,"The Draft and Official Cohort default rates calculated, letters and backup detail released to schools on time, twice per year.",Number,"2 - Strategic and Business Results",0.000000,2.000000,2.000000,"Over target",Annual,"018SO18053 - Improve the engagement and preparation of the Department's workforce using professional development and accountability measures.",209752,,2.000000,,2017-10-13,n,2018-09-20,19:14:31
018-000003133,845,"01 - Major IT","01 - Not Applicable","	018","Department of Education","National Student Loan Database System (NSLDS)",26469,,"% of Calls answered by the Customer Call Center",Percentage,"1 - Customer Satisfaction (Process Results)",0.000000,95.000000,95.000000,"Over target",Monthly,"018SO18053 - Improve the engagement and preparation of the Department's workforce using professional development and accountability measures.",237639,,97.780000,,2019-02-15,n,2018-09-20,19:14:31
018-000003133,845,"01 - Major IT","01 - Not Applicable","	018","Department of Education","National Student Loan Database System (NSLDS)",26470,,"Student Website Utilization - Average monthly number of logons to the SA site (not including ISE)",Number,"2 - Strategic and Business Results",0.000000,0.000000,,"Over target",Monthly,,,,,,,n,2017-09-18,18:11:30
018-000003133,845,"01 - Major IT","01 - Not Applicable","	018","Department of Education","National Student Loan Database System (NSLDS)",26471,,"At least 95% of hours allotted for O&M work (1,125 per quarter), which are included in the contract, are continuously used to maintain and upgrade the system.",Hours,"3 - Financial Performance",0.000000,1125.000000,1125.000000,"Over target",Quarterly,"018SO18053 - Improve the engagement and preparation of the Department's workforce using professional development and accountability measures.",235802,,544.000000,,2019-01-15,n,2018-09-20,19:14:31
018-000003133,845,"01 - Major IT","01 - Not Applicable","	018","Department of Education","National Student Loan Database System (NSLDS)",26472,,"Measuring customer satisfaction on a scale of 1 to 5 with 1 being the worst and 5 being the best utilizing Customer Satisfaction Surveys.",Number,"1 - Customer Satisfaction (Process Results)",0.000000,4.000000,4.000000,"Over target",Monthly,"018SO18053 - Improve the engagement and preparation of the Department's workforce using professional development and accountability measures.",237640,,5.000000,,2019-02-15,n,2018-09-20,19:14:31
018-000003133,845,"01 - Major IT","01 - Not Applicable","	018","Department of Education","National Student Loan Database System (NSLDS)",26473,,"Measure occurrence of errors in loans reported by FLS to NSLDS.",Percentage,"2 - Strategic and Business Results",0.000000,0.000000,0.000000,"Under target",Monthly,,238368,,0.500000,,2017-12-15,n,2019-02-28,20:57:10
015-000000062,846,"01 - Major IT","01 - Not Applicable","	015","Department of the Treasury","Retail Securities Services (RSS)",809,"	67","Percentage of customer satisfaction survey results rated Good or Better",Percentage.,"1 - Customer Satisfaction (Process Results)",0.000000,86.500000,0.000000,"Over target",Monthly,"015SO18116 - Debt Management: Fund the federal government at the least cost over time.",239308,"	221133",0.068671,"Target goal met within tolerable range of variance.",2019-02-28,n,2018-11-09,18:47:16
015-000000062,846,"01 - Major IT","01 - Not Applicable","	015","Department of the Treasury","Retail Securities Services (RSS)",810,"	68","Percentage of maturing marketable par that customers reinvest into new purchases",Percentage,"2 - Strategic and Business Results",0.000000,65.000000,65.000000,"Over target",Monthly,"015SO18116 - Debt Management: Fund the federal government at the least cost over time.",239309,"	221134",64.880000,"Target goal met within tolerable range of variance.",2019-02-28,n,2018-11-09,18:47:16
015-000000062,846,"01 - Major IT","01 - Not Applicable","	015","Department of the Treasury","Retail Securities Services (RSS)",811,"	69","Percentage of time with 24/7 mainframe system access.",Percentage,"2 - Strategic and Business Results",0.000000,99.500000,99.500000,"Over target",Monthly,"015SO18116 - Debt Management: Fund the federal government at the least cost over time.",239310,"	221135",100.000000,"Target goal met within tolerable range of variance.",2019-02-28,n,2018-10-05,19:07:01
015-000000062,846,"01 - Major IT","01 - Not Applicable","	015","Department of the Treasury","Retail Securities Services (RSS)",812,"	70","Percentage of time financial and accounting data is sent to the Summary Debt Accounting System (SDAS) by 7:00 am each business day.",Percentage,"3 - Financial Performance",0.000000,99.500000,99.500000,"Over target",Monthly,"015SO18116 - Debt Management: Fund the federal government at the least cost over time.",239311,"	221136",100.000000,"Target goal met within tolerable range of variance.",2019-02-28,n,2018-10-05,19:07:01
015-000000062,846,"01 - Major IT","01 - Not Applicable","	015","Department of the Treasury","Retail Securities Services (RSS)",813,"	71","Percentage of accounts successfully verified online.",Percentage,"1 - Customer Satisfaction (Process Results)",0.000000,82.000000,0.000000,"Over target",Monthly,"015SO18116 - Debt Management: Fund the federal government at the least cost over time.",239312,"	221137",0.048415,"Target goal met within tolerable range of variance.",2019-02-28,n,2018-10-05,19:07:01
015-000000062,846,"01 - Major IT","01 - Not Applicable","	015","Department of the Treasury","Retail Securities Services (RSS)",27021,"	200402","Customer Service Work-Load Turn-Over",Percent,"2 - Strategic and Business Results",100.000000,100.000000,100.000000,"Over target",Monthly,"015SO18116 - Debt Management: Fund the federal government at the least cost over time.",239313,"	221138",98.200000,"Target goal met within tolerable range of variance.",2019-02-28,n,2018-10-05,19:07:01
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",2726,,"Percentage of web availability of FAFSA on the web excluding scheduled outages",Percentage,"1 - Customer Satisfaction (Process Results)",,99.700000,99.700000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206022,,0.000000,"For May 2017 (Not Reported)",2017-05-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",2727,,"FAFSA IVRU survey results",Percentage,"1 - Customer Satisfaction (Process Results)",,69.900000,69.900000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206025,,0.000000,"For May 2017 (Not Reported)",2017-05-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",2728,,"Number of student aid applications submitted electronically",Percentage,"1 - Customer Satisfaction (Process Results)",,89.000000,89.000000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206028,,0.000000,"For May 2017 (Not Reported)",2017-05-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",2729,,"Number of Audit findings each reporting period in a fiscal year.",Items,"1 - Customer Satisfaction (Process Results)",,1.000000,1.000000,"Under target",Semi-Annual,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206031,,0.000000,"For March 2017 (Not Reported)",2017-03-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",2730,,"CSR monthly customer survey",Percentage,"1 - Customer Satisfaction (Process Results)",,85.000000,85.000000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206032,,0.000000,"For May 2017 (Not Reported)",2017-05-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",2731,,"Compute Processing Time for determination of eligibility less than 72 hours",Hours,"1 - Customer Satisfaction (Process Results)",,,,"Over target",Monthly,,111561,,100.000000,,2014-09-30,y,2017-11-07,15:50:51
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",22939,,"Customer satisfaction with FAFSA-On-The-Web application process based on ACSI score.",Percent,"1 - Customer Satisfaction (Process Results)",,88.000000,88.000000,"Over target",Quarterly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206035,,0.000000,"For May 2017 (Not Reported)",2017-05-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",22941,,"Customer satisfaction as measured by CSR survey results. Participants rate 4 or higher on a 5 point scale.",points,"1 - Customer Satisfaction (Process Results)",,85.000000,85.000000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206037,,0.000000,"For May 2017 (Not Reported)",2017-05-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",22943,,"Customer satisfaction based on IVRU survey results. Participants rate IVR service 4 or higher on a 5 point scale.",points,"1 - Customer Satisfaction (Process Results)",,67.900000,67.900000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206040,,0.000000,"For May 2017 (Not Reported)",2017-05-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",22945,,"Average time to complete application online",time,"2 - Strategic and Business Results",,22.000000,22.000000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206043,,0.000000,"For May 2017 (Not Reported)",2017-05-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",22947,,"Cost to handle an inquiry to FSAIC",cost,"3 - Financial Performance",,2.800000,2.800000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206046,,0.000000,"For May 2017 (Not Reported)",2017-05-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",23837,,"Compute Processing Time for determination of eligibility less than 72 hours",Hours,"2 - Strategic and Business Results",,72.000000,72.000000,"Under target",Quarterly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206049,,0.000000,"For March 2017 (Not Reported)",2017-03-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",23838,,"Percent of Applicants completing application on first attempt",Percentage,"2 - Strategic and Business Results",65.000000,65.000000,65.000000,"Over target",Quarterly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",206050,,0.000000,"For March 2017 (Not Reported)",2017-03-31,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",25289,,"Passed through match in 72 hours",Percent,"2 - Strategic and Business Results",99.000000,99.000000,99.000000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",239121,,100.000000,,2019-02-28,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",25290,,"Computed in real time",Percent,"2 - Strategic and Business Results",99.000000,99.000000,99.000000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",,,,,,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",25291,,"System uptime",Percent,"2 - Strategic and Business Results",99.000000,99.000000,99.000000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",239122,,100.000000,,2019-02-28,n,2018-09-21,19:49:37
018-000003116,849,"01 - Major IT","01 - Not Applicable","	018","Department of Education","Application and Eligibility Determination System (AEDS)",25292,,"Participants rate service 4 or higher on 5 point scale for CPS Help Desk",Percent,"1 - Customer Satisfaction (Process Results)",84.000000,84.000000,84.000000,"Over target",Monthly,"018SO18042 - Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",239123,,80.000000,,2019-02-28,n,2018-09-21,19:49:37
010-000000279,850,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - CARMA (Capital Asset and Resource Management Application)",1809,,"CARMA problems are resolved in a timely manner utilizing the Tier 1 and Tier 2 support","% open tickets closed w/in a reasonable timeframe","2 - Strategic and Business Results",,91.000000,91.000000,"Over target",Semi-Annual,,226979,,93.000000,,2018-05-31,n,2018-09-18,14:44:17
010-000000279,850,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - CARMA (Capital Asset and Resource Management Application)",1810,,"CARMA has a supported Contingency Plan to ensure that the availability of the application remains at a high level.","percent of time system is available","2 - Strategic and Business Results",,96.000000,96.000000,"Over target",Monthly,"010APG18021 - Improve Condition of Priority Assets Necessary for Mission Delivery Across the Department of the Interior",240116,,96.000000,,2019-01-31,n,2018-09-18,14:44:17
010-000000279,850,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - CARMA (Capital Asset and Resource Management Application)",1811,,"CARMA customers are supported via multiple resources with the ability to escalate unresolved issues","percent of time that issues are escalated","2 - Strategic and Business Results",,9.000000,9.000000,"Under target",Semi-Annual,,226981,,9.000000,,2018-05-31,n,2018-09-18,14:44:17
010-000000279,850,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - CARMA (Capital Asset and Resource Management Application)",1812,,"System reliability and availability","percent of time of unscheduled outages","1 - Customer Satisfaction (Process Results)",,9.000000,9.000000,"Under target",Monthly,,240117,,9.000000,,2019-01-31,n,2018-09-18,14:44:17
010-000000279,850,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - CARMA (Capital Asset and Resource Management Application)",1813,,"All required supporting document artifacts for this &quot;major&quot; IT Investment (as identified in the current budget year OMB A-11 guidance) will be kept current &amp;  be available for DOI/OMB review within the 10 day requirement.","All current artifacts in DOI SharePort site","1 - Customer Satisfaction (Process Results)",,,,"Over target",Semi-Annual,,81849,,8.000000,,2013-09-30,y,2017-11-07,15:50:51
010-000000279,850,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","BOR - CARMA (Capital Asset and Resource Management Application)",20227,,"To be under budget, while maintaining the software components at the proper versions.","Actual costs within 10% variance of budget","3 - Financial Performance",,10.000000,10.000000,"Over target",Annual,,223693,,9.030000,,2018-04-30,n,2018-09-18,14:44:17
010-000000578,851,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","NPS - PPFL - Enterprise Facility Management Software System",1963,,"Percent of customers who report being satisfied with the EFMSS",Percent,"1 - Customer Satisfaction (Process Results)",,80.000000,80.000000,"Over target",Semi-Annual,"010SO18255 - Prioritize DOI infrastructure needs and reduce deferred maintenance backlog",220778,,74.000000,"This metric was derived from the 2016 EFMSS Customer Satisfaction Survey. Baseline is figure reported in 2010 Submission. March 2018 results do not meet the defined target but do reflect an improvement from previous surveys.",2018-04-12,n,2018-09-18,16:50:17
010-000000578,851,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","NPS - PPFL - Enterprise Facility Management Software System",1964,,"The frequency with which customers report having their questions to the help desk sufficiently answered",Percent,"1 - Customer Satisfaction (Process Results)",,80.000000,80.000000,"Over target",Semi-Annual,"010SO18255 - Prioritize DOI infrastructure needs and reduce deferred maintenance backlog",220779,,91.000000,"This metric was derived from the 2016 EFMSS Customer Satisfaction Survey. Baseline is figure reported in 2010 Submission. March 2018 results meet the defined target for this metric. ",2018-04-12,n,2018-09-18,16:50:17
010-000000578,851,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","NPS - PPFL - Enterprise Facility Management Software System",1965,,"Overall PFMD risk rating for all risks in the EFMSS Risk Register (based on the weighted average on a 1 [low] - 100 [high] scale, as defined by PFMD","1/1/0100 12:00:00 AM","2 - Strategic and Business Results",,40.000000,40.000000,"Under target",Semi-Annual,"010SO18255 - Prioritize DOI infrastructure needs and reduce deferred maintenance backlog",220780,,33.000000,"This metric was derived from the 2018 EFMSS Risk Register. Baseline is figure reported in 2010 Submission. March 2018 results meet the defined target for this metric.",2018-04-12,n,2018-09-18,16:50:17
010-000000578,851,"01 - Major IT","01 - Not Applicable","	010","Department of the Interior","NPS - PPFL - Enterprise Facility Management Software System",1966,,"Have a Privacy Impact Assessment (PIA) certified system and pass the C&amp;amp;A - pass &amp;#61;1; fail &amp;#61; 0",0-1,"2 - Strategic and Business Results",,1.000000,1.000000,"Over target",Semi-Annual,"010SO18255 - Prioritize DOI infrastructure needs and reduce deferred maintenance backlog",220781,,1.000000,"Baseline is figure reported in 2010 Submission. March 2018 1results meet the defined target for this metric.",2018-04-12,n,2018-09-18,16:50:17
